datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,IP,6.686,-0.313,-0.376,0.743,2.502,-0.047,-0.65,-22.31,0.673,1.715,23.244,23.9854690391,22.9526291122
2001-11-14,IP,6.529,-0.275,1.276,2.019,2.629,-0.042,-0.57,-18.759,0.688,1.736,22.448,23.6430246706,23.7664891637
2002-01-16,IP,8.071,0.774,-0.076,1.198,2.499,0.096,1.63,131.219,0.661,1.548,24.916,23.510542993,27.3438106091
2002-03-18,IP,6.254,-0.572,-0.795,1.224,2.611,-0.091,-1.19,-17.742,0.81,2.076,21.308,27.1108923352,26.3508300038
2002-05-08,IP,6.038,0.065,-0.257,0.967,2.56,0.011,0.13,83.69,0.769,2.028,21.476,26.663436394,24.8123179695
2002-08-13,IP,6.305,0.215,-0.129,0.838,2.52,0.034,0.45,24.361,0.704,1.816,21.649,24.2821647432,21.2344310227
2002-11-13,IP,6.343,0.145,0.156,0.994,2.571,0.023,0.3,13.71,0.614,1.618,21.116,21.2654517773,22.3026302217
2003-02-28,IP,6.29,-1.305,0.08,1.074,3.583,-0.207,-2.71,-19.06,0.672,2.275,15.401,22.0446119704,23.5108983961
2003-05-14,IP,6.075,0.044,1.144,2.218,3.724,0.007,0.09,-19.737,0.711,2.377,15.62,23.3661591209,25.1500102274
2003-08-14,IP,6.264,0.088,-0.788,1.43,3.464,0.014,0.19,-19.032,0.783,2.49,16.403,25.8533785167,24.0331452661
2003-11-13,IP,6.373,0.122,0.134,1.564,3.444,0.019,0.25,-17.18,0.722,2.316,16.246,23.956649749,26.2469705894
2004-03-12,IP,6.467,0.048,0.799,2.363,3.313,0.007,0.1,66.597,0.799,2.442,16.96,26.7311096639,25.7628250596
2004-05-06,IP,6.364,0.073,-0.139,2.224,3.273,0.011,0.15,58.067,0.755,2.331,17.025,25.5562570318,27.4362598916
2004-08-06,IP,6.486,0.193,-0.362,1.862,3.13,0.03,0.4,46.118,0.783,2.432,17.024,26.8581707441,26.1751188306
2004-11-09,IP,6.578,-0.549,-0.034,1.828,3.446,-0.083,-1.13,-84.48,0.767,2.554,15.983,26.6586378311,26.4803700873
2005-02-03,IP,6.578,-0.47,-0.034,1.828,3.411,-0.071,-0.97,-81.353,0.738,2.434,16.145,25.8295426453,25.7037053661
2005-03-10,IP,6.603,0.169,0.768,2.596,3.146,0.026,0.35,-544.402,0.746,2.308,16.834,25.7169397288,22.2955135067
2005-05-06,IP,6.55,0.077,-1.067,1.529,3.037,0.012,0.16,-150.669,0.632,2.009,16.972,22.3616932616,20.9776518356
2005-08-05,IP,6.514,0.077,-0.278,1.251,3.02,0.012,0.16,-67.693,0.583,1.89,16.611,20.797616779,20.03528229
2005-11-08,IP,6.036,1.023,0.257,1.092,2.209,0.169,2.11,10.757,0.563,1.633,17.486,19.8403775046,22.2540301597
2006-03-06,IP,6.134,-0.077,0.133,1.641,2.445,-0.013,-0.16,14.644,0.668,1.929,16.953,22.3222954233,22.3222954233
2006-03-07,IP,6.134,-0.077,0.133,1.641,2.445,-0.013,-0.16,14.5,0.662,1.91,16.953,22.1038523141,25.6535784383
2006-05-09,IP,5.668,-1.237,-0.932,0.709,2.779,-0.218,-2.54,-86.588,0.761,2.629,14.334,25.6604041455,23.1363258194
2006-08-07,IP,6.27,0.115,-0.435,0.274,2.683,0.018,0.24,-95.932,0.7,2.378,14.575,23.5489866748,22.3249142768
2006-11-08,IP,5.867,0.201,0.462,0.736,3.203,0.034,0.42,-14.812,0.617,2.517,12.114,22.505010456,25.5406100932
2007-02-28,IP,3.888,1.971,0.888,1.624,2.018,0.507,4.11,15.509,0.74,2.045,17.594,25.2806375767,26.8545344162
2007-05-09,IP,5.217,0.434,0.766,2.39,2.011,0.083,0.98,6.227,0.798,2.138,17.674,27.3323209272,24.560600262
2007-08-08,IP,5.291,0.19,-0.709,1.681,2.045,0.036,0.44,5.44,0.751,2.0,17.635,25.0344169254,25.2363295759
2007-11-07,IP,5.541,0.217,0.021,1.702,1.981,0.039,0.51,5.215,0.736,1.843,18.694,24.4027205303,23.5628421036
2008-02-29,IP,5.841,0.327,-0.797,0.905,1.786,0.056,0.77,11.61,0.619,1.564,20.273,22.9193647517,18.8415974391
2008-05-09,IP,5.668,0.133,-0.025,0.88,1.706,0.023,0.32,12.735,0.494,1.227,21.259,18.6680740106,20.3508597449
2008-08-08,IP,5.807,0.227,3.099,3.979,1.944,0.039,0.54,13.697,0.542,1.303,22.487,21.1316227495,10.8493489891
2008-11-07,IP,6.808,0.149,-3.208,0.771,2.442,0.022,0.35,7.61,0.264,0.726,20.701,10.9523971812,4.66831904019
2009-02-26,IP,6.546,-1.791,0.373,1.144,5.456,-0.274,-4.26,-1.945,0.1,0.598,9.746,4.52098464655,10.8488035291
2009-05-07,IP,5.668,0.257,-0.189,0.955,5.271,0.045,0.61,-4.923,0.23,1.376,9.794,10.228432474,15.4005292938
2009-08-05,IP,5.802,0.136,0.699,1.654,4.452,0.023,0.32,-6.829,0.344,1.761,11.385,15.3150571375,18.5464043319
2009-11-06,IP,5.919,0.371,-0.002,1.652,3.684,0.063,0.87,-10.104,0.434,1.838,13.168,18.6397555886,18.6328993629
2010-02-25,IP,5.977,-0.101,0.24,1.892,3.203,-0.017,-0.24,15.716,0.446,1.73,13.809,18.625103951,18.1963110769
2010-05-07,IP,5.807,-0.162,-0.143,1.749,3.281,-0.028,-0.38,41.441,0.43,1.738,13.57,18.0559835271,19.3007549688
2010-08-06,IP,6.121,0.093,0.122,1.871,3.356,0.015,0.22,52.313,0.441,1.847,13.136,18.8540878543,20.6326372898
2010-11-05,IP,6.72,0.397,-0.442,1.429,2.888,0.059,0.92,50.953,0.47,1.811,14.726,20.8375434785,21.9495289669
2011-02-25,IP,6.531,0.316,0.644,2.073,2.675,0.048,0.74,19.174,0.49,1.807,15.541,22.3799167011,24.9701860628
2011-05-06,IP,6.387,0.342,-0.024,2.049,2.462,0.054,0.79,12.1,0.539,1.898,16.874,25.3208644833,18.6693633616
2011-08-09,IP,6.648,0.224,0.35,2.399,2.346,0.034,0.52,8.479,0.413,1.407,17.9,19.9391750188,23.3919383189
2011-11-07,IP,6.632,0.518,0.323,2.722,2.455,0.078,1.2,8.963,0.479,1.695,17.008,23.3107445088,27.1927203567
2012-02-27,IP,6.367,0.257,1.272,3.994,3.026,0.04,0.59,11.053,0.569,2.239,15.146,28.0104836246,26.5401627823
2012-05-07,IP,6.655,0.188,-2.706,1.288,3.733,0.028,0.43,11.771,0.531,1.979,16.099,26.3914833578,27.3333873362
2012-08-07,IP,7.077,0.134,-0.06,1.228,3.894,0.019,0.31,13.248,0.544,2.177,15.233,27.6917163447,29.9129650888
2012-11-07,IP,7.026,0.237,0.047,1.275,3.599,0.034,0.54,18.82,0.566,2.192,15.93,29.3671113748,35.6552045276
2013-02-26,IP,7.075,0.235,0.027,1.302,4.048,0.033,0.54,23.755,0.678,2.992,14.288,36.4742707712,39.6908322689
2013-05-08,IP,7.09,0.318,-0.368,0.934,3.772,0.045,0.72,22.584,0.738,3.079,15.194,40.023584276,41.4324675115
2013-08-07,IP,7.335,0.259,0.271,1.205,3.805,0.035,0.58,20.393,0.75,3.19,14.954,41.1920235645,37.6469810186
2013-11-06,IP,7.406,0.382,0.741,1.946,3.464,0.052,0.86,16.136,0.667,2.665,16.077,37.5260173081,43.0127587335
2014-02-27,IP,7.249,0.436,-0.144,1.802,2.868,0.06,0.99,15.366,0.737,2.645,18.471,42.8461088623,40.2148228038
2014-05-07,IP,7.014,-0.095,-0.461,1.341,3.03,-0.014,-0.21,20.552,0.696,2.665,17.385,40.8638795046,42.6463313051
2014-08-06,IP,7.213,0.161,-0.048,1.293,3.072,0.022,0.37,23.066,0.706,2.711,17.408,42.8077006479,47.3081695413
2014-11-06,IP,6.051,0.355,0.425,1.718,3.29,0.059,0.84,25.936,0.807,3.261,15.903,47.389455056,52.0567229162
2015-02-26,IP,5.943,0.134,0.163,1.881,4.579,0.023,0.32,43.245,1.016,4.692,12.097,52.0109064025,47.4750715418
2015-05-07,IP,5.517,0.313,-0.305,1.576,4.727,0.057,0.74,22.728,0.885,4.505,11.466,47.649174294,44.1213027357
2015-08-06,IP,5.714,0.227,0.014,1.59,4.732,0.04,0.54,19.19,0.85,4.037,11.595,43.6412216011,39.5795840389
2015-11-05,IP,5.691,0.22,-0.486,1.104,6.326,0.039,0.53,19.495,0.762,4.007,10.417,39.1419833685,33.1046751535
2016-02-25,IP,5.443,0.178,-0.054,1.05,6.869,0.033,0.44,15.25,0.64,3.683,9.446,33.1809751827,39.8381527272
2016-05-05,IP,5.11,0.334,0.105,1.155,6.326,0.065,0.81,17.793,0.777,4.03,10.227,39.5806401288,44.1572473611
2016-08-05,IP,5.322,0.04,0.099,1.254,6.796,0.008,0.1,24.491,0.877,4.699,9.703,44.3114411537,42.9759464723
2016-11-03,IP,5.266,0.312,1.308,2.562,6.741,0.059,0.76,20.751,0.848,4.26,10.135,42.4117534222,52.2958828112
2017-02-22,IP,5.381,0.218,-1.529,1.033,6.677,0.041,0.53,23.67,1.015,4.929,10.555,51.5723044478,52.6824520738
2017-05-05,IP,5.511,0.209,-0.035,0.998,6.275,0.038,0.51,28.325,1.027,4.823,10.998,52.9699010127,53.66
2017-08-04,IP,5.772,0.08,0.043,1.041,6.449,0.014,0.19,27.19,1.015,4.9,10.915,53.93,53.93
