datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,IPG,2.099474,-0.100472,-0.014903,0.0,4.099,-0.048,-0.26,226.181,1.612,4.47,5.426,23.1211996025,20.4584681844
2001-11-14,IPG,1.6057,-0.4775,-0.000485,0.0,5.079,-0.297,-1.29,-22.291,1.643,5.905,5.042,24.5839077482,29.1122152035
2002-04-01,IPG,1.7195,0.111,0.2496,0.9352,4.818,0.065,0.3,-26.253,1.972,6.702,5.329,29.6302563726,28.0421629528
2002-05-15,IPG,1.4201,0.0667,-0.3601,0.5751,4.412,0.047,0.18,-32.154,1.88,6.307,5.471,28.6111589909,13.4392475573
2002-08-14,IPG,1.613,0.117,-0.0378,0.5373,4.155,0.073,0.31,-35.813,1.03,2.867,6.079,14.5293766368,12.2395837416
2002-11-19,IPG,1.5022,0.0075,0.0777,0.615,4.243,0.005,0.02,18.134,0.876,2.525,5.752,12.1625513963,7.39998648604
2003-03-07,IPG,1.5022,-0.0896,0.0777,0.615,4.51,-0.06,-0.24,10.631,0.514,1.57,5.425,7.27938135122,8.18391986232
2003-03-28,IPG,1.6687,0.0203,0.318,0.933,4.616,0.012,0.05,36.378,0.583,1.724,5.584,8.2011491673,10.303124374
2003-05-15,IPG,1.433,-0.0086,0.2552,1.1882,4.56,-0.006,-0.02,35.445,0.777,2.244,5.635,10.673554431,11.5177903747
2003-08-14,IPG,1.4994,-0.0135,-0.4881,0.7001,4.435,-0.009,-0.04,931.805,0.87,2.387,5.791,11.6900834244,12.9478226874
2003-11-14,IPG,1.4189,-0.3271,-0.0046,0.6955,4.807,-0.231,-0.85,-17.948,0.981,3.041,5.031,12.9650519924,12.4998607581
2003-12-08,IPG,1.4189,-0.3271,-0.0046,0.6955,4.807,-0.231,-0.85,-16.935,0.925,2.869,5.031,12.2328065311,13.5163897516
2004-03-15,IPG,1.6294,-0.1025,1.3102,2.0057,3.695,-0.063,-0.26,-14.033,1.081,2.432,6.682,13.0598131698,13.223491567
2004-05-10,IPG,1.3951,-0.0169,-0.6104,1.3953,3.558,-0.016,-0.05,-12.97,1.014,2.348,6.211,12.3964849283,10.0619141044
2004-08-09,IPG,1.5441,-0.0054,0.039,1.4343,3.744,-0.007,-0.03,-10.341,0.797,1.863,6.18,9.74317196241,10.5098760337
