datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2002-03-13,IR,,,,0.114,1.825,,,36.02,0.916,2.264,11.635,13.0197482321,13.3510778575
2002-05-15,IR,2.3059,0.0809,-0.0214,0.0926,1.806,0.035,0.24,,,2.294,11.758,13.3284872012,8.95343010296
2002-08-14,IR,2.5874,0.1074,0.0313,0.1239,2.051,0.042,0.32,,,1.777,10.436,9.19439710321,9.93235854147
2002-11-14,IR,2.5181,0.0893,-0.011,0.1129,1.984,0.035,0.27,,,1.927,10.641,10.2561579481,9.47301519725
2003-03-05,IR,1.5399,0.1834,0.2293,0.3422,2.108,0.119,0.55,-37.235,0.722,1.857,10.273,9.58596847861,11.1371935427
2003-05-07,IR,2.1987,0.1532,-0.217,0.1252,1.757,0.07,0.46,13.915,0.839,2.059,10.64,11.0091798238,13.9986766707
2003-08-13,IR,2.5251,0.1393,-0.0171,0.1081,1.657,0.055,0.41,17.063,1.098,2.505,11.235,14.2019925771,15.2788138595
2003-11-13,IR,2.5195,0.1546,0.083,0.1911,1.492,0.061,0.45,16.47,1.182,2.543,11.768,15.1959814531,16.7923878298
2004-02-27,IR,2.6659,0.1974,0.2666,0.4577,1.374,0.074,0.57,18.09,1.181,2.595,12.811,16.9279317674,16.7999180485
2004-05-05,IR,2.292,0.1795,-0.2469,0.2108,1.359,0.078,0.52,17.009,1.141,2.54,12.96,16.7622669547,17.4023355492
2004-08-03,IR,2.7139,0.2862,0.178,0.3907,1.225,0.105,0.82,14.449,1.159,2.482,13.732,17.4098657679,18.5996403316
2004-11-09,IR,2.368,0.2378,0.0924,0.4407,1.189,0.1,0.69,14.127,1.268,2.587,14.282,18.9460303945,21.6192580535
2005-03-16,IR,2.459,0.5152,1.263,1.7037,0.991,0.21,1.49,11.78,1.528,2.504,16.579,21.4234723658,20.3391208647
2005-05-05,IR,2.4588,0.2231,-0.6792,1.0245,1.034,0.091,0.65,10.4,1.313,2.315,16.823,20.0906236457,20.3767719585
2005-08-05,IR,2.7595,0.2854,-0.1089,0.9156,1.078,0.103,0.84,10.487,1.317,2.38,16.478,20.3014697709,19.7969451141
2005-11-04,IR,2.6153,0.2542,-0.1829,0.7321,1.058,0.097,0.76,9.786,1.215,2.23,16.95,19.646340739,21.5063047721
2006-03-01,IR,2.7133,0.2915,0.1485,0.8806,1.04,0.107,0.87,13.035,1.303,2.385,17.595,21.9882387726,24.6087549003
2006-05-05,IR,2.711,0.2532,-0.1026,0.778,1.031,0.093,0.77,14.268,1.433,2.621,17.937,24.6464059941,19.9701401455
2006-08-04,IR,3.0419,0.3135,-0.5193,0.2587,0.94,0.103,0.96,10.982,1.102,2.016,18.838,19.9701401455,19.45808527
2006-11-03,IR,2.766,0.2438,0.0067,0.2654,1.074,0.088,0.77,10.258,1.006,1.99,18.525,19.4806759263,23.0876507113
2007-03-01,IR,2.8904,0.2219,0.0969,0.3623,1.247,0.077,0.73,12.843,1.162,2.453,17.559,22.9671672111,25.241293276
2007-05-10,IR,2.6681,0.2175,-0.0512,0.3046,1.304,0.082,0.71,13.948,1.223,2.581,17.857,24.5730290818,27.2819825593
2007-08-08,IR,2.2246,0.9641,0.2383,0.4602,1.127,0.433,3.21,8.882,1.387,2.509,20.346,27.3196336531,26.8226392151
2007-11-02,IR,2.239,0.2666,-0.1049,0.438,1.385,0.119,0.94,8.246,1.374,2.651,19.067,27.1614990592,23.313557274
2008-02-29,IR,2.3233,2.5185,4.2973,4.7353,0.818,1.084,8.75,2.877,1.302,1.443,29.004,22.6810188983,23.03493918
2008-05-12,IR,2.1633,0.1816,-0.667,4.0683,0.689,0.084,0.66,3.045,1.337,1.439,30.484,23.7578401807,20.2638186771
2008-08-08,IR,3.0808,0.2561,-3.281,0.7873,1.398,0.083,0.89,3.892,1.279,1.162,33.883,21.4234723658,8.85553725911
2008-11-07,IR,4.3132,0.2277,-0.0458,0.7415,1.408,0.053,0.71,1.702,0.456,0.506,33.574,9.29228994706,7.92932035191
2009-03-02,IR,3.6701,-3.2902,-0.1913,0.5502,2.141,-0.896,-10.99,-1.578,0.313,0.622,20.891,7.26666110123,12.1311824187
2009-05-08,IR,2.9329,-0.0267,-0.0566,0.4936,2.132,-0.009,-0.08,-2.619,0.53,1.142,20.277,12.9971575759,16.3405747043
2009-08-06,IR,3.4738,0.1221,0.2993,0.7929,1.988,0.035,0.38,-3.12,0.643,1.354,21.312,16.3481049231,19.0213325821
2009-11-06,IR,3.4827,0.2166,-0.049,0.7439,1.802,0.062,0.67,-3.637,0.799,1.507,22.386,19.1192254259,18.1478272062
2010-02-26,IR,3.3059,0.1394,0.1328,0.8767,1.774,0.042,0.44,22.702,0.776,1.422,22.443,18.1026458936,20.5349065524
2010-05-07,IR,2.9534,0.0014,-0.2776,0.5991,1.764,0.0,0.0,23.658,0.858,1.592,22.077,19.9927308018,21.5891371785
2010-08-05,IR,3.7034,0.1964,0.2225,0.8216,1.841,0.053,0.61,22.238,0.916,1.721,22.101,21.6870300223,22.3873403668
2010-11-01,IR,3.7303,0.2322,-0.0109,0.8107,1.634,0.062,0.72,22.568,0.938,1.675,23.633,22.5906562732,26.8678205276
2011-02-22,IR,3.7117,0.2121,0.2036,1.0143,1.496,0.057,0.65,23.664,1.079,1.908,24.165,26.3030541208,29.0214630924
