datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2006-06-23,IVZ,,,,0.754754,1.096,,,33.092,3.232,1.944,8.833,12.8234123692,17.2555686039
2007-04-10,IVZ,,,,0.7896,1.175,,,19.656,3.99,2.256,10.266,17.4286510626,21.2341288094
2007-11-09,IVZ,0.7203,0.1706,,1.1024,1.134,0.237,0.42,,,2.267,12.481,20.6687004064,20.638136709
2008-02-29,IVZ,1.7654,0.1802,-0.1663,0.9524,0.791,0.102,0.45,16.149,2.804,1.651,15.516,19.5684072979,21.1534002001
2008-05-09,IVZ,0.9104,0.1552,-0.133,0.8514,0.796,0.17,0.4,,,1.623,16.943,21.2151169039,18.4801611366
2008-08-08,IVZ,0.9356,0.1628,-0.1487,0.6939,0.688,0.174,0.42,14.457,2.232,1.447,17.279,19.3550074745,10.1113708641
2008-11-07,IVZ,0.8272,0.1318,0.1328,0.8316,0.657,0.159,0.34,8.659,1.229,0.857,16.536,11.0129227628,9.69008353761
2009-02-27,IVZ,0.6344,0.0319,-0.0904,0.6582,0.556,0.05,0.09,8.979,1.308,0.76,15.035,9.04144121101,12.5456918291
2009-05-08,IVZ,0.5486,0.0307,-0.2442,0.3921,0.525,0.056,0.08,17.934,2.175,1.143,14.646,13.2417957894,15.6618707343
2009-07-31,IVZ,0.6251,0.0757,0.4635,0.8651,0.52,0.121,0.18,30.422,3.118,1.265,15.612,15.7255692426,17.2846104051
2009-10-30,IVZ,0.7058,0.1052,0.1057,0.9621,0.524,0.149,0.24,37.243,3.607,1.348,15.688,16.9323534075,15.963103583
2010-02-26,IVZ,0.7478,0.1109,-0.1654,0.79,0.476,0.148,0.26,26.235,3.22,1.224,16.014,15.8418648216,18.9132467768
2010-05-04,IVZ,0.7191,0.095,-0.1522,0.9288,1.204,0.132,0.22,25.39,3.51,1.345,16.739,18.1938967925,15.8868715035
2010-08-02,IVZ,0.787,0.0408,-0.036,0.8573,1.244,0.052,0.09,26.766,3.182,1.162,17.322,16.3584367784,18.7057711247
2010-11-02,IVZ,0.9531,0.1547,0.0888,0.9816,1.361,0.162,0.32,26.971,3.376,1.328,17.639,19.1638048733,21.1551709567
2011-02-25,IVZ,1.0285,0.1752,0.0749,1.3772,1.341,0.17,0.37,26.099,3.485,1.471,17.952,21.7907340327,20.6104026059
2011-04-29,IVZ,1.0273,0.1775,-0.2805,1.1287,1.407,0.173,0.38,20.963,3.027,1.379,18.035,20.5278619467,18.5559567389
2011-07-29,IVZ,1.07,0.183,0.1469,1.2437,1.431,0.171,0.39,14.485,2.452,1.221,18.161,18.3983513844,17.4633430948
2011-10-28,IVZ,0.9978,0.1669,0.1541,1.1137,1.355,0.167,0.36,13.416,2.286,1.186,17.626,17.4675219278,21.0858160115
2012-02-24,IVZ,0.9971,0.2023,-0.0297,1.1097,1.257,0.203,0.45,15.212,2.713,1.367,18.198,21.0266574095,21.2801942754
2012-05-02,IVZ,1.0337,0.1939,-0.144,1.069,1.245,0.188,0.43,14.869,2.707,1.354,18.277,20.9167914343,18.8488157658
2012-08-01,IVZ,1.009,0.1539,0.1312,1.0989,1.163,0.153,0.34,13.599,2.415,1.194,18.341,18.652917545,20.8041879568
