datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2003-05-08,JCI,5.5031,0.1303,,0.2781,2.161,0.024,0.24,,,1.944,7.115,8.5213888945,9.73035685273
2003-08-06,JCI,5.9599,0.1882,-0.0244,0.2537,2.131,0.032,0.35,,,2.08,7.67,9.67614873655,12.8278505575
2003-12-04,JCI,5.9997,0.2186,-0.1176,0.1361,2.081,0.036,0.41,14.694,0.438,2.33,7.864,12.9634515148,15.0695719229
2004-02-06,JCI,6.3841,0.1627,0.1665,0.3026,1.984,0.025,0.3,16.182,0.475,2.472,8.1,15.1889563602,15.8525084056
2004-05-06,JCI,6.6201,0.1577,-0.0762,0.2264,1.96,0.024,0.28,14.317,0.417,2.183,8.366,15.6353507562,17.075054659
2004-08-05,JCI,6.7923,0.2223,-0.1056,0.1208,1.841,0.033,0.39,13.71,0.405,2.122,8.616,16.8360907898,18.1795906048
2004-11-30,JCI,6.7569,0.273,0.0487,0.1695,1.899,0.04,0.48,14.328,0.44,2.245,9.117,18.4566853809,19.6140239999
2005-01-31,JCI,6.9755,0.1684,0.0712,0.2407,1.809,0.024,0.29,13.769,0.417,2.026,9.732,19.6903007599,15.977760577
2005-05-06,JCI,7.1006,0.2025,0.1097,0.3502,1.727,0.029,0.35,12.138,0.381,1.847,9.879,15.9395101242,14.8589129262
2005-08-09,JCI,7.0621,0.2547,0.035,0.3852,1.624,0.036,0.44,12.314,0.397,1.915,10.002,15.3688313403,15.4015146658
2005-12-09,JCI,6.4963,0.2838,-0.1436,0.1713,1.665,0.044,0.49,14.998,0.496,2.251,10.465,15.6106098988,13.8646018715
2006-02-08,JCI,7.5276,0.1654,-0.0037,0.1676,2.442,0.022,0.29,14.359,0.462,2.118,10.548,13.9584681526,15.6499414896
2006-05-09,JCI,8.167,0.165,-0.014,0.154,2.314,0.02,0.28,19.162,0.569,2.604,10.934,15.4615215142,14.1276790539
2006-08-09,JCI,8.39,0.338,0.226,0.38,2.192,0.04,0.58,15.338,0.478,2.114,11.776,14.2667310131,16.9909628891
2006-12-05,JCI,8.15,0.36,-0.087,0.293,1.98,0.044,0.62,15.939,0.508,2.228,12.522,16.9351450084,18.4799003117
2007-02-05,JCI,8.21,0.162,-0.041,0.252,1.929,0.02,0.28,18.365,0.572,2.484,12.855,18.5974996773,18.3819422017
2007-05-08,JCI,8.492,0.228,-0.08,0.172,1.877,0.027,0.39,19.614,0.642,2.731,13.203,18.005539351,17.8396006073
2007-08-06,JCI,8.911,0.396,0.017,0.189,1.802,0.044,0.67,20.034,0.68,2.763,14.001,17.981957773,14.8855290112
2007-11-29,JCI,9.011,0.466,0.485,0.674,1.706,0.052,0.79,18.256,0.66,2.566,15.0,15.0020571424,15.3191617427
2008-02-05,JCI,9.484,0.235,-0.267,0.407,1.624,0.025,0.4,15.272,0.564,2.231,15.275,15.2059659663,17.0516539586
2008-05-06,JCI,9.406,0.289,-0.174,0.233,1.566,0.031,0.49,14.707,0.554,2.124,16.169,16.6957801859,16.5226606761
2008-08-08,JCI,9.865,0.439,0.023,0.256,1.525,0.045,0.74,13.338,0.505,1.907,16.835,16.769664573,7.45359075372
2008-11-25,JCI,9.307,0.016,0.128,0.384,1.651,0.002,0.03,10.287,0.265,1.069,15.861,7.70586613307,8.78794630261
2009-02-05,JCI,7.336,-0.608,-0.182,0.202,1.683,-0.083,-1.02,56.014,0.212,0.916,13.99,8.93068291946,10.2186441612
2009-05-11,JCI,6.315,-0.193,0.109,0.311,1.75,-0.031,-0.33,-33.011,0.348,1.446,13.294,10.2887148641,11.8457875265
2009-08-03,JCI,6.979,0.163,0.232,0.543,1.731,0.023,0.27,-25.637,0.533,1.938,13.816,12.0143410882,14.2703531242
2009-11-25,JCI,7.867,0.3,0.218,0.761,1.636,0.038,0.5,-54.441,0.646,2.014,13.617,14.3807620459,14.4674903065
2010-02-03,JCI,8.408,0.35,0.03,0.791,1.523,0.042,0.52,32.124,0.674,2.129,13.924,14.4793846531,15.4904041182
2010-05-04,JCI,8.317,0.274,-0.021,0.77,1.508,0.033,0.41,19.903,0.685,2.3,13.984,15.3793902162,15.4245867348
2010-08-03,JCI,8.54,0.418,0.138,0.908,1.554,0.049,0.62,14.575,0.59,2.082,13.953,15.4366152661,15.3405644177
2010-11-23,JCI,9.04,0.449,-0.348,0.56,1.546,0.05,0.67,16.69,0.725,2.471,14.934,15.090599899,18.1064336609
2011-01-31,JCI,9.537,0.375,-0.239,0.321,1.481,0.039,0.56,17.153,0.734,2.493,15.4,18.1590921928,19.8153961877
2011-05-04,JCI,10.144,0.354,0.08,0.401,1.6,0.035,0.52,16.876,0.723,2.454,16.178,19.8194675656,17.4942093761
2011-08-03,JCI,10.364,0.357,-0.066,0.335,1.619,0.034,0.53,16.092,0.632,2.174,16.714,17.9159045705,19.0206833724
2011-11-22,JCI,10.788,0.538,-0.078,0.257,1.675,0.05,0.8,11.995,0.477,1.764,16.229,18.7077890139,20.8872296944
2012-02-03,JCI,10.417,0.41,-0.016,0.241,1.653,0.039,0.6,13.789,0.548,2.054,16.367,21.0444631984,23.1525327896
2012-05-03,JCI,10.565,0.364,-0.001,0.24,1.658,0.034,0.54,13.262,0.525,1.909,17.046,22.9737968991,22.8886455348
2012-08-02,JCI,10.581,0.417,0.362,0.602,1.661,0.039,0.61,9.426,0.385,1.405,16.955,22.9680039774,22.557251336
2012-11-19,JCI,10.392,0.035,-0.337,0.265,1.66,0.003,0.05,14.518,0.424,1.54,16.898,22.7510566332,25.5956160691
