datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,JEC,1.041417,0.02252,0.002374,0.099931,1.711,0.022,0.21,18.838,0.41,2.824,5.218,14.6160798393,16.6243961531
2001-12-21,JEC,0.976525,0.02358,-0.050668,0.049263,1.631,0.024,0.22,20.276,0.45,3.007,5.5,16.401249896,15.9450397704
2002-01-10,JEC,0.976525,0.02358,-0.050668,0.049263,1.631,0.024,0.22,19.525,0.433,2.895,5.5,15.7937961962,15.6648672476
2002-02-13,JEC,1.028186,0.02587,-0.004258,0.045005,1.613,0.025,0.24,18.148,0.418,2.769,5.694,15.6351144133,20.3311034236
2002-05-14,JEC,1.146611,0.02688,0.009126,0.054131,1.407,0.023,0.25,22.538,0.531,3.441,5.958,20.3311034236,16.7508456988
2002-08-12,JEC,1.169122,0.02792,-0.003842,0.050289,1.404,0.024,0.26,17.484,0.422,2.671,6.273,16.6169579445,17.2318498529
2002-12-27,JEC,1.211742,0.02902,-0.00182,0.048469,1.427,0.024,0.27,17.037,0.41,2.71,6.292,16.9095274816,18.3525399441
2003-02-13,JEC,1.21868,0.03014,0.008789,0.057258,1.292,0.025,0.28,17.541,0.421,2.767,6.588,18.0748468242,21.0302950292
2003-05-13,JEC,1.202606,0.03148,0.019626,0.076884,1.157,0.026,0.28,19.671,0.486,3.027,6.962,20.9013660806,22.1311498975
2003-08-14,JEC,1.131105,0.03286,0.033095,0.109979,1.048,0.029,0.29,20.038,0.519,3.051,7.314,22.1311498975,23.5791211657
2003-12-29,JEC,1.06321,0.03353,0.016176,0.126155,0.984,0.032,0.3,20.999,0.582,3.192,7.536,23.8568142856,21.4121230691
2004-02-17,JEC,1.135129,0.0338,0.034437,0.160592,0.953,0.03,0.3,18.394,0.534,2.747,7.882,21.4716287376,20.083163138
2004-05-13,JEC,1.123884,0.034775,0.0114,0.171992,0.916,0.031,0.31,17.357,0.526,2.531,8.225,20.6435081835,18.5013041155
2004-08-13,JEC,1.119536,0.02993,0.00131,0.173302,0.879,0.027,0.27,15.875,0.472,2.19,8.495,18.4517160584,22.8948059773
2004-12-13,JEC,1.215686,0.03047,-0.073227,0.100075,1.061,0.025,0.27,20.251,0.568,2.599,8.858,22.830341503,25.8849658223
2005-02-08,JEC,1.2833,0.03253,0.068656,0.168731,1.123,0.025,0.28,23.133,0.623,2.842,9.139,25.7609956794,25.3147031653
2005-05-09,JEC,1.383195,0.03566,-0.013588,0.155143,1.065,0.026,0.32,23.403,0.602,2.76,9.505,26.0138947708,29.8272163642
2005-08-09,JEC,1.449047,0.04005,0.046597,0.20174,1.026,0.028,0.35,24.986,0.65,3.04,9.854,29.7082050271,32.7529117349
2005-12-13,JEC,1.519459,0.04278,0.038109,0.239849,1.064,0.028,0.38,25.611,0.686,3.391,9.803,32.9661403805,41.1580874186
2006-02-09,JEC,1.683458,0.043025,0.031313,0.271162,1.049,0.026,0.37,30.114,0.806,3.988,10.444,41.3068515899,41.9514963326
2006-05-02,JEC,1.83245,0.0445,0.096284,0.367446,1.084,0.024,0.38,29.502,0.775,3.921,10.935,42.5267177954,40.4886486473
2006-07-31,JEC,1.926071,0.050632,-0.027895,0.339551,1.115,0.026,0.43,26.991,0.702,3.67,11.308,41.1531286128,42.0457136412
2006-12-08,JEC,1.979291,0.058726,0.094516,0.434067,1.005,0.03,0.5,25.025,0.664,3.462,12.048,41.3663572585,44.7532215605
2007-01-30,JEC,2.018508,0.061262,0.050446,0.484513,0.983,0.03,0.52,24.765,0.687,3.554,12.67,44.6639630577,51.6310850846
2007-04-26,JEC,2.091704,0.067226,-0.003636,0.480877,0.917,0.032,0.57,26.135,0.776,3.936,13.244,51.7005083646,62.0346594706
2007-07-26,JEC,2.083689,0.07475,-0.007763,0.473114,0.896,0.036,0.63,27.87,0.893,4.36,13.957,60.3486655282,80.9277092374
2007-11-29,JEC,2.280069,0.083892,0.140238,0.613352,0.838,0.037,0.7,34.329,1.163,5.346,15.259,80.9078740146,79.1425391807
2008-01-25,JEC,2.471817,0.09837,-0.214572,0.39878,0.842,0.04,0.82,28.884,1.049,4.704,16.406,76.5441249871,86.4716540247
2008-04-25,JEC,2.664794,0.099312,-0.006268,0.392512,0.838,0.037,0.82,30.495,1.144,5.152,17.315,88.4750115328,77.287945844
2008-07-25,JEC,2.918927,0.108677,0.143711,0.536223,0.803,0.037,0.89,24.853,0.938,4.355,18.191,78.5772353294,37.1315371795
2008-11-26,JEC,3.196621,0.114383,0.068197,0.60442,0.906,0.036,0.93,12.355,0.462,2.315,18.273,41.9614139441,39.7696218189
2009-01-28,JEC,3.232653,0.11635,0.183446,0.787866,0.829,0.036,0.95,12.148,0.444,2.27,19.079,42.9432574753,40.0572325503
