datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,JPM,6.346,0.359,1.848,36.122,15.786,0.057,0.18,17.496,2.372,1.959,21.359,26.0745236621,24.7632540564
2001-11-14,JPM,6.604,0.436,-1.92,31.64,17.691,0.066,0.22,18.13,2.14,1.831,21.66,24.9520463363,22.0983934607
2002-03-22,JPM,5.109,-0.345,0.301,35.343,15.862,-0.068,-0.17,42.747,2.691,1.693,20.788,22.3588229323,24.1088173223
2002-05-15,JPM,6.845,0.969,0.037,32.328,16.323,0.142,0.49,51.858,2.955,1.789,20.659,23.7047589315,17.0838912315
2002-08-12,JPM,6.753,1.015,-0.759,32.395,16.328,0.15,0.51,24.464,2.006,1.188,21.435,16.5068641652,13.8358780816
2002-11-14,JPM,5.111,0.027,-3.719,31.606,16.077,0.005,0.01,26.269,1.837,1.008,21.872,14.4764891431,15.2655969057
2003-03-19,JPM,6.574,-0.399,1.059,28.16,16.936,-0.061,-0.2,28.973,1.847,1.104,21.259,15.6136070062,20.8377484273
2003-05-14,JPM,7.663,1.387,3.011,29.125,16.528,0.181,0.69,30.509,2.373,1.437,21.542,20.6817366389,22.7574807896
2003-08-12,JPM,8.599,1.815,1.169,33.791,16.907,0.211,0.9,24.209,2.451,1.529,22.343,23.0452033041,24.9290342104
2003-11-12,JPM,7.525,1.615,-4.813,29.186,16.632,0.215,0.8,16.574,2.412,1.629,22.344,24.8252785186,28.385834619
2004-02-18,JPM,7.929,1.851,1.683,30.443,15.703,0.233,0.92,12.495,2.627,1.805,22.871,28.2601717998,25.676164729
2004-05-10,JPM,8.962,1.917,-0.849,55.019,15.654,0.214,0.94,10.244,2.233,1.533,23.672,24.9230535377,25.6279320821
2004-08-09,JPM,8.396,-0.561,4.106,62.66,16.8,-0.067,-0.27,26.645,3.916,2.797,22.487,25.6137298476,28.1317117199
2004-11-09,JPM,12.505,1.405,7.29,63.897,9.755,0.112,0.4,30.21,3.687,1.316,30.128,28.0099604217,26.7984028995
2005-03-02,JPM,12.95,1.653,4.353,56.848,9.953,0.128,0.5,29.781,3.05,1.244,38.005,26.7261505326,26.345711974
2005-05-05,JPM,13.647,2.259,2.425,51.924,10.186,0.166,0.64,26.56,2.66,1.199,29.947,26.1997523509,25.9748596287
2005-08-08,JPM,12.743,0.991,-2.501,44.172,10.114,0.078,0.28,19.485,2.371,1.166,30.17,25.7832720115,27.7933542001
2005-11-09,JPM,14.465,2.524,-2.056,47.373,10.335,0.174,0.72,17.771,2.453,1.244,30.455,28.0762003329,31.2299283253
2006-03-09,JPM,13.678,2.696,3.634,58.331,10.183,0.197,0.78,16.893,2.624,1.335,30.872,30.8170326383,35.3027543989
2006-05-08,JPM,15.236,3.077,0.233,47.448,10.753,0.202,0.89,17.246,2.854,1.479,31.197,34.8865375732,34.6979376967
2006-08-03,JPM,15.236,3.077,0.233,47.448,10.753,0.202,0.89,17.081,2.827,1.464,31.197,34.8276068417,34.3165578583
2006-08-09,JPM,14.94,3.54,1.487,52.827,10.998,0.237,1.02,13.006,2.64,1.391,31.863,33.8283916651,36.4827953403
2006-11-08,JPM,15.4,3.297,-2.111,53.409,10.782,0.214,0.95,13.106,2.789,1.455,32.74,36.5980284273,38.210781842
2007-03-01,JPM,16.054,4.526,4.133,53.959,10.672,0.282,1.3,11.834,2.782,1.476,33.418,38.0637875405,41.4465810509
2007-05-10,JPM,18.968,4.787,-8.576,62.809,10.97,0.252,1.38,10.999,2.718,1.509,34.054,40.5116957641,36.5136621822
2007-08-09,JPM,18.908,4.234,3.613,77.185,11.231,0.224,1.24,8.874,2.156,1.254,34.907,34.6765955405,33.7223464905
2007-11-09,JPM,16.112,3.373,-2.683,59.48,11.332,0.209,1.0,8.4,2.029,1.185,35.54,33.4849209109,33.890469925
2008-02-29,JPM,17.384,2.971,7.378,51.61,11.678,0.171,0.88,8.986,1.935,1.121,36.278,32.4610650907,37.4940968855
2008-05-12,JPM,16.89,2.373,6.744,59.302,12.077,0.14,0.7,12.499,2.336,1.289,36.993,38.0335223722,33.4353208799
2008-08-11,JPM,18.399,1.913,-14.633,49.405,12.333,0.104,0.56,13.544,2.093,1.081,38.87,34.1028875495,31.3851185795
