datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-07,JWN,1.545759,0.038699,,0.036829,1.985,0.025,0.14,,,2.021,4.738,6.50588553005,6.72367579785
2001-12-07,JWN,1.239241,0.010495,-0.016464,0.020365,2.121,0.008,0.04,,,2.051,4.739,6.63493692945,8.43091265689
2002-04-18,JWN,1.63109,0.050739,0.310962,0.331327,2.08,0.031,0.19,26.828,0.594,2.545,4.882,8.54089602625,8.27937925846
2002-06-07,JWN,1.245761,-0.024572,-0.119884,0.211443,2.139,-0.02,-0.09,43.768,0.583,2.573,4.746,8.42426839549,7.42481034717
2002-09-12,JWN,1.655528,0.036335,0.036395,0.247838,2.227,0.022,0.14,38.74,0.49,2.157,4.852,7.25835033005,6.92610644175
2002-12-06,JWN,1.323201,0.018427,-0.20704,0.040798,2.176,0.014,0.07,33.052,0.457,2.024,4.879,6.8842779177,5.8247272198
2003-04-17,JWN,1.750586,0.060034,0.167531,0.208329,1.986,0.034,0.23,25.703,0.388,1.69,5.065,6.00357194479,6.90045600287
2003-06-09,JWN,1.343539,0.027155,-0.04591,0.173434,2.001,0.02,0.1,18.181,0.425,1.855,5.122,6.69947184745,8.93186378839
2003-09-09,JWN,1.794975,0.065871,0.125345,0.298779,2.037,0.037,0.24,19.916,0.55,2.359,5.32,8.88584150172,11.9676223677
2003-12-08,JWN,1.42061,0.045469,-0.144289,0.15449,1.913,0.032,0.17,23.509,0.74,3.109,5.462,12.0599541723,13.7711944314
2004-03-30,JWN,1.932549,0.104346,0.321734,0.476224,1.733,0.054,0.38,22.743,0.851,3.38,5.902,14.2092231139,14.6194931529
2004-06-08,JWN,1.53549,0.068727,-0.243301,0.232923,1.498,0.045,0.24,20.386,0.868,3.348,6.224,14.7444766068,14.0071926265
2004-09-09,JWN,1.95348,0.106915,0.211927,0.484907,1.556,0.055,0.38,16.802,0.799,2.922,6.649,13.8531099243,15.5424957958
2004-12-03,JWN,1.542075,0.077828,-0.1495,0.335407,1.525,0.05,0.28,17.021,0.875,3.256,6.647,15.6251495307,20.2319267851
2005-04-08,JWN,2.100343,0.13998,0.201216,0.360623,1.574,0.067,0.5,19.034,1.05,4.186,6.508,19.7239670849,23.1250812413
2005-06-07,JWN,1.654474,0.104538,-0.044928,0.315695,1.44,0.063,0.39,20.653,1.223,4.683,6.932,23.4538396217,24.3252665619
2005-09-01,JWN,2.106438,0.148918,0.14718,0.462875,1.435,0.071,0.54,19.043,1.212,4.446,7.384,23.7819684701,27.0665868995
2005-11-30,JWN,1.66613,0.107453,-0.256932,0.205943,1.457,0.064,0.4,19.871,1.322,5.107,7.176,26.7761728769,29.6597585379
2006-03-24,JWN,2.295818,0.19043,0.256713,0.462656,1.352,0.083,0.71,19.581,1.398,5.159,7.757,29.4049496158,26.3435812414
2006-06-06,JWN,1.787223,0.131231,-0.20133,0.261326,1.36,0.073,0.49,16.696,1.229,4.758,7.583,26.5042128344,25.8369661852
2006-08-31,JWN,2.270468,0.178754,0.018871,0.430197,1.599,0.079,0.68,15.768,1.195,5.197,7.053,27.3529106297,35.4840680239
2006-12-05,JWN,1.872103,0.135673,-0.071482,0.208715,1.4,0.072,0.53,19.926,1.541,6.461,7.64,36.1886120839,39.0041911477
2007-03-23,JWN,2.630904,0.232341,0.193844,0.402559,1.223,0.088,0.9,20.303,1.608,6.348,8.438,39.320520876,37.9640039081
2007-06-08,JWN,1.953872,0.156797,0.342085,0.744644,1.514,0.08,0.61,18.97,1.529,5.755,8.991,39.0335163555,35.0156172903
2007-09-12,JWN,2.389498,0.18043,-0.56557,0.179033,1.92,0.076,0.72,16.255,1.296,6.015,7.593,34.7197523364,27.227503263
2007-12-06,JWN,1.970444,0.165724,-0.071161,0.107913,3.195,0.084,0.69,12.139,0.998,6.824,5.416,28.5565796426,26.2593588759
2008-03-21,JWN,2.514186,0.212049,0.249646,0.358,4.022,0.084,0.91,10.788,0.874,6.918,4.858,27.9891065361,25.1385160531
2008-06-10,JWN,1.879,0.119,-0.239,0.119,4.28,0.063,0.54,10.934,0.846,6.998,4.84,25.3257815183,25.7943751373
2008-09-10,JWN,2.287,0.143,-0.027,0.092,4.145,0.063,0.66,11.78,0.871,6.675,5.215,26.3366218556,10.1694351334
2008-12-09,JWN,1.805,0.071,-0.024,0.068,4.219,0.039,0.33,4.94,0.317,2.317,5.39,9.56493146485,11.1366711016
2009-03-23,JWN,2.602,0.068,0.004,0.072,3.679,0.026,0.31,8.507,0.398,2.819,5.61,12.2596316786,16.5052505259
2009-06-09,JWN,1.792,0.081,0.006,0.078,3.521,0.045,0.38,12.737,0.545,3.629,5.901,16.676936347,22.8998492615
2009-09-09,JWN,2.232,0.105,0.441,0.519,3.672,0.047,0.49,19.841,0.765,4.752,6.268,23.3471732533,27.7905361433
2009-12-08,JWN,1.963,0.083,-0.035,0.484,3.557,0.042,0.38,22.64,0.888,5.335,6.587,27.6565108626,32.0058265395
2010-03-22,JWN,2.64,0.172,0.311,0.795,3.185,0.065,0.79,20.413,1.043,5.727,7.221,32.6947198865,28.5137911394
2010-06-08,JWN,2.087,0.116,0.245,1.04,3.106,0.056,0.53,16.621,0.887,4.67,7.756,28.7446398114,26.1380046655
2010-09-08,JWN,2.515,0.146,0.097,1.137,3.031,0.058,0.67,13.99,0.786,3.996,8.257,26.4424939903,34.0821116348
2010-12-08,JWN,2.182,0.119,-0.091,1.046,2.945,0.055,0.54,16.574,0.973,4.899,8.543,33.6876800169,33.7334742071
2011-03-18,JWN,2.916,0.232,0.46,1.506,2.692,0.08,1.06,14.703,0.929,4.46,9.249,33.4421801146,34.6252145603
2011-06-08,JWN,2.323,0.145,-0.073,1.433,2.63,0.062,0.66,14.32,0.925,4.308,9.744,34.3080742672,35.8005191824
2011-09-07,JWN,2.81,0.175,-0.343,1.09,2.862,0.062,0.81,14.556,0.955,4.876,9.277,37.5496769689,38.9073540175
2011-12-07,JWN,2.478,0.127,0.367,1.457,3.398,0.051,0.6,14.533,0.937,5.205,8.99,38.7101883722,45.4519192697
