datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2011-02-03,KMI,,,,0.1966,5.556,,,,,,4.451,24.1123147752,23.6463763255
2011-03-02,KMI,1.9539,0.063,,0.5024,5.923,0.032,,-599.159,3.021,7.195,4.249,23.7395640154,21.8337766315
2011-05-06,KMI,2.0081,0.155,-0.3129,0.1895,6.122,0.077,0.12,,,6.872,29.821,21.8493833339,21.8613322154
2011-08-04,KMI,2.0335,0.1321,0.1649,0.3544,5.883,0.065,0.19,,,6.251,30.909,20.87552178,22.1637724278
2011-11-02,KMI,2.206,0.1515,-0.0805,0.2739,6.196,0.069,0.21,45.282,2.769,6.573,31.159,22.3549767909,25.9229808064
2012-02-23,KMI,2.0173,0.1558,0.1375,0.4114,6.671,0.077,0.22,43.681,3.141,7.819,23.786,25.9953689005,29.5557666684
2012-05-02,KMI,1.857,0.021,0.083,0.494,7.14,0.011,0.03,63.462,3.601,9.377,18.222,29.5151903825,28.4597559749
2012-08-14,KMI,2.167,-0.126,0.181,0.675,3.262,-0.058,-0.15,194.749,4.777,2.771,44.438,28.4925342714,26.6933188423
2012-11-14,KMI,2.87,0.2,0.1,0.775,3.263,0.07,0.19,138.886,3.909,2.462,23.382,26.5939640575,30.9968038651
2013-03-01,KMI,3.079,0.22,-0.061,0.714,3.18,0.071,0.24,122.505,3.869,2.783,30.076,31.1556760727,32.6910594702
2013-05-03,KMI,3.06,0.292,0.392,1.106,3.218,0.095,0.28,68.667,3.6,2.943,13.2,32.8008176761,32.1205201375
2013-08-05,KMI,3.382,0.277,-0.089,1.017,3.338,0.082,0.27,39.433,3.147,2.856,13.18,32.1205201375,30.8749435266
2013-10-30,KMI,3.756,0.286,-0.201,0.816,3.488,0.076,0.27,34.265,2.774,2.777,12.804,30.6851031807,28.8446311406
2014-02-24,KMI,3.872,0.338,-0.218,0.598,3.582,0.087,0.33,27.732,2.351,2.527,12.638,28.0324753138,28.8914670943
2014-05-01,KMI,4.047,0.287,-0.085,0.513,3.72,0.071,0.28,28.207,2.226,2.618,12.439,28.8383903024,33.3777863863
2014-07-31,KMI,3.937,0.284,-0.15,0.363,3.78,0.072,0.27,30.959,2.37,2.931,12.276,32.1965885839,35.0511499397
2014-10-29,KMI,4.291,0.329,0.109,0.472,3.854,0.077,0.32,31.835,2.441,3.142,12.203,34.6932112117,38.3162418156
2015-02-23,KMI,3.951,0.126,-0.157,0.315,1.431,0.032,0.02,87.257,5.517,2.627,29.97,38.4626616553,40.3661195721
2015-04-28,KMI,3.597,0.429,-0.056,0.259,1.45,0.119,0.2,80.192,5.937,2.674,16.361,39.9726162528,32.338956899
2015-07-24,KMI,3.463,0.333,-0.096,0.163,1.425,0.096,0.15,62.768,4.992,2.172,16.171,32.2464276947,27.9101977752
2015-10-23,KMI,3.707,0.186,0.016,0.179,1.403,0.05,0.08,60.733,4.432,1.837,16.121,27.4223556629,14.4148856915
2016-02-16,KMI,3.636,-0.695,0.05,0.229,1.387,-0.198,-0.33,153.555,2.42,0.993,15.755,15.0508365308,17.4982837003
2016-04-22,KMI,3.195,0.315,-0.054,0.175,1.384,0.086,0.12,546.43,2.888,1.149,15.783,17.4597412252,20.3295051257
2016-07-22,KMI,3.144,0.372,0.005,0.18,1.391,0.106,0.15,640.134,3.462,1.349,15.752,20.5915082944,20.6895135277
2016-10-21,KMI,3.33,-0.188,0.177,0.357,1.348,-0.068,-0.1,-139.012,3.542,1.362,15.518,20.6114030472,22.1101327622
2017-02-10,KMI,3.389,0.209,0.327,0.684,1.322,0.05,0.08,90.915,3.843,1.458,15.419,22.2089269211,20.4701497244
2017-04-21,KMI,3.424,0.44,-0.288,0.396,1.293,0.117,0.18,66.841,3.406,1.306,15.536,20.0255760094,20.5644234037
2017-07-24,KMI,3.368,0.376,0.056,0.452,1.252,0.1,0.15,66.669,3.36,1.292,15.762,20.2066084001,20.2
