datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2003-11-12,LKQ,0.083472462,0.003518773,,0.001519625,0.678,0.042,0.03,,,2.994,0.709,2.12375,2.12125
2004-03-24,LKQ,0.08422846,0.002997829,0.0145619,0.016081525,0.167,0.036,0.02,23.34,1.037,1.955,1.099,2.14875,2.28125
2004-05-12,LKQ,0.100072767,0.005634914,-0.012399584,0.003681941,0.364,0.056,0.04,,,1.954,1.161,2.26875,2.2375
2004-08-11,LKQ,0.104878203,0.005342742,-0.001719205,0.001962736,0.375,0.051,0.03,20.771,0.975,1.892,1.19,2.25125,2.19625
2004-11-12,LKQ,0.106045357,0.004562517,0.001119899,0.003082635,0.335,0.043,0.03,19.66,0.922,1.848,1.217,2.25,2.46125
2005-03-08,LKQ,0.113759646,0.005032714,-0.001470939,0.001611696,0.413,0.044,0.03,19.455,0.942,1.961,1.237,2.42625,2.7225
2005-05-06,LKQ,0.133807,0.008401,0.002118,0.004197,0.464,0.063,0.05,19.543,0.995,2.136,1.294,2.75,3.8025
2005-08-05,LKQ,0.136023,0.007627,-0.001415,0.002782,0.42,0.056,0.05,25.128,1.315,2.842,1.358,3.79125,3.7925
2005-09-13,LKQ,0.136023,0.007627,-0.001415,0.002782,0.42,0.056,0.05,24.946,1.305,2.821,1.334,3.76375,3.9625
2005-11-09,LKQ,0.13364,0.006603,0.001523,0.004305,0.416,0.049,0.04,29.698,1.588,3.454,1.4,4.07625,5.2925
2006-03-08,LKQ,0.143922,0.008256,-0.000665,0.003623,0.288,0.057,0.04,35.79,2.019,3.24,1.628,5.275,5.78
2006-05-09,LKQ,0.192139,0.012084,0.000372,0.003995,0.392,0.063,0.06,34.773,1.985,3.355,1.721,5.7,5.5575
2006-08-04,LKQ,0.195037,0.011662,0.000662,0.004207,0.436,0.06,0.06,30.343,1.762,3.131,1.771,5.5125,5.54
2006-11-03,LKQ,0.197659,0.010458,0.002149,0.006356,0.431,0.053,0.05,27.992,1.631,3.063,1.827,5.575,5.29
2007-02-28,LKQ,0.204546,0.01019,-0.002325,0.004031,0.407,0.05,0.05,26.082,1.467,2.886,1.881,5.43,5.84
2007-05-09,LKQ,0.235318,0.015794,0.00185,0.005881,0.455,0.067,0.07,26.262,1.517,3.024,1.959,5.905,7.19
2007-08-06,LKQ,0.233278,0.014016,0.002973,0.008854,0.477,0.06,0.07,32.308,1.872,3.728,2.043,7.59,9.8525
2007-11-09,LKQ,0.243495,0.014559,0.216486,0.22534,0.107,0.06,0.07,47.286,2.815,3.151,3.745,9.6875,10.88
2008-02-29,LKQ,0.414734,0.021532,-0.151099,0.074241,0.992,0.052,0.08,43.351,2.535,3.362,3.159,10.62,10.78
2008-05-09,LKQ,0.491908,0.030878,0.011169,0.08541,0.933,0.063,0.12,35.511,2.079,3.189,3.351,10.615,10.65
2008-08-07,LKQ,0.484392,0.030989,0.018652,0.104062,0.895,0.064,0.12,28.652,1.717,2.989,3.471,10.35,5.65
2008-11-07,LKQ,0.490701,0.025068,-0.006373,0.097689,0.823,0.051,0.09,14.538,0.838,1.555,3.712,5.64,5.995
2009-02-27,LKQ,0.4703,0.012964,-0.018622,0.079067,0.844,0.028,0.04,18.91,0.975,1.851,3.646,6.75,8.49
2009-05-01,LKQ,0.517989,0.032304,0.013743,0.09281,0.812,0.062,0.12,23.952,1.236,2.303,3.769,8.655,8.9
2009-08-04,LKQ,0.492754,0.028857,0.036658,0.129468,0.785,0.059,0.1,25.543,1.285,2.319,3.896,9.0,8.635
2009-11-02,LKQ,0.494812,0.029155,0.036537,0.166005,0.762,0.059,0.1,23.713,1.24,2.165,4.019,8.66,9.47
2010-02-26,LKQ,0.555905,0.037205,-0.057099,0.108906,0.713,0.067,0.14,21.377,1.331,2.311,4.143,9.575,10.59
2010-04-30,LKQ,0.603516,0.053936,0.08463,0.193536,0.694,0.089,0.19,20.178,1.402,2.417,4.379,10.535,9.865
2010-07-30,LKQ,0.584681,0.037906,-0.003059,0.190477,0.652,0.065,0.14,17.899,1.265,2.195,4.515,9.89,11.0
2010-10-29,LKQ,0.607621,0.035901,-0.021799,0.168678,0.65,0.059,0.13,19.044,1.336,2.35,4.666,10.875,11.9
2011-02-25,LKQ,0.674063,0.041328,-0.072989,0.095689,0.626,0.061,0.14,20.352,1.393,2.433,4.849,11.79875,12.6
2011-04-29,LKQ,0.786648,0.058182,-0.031172,0.064517,0.586,0.074,0.2,21.229,1.387,2.477,5.1,12.61,12.41
2011-07-29,LKQ,0.759684,0.046706,-0.022261,0.042256,0.574,0.061,0.16,19.755,1.272,2.343,5.262,12.285,14.945
2011-10-28,LKQ,0.783898,0.049231,0.002856,0.045112,0.607,0.063,0.17,22.191,1.444,2.746,5.398,14.795,16.185
2012-02-27,LKQ,0.939632,0.056145,0.003135,0.048247,0.946,0.06,0.19,22.202,1.428,2.839,5.582,15.85,16.74
2012-04-27,LKQ,1.031777,0.080991,0.006922,0.055169,0.868,0.078,0.28,21.467,1.423,2.867,5.919,16.97,17.765
2012-07-27,LKQ,1.006531,0.063998,0.004184,0.059353,0.889,0.064,0.21,21.195,1.411,2.926,6.122,17.91,20.05
2012-10-26,LKQ,1.016707,0.054048,0.009861,0.069214,0.855,0.053,0.18,24.18,1.545,3.267,6.354,20.76,21.19
2013-03-01,LKQ,1.067915,0.062188,-0.009444,0.05977,0.896,0.058,0.21,23.335,1.478,3.104,6.583,20.43,22.825
2013-04-26,LKQ,1.195997,0.084592,0.003227,0.062997,0.824,0.071,0.28,25.934,1.602,3.365,6.836,23.0,29.11
2013-08-02,LKQ,1.251748,0.075722,0.098593,0.16159,0.973,0.06,0.25,31.927,1.948,4.13,7.123,29.42,33.03
2013-11-01,LKQ,1.298094,0.073445,-0.054253,0.107337,0.935,0.057,0.24,32.871,2.021,4.316,7.498,32.36,27.89
2014-03-03,LKQ,1.316689,0.077864,0.043151,0.150488,0.922,0.059,0.26,26.877,1.654,3.563,7.8,27.79,29.12
2014-05-01,LKQ,1.625777,0.104653,-0.037242,0.113246,1.108,0.064,0.35,26.502,1.6,3.557,8.186,29.12,26.155
2014-08-01,LKQ,1.709132,0.104882,-0.003682,0.109564,1.113,0.061,0.35,21.447,1.301,2.974,8.599,25.57,26.86
2014-10-31,LKQ,1.721024,0.091515,0.135082,0.244646,1.075,0.053,0.3,22.849,1.359,3.245,8.803,28.57,24.575
2015-03-02,LKQ,1.684131,0.080469,-0.130041,0.114605,1.049,0.048,0.26,19.778,1.12,2.774,8.947,24.815,27.07
2015-05-01,LKQ,1.773912,0.107095,0.060887,0.175492,0.987,0.06,0.35,22.032,1.228,3.043,9.139,27.81,31.46
2015-08-03,LKQ,1.83807,0.119722,-0.032069,0.143423,0.907,0.065,0.39,23.978,1.363,3.237,9.688,31.36,29.94
