datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-09,LLL,0.56156,0.023336,0.029316,0.068333,1.411,0.042,0.31,29.634,1.313,2.432,15.132,26.8216160398,32.4404786634
2001-11-14,LLL,0.618164,0.033435,0.030138,0.098471,1.373,0.054,0.43,32.655,1.517,2.838,15.059,32.3265057907,44.1834836463
2002-03-19,LLL,0.705797,0.044529,0.262551,0.361022,1.69,0.063,0.59,38.84,1.91,3.694,16.211,43.0209603448,50.0910775474
2002-05-15,LLL,0.69684,0.029279,-0.315017,0.046005,2.385,0.042,0.37,39.275,1.986,4.049,16.051,49.0653216932,32.1327519071
2002-08-06,LLL,0.955189,0.03164,0.420113,0.466118,1.336,0.033,0.4,29.671,1.385,1.973,26.113,33.3180697831,33.8043540399
2002-11-14,LLL,1.053613,0.06176,-0.017942,0.448176,1.295,0.059,0.68,24.294,1.191,1.869,25.744,32.6722235045,27.254712956
2003-03-11,LLL,1.305587,0.055418,-0.31332,0.134856,1.347,0.042,0.6,19.203,0.853,1.553,23.288,27.254712956,33.9563178702
2003-05-13,LLL,1.089047,0.049737,-0.100464,0.034392,1.312,0.046,0.52,21.525,0.971,1.883,23.861,33.9943088277,36.5928903251
2003-08-08,LLL,1.226881,0.053379,0.272365,0.306757,1.397,0.044,0.56,20.915,0.986,1.962,24.549,36.3193554306,36.0154277701
2003-11-12,LLL,1.264611,0.076107,0.070509,0.377266,1.353,0.06,0.79,19.832,0.952,1.904,25.338,36.532104793,40.9370342701
2004-03-04,LLL,1.481055,0.098417,-0.24239,0.134876,1.492,0.066,1.02,20.154,1.106,2.173,26.58,40.434645973,46.4328577626
2004-05-10,LLL,1.521644,0.072008,0.070596,0.205472,1.226,0.047,0.69,21.137,1.154,2.144,28.281,45.5270364391,44.8858773267
2004-08-09,LLL,1.679985,0.088071,0.022493,0.227965,1.172,0.052,0.83,18.927,1.065,2.051,29.117,45.160362053,52.699688288
2004-11-09,LLL,1.784132,0.10249,0.139373,0.367338,1.161,0.057,0.96,21.9,1.222,2.467,29.948,52.4323710286,58.011768027
2005-03-15,LLL,1.911236,0.119311,0.286081,0.653419,1.027,0.062,1.06,22.918,1.269,2.303,35.236,57.6363617099,53.5835057555
