datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,LLY,3.0335,0.8277,-0.2595,2.9718,1.311,0.273,0.77,27.727,7.584,13.039,6.017,45.5998922304,45.6231396901
2001-11-13,LLY,2.8744,0.5701,-0.3255,2.6463,1.226,0.198,0.53,29.873,7.594,12.051,6.553,46.0590295598,44.3784700937
2002-03-28,LLY,2.8289,0.5754,0.056,0.0,1.313,0.203,0.54,30.809,7.42,12.057,6.32,44.6244315273,37.8956294506
2002-05-13,LLY,2.5611,0.6292,0.1786,2.8809,1.215,0.246,0.58,27.898,6.426,9.428,6.85,38.0010414935,33.1346956721
2002-08-14,LLY,2.7752,0.6585,0.1703,3.0512,1.265,0.237,0.61,26.891,5.927,8.446,6.895,34.4600834989,36.773595286
2002-11-12,LLY,2.7856,0.6839,-0.265,2.7862,1.29,0.246,0.64,27.077,6.298,8.348,7.354,36.3239101305,33.9730196424
2003-03-20,LLY,2.9556,0.7363,-0.8403,1.9459,1.302,0.249,0.68,23.478,5.739,7.684,7.37,33.8713398301,38.4947807074
2003-05-08,LLY,2.8894,0.407,0.2582,2.2041,1.251,0.141,0.38,28.887,6.295,8.227,7.768,38.2256282631,38.3662170565
2003-08-06,LLY,3.0882,0.6922,-0.1668,2.0373,1.309,0.224,0.64,28.044,6.029,8.135,7.737,37.843123359,39.3103362216
2003-11-12,LLY,3.1394,0.7144,0.8788,2.9161,1.193,0.228,0.66,29.148,6.157,7.836,8.447,40.2140568528,43.2986637613
2004-03-15,LLY,3.4655,0.7472,-0.1598,2.7563,1.22,0.216,0.7,30.717,6.252,8.056,8.65,42.5356110375,46.5523205757
2004-05-07,LLY,3.3769,0.4004,-0.3459,2.4104,1.122,0.119,0.37,33.409,6.529,8.082,9.348,46.1189066286,39.0417753295
2004-08-05,LLY,3.5563,0.6569,-0.0137,2.3967,1.169,0.185,0.61,27.563,5.128,6.613,9.287,37.6677992613,35.3584506533
2004-11-05,LLY,3.2804,0.7552,0.1807,2.5774,1.138,0.23,0.7,25.465,4.765,5.763,9.994,35.5311716265,35.8277684496
2005-03-08,LLY,3.6443,-0.0024,2.7879,5.3653,1.277,-0.001,0.0,35.507,4.638,5.886,9.64,35.4652404367,37.6654104461
2005-05-05,LLY,3.4974,0.7366,0.2424,5.6077,1.004,0.211,0.68,31.908,4.899,5.905,10.236,37.7779191398,35.2353960806
2005-08-03,LLY,3.6677,-0.252,-0.9653,4.6424,1.281,-0.069,-0.23,50.341,4.421,6.066,9.057,34.5622685354,31.6140358459
2005-11-03,LLY,3.6011,0.7944,0.3273,4.9697,1.179,0.221,0.73,44.66,3.956,5.009,10.015,31.7787582771,35.7549811897
2006-03-01,LLY,3.8791,0.7006,-1.963,3.0067,1.278,0.181,0.64,31.903,4.312,5.852,9.551,35.9285490595,33.6207392345
2006-05-02,LLY,3.7147,0.8348,-0.5484,2.4583,1.065,0.225,0.77,28.245,3.949,5.019,10.348,33.3828869684,36.6955856466
2006-08-04,LLY,3.8669,0.822,0.2114,2.6697,1.049,0.213,0.76,20.181,4.223,5.332,10.552,36.4558722517,36.7893915149
2006-11-03,LLY,3.8641,0.8736,-0.4998,2.1699,0.832,0.226,0.8,19.641,4.141,4.861,11.537,36.6001255305,35.1187636788
2007-02-28,LLY,4.2453,0.1323,0.9394,3.1093,0.999,0.031,0.12,22.398,3.801,5.431,9.683,34.847090224,39.2004916838
2007-05-03,LLY,4.2261,0.5087,-0.6179,2.4914,1.058,0.12,0.47,28.703,4.139,5.815,10.171,39.1872393201,36.1284104153
2007-08-06,LLY,4.631,0.6636,-0.2709,2.2205,1.081,0.143,0.61,29.276,3.759,5.516,10.191,37.5233555061,35.4163862477
2007-11-05,LLY,4.5868,0.9263,0.275,2.4955,0.929,0.202,0.85,26.521,3.345,4.57,11.414,35.0734518071,34.8451930418
2008-02-29,LLY,5.1896,0.8544,0.725,3.2205,0.96,0.165,0.78,19.259,3.052,4.162,12.018,34.2225909277,33.517887436
2008-05-06,LLY,4.8076,1.0643,-0.0751,3.1454,0.826,0.221,0.97,15.798,2.885,3.717,13.114,33.3536846807,33.0200604231
2008-08-06,LLY,5.1504,0.9588,-0.2771,2.8683,0.883,0.186,0.88,14.347,2.765,3.703,12.963,33.1651579893,23.5946283202
2008-11-03,LLY,5.2095,-0.4656,1.4853,4.3536,1.016,-0.089,-0.43,16.032,1.899,2.814,12.086,23.7271824119,22.2665289984
2009-02-27,LLY,5.2105,-3.6294,1.1431,5.4967,3.337,-0.697,-3.31,-16.293,1.657,5.012,5.862,21.0757288006,23.6151460898
