datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,LNT,0.611841,0.0233,-0.026055,0.133015,2.891,0.038,0.14,5.937,0.874,1.369,10.785,4.06842430926,4.08695079935
2001-11-14,LNT,0.666265,0.062285,0.003706,0.142493,3.108,0.093,0.4,12.672,0.849,1.422,10.107,4.07983067601,4.37602780711
2002-01-30,LNT,0.666265,0.069331,0.003706,0.142493,3.104,0.104,0.43,13.367,0.895,1.498,10.125,4.44815204611,4.41135396499
2002-03-27,LNT,0.646521,0.056111,-0.005924,0.130344,2.257,0.087,0.34,15.778,0.979,1.418,11.328,4.45845550882,4.2453449345
2002-05-15,LNT,0.636237,0.009743,-0.017743,0.120448,2.36,0.015,0.06,16.462,0.973,1.304,10.614,4.20876027439,3.03668984945
2002-08-09,LNT,0.615215,0.006315,0.004522,0.10555,2.635,0.01,0.04,12.751,0.669,0.934,10.138,3.02865627842,2.50103567433
2002-11-14,LNT,0.761419,0.04473,0.012408,0.116339,2.819,0.059,0.24,11.483,0.505,0.758,9.699,2.49592108195,2.8147839507
2003-03-26,LNT,0.595941,0.046093,-0.003715,0.073558,2.813,0.077,0.25,13.619,0.558,0.793,10.01,2.76203971677,3.24923682547
2003-05-15,LNT,0.89579,-0.000478,0.002876,0.074982,3.175,-0.001,-0.01,17.584,0.593,0.92,9.984,3.31252190554,3.78523572064
2003-08-14,LNT,0.646292,0.032154,0.001501,0.076427,2.862,0.05,0.17,18.474,0.781,1.184,10.276,3.80006524354,4.66895921189
2003-11-13,LNT,0.759552,0.103232,0.026357,0.103173,2.286,0.136,0.47,15.035,0.939,1.176,10.596,4.65381254778,4.97293278696
2004-03-11,LNT,0.826553,0.048635,0.148688,0.253699,2.279,0.059,0.22,15.611,0.916,1.208,10.699,4.97100230063,4.94610136558
2004-05-07,LNT,0.891006,0.034067,-0.045849,0.204885,2.246,0.038,0.15,12.37,0.864,1.127,10.764,4.76896283677,5.1258464373
2004-08-06,LNT,0.662138,-0.013083,-0.007307,0.197108,2.279,-0.02,-0.06,16.821,0.926,1.226,10.58,5.15192706497,5.51458065541
2004-11-05,LNT,0.730672,0.081792,-0.003825,0.190644,2.161,0.112,0.36,20.404,0.993,1.227,11.018,5.47160989705,5.53522604663
2005-03-04,LNT,0.783565,0.042724,0.078781,0.2758,2.231,0.055,0.18,21.544,1.059,1.224,11.077,5.62275597658,5.73557773586
2005-05-06,LNT,0.8384,0.0024,-0.0977,0.1706,2.202,0.003,0.01,27.454,1.037,1.23,10.945,5.71432698471,6.3440356336
2005-08-08,LNT,0.6999,-0.0587,0.1369,0.2603,2.328,-0.084,-0.25,48.557,1.085,1.364,10.44,6.15362801567,5.88053240496
2005-11-08,LNT,0.8742,0.1125,-0.1016,0.1524,2.086,0.129,0.48,31.356,0.971,1.214,10.955,5.85845833438,7.44867132007
2006-03-03,LNT,0.9068,-0.0639,0.0653,0.2247,2.169,-0.07,-0.28,-503.392,1.182,1.588,10.434,7.44416925219,7.44236387092
2006-05-05,LNT,0.9309,-0.0016,-0.1548,0.1008,1.798,-0.002,-0.01,-329.513,1.13,1.554,10.598,7.52031839082,8.55497477372
2006-08-04,LNT,0.6968,0.0454,0.0905,0.1573,1.748,0.065,0.2,45.918,1.245,1.7,10.635,8.39421952879,9.04400165957
2006-11-03,LNT,0.8904,0.0788,-0.0211,0.1329,1.806,0.088,0.34,76.834,1.317,1.82,10.581,9.18586835227,10.0610961089
2007-03-01,LNT,0.8413,0.1931,0.1453,0.2689,1.672,0.23,0.83,15.577,1.464,1.855,11.443,10.1789807836,10.9287185049
