datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-17,LRCX,1.69168,-0.131869,0.030901,0.282459,1.628,-0.078,-1.07,49.264,0.845,3.603,5.729,19.5084103239,20.4373822441
2001-11-05,LRCX,0.33958,-0.00892,-0.12666,0.155799,1.461,-0.026,-0.07,-119.136,0.926,3.862,5.637,20.8300404784,21.7781664588
2002-02-13,LRCX,0.259173,-0.051655,0.005879,0.161678,1.393,-0.199,-0.41,-20.449,1.116,4.437,5.428,23.0327574026,26.0495218856
2002-05-15,LRCX,0.164105,0.001569,0.029207,0.201183,1.33,0.01,0.01,-17.943,1.395,4.916,5.496,25.7430569223,11.2051252229
2002-09-12,LRCX,0.180256,-0.031045,0.042346,0.243414,1.418,-0.172,-0.24,-15.432,1.473,2.059,5.288,10.6305034166,11.4828590959
2002-11-13,LRCX,0.19752,-0.013714,-0.003001,0.231337,1.045,-0.069,-0.11,-15.809,1.872,2.425,4.872,11.4541280056,12.038326842
2003-02-11,LRCX,0.184569,0.001479,-0.010053,0.221284,0.982,0.008,0.01,-37.387,2.147,2.504,4.966,11.85636327,15.7829456131
2003-05-14,LRCX,0.187059,0.000797,-0.062971,0.215844,0.899,0.004,0.01,-49.614,2.813,3.348,4.997,15.9170240345,21.9601300308
2003-09-25,LRCX,0.186086,0.003699,0.070937,0.285811,0.846,0.02,0.03,-379.474,3.889,4.524,5.116,21.7111272481,29.458944603
2003-11-10,LRCX,0.183738,0.004786,-0.080683,0.205128,0.781,0.026,0.04,365.123,5.299,5.802,5.276,28.8364376462,26.260216548
2004-02-09,LRCX,0.191508,0.006391,0.042551,0.247679,0.742,0.033,0.05,231.817,4.855,5.073,5.467,26.1261381265,21.155659502
2004-05-05,LRCX,0.231128,0.019156,0.179868,0.427547,0.833,0.083,0.14,87.577,3.761,3.986,5.611,21.2993149536,20.3416119431
2004-09-10,LRCX,0.329572,0.052655,-0.145676,0.275871,0.475,0.16,0.4,36.187,3.209,3.696,6.044,21.2226987127,24.6129673699
2004-11-04,LRCX,0.419549,0.08975,0.029326,0.305197,0.433,0.214,0.66,20.596,2.952,3.782,6.751,24.3065024065,26.1069840663
2005-02-03,LRCX,0.3798,0.083614,0.133444,0.438641,0.353,0.22,0.61,15.579,2.808,3.708,7.505,26.1931773372,25.5515163202
2005-05-05,LRCX,0.349337,0.059451,0.110289,0.54893,0.343,0.17,0.42,12.915,2.494,3.338,7.89,25.4749000793,28.0990063281
2005-08-18,LRCX,0.353767,0.066526,0.045788,0.567288,0.358,0.188,0.48,13.361,2.662,3.749,7.719,28.0702752378,31.5658912261
2005-10-31,LRCX,0.320907,0.049491,0.032568,0.599856,0.346,0.154,0.36,17.71,3.269,4.334,7.758,32.3128995743,44.3608034464
2006-01-30,LRCX,0.358245,0.077778,0.118964,0.71882,0.386,0.217,0.57,25.881,4.742,5.74,8.36,44.8779630721,46.8125231533
2006-05-01,LRCX,0.437423,0.086337,0.124063,0.842883,0.414,0.197,0.62,24.268,4.624,5.527,8.777,46.2953635276,40.1660642604
2006-08-17,LRCX,0.525596,0.122149,0.15297,1.380853,0.657,0.232,0.87,17.403,3.558,4.185,9.887,39.4477870026,46.6784447318
2006-10-30,LRCX,0.604387,0.183518,0.120533,1.501386,0.585,0.304,1.29,15.141,3.694,4.448,11.268,47.8085342842,45.0311955538
2007-01-30,LRCX,0.6334,0.167326,-0.402231,1.044155,0.54,0.264,1.18,11.753,2.987,3.777,12.231,44.408688597,52.1565059519
2007-04-30,LRCX,0.65027,0.164741,-0.13431,0.854845,0.521,0.253,1.17,11.391,3.01,4.233,12.221,51.5052679048,36.1341345862
2008-03-31,LRCX,0.61032,0.115059,-0.017113,1.179421,0.58,0.189,0.92,7.967,1.818,3.079,12.424,36.6034090614,38.4134677512
2008-05-09,LRCX,0.61381,0.103524,-0.223702,0.722194,0.674,0.169,0.83,9.324,1.937,3.011,13.337,38.394313691,36.114980526
2008-08-28,LRCX,0.56616,0.072178,0.180184,0.878609,0.575,0.127,0.57,10.903,1.935,2.693,14.222,36.5746779711,19.9585307389
2008-11-07,LRCX,0.440361,0.008873,0.012895,0.90158,0.522,0.02,0.07,8.774,1.179,1.493,14.027,20.150071341,20.0255699496
2009-02-06,LRCX,0.283409,-0.024172,-0.092519,0.821318,0.475,-0.085,-0.19,17.045,1.436,1.588,13.76,20.8587715687,25.5994014707
2009-05-08,LRCX,0.174412,-0.198359,-0.278265,0.557925,0.353,-1.137,-1.58,-22.87,2.21,2.152,11.972,24.5171970688,29.3727513321
2009-08-27,LRCX,0.217764,-0.08849,-0.000481,0.552606,0.343,-0.406,-0.71,-12.842,3.477,2.67,11.507,29.3440202418,32.648095628
2009-11-06,LRCX,0.318548,0.016797,-0.013004,0.546173,0.327,0.053,0.13,-14.765,4.37,2.889,11.862,32.6959807785,30.8859220887
2010-02-05,LRCX,0.487176,0.069574,0.069003,0.615079,0.379,0.143,0.55,-21.241,3.555,2.687,12.45,31.8819332196,38.212350119
2010-05-05,LRCX,0.632763,0.120301,0.031203,0.626653,0.413,0.19,0.94,41.681,2.974,2.996,12.917,37.2833781988,36.5076387603
2010-08-23,LRCX,0.695289,0.139997,0.084398,0.711001,0.407,0.201,1.1,13.4,2.177,2.627,13.994,35.8276696229,44.0351844229
2010-11-03,LRCX,0.805874,0.193724,0.082514,0.793525,0.406,0.24,1.57,10.971,2.192,3.045,15.256,44.7343076205,49.4629662349
2011-02-03,LRCX,0.870714,0.221856,0.100779,0.894304,0.407,0.255,1.8,9.429,2.121,3.057,16.936,49.3983212817,46.055937775
2011-05-03,LRCX,0.809087,0.18224,0.21365,1.107958,0.355,0.225,1.47,7.922,1.837,2.516,18.785,44.964156343,34.6113867995
2011-08-19,LRCX,0.752018,0.125928,0.549422,1.657388,0.643,0.167,1.02,6.156,1.376,1.804,19.971,34.4677313479,40.7023779463
2011-11-03,LRCX,0.680436,0.071838,-0.152814,1.504557,0.632,0.106,0.58,8.686,1.68,2.188,19.409,41.8803526492,42.6273609974
2012-02-03,LRCX,0.583981,0.033212,0.16761,1.672145,0.615,0.057,0.28,12.821,1.875,2.151,20.568,42.3208960341,40.213949411
2012-05-03,LRCX,0.658961,0.045604,-0.096661,1.575487,0.607,0.069,0.38,17.906,1.851,1.898,21.772,39.4382099725,33.6345297288
2012-08-22,LRCX,0.741814,0.018069,0.154485,1.731087,0.523,0.024,0.11,37.807,2.393,1.243,38.299,33.5100283374,33.9026865718
2012-11-01,LRCX,0.906888,0.002768,-0.153286,1.577662,0.541,0.003,0.02,63.48,2.188,1.262,27.854,35.3583951477,39.8787533573
2013-01-31,LRCX,0.860886,0.006408,-0.221277,1.356355,0.568,0.007,0.04,91.682,2.108,1.422,27.514,39.399901852,44.8300779216
2013-05-09,LRCX,0.844928,0.018996,-0.17108,1.185305,0.573,0.022,0.12,166.197,2.291,1.692,27.86,45.232313186,45.8653548759
2013-08-27,LRCX,0.986214,0.085707,0.143364,1.329009,0.574,0.087,0.51,66.461,2.103,1.686,27.593,44.4278426572,51.7925788079
2013-11-07,LRCX,1.015059,0.085506,-0.006289,1.322569,0.569,0.084,0.52,43.023,2.282,1.868,27.792,49.886749817,47.8372653746
2014-02-06,LRCX,1.116061,0.148992,-0.023629,1.29895,0.58,0.133,0.92,24.428,2.091,1.776,28.749,48.8907386861,54.4549931771
2014-05-08,LRCX,1.227392,0.164396,0.159746,1.436215,0.565,0.134,1.01,19.043,2.124,1.92,29.631,54.5124553577,68.9341728007
2014-08-26,LRCX,1.248797,0.233395,0.160376,1.599169,0.553,0.187,1.38,18.197,2.497,2.288,29.031,68.1754935514,74.9601586738
2014-11-03,LRCX,1.152368,0.141081,-0.158999,1.443161,0.577,0.122,0.87,18.289,2.651,2.572,30.248,76.1924859677,73.9661347462
2015-02-03,LRCX,1.232241,0.17694,-0.312403,1.13673,0.586,0.144,1.11,17.278,2.544,2.473,31.4,74.9020485305,73.8601889131
2015-04-30,LRCX,1.393333,0.206285,0.654361,1.799936,0.777,0.148,1.3,15.793,2.381,2.348,32.059,73.0865812785,70.4706646844
2015-08-13,LRCX,1.48137,0.131271,-0.134097,1.672508,0.788,0.089,0.83,17.376,2.166,2.232,32.178,69.8883427065,74.6628611309
