datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2010-04-28,LYB,,,,0.558,-4.078,,,,,,,14.7385447409,11.3017840809
2010-06-29,LYB,,,,0.558,-4.078,,,,,,,10.8864250927,11.2414900342
2010-07-26,LYB,,,,0.558,-4.078,,,,,,,11.8243324853,13.3517816676
2010-08-26,LYB,,,,0.558,-4.078,,,,,,,13.3986770372,15.475471978
2010-09-28,LYB,,,,0.558,-4.078,,,,,,,15.7065991569,19.0529187469
2010-11-10,LYB,10.302,0.474,,4.832,1.386,0.046,0.84,,,1.473,19.237,18.9859253617,26.120720884
2011-03-18,LYB,10.61,0.771,-0.61,4.222,1.205,0.073,1.34,,,1.89,20.316,25.7254599114,28.7576448579
2011-05-05,LYB,12.252,0.663,0.161,4.383,1.202,0.054,1.16,,,1.867,22.308,27.9653492489,22.761712834
2011-08-15,LYB,14.042,0.804,0.304,4.937,1.094,0.057,1.41,7.153,0.411,1.429,23.757,22.9228577036,22.19343265
2011-11-01,LYB,13.297,0.895,0.922,5.901,1.011,0.067,1.56,5.918,0.369,1.322,24.288,21.6868874739,34.4589110789
2012-02-29,LYB,11.444,-0.215,-4.544,1.118,1.151,-0.019,-0.38,11.538,0.485,2.339,18.464,33.8167222816,36.0233571546
2012-04-30,LYB,11.879,0.6,0.605,1.679,1.083,0.051,1.04,11.52,0.474,2.123,19.682,32.9117835539,32.5672580666
2012-07-27,LYB,11.248,0.77,0.28,1.964,1.044,0.068,1.34,12.484,0.535,2.227,19.988,35.4417764436,42.8700368018
2012-10-26,LYB,11.273,0.846,1.577,3.546,1.035,0.075,1.47,15.45,0.674,2.511,21.405,43.1510201891,51.9735272877
2013-02-12,LYB,11.097,0.632,-0.795,2.737,1.171,0.057,1.12,12.223,0.768,3.125,19.362,51.9477723188,52.6624459155
2013-04-26,LYB,10.669,0.901,0.147,2.885,1.116,0.084,1.56,10.991,0.782,2.973,20.227,51.9881729704,59.2663724335
2013-07-26,LYB,11.103,0.929,0.354,3.235,1.079,0.084,1.62,11.555,0.866,3.177,21.215,58.7002718886,66.2090771523
2013-10-29,LYB,11.152,0.853,1.181,4.418,1.255,0.076,1.51,12.619,0.95,3.523,21.448,66.2529184164,74.4690419473
2014-02-20,LYB,11.138,1.174,0.036,4.46,1.185,0.105,2.11,12.158,1.064,3.758,22.83,75.8121001315,81.3422091949
2014-04-29,LYB,11.135,0.945,-1.748,2.705,1.357,0.085,1.73,12.296,1.077,4.068,22.361,81.5483884777,91.8125310309
2014-07-25,LYB,12.117,1.178,-0.672,2.032,1.476,0.097,2.25,13.27,1.209,5.121,20.988,96.3574395676,85.0874895118
2014-10-24,LYB,12.066,1.258,-0.845,1.185,1.601,0.104,2.46,10.155,0.996,4.699,19.66,83.3375718859,81.8011361738
2015-02-17,LYB,10.29,0.793,-0.154,1.033,1.917,0.077,1.62,10.281,0.941,5.162,17.425,81.7556860481,89.4070405004
2015-04-24,LYB,8.185,1.166,0.585,1.618,2.206,0.142,2.42,10.858,1.119,6.382,15.8,92.3943004371,82.9658713333
2015-07-28,LYB,9.145,1.33,-0.291,1.328,2.101,0.145,2.82,9.473,1.085,5.434,17.015,85.3758983136,88.1170517996
2015-10-23,LYB,8.334,1.185,0.149,1.475,2.263,0.142,2.56,9.459,1.177,5.775,16.305,87.7907268802,71.8851384749
2016-02-16,LYB,7.071,0.795,-0.55,0.931,2.471,0.112,1.82,7.525,1.029,5.142,15.155,73.2671833815,86.1143832359
2016-04-22,LYB,6.743,1.03,0.394,1.322,2.712,0.153,2.38,8.869,1.23,6.067,14.867,85.6491053906,75.8260408544
2016-07-29,LYB,7.328,1.091,-0.258,1.064,2.726,0.149,2.57,7.629,1.061,4.98,15.113,72.2180186624,77.1959542489
2016-11-01,LYB,7.365,0.952,-0.32,0.744,2.846,0.129,2.3,8.24,1.118,5.24,14.924,75.8956075651,90.8292547131
2017-02-17,LYB,7.747,0.763,0.135,0.878,2.872,0.098,1.9,9.75,1.282,6.184,15.025,91.0448382284,86.4540331492
2017-04-28,LYB,8.43,0.797,-0.39,0.486,2.674,0.095,1.98,9.476,1.106,5.283,16.043,83.8234254144,86.53
2017-07-28,LYB,8.403,1.131,0.252,0.74,2.512,0.135,2.82,9.401,1.072,4.988,17.347,89.89,88.78
