datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,MAA,0.058107,0.004602,-0.00811,0.024653,2.015,0.01,0.06,87.777,1.99,1.106,23.623,10.7074246155,10.9138603177
2001-11-14,MAA,0.057177,0.01309,-0.000107,0.025047,2.048,0.158,0.53,35.586,1.968,1.119,23.099,11.0813693898,11.484023058
2002-04-01,MAA,0.056144,0.006145,0.001546,0.023432,2.075,0.038,0.08,35.975,1.985,1.144,22.714,11.3742331626,11.625564647
2002-05-15,MAA,0.055956,0.0043,0.000329,0.02101,2.094,0.005,0.02,37.477,1.982,1.154,22.368,11.5626994848,11.0566733392
2002-08-14,MAA,0.056863,0.00497,0.003582,0.025344,2.236,0.017,0.06,34.651,1.899,1.151,21.328,11.1945944203,12.02128299
2002-11-14,MAA,0.058194,0.003797,-0.001925,0.024231,2.508,-0.004,-0.01,145.068,1.979,1.272,20.099,12.1757113544,11.7934810193
2003-03-31,MAA,0.062126,0.003074,-0.003584,0.018057,2.566,-0.047,-0.17,-219.676,1.818,1.253,19.094,11.7193081827,13.6083814739
2003-05-15,MAA,0.057759,0.004326,-0.004835,0.012505,2.707,0.007,0.02,-268.248,2.055,1.474,18.45,13.6488524968,14.7416550275
2003-08-08,MAA,0.058159,0.005105,0.012008,0.024912,2.875,0.02,0.07,-331.874,2.193,1.641,17.709,14.86041442,16.9932888515
2003-11-10,MAA,0.060337,0.00647,-0.012191,0.01594,2.763,-0.051,-0.17,-142.714,2.629,1.768,19.368,16.8880672487,19.2740193906
2004-03-12,MAA,0.064477,0.004305,0.004576,0.02088,2.804,0.004,0.01,-610.624,3.042,2.028,18.421,19.5255825429,18.0053393879
2004-05-07,MAA,0.066488,0.005055,-0.001852,0.017662,2.93,0.02,0.07,-2590.096,2.616,1.84,17.702,17.4658331532,20.5827278473
2004-08-05,MAA,0.066876,0.004992,0.030607,0.045472,2.943,0.019,0.06,-5050.206,2.856,2.034,17.877,20.0017637549,22.3267913366
2004-11-04,MAA,0.067527,0.003131,-0.029501,0.015897,3.085,-0.009,-0.03,352.666,3.11,2.36,17.195,22.4728282108,21.3650635201
