datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,MET,7.811,0.32,0.543,4.748,14.134,0.041,0.43,14.986,0.644,1.286,22.893,21.6148323834,20.2659337357
2001-11-13,MET,7.97,0.162,-0.303,4.445,13.816,0.02,0.22,14.762,0.57,1.186,23.356,20.4803489413,23.1198740575
2002-03-18,MET,8.176,-0.296,3.028,7.473,14.916,-0.036,-0.39,46.096,0.683,1.357,22.667,22.7501926687,23.7705133019
2002-05-14,MET,8.002,0.329,-3.449,4.024,15.805,0.041,0.46,44.175,0.712,1.485,21.717,23.8444495796,19.3343366359
2002-08-14,MET,8.272,0.387,-0.461,3.563,15.103,0.047,0.55,32.332,0.58,1.166,23.001,19.8223160691,19.8221411542
2002-11-14,MET,8.124,0.328,0.084,3.647,14.616,0.04,0.47,25.203,0.579,1.104,24.386,20.0606030026,19.5017080453
2003-03-19,MET,8.801,0.561,-1.324,2.323,14.883,0.064,0.8,11.889,0.576,1.098,24.826,20.3065167839,20.1202184648
2003-05-14,MET,8.377,0.362,2.615,4.938,14.887,0.043,0.4,11.498,0.561,1.044,25.756,20.0382472044,21.5733453539
2003-08-13,MET,8.878,0.58,0.776,5.714,14.01,0.065,0.79,11.936,0.639,1.06,27.13,21.4243066986,23.4371560046
2003-11-07,MET,8.816,0.574,-0.342,5.372,14.067,0.065,0.74,11.309,0.674,1.124,27.501,23.1969289091,26.7778140514
2004-03-05,MET,9.746,0.701,-1.639,3.733,14.454,0.072,0.68,12.072,0.748,1.265,27.982,26.5826295363,25.9670476041
2004-05-05,MET,9.503,0.523,-0.587,3.146,14.14,0.055,0.87,10.829,0.697,1.156,29.468,25.5766785739,27.1756901783
2004-08-03,MET,9.579,0.947,1.313,4.459,14.867,0.099,1.13,9.794,0.714,1.261,28.416,26.9054346959,29.9107849118
2004-11-05,MET,10.048,0.695,-0.828,3.592,14.068,0.069,0.93,10.225,0.754,1.275,30.866,29.9107849118,31.1187642872
2005-03-07,MET,10.053,0.511,0.475,4.051,14.633,0.051,0.68,10.805,0.764,1.306,31.141,30.8908436503,32.6382351997
2005-05-06,MET,10.294,0.987,-0.181,3.925,14.742,0.096,1.09,10.171,0.799,1.386,31.416,33.0864791188,36.9231431728
2005-08-03,MET,10.949,2.245,9.684,13.609,12.54,0.205,3.05,8.378,0.899,1.32,37.239,37.3409976737,38.4209301911
2005-11-09,MET,12.012,0.773,-6.659,6.95,15.79,0.062,0.98,8.429,0.873,1.315,37.974,38.3211355672,39.0043449153
2006-02-28,MET,11.546,0.709,-2.932,4.018,15.551,0.059,0.88,8.168,0.848,1.305,38.394,38.4746657578,40.2939985161
2006-05-09,MET,11.585,0.747,1.126,5.144,16.471,0.062,0.94,9.026,0.857,1.383,37.656,39.9869381349,40.2556159685
2006-08-08,MET,11.409,0.65,-1.018,4.126,17.074,0.054,0.81,14.481,0.855,1.439,36.451,40.2556159685,44.7899123547
2006-11-08,MET,12.551,1.033,1.798,5.924,15.33,0.08,1.31,14.514,0.927,1.381,41.579,44.5262141694,48.9858158324
2007-03-01,MET,12.893,3.863,1.183,7.107,14.614,0.297,5.03,7.723,0.983,1.407,44.904,49.0168391483,52.840462835
2007-05-04,MET,12.912,1.017,-0.562,6.545,14.786,0.076,1.31,7.909,1.022,1.492,45.939,53.1662076522,49.4046305973
2007-08-03,MET,13.219,1.163,-0.041,6.504,15.467,0.085,1.52,6.528,0.878,1.35,45.169,47.3028009439,50.2034809821
2007-11-05,MET,13.055,1.019,2.123,8.627,15.206,0.075,1.32,6.938,0.923,1.383,46.916,50.9017322413,48.2107189616
2008-02-28,MET,13.821,1.118,1.741,10.368,14.878,0.078,1.47,10.225,0.806,1.215,49.606,47.2849476292,47.3634028269
2008-05-09,MET,13.027,0.648,0.506,10.874,15.883,0.047,0.85,11.195,0.803,1.293,46.457,47.1358827536,39.8473948911
2008-08-04,MET,13.715,0.946,2.941,13.815,16.08,0.067,1.28,9.978,0.67,1.103,45.847,39.682638976,25.874524188
2008-11-07,MET,13.378,0.63,6.394,20.209,17.73,0.045,0.84,8.482,0.505,0.979,35.072,27.5598995228,14.8152517528
2009-03-02,MET,13.885,0.985,4.03,24.207,20.138,0.069,1.22,4.38,0.265,0.569,29.012,13.2502603705,25.9628057532
2009-05-07,MET,10.216,-0.544,-4.815,19.424,20.25,-0.056,-0.71,13.714,0.508,1.125,28.234,25.4812699432,28.6192783047
2009-08-04,MET,8.266,-1.402,-6.211,13.213,17.655,-0.173,-1.74,-66.377,0.657,1.102,33.339,29.4780171658,26.8536470016
2009-11-04,MET,10.238,-0.62,2.349,15.562,14.608,-0.063,-0.79,-16.078,0.643,0.799,41.852,26.8375958079,29.3932914551
2010-02-26,MET,12.341,0.32,-5.45,10.112,15.272,0.023,0.36,-12.588,0.726,0.9,40.435,29.8443603809,36.4791742166
2010-05-05,MET,13.19,0.835,-0.91,9.202,14.783,0.061,0.98,-36.397,0.817,1.005,43.664,35.9953002781,34.4944709432
2010-08-02,MET,14.246,1.557,1.5,10.702,13.567,0.107,1.85,17.796,0.701,0.89,47.993,35.0439549073,33.903980713
2010-11-04,MET,12.444,0.316,3.855,14.557,12.291,0.023,0.33,14.545,0.809,0.911,47.11,35.1833762116,38.5724768875
2011-02-25,MET,12.837,0.082,-1.511,13.046,14.021,0.004,-0.09,17.299,0.875,0.949,49.286,39.039819749,37.2038299361
2011-05-10,MET,15.912,1.006,-2.238,10.692,14.072,0.052,0.78,17.769,0.863,0.961,47.128,37.7796631047,30.7945564074
2011-08-05,MET,17.15,1.237,-1.135,9.628,13.462,0.07,1.14,16.199,0.659,0.721,50.411,30.3355589542,29.1672018005
2011-11-04,MET,20.458,3.582,0.379,10.001,12.003,0.174,3.35,6.521,0.554,0.609,57.059,29.0169844522,32.4657244076
2012-02-28,MET,16.745,1.156,0.409,10.461,12.364,0.067,1.06,6.048,0.578,0.679,56.395,32.6533382602,29.4639027655
2012-05-08,MET,15.916,-0.144,8.206,18.667,12.963,-0.011,-0.16,6.407,0.521,0.623,55.24,29.3700958392,28.5258335023
2012-08-07,MET,18.398,2.295,-2.632,16.035,12.216,0.123,2.13,5.386,0.51,0.584,58.749,29.2592331081,29.8732420803
2012-11-07,MET,16.503,-0.954,0.915,16.95,12.205,-0.06,-0.92,15.938,0.526,0.555,58.704,28.4234986736,30.5543655526
2013-02-27,MET,17.333,0.127,-1.212,15.738,11.975,0.006,0.08,32.48,0.573,0.606,58.937,31.2906153249,35.7168788373
2013-05-07,MET,17.683,0.986,-5.755,9.983,12.051,0.054,0.87,19.149,0.639,0.693,58.858,35.9842076237,43.7493137318
2013-08-07,MET,15.721,0.502,-0.799,9.184,12.585,0.03,0.43,100.758,0.808,0.905,54.69,43.921381424,42.7989461209
2013-11-07,MET,16.337,0.972,2.192,11.376,12.495,0.058,0.85,21.643,0.795,0.876,54.348,42.4687624248,44.8493017811
2014-02-27,MET,18.458,0.908,-3.791,7.585,13.359,0.048,0.79,17.49,0.832,0.922,54.785,45.3519155293,45.2801135653
2014-05-08,MET,17.085,1.328,0.988,8.573,12.538,0.076,1.15,16.187,0.859,0.883,58.422,46.6358055882,46.4806198331
2014-08-08,MET,18.266,1.366,-1.18,7.393,12.083,0.073,1.18,13.061,0.829,0.836,61.874,47.0447933706,49.856561485
2014-11-06,MET,18.846,2.094,1.39,8.783,11.824,0.11,1.83,11.047,0.847,0.87,62.326,49.6367676798,47.0690439388
2015-02-27,MET,19.119,1.521,2.025,10.808,11.515,0.078,1.31,9.18,0.775,0.788,64.48,46.884567968,48.3742114319
2015-05-08,MET,18.71,2.158,-2.681,8.127,11.46,0.114,1.89,8.309,0.778,0.79,66.113,48.541435516,51.9184329916
2015-08-06,MET,16.166,1.115,-0.053,8.074,11.941,0.064,0.93,9.22,0.851,0.894,62.117,51.9184329916,47.5739703498
2015-11-05,MET,18.031,1.203,2.142,10.216,11.509,0.066,1.07,9.471,0.77,0.787,63.423,47.0180455626,36.6577709873
