datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,MLM,0.477409,0.039002,-0.235397,0.0,1.367,0.082,0.82,21.58,1.263,2.218,19.85,34.1738231751,34.0814353373
2001-11-14,MLM,0.499697,0.045917,-0.002809,0.0,1.261,0.092,0.95,21.611,1.227,2.182,20.669,35.5450067248,33.0055942887
2002-03-27,MLM,0.440113,0.025095,0.005051,0.001379,1.176,0.057,0.52,18.979,1.164,1.956,21.073,32.7906000677,32.7428235742
2002-05-15,MLM,0.331828,-0.010549,0.009758,0.011137,1.228,-0.032,-0.22,20.122,1.144,1.994,20.671,32.8065255656,28.5183438242
2002-08-14,MLM,0.475374,0.053362,-0.006381,0.004756,1.171,0.112,1.1,15.415,1.004,1.655,21.769,28.7181080707,22.7360982737
2002-11-14,MLM,0.484412,0.038925,0.001321,0.006077,1.127,0.08,0.8,13.367,0.825,1.308,22.363,23.4661564752,22.0140464966
2003-03-27,MLM,0.400823,0.004567,-0.006381,0.0,1.085,0.011,0.09,15.276,0.779,1.217,22.179,21.876256073,25.9937581423
2003-05-15,MLM,0.324157,-0.020892,0.00453,0.004226,1.169,-0.064,-0.43,20.748,0.935,1.507,21.398,26.1234432469,30.3430258981
2003-08-14,MLM,0.471887,0.03965,0.002681,0.006907,1.124,0.084,0.81,29.651,1.098,1.7,22.207,30.7422762388,34.5307891117
2003-11-13,MLM,0.511859,0.04552,0.046667,0.053574,1.076,0.089,0.93,30.057,1.211,1.843,22.954,34.6208409562,38.002826162
2004-03-15,MLM,0.416189,0.029345,0.056757,0.125133,1.062,0.071,0.6,23.426,1.282,1.941,23.105,37.6067054984,35.8076574847
2004-05-06,MLM,0.351097,-0.006545,-0.072353,0.05278,1.077,-0.019,-0.14,19.432,1.198,1.924,22.567,35.9149401644,34.8062246624
2004-08-09,MLM,0.470603,0.044715,0.033022,0.085802,1.05,0.095,0.93,17.816,1.151,1.785,23.399,34.6073319501,40.6382666649
2004-11-09,MLM,0.506181,0.054003,0.049675,0.135477,1.046,0.107,1.12,19.483,1.357,2.028,24.214,41.0378235678,47.7295606031
2005-02-25,MLM,0.435679,0.03699,0.026143,0.16162,1.042,0.085,0.77,20.95,1.538,2.346,24.126,48.1140046212,47.7785400605
2005-05-04,MLM,0.392003,0.007077,-0.058523,0.103097,1.105,0.018,0.15,18.881,1.494,2.41,23.768,48.5081754801,61.159746033
2005-08-03,MLM,0.546371,0.061472,-0.021687,0.08141,1.114,0.113,1.32,20.789,1.764,2.913,24.447,60.2678856561,66.6229185226
2005-11-01,MLM,0.566734,0.07636,0.030173,0.111583,1.06,0.135,1.65,19.384,1.817,2.934,25.924,64.2082493175,83.4966657945
2006-02-27,MLM,0.499135,0.047757,-0.034838,0.076745,1.073,0.096,1.03,23.396,2.249,3.841,25.412,83.5982947619,91.7136450658
2006-05-02,MLM,0.483964,0.031006,-0.045592,0.031153,1.051,0.064,0.68,22.341,2.308,4.077,25.945,89.8291181124,68.5262648557
2006-08-01,MLM,0.588641,0.07579,-0.010767,0.020386,1.052,0.129,1.66,15.237,1.645,2.886,26.702,66.0497195163,75.5609601307
2006-10-31,MLM,0.604107,0.07616,0.002443,0.022829,1.007,0.126,1.68,17.219,1.826,3.148,27.876,75.1425527348,107.744703753
2007-02-28,MLM,0.529744,0.062466,0.009453,0.032282,0.999,0.118,1.38,23.006,2.559,4.503,27.786,107.547321978,127.182517692
2007-05-09,MLM,0.462186,0.03299,-0.014174,0.018108,1.558,0.071,0.74,25.493,2.887,6.3,22.473,126.993717733,111.93224278
2007-08-07,MLM,0.595101,0.082952,0.012782,0.03089,1.95,0.139,1.95,20.934,2.432,5.893,21.3,109.611067239,106.355518014
2007-10-30,MLM,0.620217,0.090266,-0.004473,0.026417,1.757,0.146,2.16,20.229,2.462,5.505,23.61,111.91506977,94.3920042921
2008-02-25,MLM,0.530411,0.056541,-0.006379,0.020038,1.837,0.107,1.36,17.478,2.081,4.855,22.621,96.2069027448,97.0572473589
2008-05-06,MLM,0.453934,0.020864,-0.006461,0.013577,1.89,0.046,0.5,18.47,2.104,4.846,23.116,97.0919230457,94.6401964994
2008-08-07,MLM,0.598698,0.063804,-0.000421,0.013156,2.021,0.107,1.54,18.43,1.936,4.196,24.6,89.649523758,57.1247823998
2008-10-29,MLM,0.59921,0.066326,0.00074,0.013896,1.849,0.111,1.6,15.068,1.433,2.908,25.981,65.8675702362,78.4204875365
2009-05-05,MLM,0.375063,-0.005764,0.184209,0.222003,1.588,-0.015,-0.14,,,3.374,29.626,82.8359364301,77.9667902932
2009-08-04,MLM,0.465989,0.038862,-0.088623,0.13338,1.51,0.083,0.86,,,3.152,28.327,79.1003374488,73.1660405754
2009-11-03,MLM,0.488311,0.055514,0.060455,0.193835,1.435,0.114,1.23,,,2.718,29.381,71.0044177353,72.71885174
2010-02-26,MLM,0.373866,-0.003153,0.069756,0.263591,1.343,-0.008,-0.08,42.017,2.109,2.63,30.386,71.1559712802,89.6500567214
2010-05-04,MLM,0.340944,-0.02418,-0.042548,0.221043,1.405,-0.071,-0.54,62.625,2.515,3.151,29.346,83.0033237314,78.8373728482
2010-08-03,MLM,0.50463,0.054399,-0.188948,0.032095,1.221,0.108,1.18,45.43,2.197,2.727,30.259,74.3532604305,72.8095881124
2010-11-02,MLM,0.509303,0.05199,0.028404,0.060499,1.172,0.102,1.13,47.621,2.178,2.661,31.077,75.0140149641,79.3313956255
2011-02-25,MLM,0.427981,0.014803,0.009824,0.070323,1.127,0.035,0.32,41.308,2.248,2.811,31.293,80.6438635679,83.2440971343
2011-05-03,MLM,0.356512,-0.017414,0.106506,0.176829,1.273,-0.049,-0.39,39.145,2.259,2.916,30.564,81.5869060233,62.2147189384
2011-08-08,MLM,0.492952,0.035799,-0.15073,0.026099,1.202,0.073,0.78,35.886,1.711,2.164,30.956,61.552370903,68.3566861184
2011-11-07,MLM,0.534756,0.049156,0.030741,0.05684,1.157,0.092,1.07,40.889,1.858,2.328,31.653,68.1624121425,81.1689481683
2012-02-29,MLM,0.329608,0.014838,-0.030818,0.026022,1.206,0.045,0.32,47.558,2.286,2.78,30.834,80.2438127931,73.7398307617
2012-05-09,MLM,0.393979,-0.036732,0.018928,0.04495,1.312,-0.093,-0.81,56.31,2.028,2.612,29.73,72.5343513335,70.3121715541
2012-08-06,MLM,0.545717,0.036751,-0.003557,0.041393,1.313,0.067,0.8,53.857,1.911,2.502,30.098,70.6881724715,80.3370332964
2012-11-06,MLM,0.593901,0.062922,-0.005972,0.035421,1.24,0.106,1.36,51.34,2.143,2.792,31.191,82.198743161,92.9353335653
2013-02-22,MLM,0.504071,0.021534,-0.010027,0.025394,1.213,0.043,0.46,53.278,2.209,3.191,30.707,93.1252106387,101.72066584
2013-05-06,MLM,0.385,-0.027839,0.011866,0.03726,1.272,-0.072,-0.61,52.737,2.427,3.589,29.803,101.911332505,96.8263822331
2013-08-05,MLM,0.562682,0.041308,0.006452,0.043712,1.277,0.073,0.89,47.65,2.281,3.328,30.396,96.5489153275,95.6282976438
2013-11-07,MLM,0.66532,0.071836,0.013529,0.057241,1.259,0.108,1.55,43.695,2.205,3.197,31.575,96.9830238537,113.145522059
2014-02-24,MLM,0.544996,0.036033,-0.014804,0.042437,1.096,0.066,0.78,44.399,2.499,3.503,33.249,112.595616299,122.196592575
2014-05-05,MLM,0.428629,-0.021618,-0.006636,0.035801,1.134,-0.05,-0.47,45.712,2.648,3.865,32.577,121.741682488,123.07762813
2014-08-04,MLM,0.669225,0.059521,-0.001472,0.034329,1.143,0.089,1.28,58.186,3.675,5.421,33.726,123.07762813,113.88026836
2014-11-03,MLM,1.003723,0.053743,0.039268,0.073597,0.678,0.054,0.8,61.902,2.986,1.807,65.188,114.435449278,140.146242435
2015-02-24,MLM,0.856373,0.063955,0.035054,0.108651,0.715,0.075,1.02,61.885,3.255,2.213,64.567,140.009447665,145.402182835
2015-05-05,MLM,0.691347,0.006126,-0.052285,0.056366,0.709,0.009,0.07,54.06,3.078,2.283,64.39,143.922586528,164.77811921
2015-08-07,MLM,0.921419,0.081938,-0.012197,0.044169,0.74,0.089,1.23,54.568,3.233,2.606,63.954,164.64057487,143.638052816
2015-11-05,MLM,1.082249,0.117544,0.39226,0.436429,0.749,0.109,1.75,38.112,2.893,2.417,63.607,152.974280041,138.268688392
2016-02-23,MLM,0.844556,0.083185,-0.26802,0.168409,0.715,0.098,1.26,30.828,2.515,2.194,61.971,136.629802118,167.77523709
2016-05-05,MLM,0.788734,0.044994,-0.141167,0.027242,0.789,0.057,0.7,33.929,3.057,2.82,61.452,173.260158685,198.563396842
2016-08-04,MLM,0.977298,0.122052,0.001354,0.028596,0.802,0.125,1.91,34.234,3.409,3.137,63.172,196.90655227,191.786216094
2016-11-02,MLM,1.103901,0.159479,0.032088,0.060684,0.774,0.144,2.5,29.502,3.254,2.909,65.488,189.369996138,207.895466787
2017-02-24,MLM,0.948815,0.09886,-0.010646,0.050038,0.763,0.104,1.56,31.142,3.469,3.2,65.401,209.260316267,233.407611165
2017-05-10,MLM,0.843859,0.042334,0.00538,0.055418,0.815,0.05,0.67,34.794,3.797,3.611,64.632,233.84679757,226.43
2017-08-01,MLM,1.063524,0.142279,-0.018696,0.036722,0.79,0.134,2.26,30.071,3.364,3.173,66.782,211.97,214.42
