datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,MO,23.188,2.288,-0.031,0.395,3.068,0.099,1.04,11.561,1.142,4.97,8.941,4.48118626636,4.78125671161
2001-11-13,MO,22.404,2.328,0.064,0.459,3.041,0.104,1.07,12.113,1.166,5.122,9.176,4.79554130272,5.39518469566
2002-03-19,MO,21.973,2.164,-0.006,0.453,3.331,0.098,1.0,13.022,1.24,5.681,9.137,5.42234341823,5.73466872782
2002-05-13,MO,20.535,2.365,-0.07,0.383,3.245,0.115,1.1,13.041,1.354,6.059,9.199,5.82241229305,5.22137583497
2002-08-13,MO,21.103,2.61,0.997,1.38,3.196,0.124,1.22,11.019,1.213,5.079,9.717,5.22137583497,3.97189991639
2002-11-13,MO,19.996,4.359,-0.925,0.455,3.028,0.218,2.07,6.882,0.946,3.707,10.318,4.1027591629,3.70401671128
2003-03-27,MO,18.774,1.768,0.11,0.565,3.494,0.094,0.87,6.099,0.842,3.476,9.579,3.69292684089,3.7073436724
2003-05-15,MO,19.371,2.186,0.826,1.391,3.462,0.113,1.08,6.255,0.862,3.391,9.951,3.74172227062,4.58609606546
2003-08-13,MO,20.831,2.437,3.441,4.832,3.234,0.117,1.2,7.618,1.037,3.682,10.957,4.54442476034,5.75323141759
2003-11-13,MO,20.939,2.49,1.216,6.048,3.136,0.119,1.23,11.472,1.275,4.463,11.239,5.74292712251,6.60752438387
2004-03-12,MO,20.691,2.091,-2.271,3.777,2.835,0.101,1.03,12.077,1.358,4.433,12.253,6.37170897173,6.52891924649
2004-05-10,MO,21.839,2.194,-0.573,3.204,2.561,0.1,1.07,12.22,1.335,4.194,13.088,6.43975521006,5.56903209918
2004-08-06,MO,23.008,2.627,1.827,5.031,2.526,0.114,1.29,10.178,1.107,3.445,13.537,5.5499926732,6.54962953964
2004-11-05,MO,22.728,2.648,1.638,6.669,2.447,0.117,1.29,11.607,1.257,3.815,14.169,6.5290977856,8.05437871014
2005-03-15,MO,22.035,1.947,-0.925,5.744,2.31,0.088,0.95,14.333,1.506,4.394,14.85,8.06426593274,8.25953857908
2005-05-06,MO,23.618,2.596,-1.536,4.208,2.156,0.11,1.26,13.985,1.502,4.237,15.649,8.19403572936,8.43772765471
2005-08-05,MO,24.784,2.667,4.291,8.499,2.241,0.108,1.29,13.965,1.478,4.123,16.087,8.28533642246,9.41320960329
2005-11-09,MO,24.962,2.883,-2.304,6.195,2.075,0.115,1.39,15.226,1.611,4.454,16.571,9.32226071823,9.29649525543
2006-03-10,MO,24.49,2.289,0.063,6.258,2.023,0.093,1.1,14.772,1.575,4.317,17.11,9.42797115977,9.49703920964
2006-05-09,MO,24.355,3.477,-3.767,2.491,1.748,0.143,1.67,13.624,1.564,4.042,18.267,9.52671745717,10.3241227061
2006-08-08,MO,25.769,2.711,3.122,5.613,1.69,0.105,1.3,14.798,1.688,4.235,18.96,10.4807465651,10.7413414836
2006-11-09,MO,25.885,2.875,0.082,5.695,1.617,0.111,1.37,14.929,1.686,4.114,19.653,10.6635343445,11.2272969227
2007-03-01,MO,25.398,2.959,-0.675,5.02,1.632,0.117,1.42,14.723,1.745,4.467,18.879,11.2352897777,12.4218537383
2007-05-07,MO,17.556,2.75,-2.592,2.189,2.074,0.157,1.31,12.882,1.538,10.028,6.899,12.3896170937,12.4751211307
2007-08-07,MO,18.809,2.215,3.967,6.156,2.057,0.118,1.06,13.494,1.663,9.001,7.69,12.5185254373,13.2318028763
2007-11-06,MO,19.207,2.633,1.153,7.309,2.001,0.137,1.25,14.553,1.897,8.912,8.184,13.3378621033,13.7495417713
2008-02-28,MO,18.229,2.188,-0.811,6.498,2.083,0.12,1.04,15.895,2.108,8.384,8.8,13.6221457216,13.0315026274
2008-05-09,MO,4.41,2.454,-0.029,4.813,4.49,0.556,1.16,4.621,0.723,9.315,2.248,12.7932332404,13.1581385252
2008-08-07,MO,5.054,0.93,-4.398,0.415,4.3,0.184,0.46,5.244,0.917,10.937,1.91,12.9413142086,12.0701002689
2008-11-03,MO,5.238,0.867,0.5,0.915,3.947,0.166,0.42,6.121,1.197,9.434,2.028,12.03236155,9.71675936104
2009-02-27,MO,4.654,0.679,7.001,7.916,8.623,0.146,0.34,6.471,1.648,11.281,1.369,9.9224050618,11.1787205112
2009-05-07,MO,4.523,0.589,-4.058,3.858,12.902,0.13,0.28,11.488,1.809,12.675,1.344,11.1590627377,11.8049926745
2009-07-31,MO,6.719,1.01,-3.314,0.544,9.707,0.15,0.49,11.546,1.718,10.862,1.614,11.7048371937,12.3799683213
2009-10-29,MO,6.3,0.882,0.486,1.03,8.633,0.14,0.43,12.04,1.714,10.225,1.796,12.4888032077,13.8151126322
2010-02-24,MO,6.014,0.725,0.841,1.871,8.005,0.121,0.35,13.148,1.789,10.359,1.956,14.0157326954,14.720981516
2010-04-28,MO,5.76,0.813,1.419,3.29,7.906,0.141,0.39,12.763,1.766,10.269,2.047,14.7913494965,15.8009092403
2010-07-29,MO,6.274,1.042,-2.436,0.854,6.788,0.166,0.5,13.255,1.885,10.15,2.169,15.7651119833,18.2684521437
2010-10-28,MO,6.402,1.131,0.846,1.7,6.199,0.177,0.54,14.256,2.164,10.273,2.467,18.4357856361,18.2523438614
2011-02-25,MO,5.927,0.919,0.614,2.314,6.197,0.155,0.44,13.361,2.142,10.049,2.482,18.4222361758,19.9614726339
2011-04-28,MO,5.643,0.937,1.118,3.432,6.069,0.166,0.45,13.847,2.301,10.231,2.605,19.9839686586,19.8553133389
2011-07-28,MO,5.92,0.444,-1.368,2.064,6.942,0.075,0.21,15.835,2.274,11.726,2.237,19.9465671727,21.0660605266
2011-10-27,MO,6.108,1.173,0.979,3.043,7.41,0.192,0.57,16.378,2.41,12.872,2.149,21.3634183013,22.902081028
2012-02-16,MO,6.129,0.836,0.227,3.27,9.035,0.136,0.41,17.826,2.539,16.421,1.799,23.1291443954,25.1505234139
2012-04-26,MO,5.647,0.973,0.886,4.156,9.208,0.172,0.48,18.965,2.729,17.555,1.819,25.3409975577,28.4411617653
2012-07-26,MO,6.487,1.447,-2.628,1.528,7.077,0.223,0.71,16.354,2.972,16.951,2.102,28.6259489745,25.8538609654
2012-10-30,MO,6.242,0.657,0.658,2.186,8.054,0.105,0.32,16.437,2.625,16.637,1.909,25.8864225031,28.3072475974
2013-02-27,MO,6.242,1.103,0.714,2.9,10.14,0.177,0.55,16.382,2.782,21.615,1.576,28.1174322345,29.7025956804
2013-04-25,MO,5.528,1.385,0.875,3.775,9.078,0.251,0.69,15.721,2.947,20.227,1.777,30.0453500916,30.4590130544
2013-07-24,MO,6.305,1.266,-1.204,2.571,8.651,0.201,0.63,16.163,2.932,19.999,1.779,30.1035591649,31.2169510672
2013-10-24,MO,6.553,1.396,1.64,4.211,8.022,0.213,0.7,13.965,2.92,18.066,1.99,30.8565574595,30.9060309246
2014-02-26,MO,6.08,0.488,-1.036,3.175,7.455,0.08,0.24,15.574,2.887,17.147,2.067,30.7930766367,33.7288639311
2014-04-24,MO,5.517,1.175,0.445,3.62,7.596,0.213,0.59,17.637,3.119,18.537,2.072,33.8081016694,37.4164899917
2014-07-22,MO,6.256,1.262,-2.427,1.193,6.565,0.202,0.64,19.247,3.408,18.923,2.216,37.3452374518,42.878651296
2014-10-30,MO,6.491,1.397,1.048,2.241,6.93,0.215,0.7,21.722,3.856,21.864,2.173,42.8155546891,50.7451570195
2015-02-25,MO,6.258,1.236,1.08,3.321,10.428,0.198,0.63,21.612,4.468,36.355,1.53,50.6722996512,47.9411499362
2015-04-23,MO,5.804,1.018,0.353,3.674,12.495,0.175,0.52,20.954,4.15,40.643,1.288,48.1527091167,51.3669873406
2015-07-29,MO,6.613,1.448,-2.551,1.123,10.457,0.219,0.73,20.918,4.238,38.381,1.417,50.5767259969,57.7356383019
2015-10-29,MO,6.699,1.528,0.784,1.907,10.074,0.228,0.78,23.067,4.754,41.788,1.472,57.8202119908,58.224390387
2016-02-25,MO,6.318,1.247,0.462,2.369,10.286,0.197,0.64,23.304,4.802,42.408,1.471,59.1922664984,58.9368314107
2016-04-28,MO,6.066,1.217,1.446,3.815,11.395,0.201,0.62,22.366,4.735,44.324,1.403,59.5496595521,65.6127566476
2016-07-27,MO,6.521,1.653,-2.996,0.819,8.963,0.253,0.85,23.104,5.094,41.535,1.607,64.4730090715,62.9172640414
2016-10-27,MO,6.905,1.093,1.479,2.298,10.174,0.158,0.55,24.118,4.868,42.682,1.51,62.8294997239,73.2385670211
2017-02-27,MO,6.252,10.276,2.271,4.569,2.594,1.644,5.26,10.16,5.619,11.328,6.584,73.3960058324,70.2284277395
2017-05-02,MO,6.083,1.401,0.659,5.228,2.763,0.23,0.72,9.486,5.311,11.16,6.347,70.2581855479,71.73
2017-07-27,MO,6.663,1.989,-2.973,2.255,2.518,0.299,1.03,9.614,5.478,11.427,6.473,73.96,65.52
