datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,MRK,11.8931,1.8154,-0.0501,2.1084,1.827,0.153,0.79,22.344,3.491,10.703,6.45,35.0403375916,32.8452973452
2001-11-13,MRK,11.9196,1.9482,-0.4748,1.6336,1.846,0.163,0.85,20.445,3.151,9.566,6.751,32.9523724792,29.954268728
2002-03-21,MRK,12.5579,1.8609,0.5104,2.144,1.742,0.148,0.82,18.105,2.763,8.214,7.067,29.9453458002,28.687212976
2002-05-13,MRK,12.1693,1.625,0.7991,2.9431,1.765,0.134,0.72,17.698,2.643,7.801,7.26,29.2136657181,26.6081707915
2002-08-13,MRK,12.8097,1.7507,-1.6242,1.3189,1.739,0.137,0.77,15.555,2.26,6.661,7.458,25.787261431,28.6782900482
2002-11-13,MRK,12.8929,1.884,0.1777,1.4966,1.7,0.146,0.84,16.651,2.351,6.763,7.808,27.6164616363,29.1422822954
2003-03-21,MRK,13.9184,1.8898,0.7464,2.243,1.613,0.136,0.84,17.738,2.449,6.968,8.109,29.9453458002,31.4443976758
2003-05-14,MRK,13.3884,1.7104,-0.0261,2.2169,1.593,0.128,0.76,18.478,2.522,7.082,8.418,31.5960874489,29.0887447284
2003-08-13,MRK,13.2812,1.867,-0.5522,1.6647,1.55,0.141,0.83,16.269,2.236,6.1,8.758,28.4909085638,26.001411699
2003-11-14,MRK,5.762,1.8583,0.5091,2.1738,1.781,0.323,0.83,14.148,2.236,6.768,6.882,26.4386351627,27.2863133066
2004-03-10,MRK,5.6271,1.3952,-0.9728,1.201,1.606,0.248,0.62,15.028,4.565,6.59,7.003,26.6349395749,27.7681514095
2004-05-07,MRK,5.6308,1.6186,0.5611,1.7621,1.561,0.287,0.73,15.732,3.499,6.516,7.322,27.5361552859,25.840798998
2004-08-06,MRK,6.0217,1.7681,-0.1623,1.5998,1.467,0.294,0.8,14.568,4.198,5.701,7.647,25.3589608951,15.3742046525
2004-11-08,MRK,5.5381,1.3256,1.0671,2.6669,1.477,0.239,0.6,9.647,2.582,3.404,7.806,15.5883549204,19.353830465
2005-03-11,MRK,5.7479,1.1011,0.2119,2.8788,1.463,0.192,0.5,12.215,3.096,4.107,7.83,19.353830465,20.5584257222
2005-05-09,MRK,5.3622,1.3701,-0.4892,2.3896,1.443,0.256,0.62,13.54,3.324,4.269,8.011,20.5762715778,18.666765022
2005-08-08,MRK,5.4675,0.7206,-0.472,1.9176,1.474,0.132,0.33,14.8,3.023,3.846,7.918,18.5418440324,18.1760039913
2005-11-08,MRK,5.4162,1.4209,1.0004,2.918,1.465,0.262,0.65,13.923,2.92,3.612,8.13,18.1224664244,21.9682483194
2006-03-13,MRK,5.7659,1.1197,6.6673,9.5853,1.503,0.194,0.51,16.623,3.497,4.297,8.192,22.2448590822,21.7719439072
2006-05-09,MRK,5.4098,1.52,0.6019,10.1872,1.304,0.281,0.7,15.716,3.406,3.987,8.635,21.7540980515,26.4297122348
2006-08-07,MRK,5.7717,1.4993,-1.9739,8.2133,1.253,0.26,0.69,15.985,3.974,4.605,8.868,26.1084868329,29.5527369756
2006-11-07,MRK,5.4104,0.9406,-1.9912,6.2221,1.267,0.174,0.43,19.617,4.457,5.167,8.883,29.6151974704,28.0982997392
2007-02-28,MRK,6.0441,0.4739,-0.3074,5.9147,1.538,0.078,0.22,21.573,4.226,5.447,8.105,28.7229046874,34.1480448085
2007-05-08,MRK,5.7694,1.7043,-3.8128,2.1019,1.327,0.295,0.79,24.516,4.923,6.127,8.527,34.2818887259,34.1301989528
2007-08-08,MRK,6.1114,1.6764,1.3676,3.4695,1.269,0.274,0.77,23.685,4.867,5.833,8.977,34.6120370557,38.814736064
2007-11-01,MRK,6.0741,1.5255,1.7388,5.2083,1.205,0.251,0.7,23.206,5.202,6.025,9.52,38.2079769715,30.4717985422
2008-02-28,MRK,6.2429,-1.6309,0.1278,5.3361,1.659,-0.261,-0.75,29.881,4.045,5.382,8.398,30.3111858412,26.6349395749
2008-05-05,MRK,5.8221,3.3026,0.9533,6.2894,1.41,0.567,1.53,17.168,3.45,4.286,9.094,26.36725174,22.5214698449
2008-07-31,MRK,6.0518,1.7683,1.0558,7.3452,1.343,0.292,0.82,14.195,2.914,3.48,9.454,22.4768552058,21.3793350826
2008-11-03,MRK,5.9439,1.0927,-1.6251,5.7201,1.48,0.184,0.51,13.979,2.633,3.238,9.257,20.7011925675,18.247387414
2009-02-27,MRK,6.0324,1.6448,-1.3518,4.3683,1.516,0.273,0.79,6.532,2.139,2.719,8.9,16.9535628785,17.7902813817
2009-05-04,MRK,5.3852,1.425,1.6488,6.0171,1.254,0.265,0.67,8.754,2.217,2.654,9.277,18.024556692,22.2847337819
2009-08-03,MRK,5.8999,1.5563,6.4405,12.4576,1.312,0.264,0.74,11.07,2.722,3.115,9.638,22.2921595513,23.2511828386
2009-11-02,MRK,6.0497,3.4243,9.3593,21.8169,1.021,0.566,1.62,8.19,2.822,2.878,10.861,23.4992555944,28.0082052058
