datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-30,MSI,7.522,-0.759,0.404,4.451,1.376,-0.101,-2.45,-67.272,1.209,2.583,51.799,55.0722988837,50.6616246733
2001-11-09,MSI,7.406,-1.408,0.92,5.371,1.398,-0.19,-4.48,-14.96,1.172,2.686,45.098,49.9092708634,41.3230330081
2002-03-29,MSI,7.324,-1.237,0.711,6.082,1.439,-0.169,-3.85,-8.189,1.074,2.355,42.801,42.3387106514,46.2697593081
2002-05-14,MSI,6.021,-0.449,-0.203,5.879,1.439,-0.075,-1.4,-9.548,1.301,2.825,40.447,47.1443706121,33.178803016
2002-08-13,MSI,6.741,-2.321,0.513,6.392,1.732,-0.344,-7.14,-4.861,0.958,2.384,33.94,33.4139135816,24.5361386249
2002-11-12,MSI,6.371,0.111,-0.108,6.284,1.672,0.017,0.35,-5.168,0.761,1.78,34.491,25.6176472267,25.1474260955
2003-03-27,MSI,7.546,0.174,0.223,6.507,1.772,0.023,0.56,-7.874,0.733,1.741,34.121,24.9687420656,23.8684246187
2003-05-13,MSI,6.043,0.169,-0.217,6.29,1.633,0.028,0.49,-9.985,0.698,1.641,34.408,23.7837848151,26.8308177451
2003-08-01,MSI,6.163,0.119,-0.077,6.213,1.522,0.019,0.35,37.488,0.822,1.811,35.785,27.3950831025,41.4170772343
2003-11-06,MSI,6.829,0.116,0.875,7.088,1.55,0.017,0.35,56.181,1.222,2.717,36.016,41.5675479963,49.8904620182
2004-03-12,MSI,8.023,0.489,0.789,7.877,1.53,0.061,1.47,44.795,1.478,3.152,38.072,51.2070811855,56.0315499914
2004-05-12,MSI,8.561,0.609,0.399,8.276,1.465,0.071,1.82,33.149,1.494,3.367,39.304,56.4735578547,45.4515745398
2004-08-11,MSI,8.7,-0.203,0.391,8.667,1.451,-0.023,-0.63,33.487,1.054,2.58,39.065,43.0252335029,50.1631902742
2004-11-10,MSI,8.624,0.479,2.134,10.801,1.495,0.056,1.4,29.572,1.198,2.934,41.079,51.7055155845,51.2352944533
2005-03-04,MSI,5.438,0.647,-0.245,10.556,1.317,0.119,1.89,24.169,1.182,2.777,38.701,50.9343529294,53.3606939663
2005-05-11,MSI,8.161,0.692,0.95,3.796,1.249,0.085,1.96,23.991,1.253,2.812,39.412,53.3983116567,73.2228345473
2005-08-10,MSI,8.825,0.933,0.36,4.156,1.203,0.106,2.66,19.198,1.701,3.605,41.686,72.4516718921,78.1413475794
2005-11-08,MSI,9.424,1.751,-1.3,2.856,1.122,0.186,4.97,14.358,1.814,3.664,44.49,78.677399669,75.0755058041
2006-03-02,MSI,10.433,1.202,0.918,3.774,1.138,0.115,3.36,12.116,1.505,3.327,46.778,75.4234694412,72.3670320885
2006-05-03,MSI,10.013,0.686,0.426,4.2,1.154,0.069,1.96,11.831,1.398,3.262,46.629,74.5770714051,79.2040473359
2006-08-03,MSI,10.876,1.384,-0.799,3.401,1.084,0.127,3.92,11.384,1.403,3.31,49.074,79.6836728897,77.8968325912
2006-11-02,MSI,10.603,0.968,-0.386,3.015,1.183,0.091,2.8,12.886,1.303,3.188,49.612,77.3137583885,63.7807942332
2007-02-28,MSI,11.792,0.623,0.197,3.212,1.251,0.053,1.82,12.092,1.032,2.583,49.685,63.5080659771,62.1632335419
2007-05-08,MSI,9.433,-0.181,-0.475,2.737,1.458,-0.019,-0.56,14.663,0.959,2.768,43.668,60.8654232199,57.5456620338
2007-08-02,MSI,8.732,-0.028,0.429,2.77,1.313,-0.003,-0.07,28.031,0.955,2.589,45.613,58.2415893079,61.2416001248
2007-11-06,MSI,8.811,0.06,-0.455,2.315,1.311,0.007,0.21,85.493,1.045,2.694,45.982,61.3450487737,37.7399479885
2008-02-28,MSI,9.646,0.1,0.437,2.752,1.254,0.01,0.28,-478.567,0.64,1.518,47.369,36.0753651841,35.7650192375
2008-05-07,MSI,7.448,-0.194,-0.059,2.693,1.249,-0.026,-0.63,-359.745,0.644,1.469,47.08,34.4766133381,26.9248619713
2008-07-31,MSI,8.082,0.004,0.064,2.757,1.219,0.0,0.0,-652.43,0.576,1.287,47.038,30.2916452706,19.2602575331
2008-10-30,MSI,7.48,-0.397,0.217,2.974,1.259,-0.053,-1.26,-24.06,0.359,0.799,45.286,18.2351754671,13.241427054
2009-02-26,MSI,7.136,-3.657,0.09,3.064,1.931,-0.512,-11.27,-1.942,0.273,0.867,29.248,12.9216766848,20.9530536054
2009-05-06,MSI,5.371,-0.231,0.201,3.265,1.768,-0.043,-0.7,-3.379,0.515,1.56,28.47,22.5235921835,25.8809710601
2009-08-04,MSI,5.497,0.026,-0.384,2.881,1.626,0.005,0.07,-3.902,0.652,1.745,29.06,25.8433533696,32.4076403609
2009-11-04,MSI,5.453,0.012,0.169,3.05,1.543,0.002,0.07,-5.402,0.887,2.12,29.862,32.1255076822,25.5236030004
2010-02-16,MSI,5.723,0.142,-0.181,2.869,1.608,0.025,0.42,-329.245,0.762,1.718,29.621,25.9185887506,25.3449189706
2010-05-04,MSI,5.044,0.069,0.319,3.188,1.53,0.014,0.21,64.962,0.745,1.627,30.059,24.8464845715,28.7681288056
2010-08-05,MSI,5.414,0.162,-0.295,2.893,1.442,0.03,0.49,48.618,0.865,1.85,30.407,28.6270624662,28.6270624662
2010-11-02,MSI,4.89,0.109,0.955,3.848,1.473,0.022,0.35,38.994,0.892,1.8,31.247,28.5518270852,34.3691563591
2011-02-18,MSI,5.663,0.293,0.36,4.208,1.34,0.052,0.85,20.75,0.681,1.207,32.429,34.4486328255,40.5153364275
2011-05-02,MSI,1.884,0.497,-1.444,2.764,1.609,0.264,1.47,14.589,0.867,2.453,18.702,40.2592455913,39.1377443432
2011-07-28,MSI,2.055,0.349,-0.561,2.203,1.302,0.17,1.02,12.749,1.098,2.361,19.751,40.9480416334,40.6420666322
2011-10-27,MSI,2.105,0.128,-0.418,1.785,1.412,0.061,0.38,11.95,1.293,2.483,18.181,41.290138031,42.5489783283
2012-02-15,MSI,2.234,0.184,0.096,1.881,1.66,0.082,0.58,13.238,1.869,2.94,16.127,43.0039045117,43.5944398585
2012-04-25,MSI,1.956,0.157,-0.161,1.72,2.04,0.08,0.5,18.324,1.795,3.669,13.122,45.9775308989,44.6426415568
2012-05-14,MSI,1.956,0.157,-0.161,1.72,2.04,0.08,0.5,17.442,1.709,3.493,13.122,43.7646606471,40.7635846026
2012-07-25,MSI,2.148,0.182,0.052,1.772,2.162,0.085,0.63,21.027,1.621,3.557,13.242,43.0317284135,45.0316555827
2012-10-24,MSI,2.153,0.206,0.007,1.779,2.098,0.096,0.73,19.847,1.704,3.737,13.677,46.6693348394,55.3648014369
2013-02-12,MSI,2.441,0.336,-0.311,1.468,2.876,0.138,1.17,19.056,1.93,5.142,11.657,55.3011637341,56.3721280904
2013-04-24,MSI,1.973,0.192,0.002,1.47,3.059,0.097,0.7,16.614,1.746,4.914,11.282,51.1411597672,52.7752668001
2013-05-28,MSI,1.973,0.192,0.002,1.47,3.059,0.097,0.7,17.358,1.824,5.134,11.282,53.432561249,55.0093299405
2013-07-24,MSI,2.107,0.258,-0.013,1.457,3.347,0.122,0.96,15.019,1.718,5.338,10.356,51.3958461131,55.7221393466
2013-10-23,MSI,2.112,0.307,0.264,1.721,3.495,0.145,1.17,14.77,1.87,6.033,10.206,57.5386644916,60.9464126789
2014-02-13,MSI,2.504,0.342,1.504,3.225,2.231,0.137,1.31,15.17,1.917,4.556,14.188,60.8444956009,59.1889308847
2014-05-01,MSI,1.801,0.127,-0.084,3.141,2.117,0.071,0.5,15.402,1.868,4.285,14.628,58.3231601121,59.9587580505
2014-08-05,MSI,1.393,0.824,-0.265,2.876,1.86,0.592,3.25,9.626,1.972,3.721,16.315,57.4148831184,60.8278055294
2014-11-04,MSI,1.436,0.147,-0.031,2.845,2.788,0.102,0.6,11.16,2.253,5.005,13.037,62.7839254351,66.1846086392
2015-02-13,MSI,1.823,0.201,1.109,3.954,2.8,0.11,0.92,11.661,2.576,5.539,11.938,66.0995141424,55.6849084267
