datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,MTB,0.380984,0.094808,0.046241,0.070399,9.447,0.249,0.98,23.78,5.668,2.586,30.751,53.2625336416,47.0767800355
2001-11-14,MTB,0.386462,0.097867,0.044164,0.049223,9.536,0.253,1.02,19.259,4.534,2.27,30.75,47.3435040017,51.1544879955
2002-02-28,MTB,0.39956,0.101734,0.219121,1.05002,9.699,0.255,1.08,18.798,4.638,2.418,31.64,51.3558836175,58.0355050815
2002-05-14,MTB,0.401288,0.120564,0.009144,0.356137,9.618,0.3,1.29,19.828,5.247,2.792,31.602,59.5459722467,54.6808283348
2002-07-31,MTB,0.402655,0.121494,-0.107475,0.092514,9.644,0.302,1.31,17.383,4.829,2.579,32.145,56.2831476088,53.9515406417
2002-11-14,MTB,0.406537,0.117215,0.527291,0.295413,10.165,0.288,1.27,16.145,4.623,2.434,33.239,54.6875503951,53.1126220925
2003-02-27,MTB,0.427036,0.125819,-0.151579,1.343615,9.426,0.295,1.37,15.109,4.476,2.303,34.475,54.0207618603,58.6262341912
2003-05-15,MTB,0.415814,0.116538,-0.441239,0.059229,9.096,0.28,1.26,21.18,6.167,3.076,35.852,58.1296323003,58.5723127955
2003-08-12,MTB,0.627787,0.13404,1.734515,0.288929,8.276,0.214,1.12,20.99,5.52,1.907,45.509,59.1320948059,64.6727776201
2003-11-12,MTB,0.628192,0.156463,-0.296437,0.30656,8.02,0.249,1.31,21.512,5.462,2.057,46.538,65.4263799017,65.0166359919
2004-02-26,MTB,0.627057,0.166901,-0.381188,0.250315,7.715,0.266,1.4,19.945,4.979,2.002,47.947,66.2589920936,60.592467874
2004-05-07,MTB,0.627454,0.15949,0.018194,2.144044,7.865,0.254,1.33,16.453,4.043,1.77,47.889,59.1016405519,64.7841290291
2004-07-30,MTB,0.63613,0.184385,-0.212457,0.167817,8.209,0.29,1.56,16.359,4.333,1.93,47.847,64.6316142256,74.0375375267
2004-11-05,MTB,0.667206,0.186441,0.05455,1.927275,8.262,0.279,1.59,17.562,4.787,2.144,48.849,73.3970623549,69.1615404626
2005-02-25,MTB,0.651751,0.192205,-0.396265,1.533992,8.239,0.295,1.66,15.959,4.465,2.012,49.79,70.3052283083,72.9714944518
2005-05-10,MTB,0.652313,0.18929,0.007306,1.533086,8.498,0.29,1.65,15.454,4.459,2.049,49.433,71.7646581974,76.2851773225
2005-08-05,MTB,0.673864,0.196834,0.106955,0.209081,8.333,0.292,1.73,15.972,4.618,2.092,51.231,75.6438885339,75.9246588626
2005-11-08,MTB,0.654672,0.191074,-0.055585,1.619715,8.379,0.292,1.68,15.565,4.549,2.048,51.502,75.4221746364,80.9738975772
2006-02-28,MTB,0.675212,0.204985,0.067979,1.690484,8.384,0.304,1.82,16.06,4.729,2.138,52.581,80.1891285258,84.7336547599
2006-05-10,MTB,0.681957,0.202917,-0.20398,1.502018,8.362,0.298,1.82,16.609,4.921,2.233,52.998,84.8264001932,87.4371417355
2006-08-01,MTB,0.692215,0.212573,0.303033,1.812726,8.417,0.307,1.91,16.575,4.975,2.242,53.93,86.9064372991,86.77783429
2006-11-03,MTB,0.714086,0.21037,-0.22953,1.646857,8.165,0.295,1.89,15.948,4.795,2.154,55.393,86.2877676235,89.9885686966
2007-02-23,MTB,0.695135,0.213329,0.264982,1.768355,8.085,0.307,1.93,16.162,4.873,2.159,57.232,89.5105225332,82.6973932098
2007-05-07,MTB,0.65991,0.175973,-0.15721,1.629173,8.25,0.267,1.6,15.122,4.448,1.964,57.006,82.5954953481,77.9570593359
2007-08-02,MTB,0.715029,0.214169,-0.130936,0.194288,8.371,0.3,1.98,13.878,4.057,1.829,57.211,77.1081887002,73.2872555445
2007-11-01,MTB,0.686587,0.199187,-0.009241,0.220722,8.62,0.29,1.86,12.427,3.618,1.599,58.269,68.8375669288,64.9681350027
2008-02-21,MTB,0.5297,0.06493,0.43997,2.067222,9.004,0.123,0.6,14.277,3.605,1.44,58.957,63.0741285518,70.820936867
2008-05-07,MTB,0.731513,0.202196,0.008579,0.391794,9.186,0.276,1.84,14.924,3.814,1.565,58.972,69.0539698408,53.9307969015
