datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2014-04-22,NAVI,,,,8.84,27.302,,,5.08,2.21,1.26,12.811,14.668781696,14.3631820773
2014-05-09,NAVI,0.751,0.219,-1.448,7.536,26.976,0.285,0.5,,,1.231,13.098,14.2147479768,15.1598071733
2014-08-01,NAVI,0.772,0.307,-2.106,5.249,34.557,0.395,0.72,,,1.809,9.528,15.2832009527,17.1222203866
2014-10-30,NAVI,0.772,0.359,0.306,5.625,32.769,0.465,0.87,,,1.925,10.014,17.3355813883,19.5641532148
2015-02-27,NAVI,0.648,0.264,-0.499,5.369,33.862,0.407,0.65,7.516,2.916,2.047,10.365,19.1612301509,17.7891438845
2015-04-30,NAVI,0.707,0.292,0.608,5.85,34.201,0.413,0.73,6.231,2.622,1.86,10.269,17.6357113903,14.2865671479
2015-08-03,NAVI,0.552,0.182,-0.437,5.564,34.687,0.33,0.48,5.339,2.186,1.491,10.312,14.2501682507,12.2065617465
2015-10-30,NAVI,0.611,0.237,-0.309,5.601,34.452,0.388,0.64,4.901,1.898,1.231,10.523,12.1604644589,9.61352390759
2016-02-25,NAVI,0.692,0.286,0.289,5.332,32.733,0.413,0.8,3.665,1.426,0.919,11.103,9.95919969435,13.2338757389
2016-04-28,NAVI,0.535,0.181,-0.426,4.986,33.431,0.338,0.53,5.029,1.864,1.168,11.254,12.7788427622,13.81170735
2016-07-25,NAVI,0.442,0.125,0.209,4.99,33.887,0.283,0.39,5.419,1.97,1.221,11.425,13.591103691,12.9179803897
2016-11-07,NAVI,0.617,0.23,0.446,5.44,32.77,0.373,0.74,5.0,1.798,1.108,11.968,13.1507367931,15.1424104623
2017-02-24,NAVI,0.501,0.146,-0.57,4.853,31.742,0.291,0.5,6.572,2.136,1.21,12.668,15.0543162838,15.6860726525
2017-04-27,NAVI,0.385,0.088,0.111,5.084,31.31,0.229,0.31,7.518,2.277,1.214,12.623,15.3695819054,14.75
2017-08-01,NAVI,0.408,0.112,-0.211,4.742,32.992,0.275,0.4,7.067,2.13,1.15,12.643,14.85,14.27
