datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,NBL,0.413467,0.051333,0.03536,0.064626,1.129,0.124,0.23,6.906,1.1,1.93,4.507,7.56467302989,8.31446049833
2002-03-27,NBL,0.292945,-0.027476,0.055229,0.073237,1.455,-0.094,-0.12,16.867,1.433,2.23,4.466,8.61304007586,8.55196126763
2002-05-10,NBL,0.31765,-0.015098,-0.039923,0.033314,1.618,-0.048,-0.07,177.532,1.679,2.251,4.342,8.52796341713,7.00150212958
2002-08-13,NBL,0.330292,0.017119,-0.031633,0.001681,1.543,0.052,0.07,-82.675,1.437,1.775,4.4,6.8245530898,7.85320554995
2002-11-13,NBL,0.339666,-0.00119,0.004726,0.006407,1.604,-0.004,-0.01,-73.965,1.539,1.97,4.365,7.52298164629,7.83801854903
2003-03-11,NBL,0.45612,0.016821,0.009035,0.015442,1.705,0.037,0.07,116.024,1.419,2.029,4.412,7.81393525181,7.44201010397
2003-05-15,NBL,0.298621,0.034857,0.017877,0.033319,1.865,0.117,0.15,28.735,1.364,1.883,4.495,7.42008960293,8.47058607467
2003-08-14,NBL,0.254751,0.02907,0.015414,0.048733,1.78,0.114,0.13,27.238,1.606,2.095,4.522,8.4201136706,8.43764079003
2003-11-12,NBL,0.200481,0.035116,0.022649,0.071382,1.701,0.175,0.15,18.931,1.813,2.023,4.8,8.49257334726,10.255586964
2004-03-15,NBL,0.257133,-0.021051,-0.009008,0.062374,1.648,-0.082,-0.09,34.511,2.662,2.507,4.724,10.2599866152,10.0331498812
2004-05-10,NBL,0.319426,0.085546,0.077183,0.139557,1.491,0.268,0.37,19.965,2.49,2.179,5.112,9.74686597327,11.5724764323
2004-08-06,NBL,0.339202,0.072027,0.033755,0.173312,1.384,0.212,0.31,17.339,2.666,2.364,5.418,11.2289357428,12.7717610458
2004-11-09,NBL,0.326573,0.083692,-0.013213,0.160099,1.327,0.256,0.36,15.389,2.728,2.544,5.697,12.7121933228,14.8469747904
2005-03-14,NBL,0.365975,0.087445,0.019695,0.179794,1.358,0.239,0.37,12.177,2.962,2.742,6.197,14.9684179214,14.4362762016
2005-05-06,NBL,0.365234,0.109968,0.001771,0.181565,1.954,0.301,0.47,10.826,2.737,3.183,5.082,14.2594964532,19.0413886467
2005-08-04,NBL,0.488368,0.136877,0.096584,0.278149,1.838,0.28,0.47,18.315,4.951,2.563,10.204,19.3971578903,18.1538637828
2005-11-04,NBL,0.645169,0.176956,-0.154413,0.123736,2.14,0.274,0.51,13.475,3.694,2.488,7.925,17.4450745673,18.6486241666
2006-03-03,NBL,0.686801,0.221919,-0.013415,0.110321,1.873,0.323,0.66,11.295,3.335,2.36,8.816,18.3736622883,21.584507448
2006-05-03,NBL,0.711997,0.226087,0.025629,0.13595,1.744,0.318,0.64,11.003,3.31,2.407,9.888,20.9858001323,21.897023539
2006-08-04,NBL,0.77258,-0.030705,0.045441,0.181391,1.65,-0.04,-0.09,14.41,3.04,2.324,10.398,21.572260695,20.8982665735
2006-11-03,NBL,0.741319,0.318064,-0.091588,0.089803,1.301,0.429,0.9,11.608,2.931,2.09,11.588,21.883024977,26.1706094285
2007-02-26,NBL,0.714186,0.164982,0.063605,0.153408,1.331,0.231,0.47,14.679,3.387,2.421,11.868,26.0769039216,27.1612105015
2007-05-04,NBL,0.742545,0.211812,0.095811,0.249219,1.328,0.285,0.62,15.48,3.461,2.467,12.194,26.9018935947,28.377317375
2007-08-02,NBL,0.794213,0.209105,0.052531,0.30175,1.278,0.263,0.61,12.075,3.648,2.489,12.831,28.5740405457,32.7577925241
2007-10-31,NBL,0.813811,0.222675,0.149023,0.450773,1.22,0.274,0.65,16.23,4.282,2.841,13.494,34.2852651414,36.3606033783
2008-02-27,NBL,0.921461,0.300278,0.20909,0.659863,1.252,0.326,0.88,14.763,4.259,2.898,14.024,36.4414945983,39.0974229874
2008-05-01,NBL,1.025,0.215,0.147,0.807,1.237,0.21,0.63,15.4,4.103,2.892,14.66,38.1402102177,33.6051775469
2008-07-30,NBL,1.205,-0.144,0.176,0.983,1.395,-0.12,-0.42,22.42,3.358,2.671,14.491,34.7265510673,19.3761561923
2008-10-29,NBL,1.098,0.974,0.009,0.992,1.018,0.887,2.82,5.891,1.865,1.32,17.355,20.7124428262,22.1135190869
2009-02-19,NBL,0.573,0.305,0.148,1.14,0.963,0.532,0.89,6.397,2.214,1.369,17.923,22.7045465296,27.4009415166
2009-04-30,NBL,0.441,-0.188,-0.123,1.017,0.966,-0.426,-0.55,10.388,2.966,1.606,17.702,25.8006210563,25.8386808912
2009-07-30,NBL,0.491,-0.057,-0.061,0.956,0.956,-0.116,-0.17,10.062,3.997,1.717,17.512,27.3618223345,30.6131179542
