datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-06-29,NDAQ,,,,0.262257,0.386,,,,,,,13.6829511313,13.6829511313
2001-08-09,NDAQ,,,,0.262257,0.386,,,,,,6.906,13.6829511313,13.6829511313
2001-08-20,NDAQ,0.221306,0.019582,0.099737,0.344848,1.657,0.088,0.16,,,,4.638,13.6829511313,13.6829511313
2001-08-31,NDAQ,0.221306,0.019582,0.099737,0.344848,1.657,0.088,0.16,,,,4.638,13.6829511313,13.6829511313
2001-11-14,NDAQ,0.197708,0.007945,-0.015749,0.329099,1.496,0.04,0.08,,,,4.742,13.6829511313,13.6829511313
2001-11-19,NDAQ,0.197708,0.007945,-0.015749,0.329099,1.496,0.04,0.08,,,,4.742,13.6829511313,13.6829511313
2002-03-28,NDAQ,0.215451,-0.013257,-0.035368,0.293731,1.548,-0.062,-0.1,,,,6.609,13.6829511313,13.6829511313
2002-05-15,NDAQ,0.211293,0.021327,-0.12132,0.172411,3.597,0.089,0.19,,,,3.057,13.6829511313,11.1288002534
2002-08-14,NDAQ,0.205262,0.00877,0.158424,0.330835,3.851,0.031,0.08,48.166,1.155,3.772,3.234,11.1288002534,7.64420869866
2002-11-14,NDAQ,0.199088,0.012711,-0.056665,0.27417,3.489,0.052,0.13,29.722,0.795,2.483,3.403,7.70806247061,6.33976735748
2003-03-31,NDAQ,0.183574,0.00032,-0.069899,0.204271,3.365,-0.012,-0.02,16.319,0.681,2.01,3.458,6.33976735748,5.82893718192
2003-05-09,NDAQ,0.165887,0.002566,0.073036,0.277307,3.46,0.012,0.02,29.868,0.65,1.799,3.473,5.70122963802,6.567816543
2003-08-14,NDAQ,0.151395,-0.049008,-0.0082,0.269107,4.118,-0.341,-0.66,-13.989,0.829,2.562,2.889,6.75025589142,8.39221002717
2003-11-14,NDAQ,0.144786,-0.038008,-0.141271,0.127836,3.99,-0.28,-0.52,-7.86,1.124,3.979,2.325,8.43781986428,8.20977067875
2004-03-15,NDAQ,0.127777,-0.020997,0.023901,0.148929,4.297,-0.184,-0.3,-6.214,1.198,4.397,2.047,8.20977067875,6.99654901178
2004-05-10,NDAQ,0.128404,0.004631,-0.015321,0.133608,4.392,0.014,0.02,-5.243,1.08,3.683,2.063,6.93269523984,5.74683947513
2004-08-06,NDAQ,0.120013,0.004785,0.088777,0.222385,4.265,0.01,0.02,-8.065,0.945,3.03,2.066,5.71035160545,6.20293784617
2004-11-05,NDAQ,0.12397,-0.005485,-0.174399,0.047986,4.415,-0.052,-0.08,-20.123,1.085,3.454,1.998,6.29415752038,9.38650447604
2005-03-14,NDAQ,0.168054,0.007431,0.0102,0.058186,4.204,0.009,0.02,-452.351,1.528,5.276,1.981,9.53245595478,14.3853426227
2005-05-10,NDAQ,0.180193,0.012771,0.025755,0.083941,4.266,0.06,0.14,165.275,2.004,7.044,2.13,13.6829511313,13.2450966951
