datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2002-03-27,NEM,,,,0.149431,1.575,,,-307.633,5.685,6.392,7.588,23.7727928128,23.6128483852
2002-05-15,NEM,0.491598,-0.008991,0.362127,0.511558,0.854,-0.022,-0.04,,,1.794,18.636,23.2929595301,20.2647450692
2002-08-06,NEM,0.497963,-0.008772,0.362127,0.511558,0.857,-0.021,-0.04,,,1.619,18.625,21.0230931175,22.733589271
2002-08-14,NEM,0.712325,0.06665,-0.226153,0.285405,0.737,0.091,0.2,,,1.68,13.656,22.1184847429,19.9065105723
2002-11-14,NEM,0.719671,0.032699,0.006743,0.292148,0.738,0.045,0.08,,,1.583,13.368,20.3704334882,21.2053618913
2003-03-27,NEM,0.815048,0.067484,0.109535,0.401683,0.808,0.083,0.18,56.249,3.162,1.602,13.48,20.7739803769,24.3096171023
2003-05-09,NEM,0.864645,0.117255,-0.021367,0.380316,0.812,0.136,0.29,36.393,3.301,1.976,12.934,24.1742817253,30.1348686615
2003-08-04,NEM,0.631046,0.090847,-0.105575,0.274741,0.733,0.144,0.23,42.858,4.36,2.429,13.415,30.7362108973,35.1762103125
2003-10-24,NEM,0.747222,0.090847,-0.105575,0.274741,0.733,0.122,0.23,49.884,5.075,2.828,13.415,35.8120781779,37.1177268614
2003-11-03,NEM,0.896992,0.114434,0.14467,0.419411,0.683,0.128,0.28,40.262,4.895,2.806,13.7,36.354685423,36.2717871595
2004-03-15,NEM,0.821376,0.153131,0.894611,1.314022,0.472,0.186,0.36,35.36,5.233,2.39,16.496,35.6770284101,31.8195930926
2004-04-30,NEM,1.135439,0.086681,0.234584,1.548606,0.683,0.076,0.2,33.804,4.318,2.235,15.21,31.7771103248,33.1565806778
2004-07-28,NEM,1.135439,0.086681,0.234584,1.548606,0.683,0.076,0.2,35.612,4.548,2.355,15.21,33.5396477202,34.4504960213
2004-08-02,NEM,0.996009,0.037496,-0.073781,1.474825,0.646,0.038,0.08,41.898,4.263,2.438,15.192,34.4079330166,40.0762191204
2004-11-04,NEM,1.162695,0.128727,-0.057821,1.417004,0.575,0.111,0.29,48.156,4.751,2.859,15.424,40.8777435028,38.7844500693
2005-03-15,NEM,1.230042,0.190423,-0.451348,0.782706,0.567,0.155,0.43,41.727,4.089,2.583,16.103,38.6388692234,31.5396620899
2005-04-29,NEM,0.961,0.084,0.276,1.059,0.645,0.087,0.19,35.525,3.599,2.171,16.166,32.5159101155,32.2417844558
2005-08-01,NEM,1.006,0.05,-0.316,0.741,0.63,0.05,0.11,34.315,3.567,2.156,17.434,32.2761298987,37.8297525704
2005-10-28,NEM,1.164,0.126,0.354,1.095,0.632,0.108,0.28,40.656,4.199,2.465,16.655,37.9846867106,45.6900262916
2006-03-02,NEM,1.283,0.062,-0.013,1.082,0.629,0.048,0.14,70.19,5.13,3.036,16.693,46.7078520614,49.0208935945
2006-04-28,NEM,1.148,0.209,-0.103,0.979,0.621,0.182,0.47,54.655,5.31,3.175,17.174,50.4382819142,45.9209714513
