datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-06,NFX,0.200747,0.056737,-0.011817,0.051789,1.304,0.283,0.64,7.249,2.013,2.035,8.008,16.46,17.405
2001-11-01,NFX,0.183259,0.042976,-0.018594,0.033195,1.296,0.235,0.48,7.726,2.041,2.029,8.584,17.51,17.51
2001-11-02,NFX,0.183259,0.042976,-0.018594,0.033195,1.296,0.235,0.48,7.631,2.016,2.004,8.584,17.295,18.325
2002-03-15,NFX,0.156073,-0.03911,-0.006585,0.02661,1.343,-0.251,-0.44,13.839,2.197,2.319,8.068,18.59,18.925
2002-05-01,NFX,0.148039,0.016326,-0.001482,0.025128,1.336,0.11,0.18,22.08,2.468,2.468,7.784,19.15,16.185
2002-08-14,NFX,0.161611,0.01627,-0.017471,0.007657,1.253,0.101,0.18,39.452,2.217,2.017,8.037,16.195,17.495
2002-11-12,NFX,0.15261,0.009371,0.016037,0.023694,1.195,0.061,0.1,541.567,2.502,2.132,8.168,17.385,16.405
2003-03-26,NFX,0.19949,0.03188,0.025204,0.048898,1.295,0.16,0.34,22.992,2.566,1.682,10.652,16.31,18.625
2003-05-14,NFX,0.279284,0.064141,-0.006312,0.042586,1.444,0.23,0.62,15.989,2.453,1.819,10.306,18.65,19.13
2003-08-12,NFX,0.255552,0.045815,0.001837,0.044423,1.028,0.179,0.43,14.398,2.455,1.723,11.814,19.505,20.37
2003-11-12,NFX,0.248664,0.049379,-0.019453,0.02497,0.977,0.199,0.44,11.88,2.311,1.687,12.047,20.275,23.285
2004-03-15,NFX,0.244879,0.040154,-0.009623,0.015347,0.997,0.164,0.35,13.174,2.584,1.92,12.213,23.325,26.96
2004-04-29,NFX,0.305355,0.077908,0.001586,0.016933,0.961,0.255,0.69,13.865,2.804,2.07,12.773,26.22,29.535
2004-08-02,NFX,0.282737,0.067414,0.01092,0.027853,0.967,0.238,0.6,14.259,3.096,2.213,13.482,29.545,30.1
2004-11-05,NFX,0.327725,0.076532,0.001003,0.028856,1.25,0.234,0.65,14.38,3.246,2.018,15.748,30.255,36.575
2005-03-10,NFX,0.436883,0.090246,0.029491,0.0583,1.146,0.207,0.73,14.396,3.321,2.228,16.305,35.6,35.225
2005-04-29,NFX,0.4131,0.06,-0.0274,0.0309,1.201,0.145,0.48,15.259,3.074,2.238,16.125,35.515,42.57
2005-07-29,NFX,0.4458,0.1042,0.0277,0.0586,1.121,0.234,0.83,16.269,3.317,2.511,17.126,42.49,44.35
2005-10-28,NFX,0.4603,-0.0002,0.0437,0.1023,1.308,0.0,0.0,22.58,3.269,2.725,16.772,45.12,39.42
2006-03-03,NFX,0.4428,0.184,-0.063,0.039,1.137,0.416,1.47,14.878,2.938,2.177,19.07,40.29,44.6
2006-05-01,NFX,0.431,0.149,0.002,0.041,1.121,0.346,1.18,13.364,3.281,2.309,20.071,45.41,45.28
2006-07-28,NFX,0.39,0.094,0.032,0.073,1.244,0.241,0.74,13.986,3.462,2.254,20.85,45.65,39.84
2006-10-31,NFX,0.425,0.266,0.192,0.265,1.175,0.626,2.1,7.592,3.115,1.786,23.381,40.79,43.18
2007-03-01,NFX,0.427,0.082,-0.185,0.08,1.167,0.192,0.65,9.441,3.335,1.822,24.11,42.92,45.91
2007-04-27,NFX,0.44,-0.096,-0.054,0.026,1.236,-0.218,-0.75,16.868,3.47,1.96,23.449,44.9,48.05
2007-08-01,NFX,0.528,0.15,0.011,0.037,1.436,0.284,1.17,15.74,3.477,2.006,24.835,48.5,53.62
2007-10-29,NFX,0.419,0.083,0.104,0.141,1.029,0.198,0.65,31.967,3.859,2.151,25.43,53.48,56.7
2008-02-29,NFX,0.399,0.313,0.109,0.25,0.951,0.784,2.45,16.183,4.084,2.034,27.336,55.38,61.9
2008-04-25,NFX,0.515,-0.064,-0.17,0.08,1.061,-0.124,-0.5,17.901,4.636,2.439,27.419,65.49,52.27
2008-07-25,NFX,0.691,-0.244,-0.052,0.028,1.426,-0.353,-1.89,77.694,3.378,2.069,25.612,51.72,20.78
2008-10-24,NFX,0.68,0.724,0.007,0.035,1.09,1.065,5.59,3.646,1.163,0.659,31.271,20.1,19.6
2009-02-27,NFX,0.338,-0.789,-0.011,0.024,1.243,-2.334,-6.1,-6.882,1.154,0.788,25.248,19.33,30.0
2009-04-24,NFX,0.262,-0.694,0.014,0.038,1.427,-2.649,-5.35,-4.297,2.187,1.676,19.785,32.5,39.36
2009-07-24,NFX,0.287,-0.039,0.0,0.038,1.378,-0.136,-0.3,-6.738,3.431,2.111,19.592,40.53,47.5
2009-10-23,NFX,0.375,0.078,0.058,0.096,1.288,0.208,0.59,-4.24,4.851,2.321,20.292,46.08,50.15
2010-02-26,NFX,0.414,0.113,-0.018,0.078,1.259,0.273,0.88,-12.538,5.079,2.455,20.812,51.07,58.02
2010-04-30,NFX,0.458,0.244,0.034,0.112,1.261,0.533,1.87,19.602,5.06,2.57,23.231,58.19,52.21
2010-07-23,NFX,0.448,0.096,0.01,0.122,1.24,0.214,0.73,12.958,4.059,2.2,23.697,51.5,58.91
2010-10-22,NFX,0.449,0.161,0.006,0.128,1.19,0.359,1.22,12.888,4.473,2.398,25.0,59.11,69.32
2011-02-25,NFX,0.528,0.022,-0.089,0.039,1.242,0.042,0.17,18.53,5.147,2.899,25.326,72.14,71.69
2011-04-25,NFX,0.545,-0.017,0.017,0.056,1.319,-0.031,-0.13,36.144,4.807,2.845,25.023,70.42,72.85
2011-07-22,NFX,0.621,0.219,0.018,0.074,1.381,0.353,1.64,25.494,4.58,2.755,26.582,72.91,35.81
2011-10-21,NFX,0.628,0.269,-0.043,0.031,1.32,0.428,2.0,10.028,2.129,1.288,28.642,36.73,36.6
