datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,NOV,0.434628,0.025299,-0.024472,0.039696,0.888,0.058,0.15,21.078,0.97,1.693,4.994,5.93857441033,6.92133707795
2001-11-14,NOV,0.486812,0.028938,-0.017504,0.022192,0.878,0.059,0.18,17.477,0.889,1.696,5.22,6.21576388068,8.56767453824
2002-03-28,NOV,0.465743,0.028348,0.021028,0.04322,0.696,0.061,0.18,19.703,1.173,2.363,5.362,8.89526209412,9.31524614011
2002-05-13,NOV,0.388986,0.021185,-0.014699,0.028521,0.647,0.054,0.13,21.321,1.246,2.495,5.48,9.59243561046,6.34175909448
2002-08-12,NOV,0.37239,0.016961,0.006029,0.03455,0.583,0.046,0.1,15.717,0.875,1.653,5.603,6.50135303196,7.33292144302
2002-11-12,NOV,0.366929,0.017756,0.017736,0.052286,0.582,0.048,0.11,19.594,1.036,1.792,5.687,7.15652814371,8.09729240673
2003-03-07,NOV,0.393641,0.017168,0.066052,0.118338,1.099,0.044,0.11,26.373,1.266,2.065,5.761,8.03849464029,7.82850261729
2003-04-14,NOV,0.393641,0.017168,0.066052,0.118338,1.099,0.044,0.11,25.393,1.219,1.988,5.761,7.73610612718,8.6348719856
2003-05-15,NOV,0.500576,0.019166,-0.052977,0.065361,1.05,0.038,0.12,28.845,1.255,2.027,6.04,8.54247549548,6.81214122599
2003-08-14,NOV,0.475398,0.02036,-0.003208,0.062153,1.0,0.043,0.12,21.897,0.939,1.551,6.223,6.73654409772,6.87093899243
2003-11-14,NOV,0.4986,0.022714,0.012142,0.074295,0.991,0.046,0.14,20.92,0.889,1.544,6.329,6.86253931151,10.0208193374
2004-03-15,NOV,0.530346,0.014581,-7.8e-05,0.074217,1.042,0.027,0.09,32.174,1.233,2.267,6.409,10.1552142321,9.39924294931
2004-05-10,NOV,0.496205,0.010964,-0.006526,0.067691,1.0,0.022,0.07,32.209,1.105,1.988,6.508,9.04645635067,10.4072046597
2004-08-09,NOV,0.533555,0.021387,-0.005013,0.062678,0.975,0.04,0.13,38.575,1.305,2.369,6.609,10.9867826432,11.3479689227
2004-11-09,NOV,0.618892,0.027829,0.010687,0.073365,0.973,0.045,0.16,37.226,1.277,2.356,6.877,11.3731679655,16.9085576916
2005-03-08,NOV,0.669448,0.05002,0.069352,0.1427,0.991,0.075,0.29,37.893,1.801,3.221,7.526,17.0177535436,15.7830004484
2005-05-10,NOV,0.8149,0.0356,0.1524,0.2951,0.582,0.044,0.17,55.954,2.861,1.918,18.673,15.405014807,20.3188281451
2005-08-05,NOV,1.2157,0.0612,0.0273,0.3224,0.6,0.05,0.17,56.591,2.978,2.484,11.545,20.0248393129,21.696375816
