datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,NUE,1.078574872,0.033292863,0.053177569,0.385170638,0.723,0.031,0.11,17.249,0.861,1.692,7.01,7.50385678602,6.9252240106
2001-11-09,NUE,1.053088039,0.020463277,0.085970842,0.47114148,0.744,0.019,0.07,20.878,0.833,1.588,7.027,7.09973230795,9.40507876241
2002-03-22,NUE,0.979567947,0.026465891,-0.008792933,0.462348547,0.708,0.027,0.08,40.792,1.113,2.093,7.059,9.4326327041,9.32241693735
2002-05-07,NUE,1.028164467,0.020262295,-0.006131633,0.456216914,0.694,0.02,0.07,45.359,1.101,2.056,7.113,9.34997087904,7.87124267518
2002-08-08,NUE,1.14167748,0.059748302,0.081361438,0.537578352,0.708,0.052,0.19,32.268,0.975,1.806,7.262,8.41313686169,7.26505595807
2002-11-08,NUE,1.165641454,0.0391788,-0.014570905,0.523007447,0.753,0.034,0.13,23.497,0.793,1.493,7.333,7.06299371904,6.53946882699
2003-03-25,NUE,1.466293136,0.042890618,-0.304002579,0.219004868,0.886,0.029,0.14,19.382,0.654,1.352,7.428,6.5119148853,7.05380907181
2003-05-07,NUE,1.480270987,0.017781759,-0.037294467,0.181710401,0.885,0.012,0.06,20.937,0.636,1.437,7.436,6.96196259952,7.73347296675
2003-08-07,NUE,1.520460884,0.00842509,0.000565826,0.182276227,0.876,0.006,0.03,34.597,0.665,1.615,7.415,7.83450408626,8.93666175373
2003-11-05,NUE,1.604011344,0.016021779,0.102663586,0.284939813,0.912,0.01,0.05,50.063,0.702,1.835,7.422,8.94584640096,9.25812440675
2004-03-12,NUE,1.661080252,0.020552595,0.06539243,0.350332243,0.918,0.012,0.07,72.75,0.729,1.95,7.433,9.5612177653,10.1214812463
2004-05-05,NUE,2.286416,0.113238,0.047582,0.397914,0.967,0.05,0.36,30.827,0.69,1.987,7.792,10.2225123658,13.8963712573
2004-08-04,NUE,2.761822,0.251442,0.104136,0.50205,0.889,0.091,0.8,16.489,0.796,2.445,8.561,13.8504480212,14.9617903359
2004-11-03,NUE,3.239592,0.415387,0.256102,0.758152,0.89,0.128,1.31,9.244,0.744,2.376,9.807,15.485315228,20.6470869706
2005-03-08,NUE,3.088998,0.341418,0.020897,0.779049,0.775,0.111,1.08,8.526,0.84,2.767,10.816,19.9674230757,17.3845633282
2005-05-05,NUE,3.322621,0.354666,0.423662,1.202711,0.747,0.107,1.11,6.148,0.675,2.214,11.852,17.255910962,19.0938731838
2005-08-04,NUE,3.145003,0.322707,-0.141956,1.060755,0.681,0.103,1.02,6.198,0.695,2.312,12.168,18.9275502467,21.2144252678
2005-11-03,NUE,3.025911,0.291877,0.546483,1.607238,0.702,0.096,0.94,7.411,0.772,2.375,13.122,20.9062902623,30.451988075
2006-03-07,NUE,3.207464,0.341034,0.230272,1.83751,0.668,0.106,1.1,10.422,1.075,3.191,13.769,29.7147828112,39.9022441154
2006-05-04,NUE,3.545097,0.379161,0.147828,1.127978,0.644,0.107,1.22,13.925,1.438,4.072,14.696,40.6102859833,35.2663508152
2006-08-07,NUE,3.80635,0.452783,-0.244657,0.883321,0.665,0.119,1.46,10.987,1.185,3.461,14.991,35.9411072346,40.017943452
2006-11-03,NUE,3.931233,0.517578,-0.050724,0.832597,0.692,0.132,1.7,10.276,1.199,3.723,15.305,40.0736981625,42.2876890327
2007-02-28,NUE,3.46859,0.408159,-0.046946,0.785651,0.634,0.118,1.36,10.428,1.243,3.798,16.026,42.8794208132,47.2434117364
2007-05-08,NUE,3.768885,0.381029,0.095955,0.881606,0.652,0.101,1.27,11.305,1.328,3.872,17.063,46.8807666433,38.408500715
2007-08-07,NUE,4.16811,0.34485,-0.25715,0.624456,0.634,0.083,1.14,9.719,1.047,3.097,17.201,38.5162888368,41.3752148257
2007-11-06,NUE,4.259221,0.381222,-0.3522,0.272256,0.698,0.09,1.3,11.226,1.086,3.48,16.679,42.8850472264,49.7912674217
2008-02-27,NUE,4.39676,0.364846,1.121687,1.393943,0.922,0.083,1.27,13.325,1.182,3.836,17.75,49.9232425084,58.3513330616
2008-05-07,NUE,4.974269,0.409754,-0.659948,0.733995,1.09,0.082,1.42,15.108,1.274,4.179,18.826,58.0263794286,38.2202741358
2008-08-05,NUE,7.090599,0.580754,2.057885,2.79188,0.894,0.082,1.95,9.509,0.797,2.087,26.534,38.7929460775,28.4651077497
2008-11-04,NUE,7.44752,0.73459,-1.137544,1.654336,0.876,0.099,2.32,5.958,0.521,1.523,25.817,29.8420875853,27.3089560003
2009-02-26,NUE,4.150936,0.105892,0.700794,2.35513,0.75,0.026,0.28,6.025,0.466,1.391,25.25,26.6415891222,32.7002792652
2009-05-12,NUE,2.654319,-0.189645,-0.455051,1.900079,0.622,-0.071,-0.6,10.903,0.629,1.77,24.139,32.6849808889,36.3069604136
2009-08-11,NUE,2.478028,-0.133337,0.160124,2.060203,0.631,-0.054,-0.43,27.934,0.864,1.939,23.686,35.4127762505,32.1332887676
