datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,NWL,1.724653,0.072007,-0.004083,0.01579,2.056,0.042,0.27,19.257,0.901,2.679,8.837,15.4133467945,17.6578078299
2001-11-14,NWL,1.767818,0.08347,-0.006533,0.009257,1.99,0.047,0.31,24.832,1.01,2.961,9.065,17.7694829538,21.742047639
2002-03-07,NWL,1.806112,0.070737,-0.002455,0.006802,1.986,0.039,0.26,34.267,1.312,3.727,9.124,21.4085806506,21.341887253
2002-03-11,NWL,1.806112,0.070737,-0.002455,0.006802,1.986,0.039,0.26,35.206,1.348,3.829,9.124,21.9954825501,23.9229217426
2002-05-15,NWL,1.597008,-0.463985,0.003357,0.010159,2.506,-0.291,-1.74,-40.081,1.382,5.055,7.066,23.8095429666,23.369891248
2002-08-13,NWL,1.89499,0.088622,-9.1e-05,0.010068,2.652,0.047,0.33,-42.246,1.322,4.612,7.586,23.4638270727,20.5072582944
2002-11-13,NWL,1.9483,0.0762,-0.003366,0.0067,2.611,0.039,0.29,-35.732,1.126,3.984,7.667,20.6085120384,19.4875402041
2003-03-28,NWL,2.0136,0.0958,0.0484,0.0551,2.581,0.048,0.36,-38.272,1.044,3.772,7.717,19.4396256339,20.5690405034
2003-04-30,NWL,1.7364,0.016,-0.0449,0.0102,2.492,0.009,0.06,30.213,1.101,3.762,8.121,20.8633728634,16.1048058455
2003-08-05,NWL,1.9761,0.0738,0.0252,0.0354,2.499,0.037,0.27,24.778,0.845,2.793,8.471,16.3048227061,15.8631524152
2003-11-10,NWL,1.9447,0.0752,0.0417,0.0771,2.425,0.039,0.27,23.947,0.814,2.685,8.478,15.8422706875,17.6299681008
2004-03-15,NWL,2.0928,-0.2116,0.0673,0.1444,2.71,-0.101,-0.77,-140.29,0.844,3.242,7.348,16.8508212583,16.0291754971
2004-05-10,NWL,1.541,-0.0749,-0.0925,0.0519,2.771,-0.049,-0.27,-45.347,0.825,3.261,6.967,16.0716744158,14.8734644209
2004-08-09,NWL,1.7358,0.061,0.0591,0.111,2.613,0.035,0.22,-38.409,0.789,3.038,6.925,15.0092625103,16.1491644891
2004-11-09,NWL,1.6718,-0.2264,0.2435,0.3545,3.06,-0.135,-0.83,-13.865,0.89,3.852,5.928,16.4595865155,16.3827020239
2005-03-03,NWL,1.8085,0.1242,0.1511,0.5056,2.778,0.069,0.46,-52.735,0.907,3.47,6.429,16.3827020239,15.8826913696
2005-05-06,NWL,1.3936,0.0366,-0.0758,0.4298,2.653,0.026,0.13,-1292.115,0.899,3.429,6.316,15.8753382718,18.5328936511
2005-08-05,NWL,1.6411,0.0662,-0.2176,0.2122,2.568,0.04,0.24,11232.24,1.034,3.953,6.214,18.1692125181,16.8510923529
2005-11-09,NWL,1.5982,0.0715,0.2733,0.4855,2.564,0.045,0.26,21.052,0.976,3.655,6.265,17.0756737703,18.1381098696
2006-02-16,NWL,1.7262,0.077,-0.37,0.1155,2.923,0.045,0.28,26.314,1.043,4.024,5.988,18.1985450545,21.0906158195
2006-05-02,NWL,1.4848,0.0548,0.0606,0.1761,2.841,0.037,0.2,28.081,1.173,4.564,6.04,20.831554787,20.4680126253
2006-08-07,NWL,1.6968,0.1195,-0.0598,0.1163,2.782,0.07,0.44,22.981,1.14,4.293,6.292,20.5755368942,22.0997322396
2006-11-06,NWL,1.5861,0.1085,0.0211,0.1374,2.575,0.068,0.39,22.242,1.232,4.392,6.635,22.3474350178,24.0298349397
2007-03-01,NWL,1.6382,0.1022,0.0636,0.201,2.339,0.062,0.37,22.049,1.369,4.491,6.883,24.0062839744,24.4930039242
