datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,O,0.029926,0.013476,-0.000812,0.00118,0.537,0.369,0.2,17.027,7.094,1.475,9.942,5.93195403088,5.91228728182
2001-11-14,O,0.031007,0.017186,0.010444,0.011624,0.579,0.476,0.25,16.92,7.645,1.592,9.094,5.97419604917,6.81231036948
2002-03-21,O,0.033773,0.018423,-0.009157,0.002467,0.494,0.474,0.25,18.545,8.496,1.597,10.11,6.83135098853,7.10366816093
2002-05-14,O,0.033659,0.018294,0.001263,0.00373,0.474,0.471,0.24,19.326,8.682,1.64,10.196,7.15931605854,7.2460214528
2002-08-09,O,0.033901,0.018445,0.017512,0.021242,0.597,0.472,0.24,18.566,8.787,1.719,9.701,7.25690136489,7.49319759579
2002-11-08,O,0.036055,0.02182,-0.012851,0.008391,0.484,0.538,0.28,17.744,8.688,1.647,10.394,7.57731620986,7.85485132049
2003-03-05,O,0.037152,0.020108,0.00053,0.008921,0.495,0.476,0.25,17.772,8.693,1.696,10.332,7.93407892747,8.35206948965
2003-05-08,O,0.035682,0.018034,-0.005315,0.003606,0.522,0.437,0.23,18.757,9.024,1.793,10.264,8.42071663614,9.07430370915
2003-08-08,O,0.036505,0.02059,0.001113,0.004719,0.562,0.498,0.26,19.272,9.39,1.905,10.231,9.05571834569,9.42857568094
2003-11-06,O,0.03759,0.020329,0.00099,0.005709,0.626,0.476,0.26,21.784,10.282,2.116,9.419,9.39791748087,10.2102082662
2004-02-19,O,0.046824,0.027483,-0.000872,0.004837,0.643,0.535,0.34,23.476,11.537,2.176,9.824,10.2317487899,8.96159590206
2004-05-10,O,0.042396,0.024851,0.000713,0.00555,0.601,0.529,0.29,17.189,8.793,1.604,11.302,8.80135062178,9.9993750913
2004-08-06,O,0.04454,0.026788,0.00949,0.01504,0.543,0.481,0.27,18.5,9.374,1.739,11.652,9.98951620534,11.9608175928
2004-11-03,O,0.044112,0.025203,-0.006557,0.008483,0.619,0.498,0.28,21.297,10.885,2.181,11.197,12.2083345121,12.20796205
2005-03-04,O,0.045329,0.026556,-0.006342,0.002141,0.578,0.536,0.31,21.686,11.138,2.14,11.482,12.4822982758,12.2719387676
2005-05-04,O,0.046743,0.023503,0.008935,0.011076,0.675,0.453,0.27,21.584,10.617,2.11,11.424,12.3642475423,13.064438106
2005-08-03,O,0.047473,0.024666,-0.009128,0.001948,0.735,0.47,0.28,22.341,10.92,2.215,11.377,13.0904214754,11.4269122497
2005-11-02,O,0.049166,0.023122,0.000296,0.002244,0.813,0.422,0.26,20.888,9.801,1.864,12.437,11.6590378909,12.7453529181
2006-02-23,O,0.053385,0.027828,0.06346,0.065704,0.942,0.477,0.31,22.028,10.048,1.998,12.237,12.6221317675,12.1388364803
2006-05-05,O,0.055315,0.024888,-0.061597,0.004107,0.749,0.407,0.27,20.594,9.137,1.701,13.258,12.2802386974,12.7333792094
2006-08-03,O,0.056504,0.02664,0.006638,0.010746,0.8,0.43,0.28,22.313,9.688,1.893,12.426,12.8714852746,14.690875181
2006-11-06,O,0.059307,0.026558,0.102629,0.113374,0.804,0.408,0.27,27.229,11.705,2.194,13.433,14.7581616322,16.8127755245
2007-02-21,O,0.069108,0.032696,-0.102801,0.010573,0.616,0.411,0.29,29.94,12.398,1.889,16.039,16.7502533708,16.1319905262
2007-05-03,O,0.071301,0.036323,-0.005174,0.005399,0.641,0.424,0.3,26.571,11.111,1.814,15.681,16.2356961796,13.8727268654
2007-08-02,O,0.070693,0.036936,0.003515,0.008914,0.628,0.437,0.31,21.552,9.064,1.568,15.609,14.1826992616,16.9335158943
2007-11-02,O,0.074089,0.033973,0.25773,0.266644,0.983,0.377,0.28,24.169,9.952,1.829,15.485,16.6605860656,14.0421970298
2008-02-15,O,0.080616,0.033176,-0.073543,0.193101,1.001,0.336,0.27,20.64,8.085,1.559,15.33,14.265184708,15.6391392276
2008-05-02,O,0.083423,0.029761,-0.179758,0.013343,0.998,0.284,0.24,23.228,8.243,1.673,15.17,15.394107669,16.0377028603
2008-07-31,O,0.082432,0.033051,0.02603,0.039373,1.017,0.327,0.27,24.149,7.963,1.692,15.031,15.6950169018,13.9235194878
2008-10-31,O,0.082535,0.034697,0.073189,0.112562,0.969,0.347,0.29,22.65,7.327,1.536,15.639,14.6590059452,12.2082001115
2009-02-12,O,0.082668,0.034331,-0.065747,0.046815,0.926,0.342,0.27,18.772,6.116,1.299,15.019,12.525212197,14.8482652754
2009-04-30,O,0.082894,0.030084,-0.036377,0.010438,0.909,0.29,0.23,21.587,7.048,1.517,14.844,14.7754796613,15.6345577458
2009-07-30,O,0.081638,0.03256,0.025385,0.035823,0.931,0.325,0.26,22.94,7.473,1.622,14.682,15.9378460416,15.1656853069
2009-10-29,O,0.081961,0.033152,-0.015781,0.020042,0.931,0.331,0.26,22.96,7.385,1.618,14.52,15.9926290757,17.9558430411
2010-02-11,O,0.081397,0.035331,-0.010016,0.010026,0.959,0.36,0.28,25.428,8.296,1.826,14.346,18.1510910431,23.3551625691
2010-04-29,O,0.083265,0.030205,-0.009177,0.000849,0.98,0.29,0.23,33.571,10.942,2.448,14.164,24.3080363034,23.2613875801
2010-07-29,O,0.083466,0.031048,2.3e-05,0.000872,1.169,0.299,0.24,31.513,10.07,2.294,13.986,22.8001734881,25.407028144
2010-10-28,O,0.087173,0.031654,0.15471,0.155582,1.019,0.294,0.25,36.641,11.363,2.342,15.67,24.9905213468,25.6292999281
2011-02-10,O,0.091786,0.037877,-0.137975,0.017607,0.914,0.347,0.29,38.878,12.005,2.242,16.471,25.761637105,26.6996828709
2011-04-28,O,0.097756,0.035999,0.1121,0.129707,0.787,0.306,0.25,40.727,12.701,2.168,17.738,26.8439011857,24.469603988
2011-08-01,O,0.102626,0.039248,0.025964,0.155671,0.909,0.323,0.26,34.211,10.87,1.972,16.595,24.4997575357,25.8895522036
2011-10-28,O,0.107296,0.04078,-0.150128,0.005543,0.879,0.324,0.27,34.881,11.321,1.987,18.006,25.9239096542,28.6958985472
2012-02-13,O,0.113427,0.041005,-0.001378,0.004165,0.96,0.308,0.26,37.119,11.705,2.186,16.978,28.6881345054,30.8356699975
2012-04-27,O,0.114723,0.039263,0.001029,0.005194,0.787,0.227,0.2,40.618,11.953,2.128,18.562,30.8245688433,32.9590448511
2012-07-26,O,0.115643,0.043407,0.00087,0.006064,0.851,0.285,0.25,42.424,12.102,2.208,18.65,32.3656871065,32.5898153609
2012-10-25,O,0.120237,0.037458,-0.00327,0.002794,1.062,0.224,0.2,44.337,11.556,2.195,18.399,32.1339578209,36.1893608078
2013-02-14,O,0.125578,0.039023,0.002454,0.005248,1.256,0.227,0.21,69.186,16.665,3.284,18.131,35.9781546617,40.5414821395
2013-04-26,O,0.171695,0.071804,-0.001089,0.004159,0.706,0.357,0.36,65.071,18.282,1.901,29.871,40.6724988461,36.795316675
2013-07-25,O,0.184319,0.05467,0.018416,0.022575,0.85,0.24,0.23,54.041,14.459,1.717,25.918,36.7538898379,35.9326885293
2013-10-31,O,0.199304,0.051571,-0.012615,0.00996,0.965,0.206,0.21,46.694,12.01,1.632,25.593,35.1148868429,35.4659339405
2014-02-14,O,0.227977,0.064336,0.000297,0.010257,0.836,0.236,0.26,42.531,11.127,1.608,26.451,35.6711370298,37.6272495549
2014-05-01,O,0.221572,0.057661,0.003885,0.014142,0.963,0.213,0.23,51.358,11.484,1.797,25.727,37.4194120429,39.5485378587
2014-07-24,O,0.228646,0.061902,-0.005234,0.008908,0.848,0.225,0.23,51.442,11.346,1.706,26.408,39.0507973734,40.6037991164
2014-10-30,O,0.235713,0.073283,0.008028,0.016936,0.962,0.246,0.26,49.238,11.335,1.863,25.046,41.305145505,46.4886061364
2015-02-18,O,0.247573,0.077788,-0.013084,0.003852,0.957,0.287,0.32,52.068,12.693,2.111,25.155,47.2697009093,43.4266416576
2015-04-30,O,0.246867,0.067264,0.008338,0.01219,0.959,0.245,0.27,45.345,11.392,1.933,25.073,42.6547335562,43.8012685959
2015-07-30,O,0.25386,0.066087,0.006551,0.018741,0.964,0.234,0.26,44.95,11.364,1.876,25.646,43.7737955025,46.9046848076
2015-10-29,O,0.258889,0.067475,-0.011667,0.007074,0.94,0.234,0.26,49.298,12.312,2.053,25.569,46.2284601521,53.4240450852
2016-02-11,O,0.263668,0.082941,0.03322,0.040294,0.813,0.289,0.31,58.68,14.72,2.306,26.256,56.5666359725,56.4472180512
2016-04-27,O,0.267116,0.070243,-0.031599,0.008695,0.855,0.238,0.25,57.487,14.305,2.304,25.898,56.3051529051,66.5423456265
2016-07-28,O,0.271039,0.075815,0.011748,0.020443,0.798,0.255,0.27,67.84,17.23,2.687,26.84,67.7753727092,60.1027626776
2016-10-26,O,0.277174,0.077072,0.009358,0.029801,0.854,0.254,0.27,56.829,14.694,2.347,26.172,59.1476786479,59.8230165912
2017-02-23,O,0.287843,0.092441,-0.020381,0.00942,0.941,0.298,0.33,56.678,14.822,2.416,26.187,61.5059670089,58.9471750059
2017-04-26,O,0.298025,0.08887,0.018178,0.027598,0.905,0.24,0.27,54.51,14.256,2.298,26.714,58.3363234514,57.7061241552
