datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,OKE,0.194044,0.023608,-7e-06,0.083872,3.653,0.074,0.09,9.516,1.205,0.797,5.618,3.44291680389,3.60373245078
2001-11-07,OKE,0.203249,0.018787,-0.000136,0.068911,3.438,0.047,0.07,9.032,1.198,0.813,5.641,3.559873638,4.07155978719
2002-03-14,OKE,0.194213,-0.005689,0.028123,0.07001,3.646,-0.077,-0.02,18.655,1.323,0.95,5.558,4.10079899572,4.51745771721
2002-05-10,OKE,0.307572,0.072598,0.122476,0.160413,3.156,0.206,0.27,18.094,1.453,0.982,5.817,4.48090870655,3.94729315096
2002-08-12,OKE,0.254919,0.035383,-0.106927,0.043778,3.252,0.102,0.13,13.883,1.215,0.869,5.882,4.03501077654,3.72068928489
2002-11-14,OKE,0.225198,0.020719,-0.037869,0.005909,3.232,0.051,0.07,12.698,1.111,0.811,5.893,3.80109710833,3.82302651473
2003-03-10,OKE,0.187971,0.037924,0.067613,0.073522,3.197,0.152,0.14,10.259,1.362,0.973,5.972,3.78647750407,4.21044602769
2003-05-05,OKE,0.409658,0.022433,0.209466,0.293965,3.864,0.018,0.22,25.558,1.742,1.525,6.439,4.23237543409,4.42974009163
2003-08-04,OKE,0.232436,0.022548,-0.124995,0.157993,3.551,0.075,0.11,23.58,1.449,1.239,7.263,4.40781068524,4.34202246606
2003-11-05,OKE,0.194382,0.004595,-0.145878,0.02008,3.622,0.003,0.0,29.867,1.575,1.343,6.751,4.33471266393,5.06569287707
2004-03-03,OKE,0.306708,0.062912,5.7e-05,0.054596,4.086,0.205,0.33,26.473,2.056,1.883,6.295,5.02914386641,4.66365375984
2004-04-30,OKE,0.392759,0.105153,0.010065,0.048597,3.016,0.268,0.46,11.554,1.91,1.45,6.553,4.65634395771,5.06569287707
2004-08-04,OKE,0.230052,0.017789,-0.003277,0.039445,3.167,0.077,0.07,12.535,2.079,1.605,6.217,5.09493208559,5.92824952857
2004-11-03,OKE,1.726762,0.020839,-0.001201,0.037722,3.591,0.012,0.09,13.519,1.052,1.997,5.952,6.13292398825,7.06857866107
2005-03-08,OKE,2.598604,0.098397,-0.008301,0.041852,3.479,0.038,0.42,13.313,0.538,2.008,6.806,7.08319826533,6.78349637795
2005-05-05,OKE,2.752863,0.107664,0.026037,0.106301,3.357,0.039,0.46,12.391,0.415,1.929,6.639,6.87121400352,8.32586462767
2005-08-03,OKE,2.12112,0.024852,-0.018892,0.09341,3.469,0.012,0.11,14.084,0.385,2.366,6.485,8.18697838718,6.73232776303
2005-11-04,OKE,3.192206,0.184534,0.069557,0.173781,6.479,0.058,0.81,6.635,0.258,1.989,6.071,6.65191993958,6.95162182697
2006-03-13,OKE,4.696193,0.229495,-0.078245,0.007915,4.579,0.049,1.02,6.311,0.272,1.922,8.063,6.99548063976,7.83610788487
2006-05-04,OKE,3.918322,0.129492,-0.014687,0.0368,3.557,0.033,0.53,6.742,0.275,1.627,9.622,7.82879808274,9.13725266426
2006-08-04,OKE,2.431907,0.077795,0.609031,0.645349,3.301,0.032,0.29,7.107,0.31,1.866,8.82,9.08608404934,10.0655975349
2006-11-03,OKE,2.640877,0.0244,-0.397874,0.409047,3.727,0.009,0.1,9.932,0.335,2.125,8.336,10.1313857541,10.2410327861
2007-03-01,OKE,3.06768,0.074625,-0.179207,0.168431,3.74,0.024,0.3,15.257,0.393,2.109,8.798,10.3652994223,12.0538637147
2007-05-02,OKE,3.799006,0.15288,0.157242,0.22551,3.681,0.04,0.6,16.425,0.454,2.45,8.729,12.0757931211,12.0977225275
2007-08-03,OKE,2.871304,0.035203,0.077778,0.303288,4.366,0.012,0.14,17.39,0.403,2.682,7.35,11.9807656934,12.8360125428
2007-11-02,OKE,2.809997,0.013914,0.530457,0.833745,4.824,0.005,0.06,19.519,0.43,2.879,7.903,13.069926211,12.3023969872
2008-02-27,OKE,3.984968,0.102924,-0.81464,0.019105,4.617,0.026,0.43,16.398,0.371,2.539,8.309,12.1708205488,12.126961736
2008-05-02,OKE,4.902076,0.143837,0.249635,0.26874,4.601,0.029,0.6,16.828,0.342,2.481,8.433,12.1854401531,11.6664442017
2008-08-06,OKE,4.172866,0.041865,-0.169996,0.098744,5.136,0.01,0.18,16.041,0.306,2.447,8.321,11.9661460891,8.09195095947
2008-11-06,OKE,4.239246,0.058033,-0.0258,0.072944,4.939,0.014,0.25,8.748,0.175,1.474,8.626,7.57295500814,5.86246130939
2009-02-25,OKE,2.843245,0.068174,0.437114,0.510058,5.286,0.024,0.28,7.737,0.149,1.156,8.746,6.05982596694,7.06857866107
2009-04-30,OKE,2.789827,0.122285,-0.433305,0.179108,2.684,0.044,0.51,9.491,0.196,0.85,13.492,7.03202965041,9.10801345573
2009-08-06,OKE,2.227627,0.041679,-0.029715,0.047038,2.467,0.019,0.18,12.12,0.291,1.031,14.183,9.07877424721,10.1386955563
