datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2007-02-13,PBCT,,,,0.5354,6.853,,,,,,,13.8240073404,13.3299660457
2007-04-13,PBCT,0.14,0.0393,0.0333,0.5687,6.978,0.281,0.13,49.988,11.775,4.628,4.453,13.1957819903,13.2226396045
2007-05-10,PBCT,0.1381,0.0336,0.9856,1.5543,7.539,0.243,0.24,,,4.483,4.517,13.0550195997,10.6722062251
2007-08-09,PBCT,0.1757,0.0135,1.0433,2.5976,2.069,0.077,0.05,,,1.067,14.968,10.379727979,10.6807724407
2007-11-09,PBCT,0.182,0.0576,-0.1733,2.4243,1.989,0.316,0.2,34.785,7.878,1.105,15.251,11.034397034,11.306276392
2008-02-29,PBCT,0.1682,0.046,0.9599,3.3842,2.049,0.273,0.16,38.643,8.77,1.31,12.87,11.1345689235,11.3566173335
2008-05-12,PBCT,0.2403,0.0151,-0.4762,2.908,3.045,0.063,0.05,45.511,7.852,1.153,15.084,11.5830836029,11.2420874112
2008-08-08,PBCT,0.228,0.043,-0.4572,2.4508,2.913,0.189,0.13,36.944,7.298,1.146,15.022,11.5713535697,11.3779443361
2008-11-07,PBCT,0.2272,0.046,0.5202,2.971,2.826,0.202,0.14,38.578,6.704,1.105,15.063,11.2897957805,11.9071874044
2009-03-02,PBCT,0.2183,0.0354,-1.4871,1.4839,2.897,0.162,0.1,42.461,6.482,1.145,14.862,11.6336161832,11.3020822721
2009-05-11,PBCT,0.2071,0.0267,1.583,3.0669,3.008,0.129,0.08,37.848,6.494,1.108,14.816,11.3366029877,11.9168121435
2009-08-10,PBCT,0.2122,0.0274,-0.0511,3.0158,3.052,0.129,0.08,43.913,6.88,1.158,14.745,11.9028743515,11.1844673218
2009-11-09,PBCT,0.204,0.0268,-0.6719,2.3439,3.068,0.131,0.08,47.941,6.625,1.09,14.688,11.2618441398,11.1869803593
2010-03-01,PBCT,0.2056,0.0249,1.0741,3.418,3.168,0.121,0.07,54.111,6.606,1.074,14.633,11.1585689806,10.3224831693
2010-05-10,PBCT,0.2207,0.0136,-0.5944,2.8236,2.94,0.062,0.04,60.518,6.659,1.024,14.619,10.73853878,9.84234765671
2010-08-09,PBCT,0.2328,0.016,-1.2669,1.5567,3.055,0.069,0.04,62.407,5.878,0.937,14.596,9.9221308728,9.19586816501
2010-11-09,PBCT,0.2299,0.0241,-0.7583,0.7984,3.082,0.105,0.07,58.957,5.213,0.864,14.54,9.2252479355,9.7964135702
2011-03-01,PBCT,0.2548,0.032,0.1561,0.9545,3.797,0.126,0.09,54.416,4.971,0.893,14.393,9.55856437881,10.1363768059
2011-05-10,PBCT,0.2803,0.0517,0.2869,1.2414,3.837,0.184,0.15,39.219,4.866,0.941,14.412,10.1965333448,8.191475372
2011-08-09,PBCT,0.2838,0.0512,-0.0848,1.1566,3.875,0.18,0.15,26.947,4.085,0.825,13.795,8.66347488229,9.90090804169
2011-11-09,PBCT,0.3103,0.0529,-0.0066,1.15,4.144,0.17,0.15,23.985,3.989,0.851,14.67,9.62352851679,9.84640822518
2012-02-29,PBCT,0.2931,0.043,-0.3691,0.7809,4.276,0.147,0.12,22.747,3.873,0.865,14.547,9.82300154953,9.4917731016
2012-05-10,PBCT,0.296,0.0586,0.3276,1.1085,4.368,0.198,0.17,20.884,3.631,0.829,14.556,9.53919245098,9.56808366458
2012-08-09,PBCT,0.3011,0.0648,-0.6206,0.4879,4.47,0.215,0.19,19.157,3.499,0.816,14.652,9.58411060539,9.88210112792
2012-11-02,PBCT,0.3011,0.0622,-0.0659,0.422,4.595,0.207,0.18,18.279,3.508,0.818,14.692,9.76030037449,10.7750765302
2013-03-01,PBCT,0.2974,0.0612,0.1794,0.6014,5.018,0.206,0.18,18.28,3.758,0.89,14.878,10.8902300198,11.1835370714
2013-05-10,PBCT,0.2898,0.0525,-0.1537,0.4477,5.262,0.181,0.16,18.563,3.757,0.914,14.773,11.2501553116,12.5426032372
2013-08-09,PBCT,0.2978,0.0621,0.0514,0.4991,5.701,0.209,0.2,20.09,4.031,1.022,14.568,12.5341853827,12.4445407358
2013-11-12,PBCT,0.2954,0.0585,0.0961,0.5952,5.795,0.198,0.19,19.681,3.907,0.994,14.593,12.3509087604,12.1980857761
2014-03-03,PBCT,0.2951,0.0593,-0.1208,0.4744,6.27,0.201,0.19,18.85,3.718,0.959,14.725,12.1550438361,12.5310049045
2014-05-12,PBCT,0.2975,0.0531,0.026,0.5004,6.205,0.178,0.18,19.382,3.808,0.983,14.817,12.6790431835,12.7769447055
2014-08-11,PBCT,0.3195,0.0723,0.0626,0.563,6.318,0.226,0.24,18.539,3.734,0.973,14.939,12.7945559319,13.1948920435
2014-11-10,PBCT,0.3001,0.0616,-0.0434,0.5196,6.47,0.205,0.21,18.606,3.78,0.984,15.115,13.2527839086,13.6343761948
