datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,PCAR,1.5233,0.0395,0.031,0.5001,2.536,0.026,0.1,18.788,0.693,2.041,5.704,7.23701845172,7.51850850442
2001-11-09,PCAR,1.5011,0.0394,0.1086,0.5796,2.524,0.026,0.1,24.897,0.744,2.058,5.806,7.47310688302,9.07124395642
2002-03-22,PCAR,1.5362,0.0504,0.0465,0.6552,2.513,0.033,0.13,32.049,0.914,2.47,5.794,9.06216363214,8.72619163376
2002-05-10,PCAR,1.5015,0.0472,0.0817,0.7369,2.435,0.031,0.12,30.025,0.874,2.304,5.907,8.61722774239,7.27333974884
2002-08-09,PCAR,1.8018,0.0737,-0.0381,0.6988,2.399,0.041,0.19,21.07,0.7,1.816,6.266,7.246098776,7.84540017853
2002-11-12,PCAR,1.9963,0.1289,0.049,0.7478,2.379,0.065,0.33,16.314,0.716,1.924,6.52,8.0451673127,9.30020179128
2003-03-10,PCAR,1.919,0.1222,0.0252,0.773,2.346,0.064,0.31,14.383,0.741,2.057,6.649,8.98044071362,11.8770641592
2003-05-12,PCAR,1.9168,0.1108,0.1121,0.8851,2.264,0.058,0.28,16.644,0.95,2.636,7.019,12.1585542119,15.1823021973
2003-08-08,PCAR,2.0122,0.1241,0.1345,1.0196,2.156,0.062,0.31,18.625,1.154,3.068,7.503,15.1913825216,15.3911496558
2003-11-07,PCAR,2.0585,0.1325,0.1033,1.1229,2.068,0.064,0.34,18.196,1.127,2.881,7.851,14.9734547389,15.009776036
2004-03-12,PCAR,2.2074,0.1591,0.2241,1.347,2.062,0.072,0.4,17.538,1.127,2.844,8.247,15.8088445727,16.6896360279
2004-05-07,PCAR,2.5013,0.1822,0.0116,1.3586,1.981,0.073,0.46,16.028,1.092,2.826,8.587,16.399065651,17.7429536445
2004-08-06,PCAR,2.7868,0.2365,-0.2906,1.068,2.038,0.085,0.6,14.177,1.054,2.908,8.804,17.4887045646,22.3466780548
