datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-12,PG,9.582,-0.32,-0.375,2.306,1.863,-0.033,-0.14,32.912,2.451,8.008,4.633,24.4048089105,23.4679543527
2001-10-30,PG,9.766,1.104,0.587,2.893,1.863,0.113,0.41,33.485,2.462,7.73,4.439,24.4224714301,27.3503193694
2002-02-05,PG,10.403,1.299,0.3,3.193,2.163,0.125,0.49,35.984,2.728,8.188,4.666,27.3238619867,30.4878761905
2002-05-02,PG,9.9,1.039,-0.132,3.061,2.048,0.105,0.39,38.813,3.056,9.05,4.762,30.9661173857,30.6706949586
2002-09-12,PG,10.169,0.91,0.366,3.427,1.975,0.089,0.34,27.253,2.948,8.654,5.27,30.4437024404,29.8237900782
2002-10-31,PG,10.796,1.464,1.276,4.703,1.939,0.136,0.55,24.389,2.785,8.071,5.059,29.6594809131,28.639883493
2003-01-29,PG,11.005,1.494,0.403,5.106,1.861,0.136,0.56,22.396,2.625,7.407,5.289,28.639883493,30.6964612762
2003-04-29,PG,10.656,1.273,0.407,5.513,1.749,0.119,0.48,22.88,2.759,7.576,5.561,30.7506175647,30.9459948737
2003-09-11,PG,10.92,0.955,0.399,5.912,1.7,0.087,0.35,22.889,2.736,7.334,6.242,31.1467219732,33.0901534696
2003-10-28,PG,12.195,1.761,-1.863,4.049,1.907,0.144,0.67,23.059,2.824,7.278,6.209,33.3294417695,34.9178409863
2004-02-03,PG,13.221,1.818,0.894,4.943,1.9,0.138,0.69,22.705,2.806,7.099,6.631,35.0346000927,36.5668005168
2004-04-30,PG,13.029,1.528,0.422,5.365,1.945,0.117,0.58,22.422,2.753,7.431,6.556,36.4908856719,39.3351996254
2004-09-09,PG,12.962,1.374,0.104,5.469,2.302,0.106,0.52,22.002,2.774,8.253,6.796,38.8914392207,36.070573284
2004-10-28,PG,13.744,2.001,0.793,6.262,2.225,0.146,0.77,19.366,2.458,7.09,6.661,35.7431656083,37.8879233315
2005-01-31,PG,14.452,2.039,1.414,7.676,2.17,0.141,0.79,19.343,2.478,6.753,7.254,37.2442134614,38.5086362619
2005-05-09,PG,14.287,1.72,0.633,7.072,2.368,0.12,0.67,19.224,2.474,7.322,6.889,38.6704077019,38.8530649999
2005-08-29,PG,14.258,1.497,-0.683,6.389,2.52,0.105,0.59,18.871,2.413,7.836,7.101,39.333779778,39.2545237328
2005-11-02,PG,14.793,2.029,-0.079,6.31,3.26,0.137,0.82,18.163,2.29,9.105,5.485,39.5387193797,42.6476001183
2006-01-30,PG,18.337,2.546,1.506,7.816,1.056,0.139,0.76,24.964,3.154,2.929,18.724,42.2192680114,40.356615387
2006-05-04,PG,17.25,2.211,0.859,8.675,1.095,0.128,0.67,22.13,2.836,2.819,18.523,40.0981952244,44.0130837635
2006-08-29,PG,17.842,1.898,-1.982,6.693,1.157,0.106,0.57,22.376,2.848,3.089,19.813,44.171871537,45.9791378899
2006-11-01,PG,18.785,2.698,0.025,6.718,1.148,0.144,0.84,21.358,2.766,3.13,18.695,45.7252697994,47.0717483756
2007-01-31,PG,19.725,2.862,-1.731,4.987,1.101,0.145,0.89,21.17,2.781,3.132,19.188,47.2758061175,46.1366244413
