datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-15,PKI,0.39081,0.029409,-0.00027,0.132265,1.938,0.075,0.29,31.686,1.697,3.754,7.685,23.3159817295,22.4554923363
2001-10-29,PKI,0.302131,0.031219,-0.007989,0.128399,1.792,0.103,0.31,22.725,1.736,3.377,8.035,22.0390450239,14.7058933036
2002-03-28,PKI,0.361218,-0.04962,0.009851,0.13825,1.141,-0.137,-0.51,67.359,1.747,1.705,10.854,15.1396230449,10.9990330529
2002-05-15,PKI,0.305078,-0.02956,0.032191,0.170441,1.188,-0.097,-0.24,-93.247,1.273,1.308,10.594,11.3198724613,6.27779756455
2002-08-12,PKI,0.335671,-0.009096,-0.027098,0.143343,1.214,-0.027,-0.07,-13.825,0.605,0.645,9.795,5.23288013637,6.08047575901
2002-11-13,PKI,0.366011,0.007146,-0.045794,0.097549,1.143,0.02,0.06,-11.446,0.679,0.766,9.608,6.18995800952,7.38611334906
2003-03-18,PKI,0.409581,-0.002628,0.033066,0.317098,1.265,-0.006,-0.02,-7.178,0.725,0.871,9.932,7.34366442177,9.42851046995
2003-05-14,PKI,0.358449,0.002362,-0.000838,0.28424,1.187,0.007,0.02,-663.567,1.001,1.168,10.016,9.97608276585,12.6381896145
2003-08-13,PKI,0.377124,0.008398,0.014846,0.299488,1.145,0.022,0.07,126.335,1.277,1.492,10.29,13.0938522333,14.7362761275
2003-11-12,PKI,0.367085,0.014269,-0.003307,0.141316,0.994,0.039,0.11,96.89,1.435,1.671,10.283,14.7708075303,16.6375870708
2004-03-12,PKI,0.432564,0.02793,0.050183,0.191499,0.933,0.065,0.22,46.725,1.612,1.834,10.576,16.8108952695,16.8858288192
2004-05-07,PKI,0.393451,0.013271,-0.026028,0.165471,0.891,0.034,0.1,38.452,1.564,1.813,10.693,16.720622461,14.8180219407
2004-08-06,PKI,0.412614,0.020835,0.031257,0.196728,0.868,0.05,0.16,27.387,1.301,1.529,10.755,14.2417170213,18.7168642214
2004-11-05,PKI,0.403403,0.024014,0.023313,0.220041,0.841,0.06,0.19,31.723,1.662,1.963,10.899,18.6817974969,19.7570362705
2005-03-11,PKI,0.478606,0.037923,-0.022528,0.197513,0.764,0.079,0.29,29.781,1.695,1.959,11.271,19.4227676248,16.8525747512
2005-05-13,PKI,0.416252,0.019829,-0.0133,0.184213,0.757,0.048,0.15,23.492,1.409,1.65,11.338,16.4111767745,18.1830843852
2005-08-12,PKI,0.425546,0.028898,-0.02548,0.158733,0.71,0.068,0.22,24.07,1.545,1.827,11.297,18.1122296969,19.7631060666
2005-11-14,PKI,0.361901,0.031833,0.007324,0.166057,0.678,0.088,0.25,24.596,1.732,1.961,11.472,19.7986512213,20.9465009575
2006-03-17,PKI,0.381561,0.187549,0.336207,0.502264,0.632,0.492,1.45,11.06,2.012,1.797,13.025,20.8573669109,18.7671853494
2006-05-12,PKI,0.355454,0.023617,-0.180423,0.321841,0.584,0.066,0.18,9.728,1.735,1.678,12.322,18.6777752239,16.8923419019
2006-08-11,PKI,0.377001,0.024485,0.001914,0.323755,0.584,0.065,0.19,8.79,1.593,1.469,12.694,16.7936612004,19.5087564632
2006-11-13,PKI,0.386917,0.029753,-0.116681,0.207074,0.607,0.077,0.24,10.013,1.77,1.707,12.526,19.4547405247,21.4396964974
2007-03-01,PKI,0.426986,0.041728,-0.016015,0.191059,0.591,0.098,0.34,24.003,1.856,1.819,12.95,21.2771377202,22.7315157353
2007-05-11,PKI,0.4029,0.014692,-0.071497,0.119562,0.62,0.036,0.12,27.489,1.909,1.973,12.671,23.0032071584,24.360917081
2007-08-10,PKI,0.43729,0.033687,0.030478,0.15004,0.692,0.077,0.28,27.112,1.965,2.172,12.583,24.9147806449,25.3391967838
2007-11-08,PKI,0.435668,0.030745,0.010861,0.160901,0.687,0.071,0.26,27.561,1.956,2.168,13.065,25.5758415813,22.8255315439
2008-02-28,PKI,0.511473,0.052562,0.042447,0.203348,0.872,0.103,0.45,22.17,1.633,1.853,13.392,22.652126866,24.8855909648
2008-05-09,PKI,0.482343,0.020138,-0.018086,0.185262,0.903,0.042,0.17,23.388,1.718,1.982,13.792,24.7940661727,26.5818581681
2008-08-08,PKI,0.528636,0.023706,0.008189,0.193451,0.858,0.045,0.2,27.727,1.8,2.13,14.052,27.0681676203,16.6001051478
2008-11-07,PKI,0.505117,0.051902,-0.004643,0.188808,0.848,0.103,0.44,14.773,1.081,1.34,13.816,17.0788658065,12.2709123627
2009-02-26,PKI,0.421369,0.030663,-0.009698,0.17911,0.87,0.073,0.26,11.948,0.78,0.963,13.496,12.030306238,15.1057551094
2009-05-15,PKI,0.431574,0.010559,-0.017061,0.162049,0.89,0.024,0.09,16.185,1.002,1.25,12.992,15.0871519628,16.6230277532
2009-08-14,PKI,0.434575,0.021505,-0.01071,0.151339,0.871,0.049,0.19,17.908,1.145,1.304,13.564,16.4269133808,18.3681041641
2009-11-12,PKI,0.437065,0.013589,-0.000753,0.150586,0.91,0.031,0.12,29.59,1.309,1.41,13.783,18.1244456395,20.8829164811
2010-03-01,PKI,0.508988,0.039946,0.029121,0.179707,0.881,0.078,0.35,31.949,1.509,1.679,13.855,21.8701772782,22.2079206535
2010-05-13,PKI,0.465092,0.024391,0.002037,0.181744,0.855,0.052,0.21,27.619,1.488,1.683,13.921,21.9815978953,21.0124326852
2010-08-10,PKI,0.497839,0.057643,0.03392,0.215664,0.914,0.116,0.49,19.291,1.37,1.591,14.005,20.9935025656,22.5381429558
2010-11-10,PKI,0.419143,0.013391,0.035324,0.250988,0.903,0.032,0.11,20.876,1.494,1.655,14.531,22.7280177911,25.2283556795
2011-03-01,PKI,0.46997,0.288494,0.169098,0.420086,0.666,0.614,2.47,7.997,1.801,1.594,16.986,25.7805234642,26.7655603045
2011-05-10,PKI,0.447864,0.023522,-0.004238,0.415848,0.733,0.053,0.21,8.307,1.734,1.668,16.737,26.9373791652,21.1898199981
2011-08-10,PKI,0.479491,0.028553,-0.02064,0.395208,0.838,0.06,0.25,6.987,1.361,1.264,17.392,20.9314075591,19.8182200179
2011-11-04,PKI,0.45374,0.035319,-0.147106,0.248102,0.749,0.078,0.31,5.885,1.195,1.137,17.259,18.7903239724,26.1508563844
2012-02-28,PKI,0.540192,-0.079739,-0.10576,0.142342,1.081,-0.148,-0.7,403.612,1.608,1.677,16.236,26.2375762471,26.596554541
2012-05-08,PKI,0.51089,0.022569,0.002415,0.144757,1.053,0.044,0.2,465.095,1.571,1.656,16.646,26.4419795782,26.4866878756
2012-08-07,PKI,0.52179,0.033633,0.026646,0.171403,1.016,0.064,0.3,271.284,1.577,1.695,16.609,27.1454643115,30.5675139533
2012-11-06,PKI,0.509604,0.029594,-0.000575,0.170828,1.003,0.058,0.26,595.409,1.732,1.857,17.06,30.5092531262,31.90509401
2013-02-26,PKI,0.572921,-0.015856,0.000616,0.171444,1.011,-0.028,-0.15,55.013,1.819,1.983,17.056,32.9170274583,30.1473371591
2013-05-06,PKI,0.505378,0.032216,-0.045573,0.125871,1.076,0.064,0.28,43.601,1.645,1.892,16.169,30.2253380315,35.5259413191
2013-08-06,PKI,0.543297,0.027925,-0.013401,0.11247,1.049,0.051,0.25,55.041,1.908,2.186,16.669,35.4673176536,37.1600779956
2013-11-05,PKI,0.524277,0.040198,0.019833,0.132303,1.006,0.077,0.36,49.609,1.953,2.183,17.166,36.5041967454,43.2900278948
2014-02-25,PKI,0.59328,0.066873,0.040939,0.173242,0.979,0.113,0.6,29.878,2.306,2.505,17.674,43.4076904847,43.1624353803
2014-05-06,PKI,0.531904,0.034224,0.050871,0.224113,0.957,0.064,0.3,28.911,2.231,2.411,18.031,42.435695854,44.0738465057
2014-08-05,PKI,0.55617,0.05049,-0.018855,0.205258,0.915,0.091,0.45,26.354,2.292,2.458,18.229,44.0246679223,43.1659666616
2014-11-04,PKI,0.542049,0.042277,-0.001575,0.203683,0.884,0.078,0.38,25.685,2.24,2.414,18.312,43.4319974993,46.147689108
2015-02-24,PKI,0.60839,0.030787,-0.028862,0.174821,1.024,0.051,0.27,33.798,2.384,2.611,18.067,46.5621893095,51.4483118134
2015-05-05,PKI,0.526901,0.040334,-0.005897,0.168924,0.956,0.077,0.36,35.37,2.595,2.814,18.287,50.6082990389,51.9522799706
2015-08-04,PKI,0.563906,0.048974,0.023246,0.19217,0.925,0.087,0.43,36.954,2.677,2.829,18.766,52.3678982104,51.187012542
2015-11-10,PKI,0.563436,0.054863,0.002896,0.195066,0.963,0.097,0.49,33.384,2.581,2.843,18.239,51.7122616542,46.9059872015
2016-03-01,PKI,0.608116,0.068254,0.042866,0.237932,0.974,0.112,0.61,24.788,2.327,2.495,19.223,47.6007436772,53.6297275196
2016-05-10,PKI,0.538684,0.047466,-0.027201,0.210731,1.055,0.088,0.43,27.268,2.633,2.921,18.563,54.5739128632,54.3240933453
2016-08-09,PKI,0.572667,0.063857,0.037352,0.248083,1.008,0.112,0.59,25.535,2.622,2.867,19.163,54.4534601183,51.6856709584
