datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2008-05-08,PM,15.599,1.867,-0.425,1.231,1.134,0.12,0.89,,,7.451,7.006,34.8558140938,37.4194845651
2008-08-07,PM,16.703,1.692,1.797,3.028,1.475,0.101,0.8,,,8.122,6.728,36.8197485438,27.8188285433
2008-11-07,PM,17.365,2.08,-0.225,2.803,2.035,0.12,1.02,,,7.339,5.75,28.7170881734,23.9878352684
2009-02-26,PM,13.973,1.251,-1.117,1.531,3.396,0.09,0.62,9.95,1.077,9.141,3.743,23.5811449578,27.4664670278
2009-05-07,PM,13.286,1.476,0.83,2.361,4.164,0.111,0.74,12.336,1.307,13.574,3.011,28.5709978984,33.1201289465
2009-08-06,PM,15.213,1.546,0.241,2.602,4.146,0.102,0.79,14.308,1.519,14.254,3.297,33.2759217275,34.8724039909
2009-11-06,PM,16.573,1.798,-1.0,1.602,4.257,0.108,0.92,15.32,1.575,14.67,3.329,34.994235242,35.9757845181
2010-02-26,PM,17.008,1.522,-0.062,1.54,4.97,0.089,0.8,14.527,1.484,16.118,3.039,35.5189261378,34.4600532791
2010-05-07,PM,15.587,1.703,-0.69,0.85,5.703,0.109,0.9,13.086,1.335,17.63,2.633,34.0348015578,38.4838515506
2010-08-06,PM,17.383,1.982,0.734,1.584,6.832,0.114,1.07,13.656,1.437,23.532,2.218,38.7586301124,45.6914322427
2010-11-05,PM,16.936,1.822,1.923,3.507,6.787,0.108,0.99,15.601,1.639,24.197,2.498,45.4059546982,47.3079085003
2011-02-25,PM,17.807,1.752,-1.804,1.703,8.537,0.098,0.97,15.411,1.652,31.909,1.951,47.277529365,52.4655461061
2011-05-06,PM,16.53,1.919,-0.381,1.322,7.526,0.116,1.06,16.321,1.777,30.561,2.245,52.62664809,52.1923530808
2011-08-05,PM,20.234,2.409,0.856,2.178,8.617,0.119,1.36,15.413,1.703,33.196,2.089,53.6946255582,54.7579297348
2011-11-03,PM,20.706,2.377,1.213,3.391,15.289,0.115,1.34,14.54,1.633,57.728,1.226,55.47894441,65.0440770924
2012-02-24,PM,18.876,1.886,-0.841,2.55,147.271,0.1,1.09,16.639,1.872,624.235,0.133,65.7169195596,71.8369894348
2012-05-04,PM,18.022,2.161,1.026,3.576,310.571,0.12,1.25,17.21,1.953,1357.293,0.066,71.1741981806,72.5842186731
2012-08-03,PM,20.037,2.317,0.27,3.846,-26.1,0.116,1.35,17.729,1.996,-113.447,-0.81,74.0831267083,71.2517250638
2012-11-02,PM,19.592,2.227,0.971,4.817,-25.789,0.114,1.32,16.904,1.898,-98.056,-0.887,70.7148357096,76.5273242166
2013-02-22,PM,19.742,2.095,-1.834,2.983,-11.37,0.106,1.25,17.493,1.989,-44.286,-2.109,76.7656247001,78.7953743034
2013-05-03,PM,18.527,2.125,0.998,3.981,-9.307,0.115,1.28,17.59,1.979,-35.735,-2.638,78.173371033,75.1309816566
2013-08-02,PM,20.483,2.124,-0.395,3.586,-7.514,0.104,1.3,16.918,1.851,-26.529,-3.377,75.030483186,75.4395029168
2013-11-01,PM,20.629,2.34,-0.204,3.382,-5.748,0.113,1.44,16.56,1.812,-19.358,-4.637,75.9812587726,68.2179936759
2014-02-21,PM,20.39,1.987,-1.228,2.154,-5.723,0.097,1.24,14.597,1.564,-16.119,-4.899,67.5846814776,74.2213639074
2014-05-02,PM,17.779,1.875,-0.331,1.823,-5.027,0.105,1.18,16.129,1.694,-15.592,-5.476,73.9269721233,72.7883671524
2014-07-31,PM,21.051,1.851,-0.282,1.541,-4.754,0.088,1.17,15.908,1.604,-13.787,-5.948,71.7559080438,78.2272044558
2014-10-31,PM,21.335,2.155,0.502,2.043,-4.359,0.101,1.38,17.577,1.717,-13.676,-6.508,78.8115842514,74.0354141886
2015-02-20,PM,19.941,1.612,-0.361,1.682,-3.673,0.081,1.03,17.144,1.604,-10.172,-8.164,74.4117743188,75.7618457644
2015-05-01,PM,17.352,1.795,-0.158,1.524,-3.342,0.103,1.16,17.427,1.621,-9.488,-8.789,75.6892334767,78.5122815966
2015-07-30,PM,18.763,1.887,0.314,1.838,-3.385,0.101,1.21,17.759,1.709,-10.059,-8.489,78.4571530197,83.0730552797
2015-10-30,PM,19.422,1.942,0.555,2.393,-3.257,0.1,1.25,18.927,1.815,-10.084,-8.767,82.2726650989,84.8611032113
2016-02-17,PM,18.371,1.249,1.024,3.417,-3.43,0.068,0.8,20.566,1.912,-10.673,-8.548,85.9063298487,92.8070192598
2016-04-26,PM,16.788,1.53,-0.473,2.944,-3.569,0.091,0.98,22.828,2.057,-11.828,-8.221,92.5310627788,95.8410846464
2016-07-26,PM,19.041,1.788,0.87,3.814,-3.632,0.094,1.15,23.586,2.085,-12.227,-8.094,95.1201859052,94.1268901137
2016-10-25,PM,19.935,1.938,1.07,4.884,-3.78,0.097,1.25,23.033,2.021,-12.34,-7.827,93.8063672189,100.92386022
2017-02-14,PM,19.189,1.711,-0.645,4.239,-3.763,0.089,1.1,22.842,2.123,-12.543,-8.178,100.776497434,110.196473645
2017-04-27,PM,16.556,1.59,0.837,5.076,-3.808,0.096,1.02,24.355,2.29,-13.811,-7.979,109.24470923,117.65
2017-07-27,PM,19.319,1.781,1.121,6.197,-4.075,0.092,1.15,26.15,2.448,-15.287,-7.731,118.19,114.76
