datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,PPL,1.409,0.117,-0.101,0.168,4.401,0.083,0.4,10.412,1.056,2.788,7.71,10.2857859528,8.89590985463
2001-11-13,PPL,1.438,0.152,0.681,0.849,4.488,0.106,0.52,8.576,0.896,2.279,7.952,8.72738111584,7.91109297303
2002-03-01,PPL,1.312,-0.312,0.101,0.95,5.771,-0.238,-1.07,27.629,0.864,2.663,6.334,8.18522774946,8.97099257456
2002-05-13,PPL,1.275,-0.003,-0.464,0.486,5.818,-0.002,-0.01,-116.018,0.982,2.942,6.164,8.88767824855,7.75397411729
2002-06-21,PPL,1.275,-0.003,-0.464,0.486,5.818,-0.002,-0.01,-100.728,0.853,2.554,6.164,7.80104296976,8.61112269383
2002-08-13,PPL,1.301,-0.012,-0.276,0.193,5.521,-0.021,-0.09,-26.288,0.938,2.671,6.34,8.39064227963,8.6060615269
2002-11-12,PPL,1.462,0.122,0.146,0.339,5.448,0.083,0.41,-24.982,1.027,2.257,7.403,8.36818668109,8.90560397173
2003-03-03,PPL,1.374,0.183,-0.094,0.245,6.0,0.084,0.38,24.976,0.957,2.336,7.556,8.93852204157,9.51998275453
2003-05-14,PPL,1.487,0.252,0.152,0.397,5.459,0.161,0.71,13.923,1.114,2.537,7.327,9.51486310798,10.1197581596
2003-08-12,PPL,1.338,0.13,-0.027,0.37,4.56,0.087,0.34,11.854,1.242,2.441,8.149,10.2773545977,10.4788923022
2003-11-10,PPL,1.456,0.173,0.217,0.587,4.361,0.117,0.48,11.145,1.265,2.408,8.38,10.5232280834,12.2505781183
2004-03-01,PPL,1.306,0.179,-0.111,0.476,4.254,0.159,0.59,11.189,1.47,2.52,9.222,12.2374139467,11.3492315589
2004-05-07,PPL,1.52,0.177,0.096,0.572,4.123,0.116,0.5,10.913,1.305,2.137,9.65,10.953482553,12.4004555227
2004-08-06,PPL,1.362,0.148,-0.214,0.358,3.249,0.109,0.41,12.445,1.552,2.16,10.735,12.4380001545,14.2274797105
2004-11-09,PPL,1.465,0.196,0.42,0.831,3.218,0.134,0.52,13.715,1.769,2.4,11.019,14.305920188,14.8726337503
2005-03-01,PPL,1.465,0.177,-0.152,0.666,3.19,0.121,0.47,14.76,1.773,2.43,11.221,14.8726337503,15.1710386629
2005-05-05,PPL,1.602,0.168,0.138,0.807,3.21,0.105,0.45,15.216,1.779,2.428,11.378,15.1930376314,17.8677707934
2005-08-04,PPL,1.476,0.128,-0.388,0.481,3.046,0.087,0.34,18.166,2.023,2.822,11.332,17.7264030754,16.8988945919
2005-11-03,PPL,1.643,0.197,-0.131,0.321,3.126,0.12,0.52,16.76,1.815,2.608,11.325,16.50225938,17.993006721
2006-03-03,PPL,1.498,0.185,0.32,0.648,3.057,0.123,0.49,17.815,1.942,2.734,11.628,17.9141147403,16.3068287516
2006-05-04,PPL,1.783,0.28,-0.217,0.438,2.789,0.157,0.74,14.165,1.748,2.37,12.41,16.7218909897,20.0117118881
2006-08-03,PPL,1.642,0.181,0.13,0.569,2.75,0.11,0.48,15.642,2.008,2.697,12.835,19.8568047147,19.5777109853
2006-11-03,PPL,1.752,0.226,0.332,0.888,2.705,0.129,0.59,14.733,1.925,2.524,13.34,19.4736049889,22.1845379872
2007-02-28,PPL,1.724,0.178,-0.006,0.896,2.855,0.103,0.46,16.751,2.1,2.829,13.45,22.1728833836,26.3494435621
2007-05-03,PPL,1.638,0.203,0.207,1.061,2.813,0.124,0.53,21.771,2.539,3.253,13.662,26.1144429506,28.7850040888
2007-08-02,PPL,1.613,0.345,-0.42,0.742,2.726,0.214,0.89,20.085,2.842,3.561,14.015,29.5244462407,30.7735765325
2007-11-01,PPL,1.763,0.322,-0.129,0.574,2.842,0.183,0.85,17.946,2.791,3.645,13.864,30.0771532338,27.9268112081
2008-02-29,PPL,1.621,0.418,-0.022,0.633,2.595,0.258,1.12,13.562,2.688,3.144,14.434,27.1665314603,29.1031081588
2008-05-02,PPL,1.526,0.26,0.068,0.773,2.771,0.17,0.7,13.452,2.774,3.24,14.969,29.2478397369,28.5077895827
2008-08-01,PPL,1.024,0.19,-0.03,0.955,3.611,0.186,0.51,13.862,2.78,3.183,13.84,26.7412293679,19.8717049197
2008-11-04,PPL,2.981,0.203,-0.116,0.675,2.672,0.068,0.54,10.492,1.571,2.012,14.908,18.3657161919,17.5924163909
2009-02-27,PPL,2.513,0.277,0.748,1.42,3.216,0.11,0.74,11.232,1.299,2.057,13.556,17.258265675,18.7642650076
2009-05-01,PPL,2.359,0.241,-0.469,0.795,3.1,0.102,0.64,12.916,1.326,2.247,13.961,19.6300184583,21.5440443064
2009-08-04,PPL,1.673,-0.007,0.342,1.104,3.003,-0.004,-0.02,15.537,1.165,2.01,14.683,18.7036288122,19.3022597978
2009-10-30,PPL,1.805,0.02,-0.277,0.847,2.849,0.011,0.05,20.906,1.329,1.976,14.926,18.885295063,18.6982940977
2010-02-26,PPL,1.727,0.153,0.105,0.906,2.975,0.089,0.41,26.321,1.418,1.949,14.58,18.4712943427,16.2069418026
2010-05-06,PPL,3.033,0.25,0.923,1.96,3.178,0.082,0.66,22.452,1.134,1.585,15.599,16.1938134576,18.4476078017
2010-08-05,PPL,1.503,0.085,2.781,4.535,2.231,0.057,0.22,25.4,1.599,1.626,20.783,17.7887646659,17.8231057445
2010-10-29,PPL,2.179,0.248,0.348,4.885,2.179,0.114,0.51,17.638,1.538,1.559,17.25,18.1062261837,16.9556930342
2011-02-28,PPL,1.863,0.355,-3.928,0.953,2.967,0.191,0.77,13.073,1.439,1.494,16.992,17.3794145047,18.9754450659
2011-05-06,PPL,2.91,0.401,0.32,1.278,2.807,0.138,0.82,14.59,1.879,1.863,17.619,19.0724352926,18.6379002757
2011-08-08,PPL,2.489,0.196,0.024,1.312,2.781,0.079,0.35,12.195,1.55,1.374,18.964,17.7747746229,21.2055511747
2011-11-08,PPL,3.12,0.444,0.242,1.573,2.751,0.142,0.76,12.473,1.677,1.605,18.781,21.3902561431,20.6540365512
2012-02-28,PPL,4.218,0.454,-0.309,1.354,2.914,0.108,0.79,12.738,1.495,1.759,18.728,20.6180914824,19.9152014155
2012-05-07,PPL,4.112,0.541,-0.099,1.275,2.889,0.132,0.93,9.71,1.139,1.409,19.458,19.9297646341,21.0162885379
2012-08-08,PPL,2.549,0.271,-0.122,1.082,2.967,0.106,0.46,9.893,1.208,1.543,18.904,21.4883989158,21.1334196116
2012-11-08,PPL,2.403,0.355,-0.035,1.034,2.854,0.148,0.61,10.31,1.258,1.49,19.315,21.4545281075,23.2178077321
2013-02-28,PPL,3.222,0.359,-0.045,0.955,3.162,0.111,0.61,13.411,1.666,1.953,18.02,23.300971485,25.2012007061
2013-05-03,PPL,2.457,0.413,-0.048,0.972,3.117,0.168,0.7,13.868,1.824,1.842,18.063,25.0405373136,24.7725737269
2013-08-02,PPL,3.45,0.405,-0.142,0.795,2.999,0.117,0.68,13.166,1.749,1.844,18.541,24.7338423733,24.0168042011
2013-11-01,PPL,3.105,0.41,0.58,1.343,2.643,0.132,0.65,12.204,1.583,1.569,19.561,24.0952136173,25.2398420175
2014-02-24,PPL,2.848,-0.098,-0.189,1.185,2.711,-0.034,-0.18,18.692,1.781,1.694,19.721,25.2477790747,27.4750945723
2014-05-02,PPL,1.223,0.316,0.154,1.672,2.772,0.258,0.5,20.671,2.01,1.679,20.162,27.1458110653,26.8936736191
2014-07-31,PPL,2.874,0.229,0.013,1.601,2.509,0.08,0.35,25.575,2.181,1.596,21.029,26.7800269452,29.5382417175
2014-11-07,PPL,3.449,0.497,-0.081,1.462,2.448,0.144,0.74,25.722,2.336,1.738,21.031,29.9650237595,29.0133476237
2015-02-23,PPL,4.023,0.695,0.563,1.931,2.586,0.173,1.04,13.445,2.031,1.714,20.483,29.1709387057,28.0116264152
2015-05-07,PPL,3.165,0.647,-0.416,1.525,2.485,0.204,0.97,10.791,1.652,1.59,21.044,28.0284098941,29.15279931
2015-08-03,PPL,1.781,-0.757,-0.137,0.846,2.847,-0.425,-1.13,19.74,1.72,2.149,14.872,29.2169519648,31.3581228869
2015-10-30,PPL,1.878,0.393,0.135,0.981,2.839,0.209,0.58,23.667,2.134,2.264,15.239,31.9242209917,34.2780557399
2016-02-19,PPL,1.78,0.399,-0.145,0.836,2.962,0.224,0.59,35.596,3.166,2.447,14.737,34.0340170079,35.3516789481
2016-04-29,PPL,2.011,0.481,-0.022,0.814,2.965,0.239,0.71,49.38,3.42,2.61,14.453,35.702634709,35.0938679134
2016-08-09,PPL,1.785,0.483,-0.322,0.492,2.828,0.271,0.71,13.998,3.298,2.381,15.248,34.7203251054,33.251008161
2016-11-01,PPL,1.889,0.473,-0.076,0.416,2.813,0.25,0.7,12.586,3.095,2.317,14.71,32.9217902584,34.9843196482
2017-02-17,PPL,1.832,0.465,-0.075,0.341,2.871,0.254,0.68,12.692,3.212,2.439,14.565,34.8961732661,37.6054624891
