datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2012-05-16,PSX,46.52,0.636,0.0,6.05,1.126,0.014,,,,0.806,39.842,28.0344497193,33.6371201198
2012-08-03,PSX,47.827,1.181,3.104,3.104,1.562,0.025,1.88,,,1.313,30.147,34.8403278107,41.6506148828
2012-11-01,PSX,43.907,1.599,1.326,4.43,1.537,0.036,2.53,,,1.441,32.621,41.8449137647,55.5479966922
2013-02-22,PSX,44.668,0.708,-0.956,3.474,1.312,0.016,1.12,9.662,0.218,1.918,33.054,57.1710076728,53.2115742916
2013-05-02,PSX,42.326,1.407,1.279,4.753,1.395,0.033,2.25,7.628,0.209,1.749,34.149,53.7733857849,55.1119646108
2013-08-01,PSX,43.948,0.958,-0.533,4.22,1.304,0.022,1.55,7.915,0.211,1.708,34.976,54.233757695,58.7652444544
2013-10-31,PSX,44.849,0.535,1.722,5.942,1.345,0.012,0.88,10.706,0.22,1.792,35.39,58.0445301272,68.5891188337
2014-02-21,PSX,43.686,0.826,-0.542,5.4,1.249,0.019,1.38,11.82,0.252,2.006,36.662,68.279379155,75.813341338
2014-05-01,PSX,41.099,1.572,-0.074,5.326,1.357,0.038,2.69,12.223,0.274,2.224,36.615,76.5694705534,74.9007315667
2014-07-31,PSX,46.339,0.863,-0.37,4.956,1.342,0.019,1.52,11.942,0.258,2.107,38.019,74.3416340844,70.4384038253
2014-10-30,PSX,41.048,1.18,-1.848,3.108,1.263,0.029,2.11,9.647,0.249,1.97,38.867,71.3697140474,72.3646710675
2015-02-20,PSX,35.607,1.147,2.099,5.207,1.237,0.032,2.06,8.827,0.256,1.947,38.934,72.2805587028,74.1216849072
2015-05-01,PSX,23.426,0.987,0.183,5.39,1.217,0.042,1.8,10.582,0.302,2.031,39.694,76.2712231153,74.4513874704
2015-07-31,PSX,29.077,1.012,-0.301,5.089,1.19,0.035,1.85,9.881,0.331,1.909,41.11,74.8089649128,81.8782527353
2015-10-30,PSX,26.417,1.578,-0.267,4.822,1.094,0.06,2.92,10.056,0.415,2.048,42.923,84.3602731236,76.2955749585
2016-02-19,PSX,22.029,0.65,-1.748,3.074,1.067,0.03,1.22,9.994,0.418,1.829,43.07,76.9198464051,84.3150620041
2016-04-29,PSX,17.76,0.385,-1.351,1.723,1.08,0.022,0.72,11.905,0.453,1.894,42.856,78.8598899779,73.8182187471
2016-07-29,PSX,22.307,0.496,0.509,2.232,1.151,0.022,0.94,12.791,0.449,1.741,43.241,73.6342782676,78.0645706642
2016-10-28,PSX,22.042,0.511,0.105,2.337,1.133,0.023,0.97,20.439,0.496,1.822,43.546,78.2012007416,77.8065371025
2017-02-17,PSX,23.668,0.163,0.374,2.711,1.247,0.007,0.32,26.194,0.475,1.819,42.715,77.9651236749,77.5488339223
2017-05-05,PSX,23.712,0.535,-1.075,1.513,1.238,0.023,1.02,24.019,0.446,1.831,42.872,78.6490282686,83.75
2017-08-01,PSX,24.581,0.55,0.525,2.161,1.253,0.022,1.06,24.901,0.466,1.958,43.199,85.63,85.6
