datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-18,PVH,0.334378,0.006974,-0.000181,0.001555,1.693,0.021,0.25,9.041,0.2,1.1,9.986,10.2648059229,10.7873543222
2001-12-18,PVH,0.405002,0.012607,-0.000962,0.000593,1.587,0.031,0.46,11.687,0.211,1.086,10.396,10.590367852,14.0584566722
2002-04-26,PVH,0.325589,-0.009465,0.042986,0.043579,1.668,-0.029,-0.34,38.555,0.288,1.55,9.59,13.9738238227,13.4794206215
2002-06-17,PVH,0.349421,-0.000831,0.002039,0.045618,1.71,-0.002,-0.03,45.005,0.295,1.584,9.498,14.1863832415,12.7735157676
2002-09-17,PVH,0.331192,0.007853,0.034663,0.080281,1.699,0.024,0.28,34.779,0.25,1.297,9.801,12.017126973,12.2026626281
2002-12-13,PVH,0.409103,0.017689,-0.016896,0.063385,1.602,0.043,0.64,22.092,0.238,1.169,10.362,11.482070274,12.5166506007
2003-04-21,PVH,0.315257,0.005726,0.053736,0.117121,1.835,0.018,0.21,13.131,0.284,1.468,8.977,12.5356728661,13.5730260818
2003-06-18,PVH,0.377029,-0.002153,-0.097554,0.019567,3.128,-0.018,-0.22,17.231,0.296,1.443,9.697,13.3441064571,13.7606297475
2003-09-17,PVH,0.377085,0.008977,0.061777,0.081344,3.243,0.01,0.13,21.443,0.3,1.487,9.815,13.961445053,16.68652079
2003-12-17,PVH,0.453291,0.017034,0.000743,0.082087,3.831,0.026,0.39,36.215,0.353,1.739,10.13,16.8877941597,17.8925333862
2004-04-15,PVH,0.374606,-0.009152,0.050901,0.132988,3.86,-0.039,-0.48,-107.961,0.363,1.94,9.641,17.9597624435,17.8122415251
2004-06-10,PVH,0.381283,0.001593,-0.010003,0.122985,3.868,-0.01,-0.12,-243.563,0.363,1.971,9.489,17.9950792285,19.8998336122
2004-09-09,PVH,0.375924,0.01299,0.020718,0.143703,3.865,0.021,0.25,441.49,0.403,2.112,9.752,19.8612680432,25.117691059
2004-12-10,PVH,0.473456,0.026741,-0.0494,0.094303,3.674,0.045,0.69,74.607,0.514,2.553,10.094,24.8859245902,25.4995071408
2005-04-14,PVH,0.41381,0.017291,0.029811,0.124114,3.257,0.029,0.38,22.776,0.52,2.346,10.9,24.725915722,30.6946725755
2005-06-09,PVH,0.472109,0.02498,0.00277,0.126884,2.935,0.042,0.6,17.73,0.622,2.694,11.72,30.5687953693,31.9801497174
2005-09-08,PVH,0.443469,0.009295,0.044266,0.17115,2.128,0.014,0.17,23.441,0.77,2.642,12.53,32.0964764214,31.8843072267
2005-12-09,PVH,0.533181,0.040289,-0.000885,0.170265,2.059,0.07,0.88,18.685,0.751,2.482,13.31,32.0590157595,36.0282449354
2006-04-14,PVH,0.460089,0.022919,0.097092,0.267357,1.862,0.043,0.44,19.589,0.847,2.647,14.008,35.8533505425,34.0895568355
2006-06-08,PVH,0.506438,0.048745,0.037797,0.305154,1.715,0.09,1.05,17.611,0.982,2.871,12.028,33.583805921,33.7199696287
2006-08-11,PVH,0.506438,0.048745,0.037797,0.305154,1.715,0.09,1.05,18.024,1.005,2.938,12.028,34.3716102301,37.3094999213
2006-09-08,PVH,0.458928,0.018005,0.06255,0.367704,1.183,0.039,0.33,18.219,1.119,2.578,15.347,38.5265373665,49.1100024368
2006-12-08,PVH,0.568261,0.050773,-0.009102,0.358602,1.153,0.089,0.92,20.645,1.387,3.062,16.267,48.5351035987,57.156528029
2007-04-05,PVH,0.557021,0.026758,0.007497,0.366099,1.121,0.048,0.47,23.219,1.567,3.476,16.858,57.1370273371,58.3853799316
2007-06-15,PVH,0.591906,0.053006,-0.066367,0.299732,1.032,0.09,0.95,22.927,1.565,3.422,17.714,59.146419309,51.2313464497
2007-09-13,PVH,0.552376,0.0391,0.066539,0.366271,1.019,0.071,0.69,17.639,1.318,2.85,18.595,51.7390708666,38.8567937776
2007-12-14,PVH,0.69637,0.060879,-0.029642,0.336629,1.016,0.087,1.08,12.228,0.917,1.979,19.66,38.0261027637,38.0871950804
2008-04-03,PVH,0.584523,0.030334,-0.066715,0.269914,1.272,0.052,0.57,10.964,0.829,2.102,18.627,38.3024322476,40.1942105947
2008-06-13,PVH,0.625698,0.046801,-0.085691,0.184223,1.15,0.075,0.91,12.35,0.89,2.179,19.524,41.6629393619,40.313637227
2008-09-11,PVH,0.560967,0.029206,0.076282,0.260505,1.119,0.052,0.57,12.799,0.867,2.062,20.169,40.7645069845,19.3861410603
2008-12-11,PVH,0.727484,0.053699,-0.062948,0.197557,1.093,0.074,1.04,5.655,0.362,0.829,21.195,17.2648611874,22.3123238582
2009-04-01,PVH,0.577786,-0.037935,0.13061,0.328167,1.203,-0.066,-0.74,12.697,0.468,1.167,19.397,22.2631344317,30.036058016
2009-06-11,PVH,0.557425,0.024711,-0.046162,0.282005,1.144,0.044,0.48,23.181,0.666,1.578,19.838,30.8438496714,40.9655637213
2009-09-10,PVH,0.529283,0.026557,0.087591,0.369596,1.117,0.05,0.51,32.551,0.912,2.068,20.426,41.6657454796,38.8008664476
2009-12-10,PVH,0.69744,0.083619,-0.012982,0.356614,1.015,0.12,1.62,21.126,0.867,1.791,22.102,39.0772399558,56.3788298569
2010-03-31,PVH,0.614583,0.027023,0.124268,0.480882,1.002,0.044,0.53,18.399,1.242,2.549,22.5,56.6553903397,50.8419595646
2010-06-10,PVH,0.619044,-0.027613,0.310713,0.791595,0.804,-0.045,-0.53,32.223,1.435,2.334,22.819,52.6309165399,53.7697087305
2010-09-10,PVH,1.103268,-0.054587,-0.316255,0.47534,1.97,-0.049,-0.83,125.721,1.178,1.629,33.089,53.3048124262,67.8483551918
2010-12-09,PVH,1.516419,0.080732,0.016097,0.491437,1.853,0.053,1.15,181.47,1.204,1.92,36.028,68.471906815,64.5722833958
2011-03-30,PVH,1.398117,0.055273,0.007281,0.498718,1.757,0.04,0.85,80.436,0.933,1.772,36.414,63.8988301334,61.9426822894
2011-06-09,PVH,1.369184,0.057667,-0.20376,0.294958,1.559,0.042,0.81,30.667,0.792,1.597,39.62,62.6957848097,63.1398283619
2011-09-08,PVH,1.334444,0.066729,-0.007267,0.287691,1.534,0.05,0.94,16.401,0.76,1.575,40.133,62.6837303555,72.1220309728
2011-12-08,PVH,1.65416,0.112239,-0.12771,0.159981,1.485,0.068,1.57,16.345,0.829,1.719,41.044,70.0089645908,89.1335459768
2012-03-28,PVH,1.532836,0.081246,0.073216,0.233197,1.487,0.053,1.14,19.189,1.035,2.246,39.461,87.9723584833,79.6831636756
2012-06-07,PVH,1.427406,0.093114,0.005415,0.238612,1.396,0.065,1.29,15.697,0.932,1.96,40.195,78.2334762118,92.3825684336
2012-09-06,PVH,1.336623,0.087702,0.023374,0.261986,1.42,0.066,1.21,17.823,1.121,2.399,39.423,93.932211517,108.601016361
2012-11-28,PVH,1.64277,0.165409,0.014644,0.27663,1.293,0.101,2.28,19.247,1.385,2.701,43.125,115.725815403,105.307436307
2013-04-03,PVH,1.6362,0.087615,0.615579,0.892209,1.392,0.054,1.2,19.596,1.407,2.614,40.203,104.452571334,110.650318642
2013-06-13,PVH,1.91016,-0.020052,-0.145928,0.746281,1.822,-0.01,-0.25,30.988,1.523,2.416,50.753,121.906264069,122.140540207
2013-09-12,PVH,1.964847,-0.015996,-0.117361,0.62892,1.845,-0.008,-0.2,46.528,1.411,2.494,49.621,123.095384821,130.025089445
2013-12-12,PVH,2.259125,0.196713,-0.086387,0.542533,1.687,0.087,2.41,42.08,1.345,2.41,53.117,127.348775338,125.128405965
2014-04-03,PVH,2.052219,-0.017128,0.050626,0.593159,1.67,-0.008,-0.21,71.319,1.25,2.361,52.737,123.934147736,118.016424087
