datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,PWR,0.503342,0.016683,-0.00379,0.002772,0.754,0.033,0.21,11.898,0.579,1.032,14.98,19.75,16.02
2001-11-14,PWR,0.504472,0.026323,7e-06,0.002779,0.774,0.052,0.34,11.723,0.485,0.847,15.313,16.55,17.29
2002-04-01,PWR,0.488045,0.013457,0.003508,0.006287,0.693,0.027,0.17,14.139,0.595,0.994,15.431,17.36,13.9
2002-05-15,PWR,0.44922,0.010266,2.2e-05,0.006309,0.652,0.022,0.13,14.904,0.504,0.802,15.621,14.15,1.9
2002-08-14,PWR,0.432522,-0.177197,-0.001732,0.004577,1.376,-0.41,-2.26,-0.989,0.068,0.214,7.565,2.08,3.0
2002-11-14,PWR,0.436215,-0.008316,0.010788,0.015365,1.381,-0.02,-0.11,-1.346,0.121,0.373,7.522,3.15,3.18
2003-03-31,PWR,0.432756,0.001113,0.012536,0.027901,1.112,-0.015,0.17,-0.586,0.21,0.602,6.896,3.2,5.32
2003-05-15,PWR,0.367129,-0.004843,0.033532,0.061433,0.966,-0.007,-0.04,-3.032,0.355,0.866,6.079,5.1,5.32
2003-08-14,PWR,0.408302,-0.009835,0.024682,0.086115,1.004,-0.024,-0.08,-22.565,0.382,0.924,5.862,5.38,8.7
2003-10-02,PWR,0.408302,-0.009835,0.024682,0.086115,1.004,-0.024,-0.08,-36.155,0.611,1.481,5.862,8.62,7.62
2003-11-14,PWR,0.436133,0.005399,-0.008288,0.077827,1.02,0.012,0.05,-63.859,0.538,1.288,5.892,7.59,7.68
2004-03-15,PWR,0.431289,-0.02571,0.101799,0.179626,1.211,-0.06,-0.24,-25.767,0.516,1.278,6.246,7.27,5.05
2004-05-10,PWR,0.354997,-0.011694,0.016054,0.19568,1.202,-0.033,-0.1,-13.522,0.347,0.865,5.741,4.83,6.11
2004-08-09,PWR,0.389194,-0.003492,0.001637,0.197317,1.215,-0.009,-0.03,-19.995,0.44,1.088,5.699,6.05,7.46
2004-11-09,PWR,0.463077,0.004156,0.020421,0.217738,1.236,0.009,0.04,-23.547,0.528,1.312,5.75,7.38,7.34
2005-03-16,PWR,0.419242,0.001836,0.047822,0.26556,1.201,0.004,0.02,-92.93,0.525,1.288,5.781,7.36,9.0
2005-05-10,PWR,0.372505,-0.005128,-0.011558,0.254002,1.189,-0.014,-0.04,-382.885,0.612,1.525,5.728,8.55,10.45
2005-08-09,PWR,0.439287,0.003343,-0.013265,0.240737,1.211,0.008,0.03,292.778,0.727,1.854,5.742,10.44,13.52
2005-11-09,PWR,0.52334,0.01288,-0.017101,0.223636,1.265,0.025,0.11,123.197,0.908,2.337,5.878,13.5,13.96
2006-03-02,PWR,0.523494,0.018462,0.080631,0.304267,1.209,0.035,0.16,55.412,0.881,2.327,6.061,13.98,18.9
2006-05-09,PWR,0.496494,0.007858,-0.019504,0.284763,1.187,0.016,0.07,51.816,1.112,3.09,6.123,18.6,16.9
2006-08-09,PWR,0.514048,0.01766,0.024758,0.309521,1.15,0.034,0.15,34.705,0.959,2.684,6.277,16.65,17.38
2006-11-09,PWR,0.528468,0.022423,0.029919,0.067275,1.144,0.042,0.19,31.185,1.004,2.73,6.472,17.47,22.68
2007-02-28,PWR,0.592028,-0.030458,0.316412,0.383687,1.248,-0.051,-0.26,156.876,1.287,3.762,6.162,23.18,28.99
2007-05-09,PWR,0.57488,0.031204,0.022745,0.406432,1.144,0.054,0.26,85.971,1.589,4.527,6.57,29.37,26.95
2007-08-09,PWR,0.5576,0.021866,-0.00064,0.405792,1.08,0.039,0.18,66.873,1.337,3.724,6.821,25.11,30.46
2007-11-09,PWR,0.655865,0.049321,-0.034322,0.37147,0.534,0.075,0.36,69.55,2.102,2.344,15.664,29.27,25.05
2008-02-29,PWR,0.878992,0.033587,0.035611,0.407081,0.55,0.038,0.18,29.911,1.531,1.861,16.092,23.88,27.86
2008-05-12,PWR,0.844442,0.024252,-0.033685,0.372194,0.538,0.029,0.14,38.329,1.684,2.238,12.996,28.69,35.22
2008-08-11,PWR,0.960882,0.040518,-0.067588,0.304791,0.532,0.042,0.24,38.749,1.713,2.512,13.316,32.62,15.59
2008-11-10,PWR,1.053355,0.054858,-0.037134,0.266429,0.523,0.052,0.32,19.419,0.796,1.272,13.626,15.08,17.6
2009-03-02,PWR,0.921534,0.047113,0.169227,0.437901,0.337,0.051,0.24,19.381,0.855,1.216,13.676,16.41,23.62
2009-05-11,PWR,0.73853,0.021354,0.071051,0.508809,0.312,0.029,0.11,27.364,1.22,1.666,13.616,22.61,24.14
2009-08-10,PWR,0.813379,0.033427,0.014725,0.524356,0.317,0.041,0.17,29.606,1.316,1.698,13.783,23.4,21.26
2009-11-09,PWR,0.780794,0.063436,0.060487,0.584038,0.287,0.081,0.32,27.364,1.39,1.603,14.213,21.56,19.0
2010-03-01,PWR,0.985423,0.043945,0.115465,0.699629,0.324,0.045,0.21,24.78,1.211,1.292,15.015,19.19,19.67
2010-05-10,PWR,0.748283,0.023744,-0.039805,0.659824,0.291,0.032,0.11,26.405,1.306,1.385,15.03,20.6,19.39
2010-08-09,PWR,0.870502,0.032986,-0.140006,0.519818,0.251,0.038,0.16,25.056,1.215,1.299,15.113,19.49,18.0
2010-11-09,PWR,1.206007,0.06278,-0.078571,0.441247,0.276,0.052,0.3,22.733,0.975,1.149,15.447,17.56,22.81
2011-03-01,PWR,1.106426,0.033666,0.097974,0.539221,0.289,0.03,0.16,30.868,1.203,1.405,15.815,22.39,19.33
2011-05-06,PWR,0.848959,-0.017594,-0.036202,0.503019,0.287,-0.021,-0.08,37.07,1.028,1.235,15.675,19.58,17.37
2011-08-05,PWR,1.010914,0.031801,-0.122637,0.380382,0.3,0.031,0.15,32.523,0.863,1.091,15.355,17.35,21.02
2011-11-08,PWR,1.250819,0.051994,-0.122544,0.257838,0.352,0.042,0.25,43.262,1.024,1.311,15.646,20.95,21.3
2012-02-29,PWR,1.513137,0.066314,0.057511,0.315349,0.387,0.044,0.31,32.715,0.938,1.282,16.075,20.9,23.37
2012-05-09,PWR,1.425177,0.045707,-0.137982,0.177367,0.371,0.032,0.22,24.681,0.929,1.396,16.368,23.11,24.56
2012-08-08,PWR,1.516696,0.065538,-0.004499,0.172868,0.382,0.043,0.31,22.566,0.908,1.465,16.604,24.76,26.4
2012-11-07,PWR,1.685201,0.096398,-0.044658,0.12821,0.433,0.057,0.45,21.48,0.958,1.607,17.185,26.65,28.4
2013-03-01,PWR,1.293195,0.098986,0.266491,0.394701,0.363,0.077,0.46,19.245,0.997,1.567,17.649,28.19,29.09
2013-05-08,PWR,1.58571,0.072081,-0.028082,0.366619,0.346,0.045,0.34,18.252,1.0,1.589,17.925,29.02,27.35
2013-08-09,PWR,1.474377,0.070237,-0.003506,0.363113,0.335,0.048,0.33,17.183,0.961,1.495,18.116,27.6,29.87
2013-11-08,PWR,1.645132,0.092906,-0.05396,0.309153,0.366,0.056,0.43,18.973,1.057,1.579,18.69,29.86,35.21
2014-03-03,PWR,1.817623,0.166697,0.179624,0.488777,0.367,0.092,0.77,18.776,1.157,1.782,19.496,35.37,34.19
2014-05-08,PWR,1.762574,0.054408,-0.215437,0.27334,0.351,0.031,0.25,18.894,1.084,1.686,19.658,34.01,33.36
2014-08-08,PWR,1.86455,0.081082,-0.084392,0.188948,0.344,0.043,0.37,18.154,1.012,1.635,19.971,33.77,33.23
2014-11-06,PWR,2.171144,0.094648,-0.044789,0.144159,0.389,0.044,0.43,18.177,0.947,1.613,20.37,33.95,28.78
2015-03-02,PWR,2.052982,0.066576,0.046356,0.190515,0.396,0.032,0.3,19.718,0.745,1.296,20.475,28.66,28.03
2015-05-08,PWR,1.886956,0.053484,-0.054981,0.135534,0.426,0.028,0.25,19.89,0.738,1.369,19.944,28.77,23.64
2015-08-10,PWR,1.87234,0.046109,-0.070107,0.065427,0.458,0.025,0.22,18.474,0.604,1.148,19.696,24.48,20.73
2015-11-06,PWR,1.939438,0.216388,-0.016233,0.049194,0.68,0.112,1.15,8.332,0.411,0.999,16.879,20.85,20.21
2016-02-29,PWR,1.899272,-0.005074,0.079577,0.128771,0.689,-0.003,0.06,9.979,0.41,1.006,15.814,20.29,23.21
2016-05-10,PWR,1.713737,0.020496,0.026544,0.155315,0.669,0.012,0.13,12.273,0.459,1.076,19.475,23.66,24.85
2016-08-08,PWR,1.79243,0.016562,0.007029,0.162344,0.654,0.009,0.11,14.305,0.484,1.11,20.498,24.64,28.63
2016-11-08,PWR,2.042186,0.073742,-0.044978,0.117366,0.672,0.036,0.48,39.684,0.563,1.282,21.119,29.0,37.32
2017-03-01,PWR,2.102966,0.087583,-0.005183,0.112183,0.602,0.042,0.56,27.983,0.726,1.662,21.562,38.25,34.44
2017-05-09,PWR,2.17817,0.048267,-0.005669,0.106514,0.631,0.022,0.31,22.601,0.63,1.505,21.888,34.51,36.5
