datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-27,QCOM,0.640027,-0.274736,-0.14886,0.965417,0.109,-0.429,-0.18,-222.701,17.975,9.415,3.366,24.5659385864,21.8869370533
2001-11-09,QCOM,0.642483,-0.194336,0.423185,1.388602,0.174,-0.302,-0.13,-77.202,15.809,8.674,3.206,21.5486596464,16.995523514
2002-01-25,QCOM,0.698642,0.139233,0.097252,1.485854,0.223,0.199,0.09,-195.432,13.112,7.056,3.273,17.9053730912,12.5395935329
2002-04-24,QCOM,0.696115,0.04393,-0.218179,1.267675,0.208,0.063,0.03,-89.618,9.57,5.009,3.331,12.9439711228,11.3147960251
2002-07-25,QCOM,0.770917,-0.013768,0.013201,1.280876,0.188,-0.018,-0.01,-799.236,7.099,3.855,3.344,9.97335113551,16.2917509777
2002-11-26,QCOM,0.873886,0.190282,0.125828,1.406704,0.201,0.218,0.12,88.03,10.417,5.921,3.439,15.6812963468,14.3709574257
2003-01-22,QCOM,1.097169,0.241334,0.213589,1.620293,0.188,0.22,0.15,62.681,8.419,4.923,3.753,14.2659747821,12.931249074
2003-04-23,QCOM,1.043043,0.103016,0.369548,1.989841,0.171,0.099,0.07,49.984,6.878,3.708,4.449,12.8416920946,14.1335419404
2003-07-23,QCOM,0.921608,0.191689,-0.195016,1.794825,0.175,0.208,0.12,39.613,7.31,3.993,4.557,14.1374419244,18.486232255
2003-11-05,QCOM,0.908816,0.291402,0.250269,2.045094,0.161,0.321,0.18,45.049,9.388,4.906,4.776,18.2010473534,23.0376370306
2004-01-21,QCOM,1.242097,0.352293,-0.249167,1.795927,0.139,0.284,0.22,50.422,11.497,5.967,4.953,22.9945979668,25.2375786983
2004-04-21,QCOM,1.215648,0.488437,0.150591,1.946518,0.128,0.402,0.3,40.295,12.44,6.234,5.306,25.7898833074,27.2761884577
2004-07-21,QCOM,1.340526,0.486424,0.062226,2.008744,0.118,0.363,0.3,34.032,11.702,6.026,5.637,26.5504449132,32.1325319132
2004-11-03,QCOM,1.117252,0.392846,-0.79465,1.214,0.12,0.352,0.24,37.994,13.391,6.762,5.933,31.3386508654,33.5543155703
2005-01-19,QCOM,1.39,0.513,-0.079,1.135,0.119,0.369,0.31,35.94,13.349,6.538,6.308,32.3340154968,25.8760868877
2005-04-20,QCOM,1.365,0.532,0.503,1.638,0.122,0.39,0.32,28.193,10.407,5.154,6.395,26.1995379738,28.3119305769
2005-07-20,QCOM,1.358,0.56,-0.278,1.36,0.108,0.412,0.34,29.453,11.25,5.632,6.397,28.5412730313,31.3010573064
2005-11-02,QCOM,1.561,0.538,0.71,2.07,0.122,0.345,0.33,30.981,11.703,5.971,6.813,32.0065002287,38.1789213608
2006-01-25,QCOM,1.741,0.62,-0.493,1.577,0.122,0.356,0.38,35.025,13.08,6.583,7.278,37.789745753,41.4019351041
2006-04-19,QCOM,1.834,0.593,0.202,1.779,0.109,0.323,0.36,38.078,13.551,6.567,8.053,41.7759291363,29.8387101427
2006-07-19,QCOM,1.951,0.643,-0.624,1.155,0.132,0.33,0.38,25.344,8.561,4.668,7.76,29.3041664048,28.599675832
2006-11-02,QCOM,1.999,0.614,0.452,1.607,0.134,0.307,0.37,24.327,7.984,4.482,8.11,29.103952232,30.6152689873
2007-01-24,QCOM,2.019,0.648,1.042,2.649,0.153,0.321,0.39,25.61,8.199,4.513,8.575,31.0086988799,35.7235057071
2007-04-25,QCOM,2.221,0.726,0.704,3.353,0.148,0.327,0.44,28.723,9.227,5.028,9.06,36.5127084932,34.8061380555
2007-07-25,QCOM,2.325,0.798,0.363,3.716,0.158,0.343,0.48,25.51,8.299,4.461,9.54,34.2971346439,33.3971341322
2007-11-08,QCOM,2.306,1.132,-1.305,2.411,0.168,0.491,0.68,19.699,7.335,4.109,9.556,32.2393240028,30.0403326367
2008-01-23,QCOM,2.44,0.767,0.557,2.968,0.175,0.314,0.47,17.253,6.356,3.783,9.547,29.804371194,33.9156645507
2008-04-23,QCOM,2.606,0.766,-0.165,2.803,0.173,0.294,0.47,19.58,7.007,4.381,9.571,34.1931934544,42.9383000291
2008-07-25,QCOM,2.762,0.748,0.167,2.97,0.165,0.271,0.46,26.179,8.834,5.31,10.348,44.5926079837,28.8881915293
2008-11-06,QCOM,3.334,0.878,-1.13,1.84,0.369,0.263,0.54,17.314,4.911,3.049,10.875,27.146850442,29.4058912415
2009-01-28,QCOM,2.517,0.341,1.986,3.826,0.369,0.135,0.21,22.222,5.413,3.544,10.367,30.3880133458,35.025599337
2009-04-29,QCOM,2.455,-0.289,0.066,3.892,0.407,-0.118,-0.18,42.49,6.442,4.166,10.365,35.722131142,39.944636818
2009-07-22,QCOM,2.753,0.737,-0.171,3.721,0.374,0.268,0.45,48.314,7.283,4.304,11.299,40.3359244234,34.7569875706
2009-11-05,QCOM,2.69,0.802,-1.004,2.717,0.351,0.298,0.48,46.007,7.032,3.605,12.202,36.6368727157,39.323020629
2010-01-27,QCOM,2.67,0.841,0.943,3.66,0.354,0.315,0.5,37.936,7.506,3.715,12.771,39.5829936807,36.4669488037
2010-04-21,QCOM,2.663,0.774,-1.107,2.553,0.375,0.291,0.47,22.172,6.489,3.375,12.467,35.9109731463,31.1263699244
2010-07-21,QCOM,2.706,0.767,-0.012,2.541,0.478,0.283,0.47,18.23,5.41,2.919,12.207,30.6266540535,38.6256535715
2010-11-03,QCOM,2.952,0.865,1.006,3.547,0.466,0.293,0.54,22.764,6.725,3.544,12.955,38.8895132587,44.0267427932
2011-01-26,QCOM,3.348,1.17,1.164,4.711,0.376,0.349,0.72,23.838,7.305,3.749,14.009,44.3172919498,45.802541153
2011-04-20,QCOM,3.875,0.999,1.656,6.367,0.353,0.258,0.6,24.277,7.164,3.696,15.095,47.3887392273,49.0392102827
2011-07-20,QCOM,3.623,1.035,-0.621,5.746,0.335,0.286,0.62,23.654,6.976,3.664,15.703,49.314614763,43.3460087723
2011-11-02,QCOM,4.117,1.056,-0.284,5.462,0.351,0.256,0.63,20.59,5.864,3.255,16.023,45.1095879087,51.051315641
2012-02-01,QCOM,4.681,1.401,-0.498,4.964,0.32,0.299,0.83,22.432,6.182,3.537,16.913,51.6935797276,58.5523191257
2012-04-18,QCOM,4.943,2.23,1.034,5.998,0.303,0.451,1.31,20.068,6.613,3.602,18.776,58.3389423863,47.6370003978
2012-07-18,QCOM,4.626,1.207,-2.586,3.412,0.302,0.261,0.7,16.198,5.198,2.93,18.999,49.0277978755,53.0241300501
2012-11-07,QCOM,4.87,1.271,0.395,3.807,0.282,0.261,0.74,16.212,5.18,2.954,19.685,51.0490536671,55.9483118239
2013-01-30,QCOM,6.018,1.906,0.486,4.293,0.268,0.317,1.12,16.503,5.336,3.089,20.675,56.0188534306,57.8397529606
2013-04-24,QCOM,6.124,1.866,-0.2,4.093,0.265,0.305,1.08,18.246,5.27,3.032,21.841,58.4150527222,55.4454899967
2013-07-24,QCOM,6.243,1.58,-1.56,2.533,0.246,0.253,0.91,15.901,4.528,2.802,21.759,54.6356120529,61.7370754938
2013-11-06,QCOM,6.481,1.501,3.609,6.142,0.261,0.232,0.88,17.193,4.738,3.265,21.228,62.3946619076,64.7141346215
2014-01-29,QCOM,6.622,1.875,2.15,8.292,0.25,0.283,1.11,17.63,4.722,3.248,21.935,63.9320635405,72.8073831893
2014-04-23,QCOM,6.367,1.959,-1.955,6.337,0.252,0.308,1.16,19.7,5.298,3.561,22.662,72.8977037243,74.0226275813
2014-07-23,QCOM,6.806,2.238,1.607,7.944,0.247,0.329,1.33,18.059,5.205,3.526,23.048,74.086181904,70.3960129596
2014-11-05,QCOM,6.692,1.894,-0.037,7.907,0.24,0.283,1.13,16.111,4.846,3.277,23.398,70.478176637,65.9017985252
2015-01-28,QCOM,7.099,1.972,-1.582,6.325,0.248,0.278,1.19,14.523,4.343,3.016,23.373,65.1855744364,63.327418875
2015-04-22,QCOM,6.894,1.053,-0.833,5.492,0.247,0.153,0.64,15.697,4.087,2.969,23.002,63.6691301917,60.5756625871
2015-07-22,QCOM,5.832,1.184,4.495,9.987,0.575,0.203,0.74,16.526,3.803,3.038,20.648,59.6922287606,57.0850709211
2015-11-04,QCOM,5.456,1.062,-2.427,7.56,0.617,0.195,0.69,17.184,3.583,2.883,20.168,56.5130010466,45.9529683774
2016-01-27,QCOM,5.775,1.498,-0.647,6.913,0.661,0.259,1.0,14.812,2.966,2.35,20.134,45.0153459806,49.5517608009
2016-04-20,QCOM,5.551,1.164,-1.138,5.775,0.689,0.21,0.78,15.59,3.384,2.581,19.936,49.8003322423,53.22177797
2016-07-20,QCOM,6.044,1.444,0.11,5.885,0.657,0.239,0.98,15.917,3.604,2.684,20.834,53.8781219856,66.5176730268
