datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2002-04-08,RCL,,,,0.727178,1.76,,,15.758,1.275,1.067,19.534,16.7109281137,13.7633126911
2003-03-24,RCL,,,,0.242584,1.612,,,8.543,0.874,0.744,20.907,12.8540247655,35.4850836526
2004-03-15,RCL,,,,0.330086,1.656,,,28.27,2.097,1.861,21.738,34.021954611,38.8301669145
2005-03-14,RCL,,,,0.628578,1.49,,,19.269,2.008,1.904,23.821,38.5749850947,36.1507578065
2005-04-26,RCL,1.168077,0.135343,-0.317238,0.31134,1.368,0.116,0.67,,,1.725,24.296,35.5978638636,40.5181965979
2005-07-27,RCL,1.203242,0.154494,-0.013312,0.298028,1.272,0.128,0.76,,,1.839,25.13,38.8121672675,35.7741318986
2005-11-03,RCL,1.502215,0.429723,-0.108822,0.189206,1.018,0.286,2.08,,,1.602,26.543,36.3819240414,38.5333127624
2006-02-24,RCL,1.02964,-0.003604,-0.063821,0.125385,1.026,-0.004,-0.04,13.117,1.915,1.691,26.32,38.2155653649,36.19044951
2006-04-26,RCL,1.146536,0.119499,0.146592,0.271977,1.029,0.104,0.57,12.757,1.83,1.568,26.942,36.3197011153,31.1879554137
2006-07-27,RCL,1.292984,0.122427,0.051206,0.323183,1.177,0.095,0.57,10.831,1.455,1.281,26.747,30.0719370369,35.1744746213
2006-11-01,RCL,1.636851,0.345373,-0.102645,0.220538,1.021,0.211,1.65,14.863,1.699,1.436,29.041,35.5305618952,35.4981666383
2007-02-28,RCL,1.153213,0.046623,-0.116018,0.10452,1.199,0.04,0.22,13.571,1.645,1.412,28.698,35.4631672135,36.3731522592
2007-05-01,RCL,1.223126,0.008825,0.095096,0.199616,1.246,0.007,0.04,17.046,1.681,1.463,28.711,36.7318963638,35.6153848966
2007-07-26,RCL,1.481325,0.128745,0.012749,0.212365,1.339,0.087,0.61,16.667,1.606,1.418,29.277,34.7021698993,34.5985329078
2007-10-22,RCL,1.953592,0.395,0.199541,0.411906,1.279,0.202,1.85,16.298,1.624,1.418,31.241,37.2518216734,34.178490739
2008-02-19,RCL,1.491096,0.070835,-0.181122,0.230784,1.217,0.048,0.34,13.112,1.287,1.171,31.686,32.8163045138,29.0969395471
2008-04-24,RCL,1.429085,0.075607,0.210343,0.441127,1.252,0.053,0.35,10.062,1.061,0.976,32.378,28.0663303907,22.998494495
2008-07-25,RCL,1.583774,0.084749,-0.053969,0.387158,1.336,0.054,0.4,8.865,0.86,0.788,33.011,23.2217808493,13.7666296102
2008-10-29,RCL,2.063389,0.411887,-0.085195,0.301963,1.246,0.2,1.93,5.36,0.525,0.491,32.878,14.4940249125,5.06482654936
2009-02-24,RCL,1.456277,0.001479,0.100915,0.402878,1.42,0.001,0.01,2.547,0.224,0.215,31.838,6.14244921943,10.2463955546
2009-04-23,RCL,1.325602,-0.036238,0.053006,0.455884,1.399,-0.027,-0.17,6.368,0.457,0.436,31.587,12.3567399502,14.7185296355
2009-07-29,RCL,1.349015,-0.035086,-0.146126,0.309758,1.318,-0.026,-0.16,8.695,0.48,0.422,32.972,12.491442784,18.5620504921
2009-11-03,RCL,1.763542,0.230392,-0.023895,0.285863,1.309,0.131,1.08,26.316,0.717,0.568,34.81,17.7358731117,23.8962827089
2010-02-23,RCL,1.451667,0.003353,-0.001244,0.284619,1.431,0.002,0.01,33.995,0.937,0.736,35.016,23.1509270288,30.9996121425
2010-04-29,RCL,1.48565,0.087447,-0.006515,0.278104,1.416,0.059,0.41,28.031,1.326,1.074,34.834,33.5050848504,24.7494006561
2010-07-23,RCL,1.601697,0.060546,0.040716,0.31882,1.525,0.038,0.28,15.847,0.96,0.835,33.704,25.2522912354,36.1273000143
2010-10-27,RCL,2.060659,0.356767,0.12311,0.44193,1.37,0.173,1.66,16.761,1.29,1.085,36.492,35.5346075457,38.8572774451
2011-02-24,RCL,1.604498,0.042707,-0.022001,0.419929,1.48,0.027,0.2,17.204,1.395,1.186,36.759,39.1446434905,35.6603301906
2011-04-28,RCL,1.671995,0.091552,0.050329,0.470258,1.389,0.055,0.42,15.667,1.245,1.044,38.234,35.7591122687,27.4973384648
2011-08-01,RCL,1.767873,0.093491,0.081202,0.55146,1.39,0.053,0.43,11.237,0.924,0.787,38.466,27.1740516637,27.4147207267
2011-10-31,RCL,2.321994,0.398958,-0.1,0.45146,1.39,0.172,1.84,10.303,0.877,0.765,38.866,26.8014967105,25.4977192758
2012-02-29,RCL,1.775401,0.02342,-0.189274,0.262186,1.355,0.013,0.11,10.201,0.822,0.737,38.658,25.8884541044,23.6530874109
2012-04-24,RCL,1.83448,0.046964,0.015347,0.277533,1.331,0.026,0.22,10.087,0.737,0.661,39.491,23.6803479803,22.4672022872
2012-07-27,RCL,1.821004,-0.003653,-0.065324,0.212209,1.381,-0.002,-0.02,11.52,0.692,0.649,37.967,22.4672022872,28.5357195581
2012-10-25,RCL,2.22639,0.367779,0.029028,0.241237,1.26,0.165,1.69,16.936,0.961,0.846,39.931,30.9083524202,31.1122978603
2013-02-25,RCL,1.80615,-0.392803,-0.046382,0.194855,1.386,-0.217,-1.81,403.534,0.96,0.888,37.91,31.0569543124,31.628837641
2013-04-25,RCL,1.91122,0.076226,0.021033,0.215888,1.382,0.04,0.35,166.439,1.019,0.949,38.059,33.2706962295,33.8397195026
2013-07-26,RCL,1.882767,0.024747,-0.010714,0.205174,1.385,0.013,0.11,107.145,1.04,0.973,38.115,34.2838831712,37.0160500185
2013-10-24,RCL,2.311749,0.365701,0.004393,0.209567,1.292,0.158,1.66,126.09,1.177,1.063,39.874,39.4372256172,48.1194423823
2014-02-20,RCL,1.854158,0.007018,-0.00488,0.204687,1.279,0.004,0.04,23.99,1.428,1.29,39.818,48.3453110733,49.5311217011
2014-04-24,RCL,1.887224,0.026457,0.011821,0.216508,1.293,0.014,0.12,27.472,1.468,1.327,39.662,49.3428977919,53.1740612767
2014-07-24,RCL,1.980043,0.137673,-0.031246,0.185262,1.261,0.07,0.62,25.078,1.676,1.521,39.828,57.2687382344,60.2365001912
2014-10-23,RCL,2.388762,0.490248,-0.002081,0.183181,1.173,0.205,2.2,20.971,1.71,1.538,40.54,59.1632229094,72.9083361046
2015-02-23,RCL,1.817826,0.109768,0.00606,0.189241,1.5,0.06,0.51,22.076,2.089,2.036,37.721,73.5209307627,70.094229394
2015-04-23,RCL,1.815599,0.04523,0.040464,0.229705,1.617,0.025,0.21,20.429,1.999,2.006,36.307,69.6156398173,79.5149357114
