datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2003-08-13,RF,0.714425,0.164766,,1.96165,10.338,0.231,0.6,,,1.804,15.925,19.1378635788,20.6455735376
2003-11-13,RF,0.686551,0.164722,-0.091568,1.910526,10.103,0.24,0.6,,,1.911,15.992,20.6183006532,19.9916511348
2004-03-12,RF,0.680887,0.163753,0.118077,1.930379,9.916,0.24,0.59,12.577,2.979,1.841,16.233,20.3053104012,19.4886932101
2004-05-07,RF,0.729481,0.168535,-0.269016,1.667234,10.019,0.231,0.62,11.442,2.693,1.711,16.193,19.1993122715,21.060982876
2004-08-06,RF,0.703222,0.159263,0.500187,2.100815,10.374,0.226,0.59,21.123,4.951,3.169,16.141,21.082064941,25.1852936433
2004-11-08,RF,1.170503,0.25545,0.227393,2.427697,6.876,0.218,0.55,22.001,5.004,1.54,23.076,25.0859713585,23.7265277034
2005-03-14,RF,1.035682,0.23646,0.278556,2.68598,6.824,0.228,0.49,19.095,4.291,1.453,29.159,24.099383382,24.1603811326
2005-05-09,RF,1.069373,0.241641,-0.07167,2.62597,6.918,0.226,0.52,17.516,3.93,1.469,22.887,24.421182848,24.1090970261
2005-08-09,RF,1.173637,0.248351,0.210264,2.795209,6.938,0.212,0.54,15.556,3.433,1.422,23.208,24.2700682354,24.7093581375
2005-11-08,RF,1.105235,0.256556,-0.025456,2.773353,6.947,0.232,0.56,15.545,3.486,1.435,23.163,24.6723902169,25.9769625601
2006-03-09,RF,1.108698,0.253996,0.440742,3.21694,6.988,0.229,0.56,15.74,3.524,1.484,23.218,25.7827143499,27.4734974599
2006-05-09,RF,1.185344,0.29468,-0.196474,2.965417,6.938,0.249,0.65,15.797,3.64,1.562,23.348,27.5263020953,28.0486820433
2006-08-08,RF,1.223246,0.345257,0.110042,3.069975,7.044,0.282,0.76,14.381,3.579,1.546,23.486,27.7135905391,28.7152059695
2006-11-03,RF,1.218648,0.351657,-0.070197,3.007194,6.877,0.289,0.77,13.597,3.576,1.534,24.3,28.5461121442,27.7984139665
2007-03-01,RF,1.645808,0.361551,1.657107,4.717418,5.926,0.22,0.52,19.273,4.946,1.26,41.264,27.6587234441,28.1266017603
2007-05-07,RF,1.81895,0.332981,-0.533827,4.183591,5.797,0.183,0.46,18.273,4.305,1.252,27.945,28.2912682329,24.2152809516
2007-08-03,RF,1.742136,0.453309,-0.154661,4.02893,5.987,0.26,0.64,13.656,3.187,1.04,27.768,23.0504752252,19.744109509
2007-11-09,RF,1.718925,0.394164,-0.390317,3.638613,5.965,0.229,0.56,11.283,2.512,0.877,28.328,20.0647609018,18.8854576934
2008-02-27,RF,1.41919,0.070641,1.290628,4.929241,6.115,0.05,0.11,12.873,2.404,0.812,28.507,18.9098890747,18.9660631542
2008-05-07,RF,1.744783,0.336668,-0.748261,4.18098,6.205,0.193,0.48,12.132,2.298,0.76,28.804,18.1778846766,8.65349497082
2008-08-07,RF,1.413928,0.206393,0.003375,4.184355,6.329,0.146,0.3,6.528,1.045,0.334,28.318,8.08171571732,9.78182731493
2008-10-30,RF,1.223859,0.079461,-0.470625,3.71373,6.323,0.065,0.11,10.831,1.294,0.381,28.314,9.34267837738,2.86723829418
