datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-07,RRC,0.054787,0.014739,0.001305,0.002829,89019.875,0.269,0.19,4.647,1.215,33803.9,0.0,3.36335455688,2.87739458288
2001-11-06,RRC,0.049719,0.006689,0.001972,0.004801,1.772,0.135,0.09,4.111,1.033,0.88,3.424,2.89018300325,3.07561509859
2002-03-05,RRC,0.046938,-0.030945,-0.001548,0.003253,1.815,-0.659,-0.4,26.961,1.158,0.987,3.1,2.93494247454,3.70224769664
2002-05-07,RRC,0.044283,0.004511,-0.002696,0.000557,1.852,0.102,0.05,-58.369,1.493,1.283,2.781,3.42090244854,3.10119193933
2002-08-14,RRC,0.048626,0.008474,0.003568,0.004125,1.793,0.174,0.1,-24.343,1.447,1.196,2.794,3.20349930227,2.97330773564
2002-10-24,RRC,0.048626,0.00731,0.003441,0.004125,1.902,0.15,0.08,-21.913,1.303,1.119,2.686,2.88378879307,3.12676878006
2002-11-13,RRC,0.048112,0.009222,-0.003662,0.000463,1.932,0.192,0.11,-29.773,1.384,1.196,2.649,3.03724983749,3.64469980498
2003-03-05,RRC,0.049933,0.004893,0.000871,0.001334,2.195,0.098,0.07,11.77,1.588,1.471,2.483,3.50402718093,3.84931453088
2003-05-07,RRC,0.05433,0.009454,5.4e-05,0.001388,2.674,0.174,0.12,10.458,1.667,1.659,2.424,3.85570874106,3.95162189382
2003-08-06,RRC,0.055273,0.004591,-7.9e-05,0.001309,2.848,0.083,0.05,12.43,1.686,1.812,2.3,3.99638136511,4.84681131961
2003-11-05,RRC,0.055723,0.016737,0.000326,0.001635,1.602,0.299,0.21,11.886,1.966,1.495,3.357,4.81484026869,7.36039866163
2004-03-03,RRC,0.083871,0.004633,-0.001004,0.000631,2.029,0.046,0.05,18.601,2.584,2.349,3.224,7.27079380835,7.99403298119
2004-04-08,RRC,0.083871,0.004633,-0.001004,0.000631,2.029,0.046,0.05,20.189,2.804,2.55,3.224,7.8916274346,8.35245239428
2004-05-05,RRC,0.063533,0.00662,0.000282,0.000913,2.149,0.093,0.07,22.822,2.742,2.648,3.132,7.96203124788,10.0124711018
2004-07-29,RRC,0.068696,0.008189,0.006658,0.007571,1.956,0.108,0.09,34.472,4.299,2.833,3.968,10.8004006894,10.3263340363
2004-10-28,RRC,0.086214,0.012879,-0.00707,0.000501,2.043,0.141,0.12,36.559,3.552,2.627,3.921,9.90328124528,15.3997792935
2005-03-02,RRC,0.102264,0.014543,0.017881,0.018382,1.817,0.113,0.11,53.759,6.214,3.519,4.636,15.7013583047,15.0596084702
2005-04-28,RRC,0.10796,0.022003,0.000597,0.018979,1.972,0.204,0.19,35.423,5.16,3.463,4.445,14.8284161867,19.7636190518
2005-07-28,RRC,0.119684,0.021661,-0.014038,0.004941,1.641,0.181,0.18,39.214,6.351,3.872,5.269,19.667211154,22.4952985793
2005-10-27,RRC,0.141845,0.024665,-0.003553,0.001388,2.471,0.174,0.19,37.005,6.269,5.21,4.376,21.9936881478,24.0172667032
2006-02-23,RRC,0.166468,0.042682,0.003362,0.00475,1.897,0.256,0.34,28.872,5.98,4.599,5.334,23.6794032247,27.2445389679
2006-04-27,RRC,0.189193,0.055396,-0.003401,0.001349,1.498,0.293,0.43,24.744,5.789,4.386,6.206,26.2977429329,26.3750324051
2006-05-11,RRC,0.189193,0.055675,-0.003401,0.001349,1.498,0.294,0.43,25.653,6.002,4.548,6.205,27.263861336,26.0509016579
2006-07-27,RRC,0.177673,0.05127,0.005439,0.006788,1.642,0.289,0.39,20.876,5.38,3.343,7.871,25.44169349,26.748803787
2006-10-26,RRC,0.22888,0.05133,-0.004537,0.002251,1.493,0.224,0.37,19.218,5.06,3.151,8.83,26.923000049,31.7254846159
2007-02-27,RRC,0.184127,0.000427,0.000131,0.002382,1.538,0.002,-0.01,28.008,5.701,3.539,9.023,30.9311366041,35.6364832294
2007-04-26,RRC,0.152841,0.073137,0.165473,0.167855,1.526,0.479,0.53,31.441,7.449,4.264,8.776,36.2861823795,35.440362096
2007-07-26,RRC,0.243514,0.064206,-0.151261,0.016594,1.23,0.264,0.44,28.67,6.698,3.29,11.099,35.4306577252,42.527471393
2007-10-25,RRC,0.242353,0.058915,-0.016407,0.000187,1.252,0.243,0.4,33.581,8.027,3.865,11.61,42.9936323034,63.3354764795
2008-02-27,RRC,0.223383,0.034311,0.003831,0.004018,1.324,0.154,0.23,40.225,10.758,5.367,11.947,60.1375986769,68.6178790857
2008-04-24,RRC,0.205338,0.00174,-0.003928,9e-05,1.73,0.008,0.01,62.554,10.887,6.056,10.937,64.4259151047,52.6707181596
2008-07-24,RRC,0.150077,-0.034582,-1.7e-05,7.3e-05,1.831,-0.23,-0.23,132.565,9.748,4.644,11.114,50.2279335591,31.7460982997
2008-10-23,RRC,0.62267,0.285324,0.000192,0.000265,1.339,0.458,1.87,17.673,4.219,2.249,14.51,31.7850625197,32.2095164107
2009-02-25,RRC,0.344862,0.093676,0.000488,0.000753,1.263,0.272,0.61,16.069,4.205,2.263,16.265,34.7254277743,40.1496460179
2009-04-29,RRC,0.276437,0.032608,3e-06,0.000756,1.278,0.118,0.21,17.693,4.785,2.659,16.319,41.5943694827,43.7492260751
2009-07-23,RRC,0.180432,-0.039883,0.001396,0.002152,1.225,-0.221,-0.26,19.498,5.088,2.967,15.823,45.0290716794,57.1401410072
2009-10-22,RRC,0.203641,-0.029818,-0.001293,0.000859,1.262,-0.146,-0.19,158.311,8.91,3.755,15.424,55.5268413381,49.5495026158
2010-02-24,RRC,0.246831,-0.016777,-9.2e-05,0.000767,1.269,-0.068,-0.11,-148.98,8.845,3.374,15.318,49.3537708259,47.923134806
2010-04-28,RRC,0.348479,0.077579,0.285747,0.286514,1.226,0.223,0.5,-852.193,7.743,2.992,16.209,46.5911204316,39.2476642704
2010-07-27,RRC,0.224817,0.009052,-0.119656,0.166858,1.281,0.04,0.06,148.854,5.821,2.358,16.113,36.5030723634,35.9744327172
2010-10-28,RRC,0.226961,-0.008168,-0.16478,0.002078,1.267,-0.036,-0.05,95.416,5.621,2.286,16.392,36.0823756413,53.3349636704
2011-03-01,RRC,0.238718,-0.317719,0.00077,0.002848,1.473,-1.331,-2.02,-33.768,7.776,3.633,14.149,49.4453420105,52.3074400928
2011-04-27,RRC,0.187576,-0.025033,-0.001167,0.001681,1.572,-0.133,-0.16,-25.337,9.865,3.967,13.86,52.9857361587,62.7567039182
2011-07-26,RRC,0.306629,0.051293,0.287158,0.288839,1.365,0.167,0.32,-34.719,10.838,4.634,14.209,63.5437451964,69.2738174171
2011-10-26,RRC,0.338205,0.034755,-0.236955,0.051884,1.357,0.103,0.22,-43.985,10.541,4.859,14.693,68.9292695118,63.3111882599
2012-02-22,RRC,0.386246,-0.002989,-0.051792,9.2e-05,1.443,-0.008,-0.02,184.255,8.773,4.469,15.102,65.1138874122,57.7038635487
2012-04-25,RRC,0.246893,-0.0418,0.122806,0.122898,1.623,-0.169,-0.26,236.482,7.635,4.077,15.059,59.3007248222,59.8072797976
2012-07-25,RRC,0.44244,0.055676,-0.12274,0.000158,1.708,0.126,0.34,215.487,6.957,4.07,15.16,59.70863675,65.8321376353
2012-10-25,RRC,0.294893,-0.053836,-7e-06,0.000151,1.918,-0.183,-0.34,-251.617,7.885,4.736,14.3,65.5853904928,70.474293865
2013-02-27,RRC,0.473478,0.052962,0.000101,0.000252,1.854,0.112,0.33,929.437,8.29,5.126,14.749,73.2889202315,74.2940014346
2013-04-25,RRC,0.319239,-0.07561,-5.8e-05,0.000194,2.042,-0.237,-0.47,-607.055,8.256,5.596,14.098,76.5369510722,75.8173710657
2013-07-24,RRC,0.673356,0.143983,9e-05,0.000284,1.905,0.214,0.88,184.096,7.057,5.208,14.859,75.1846534039,73.8280644137
2013-10-30,RRC,0.442038,0.019178,-2.9e-05,0.000255,1.94,0.043,0.12,90.019,6.629,5.29,14.897,76.5580410721,85.9975273138
2014-02-26,RRC,0.428086,0.028171,9.3e-05,0.000348,2.023,0.066,0.17,120.146,7.464,5.758,15.038,84.0578822789,90.8195251676
2014-04-28,RRC,0.457342,0.032521,-0.000102,0.000246,2.055,0.071,0.2,66.971,7.493,6.12,15.235,90.5720065664,75.9832359454
2014-07-28,RRC,0.765524,0.171389,4.6e-05,0.000292,1.583,0.224,1.04,51.208,6.147,4.26,18.654,75.5474045829,66.7877935701
2014-10-29,RRC,0.616615,0.146418,0.000176,0.000468,1.535,0.237,0.87,29.818,4.977,3.561,19.108,66.3021722784,50.9295521437
2015-02-24,RRC,0.872214,0.284054,-2e-05,0.000448,1.53,0.326,1.7,13.643,3.192,2.503,20.84,50.820452811,60.8317955689
2015-04-28,RRC,0.462632,0.027684,7.1e-05,0.000519,1.535,0.06,0.16,16.731,3.877,3.019,21.016,61.8443352471,41.9627968129
2015-07-28,RRC,0.24751,-0.118594,2e-06,0.000521,1.604,-0.479,-0.71,21.921,3.385,2.201,20.318,43.6615748089,28.6125337335
2015-10-28,RRC,0.479252,-0.300948,-3.1e-05,0.00049,1.722,-0.628,-1.81,-45.294,2.369,1.583,18.525,28.6722053367,23.2729919045
