datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-15,SBUX,0.662769,0.046757,-0.063189,0.151991,0.316,0.071,0.03,52.395,2.669,5.007,0.887,3.99213448504,4.28610279169
2001-12-20,SBUX,0.689536,0.053248,-0.038754,0.113237,0.345,0.077,0.03,38.632,2.643,5.088,0.899,4.1312645233,4.83140278038
2002-02-13,SBUX,0.805335,0.068355,0.113596,0.226833,0.309,0.085,0.04,41.938,3.018,5.606,0.985,4.93687232551,5.29367355267
2002-05-15,SBUX,0.783217,0.032077,-0.064989,0.161844,0.275,0.041,0.02,45.996,3.135,5.82,1.03,5.35875050606,4.25019826569
2002-08-14,SBUX,0.835158,0.056174,0.047299,0.209143,0.294,0.067,0.04,37.899,2.555,4.645,1.103,4.59577932848,4.66983241336
2002-12-20,SBUX,0.865198,0.058467,-0.034571,0.174572,0.328,0.068,0.04,37.58,2.458,4.681,1.11,4.68105257774,4.96380072002
2003-02-12,SBUX,1.003526,0.079973,0.151784,0.251461,0.314,0.08,0.05,37.805,2.458,4.785,1.152,4.96155668714,5.24879289517
2003-05-13,SBUX,0.954206,0.052051,-0.00106,0.250401,0.278,0.055,0.03,36.636,2.47,4.77,1.215,5.19269207329,5.86141387011
2003-08-08,SBUX,1.036776,0.068414,0.013237,0.263638,0.317,0.066,0.04,39.546,2.653,5.179,1.26,5.87487806736,7.18090520075
2003-12-23,SBUX,1.081014,0.069475,-0.062731,0.200907,0.311,0.064,0.04,47.089,3.1,6.068,1.326,7.19885746375,8.18398789597
2004-02-04,SBUX,1.281191,0.110811,0.247405,0.448312,0.37,0.086,0.07,48.551,3.354,6.5,1.422,8.27150517811,8.93573890918
2004-05-06,SBUX,1.241068,0.079488,-0.078231,0.370081,0.315,0.064,0.05,47.64,3.37,6.644,1.48,8.84822162704,10.1632248919
2004-08-06,SBUX,1.318691,0.098104,0.013292,0.383373,0.316,0.074,0.06,48.511,3.527,7.088,1.539,9.80193559902,13.1612528132
2004-12-10,SBUX,1.453297,0.103372,-0.084245,0.299128,0.338,0.071,0.07,59.275,4.386,9.339,1.562,13.0288548736,11.3346100528
2005-02-16,SBUX,1.589544,0.144753,0.34442,0.643548,0.364,0.091,0.09,47.303,3.594,7.189,1.748,11.3076816583,11.7205837073
2005-05-10,SBUX,1.518716,0.100536,-0.312331,0.177142,0.384,0.066,0.06,45.281,3.44,7.768,1.624,11.6465306225,11.6173581951
2005-08-10,SBUX,1.601799,0.125575,-0.04703,0.130112,0.462,0.078,0.08,41.621,3.203,8.673,1.452,11.5275968801,14.191263903
2005-12-16,SBUX,1.659241,0.123603,0.043697,0.173809,0.681,0.074,0.08,48.198,3.742,11.4,1.355,13.9982770757,15.7935033759
2006-02-10,SBUX,1.934092,0.17419,0.077626,0.251435,0.662,0.09,0.12,51.726,4.036,12.137,1.455,15.9326334142,16.3993922522
2006-05-12,SBUX,1.885822,0.127316,-0.048764,0.202671,0.579,0.068,0.09,49.686,3.864,11.316,1.575,15.9999544004,13.4462449884
2006-08-11,SBUX,1.963673,0.145498,0.013068,0.215739,0.618,0.074,0.1,39.618,3.037,9.024,1.627,13.4193165939,16.1929412277
2006-12-14,SBUX,2.003355,0.117289,0.096867,0.312606,0.987,0.059,0.08,48.963,3.548,12.397,1.466,16.4263206467,14.9991157381
2007-02-09,SBUX,2.355723,0.204952,-0.041733,0.270873,0.856,0.087,0.14,41.595,3.015,10.149,1.609,14.7926647135,13.2577462269
2007-05-11,SBUX,2.255594,0.15084,-0.070694,0.200179,1.096,0.067,0.1,35.459,2.557,9.915,1.47,13.2891626871,12.5890244301
2007-08-10,SBUX,2.359245,0.158343,-0.02739,0.172789,1.082,0.067,0.1,33.141,2.332,8.883,1.582,12.5845363643,10.3045989631
