datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,SCHW,1.071,0.102,-0.13,15.935,7.307,0.095,0.07,39.804,3.877,4.42,3.077,11.2295951577,11.9851934752
2001-11-09,SCHW,1.023,0.013,1.187,19.408,7.887,0.013,0.01,58.921,4.464,4.946,2.995,12.2858390065,10.6204029805
2002-03-27,SCHW,1.059,-0.013,0.646,22.148,8.72,-0.012,-0.01,90.301,4.128,4.317,3.001,10.6610630226,9.03643869615
2002-05-10,SCHW,1.059,0.094,-2.557,20.155,8.096,0.089,0.07,76.612,3.565,3.518,3.073,8.91432465972,6.89710904059
2002-08-13,SCHW,1.049,0.098,0.648,20.113,7.664,0.093,0.07,61.064,2.798,2.698,3.137,7.00309298566,7.72086225577
2002-11-12,SCHW,1.031,-0.004,0.004,21.718,8.068,-0.004,0.0,74.86,3.121,3.162,3.051,7.95754830801,6.37398716231
2003-03-21,SCHW,0.996,-0.079,0.612,24.119,8.899,-0.079,-0.06,100.385,2.646,2.728,2.962,6.61096873629,7.40433078938
2003-05-13,SCHW,0.9,0.071,-0.726,24.643,8.97,0.079,0.05,142.107,3.074,3.013,2.989,7.40433078938,8.39768757008
2003-08-12,SCHW,1.018,0.126,-0.289,24.732,9.011,0.124,0.1,127.713,3.691,3.484,3.073,8.80733086618,10.9244367256
2003-11-14,SCHW,1.051,0.127,0.416,24.934,9.148,0.121,0.09,67.885,4.195,3.857,3.157,10.0550746439,9.39328093385
2004-03-11,SCHW,1.118,0.148,0.317,24.175,9.282,0.132,0.11,32.13,3.711,3.4,3.249,9.13874272673,8.16909815561
2004-05-10,SCHW,1.19,0.161,-0.418,23.255,8.928,0.135,0.12,23.775,3.053,2.866,3.391,8.05392456631,7.03362497929
2004-08-06,SCHW,1.112,0.113,0.133,23.022,9.0,0.102,0.08,20.709,2.543,2.403,3.446,6.86046422365,8.03174267025
2004-11-08,SCHW,1.0,-0.041,-0.404,21.656,9.085,-0.041,-0.03,34.046,2.935,2.848,3.339,7.95737468256,8.84187501286
2005-03-02,SCHW,1.06,0.053,0.682,21.797,9.746,0.05,0.04,50.428,3.432,3.288,3.249,9.04884774256,8.57003190463
2005-05-09,SCHW,1.059,0.145,-0.638,20.592,9.855,0.137,0.11,52.098,3.325,3.29,3.224,8.91017837906,11.2414261673
2005-08-05,SCHW,1.087,0.186,0.476,19.974,9.763,0.171,0.14,50.296,4.102,3.995,3.286,11.0356790315,12.6727488878
2005-11-04,SCHW,1.138,0.207,-0.727,17.435,9.433,0.182,0.16,32.989,4.488,4.483,3.325,12.5647188973,13.807527546
2006-02-27,SCHW,1.18,0.187,0.441,17.589,9.641,0.158,0.15,29.319,4.762,4.777,3.466,13.7408245144,14.866438173
2006-05-05,SCHW,1.279,0.243,-0.107,16.723,9.281,0.19,0.19,28.913,5.08,5.137,3.574,15.4093137243,13.3964982188
2006-08-04,SCHW,1.311,0.251,0.806,14.766,9.184,0.191,0.2,23.305,4.217,4.497,3.556,13.56353685,15.0947689558
2006-11-06,SCHW,1.29,0.266,0.844,14.823,9.173,0.206,0.21,25.336,4.742,5.178,3.629,15.9398752,16.1744754446
2007-02-26,SCHW,0.429,0.467,1.059,15.369,8.783,1.089,0.37,19.5,5.553,4.778,3.922,15.8716771523,16.3006413997
2007-05-08,SCHW,1.153,0.273,-1.25,13.799,8.58,0.237,0.22,19.259,5.787,4.906,3.898,16.3006413997,16.9951249516
2007-08-07,SCHW,1.205,0.292,0.214,12.619,8.658,0.242,0.24,18.261,5.814,4.671,4.037,16.7732564796,20.4385236363
2007-11-07,SCHW,1.291,1.534,1.398,14.27,10.582,1.188,1.29,9.892,6.225,7.479,2.826,19.5244255319,18.2976711126
2008-02-27,SCHW,1.345,0.308,1.895,15.567,10.331,0.229,0.28,9.964,4.802,6.426,3.212,18.4492600059,19.6887221329
2008-05-08,SCHW,1.307,0.305,-1.973,15.865,11.507,0.233,0.27,10.205,4.835,6.988,3.073,19.4027307084,20.4841357824
2008-08-07,SCHW,1.308,0.295,0.448,14.593,11.429,0.226,0.26,10.31,4.795,6.47,3.372,19.5880668505,17.4016586568
