datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2008-08-14,SNI,0.416074,0.053272,,0.0358,0.561,0.128,0.33,,,5.624,7.628,38.933607102,23.1569926919
2008-11-14,SNI,0.374711,0.057327,-0.010884,0.024916,0.44,0.153,0.35,,,3.264,7.966,23.6388617978,17.7991005477
2009-03-05,SNI,0.41152,-0.153547,-0.014946,0.00997,0.425,-0.373,-0.95,128.798,1.907,2.658,6.994,16.938886948,27.2339965193
2009-05-08,SNI,0.361217,0.060128,-0.001329,0.008641,0.344,0.166,0.37,291.057,3.198,4.222,7.208,27.8471274893,30.0432768979
2009-08-06,SNI,0.391272,0.079524,0.001077,0.009718,0.308,0.203,0.49,125.765,3.55,4.296,7.696,30.3369191889,36.0804258115
2009-11-06,SNI,0.364461,0.06532,0.001402,0.01112,0.286,0.179,0.4,127.575,4.292,4.883,8.113,36.4299175731,36.5386064598
2010-03-01,SNI,0.429739,0.094354,0.24325,0.25437,0.95,0.22,0.56,22.283,4.328,4.82,8.39,37.1201962038,41.3574929105
2010-05-07,SNI,0.469393,0.072458,0.066591,0.320961,0.93,0.154,0.44,23.508,4.427,5.061,8.713,40.7020505006,41.4447936259
2010-08-09,SNI,0.516041,0.106208,0.01005,0.331011,0.86,0.206,0.64,21.842,4.153,4.801,9.257,41.0934098335,46.7829810462
2010-11-04,SNI,0.508687,0.101693,0.085784,0.416795,0.776,0.2,0.61,23.358,4.55,5.376,9.76,48.6079805048,48.2559977188
2011-03-01,SNI,0.573041,0.130613,0.133102,0.549897,0.736,0.228,0.78,20.761,4.127,4.804,10.649,47.2525999995,47.4012515135
2011-05-05,SNI,0.535967,0.100525,0.243767,0.793664,0.668,0.188,0.6,19.161,3.943,4.413,11.34,46.4907609905,35.0214510662
2011-08-09,SNI,0.533984,0.077429,-0.080208,0.713456,0.774,0.145,0.46,16.587,3.163,4.058,10.368,39.1640735342,40.0328135107
2011-11-09,SNI,0.503744,0.098603,-0.398154,0.315302,0.837,0.196,0.61,15.805,2.998,3.867,10.437,37.6625723378,41.9507990363
2012-02-29,SNI,0.553489,0.135001,0.44479,0.760092,1.111,0.244,0.84,17.188,3.414,4.214,10.195,42.401075949,51.2846642065
2012-05-09,SNI,0.535345,0.114903,-0.114562,0.64553,1.208,0.215,0.74,19.54,3.914,5.348,10.241,51.3784718966,55.2607071698
2012-08-09,SNI,0.600986,0.142364,-0.383757,0.261773,1.253,0.237,0.94,18.039,4.037,6.011,9.887,55.8717901854,56.3712005017
2012-11-09,SNI,0.566186,0.11841,0.177465,0.439238,1.147,0.209,0.79,17.636,3.992,5.522,10.883,56.6161288461,59.660458796
2013-03-01,SNI,0.604665,0.305801,-0.001713,0.437525,1.029,0.506,2.02,14.0,4.135,5.24,11.966,60.8432593272,65.3852133672
2013-05-09,SNI,0.594385,0.107819,-0.016301,0.421224,1.071,0.181,0.72,14.979,4.269,5.757,11.97,65.2054276864,70.4496193335
2013-08-09,SNI,0.665128,0.159729,-0.073763,0.347461,1.009,0.24,1.09,15.89,4.523,6.024,12.507,71.4548232168,71.9433969239
2013-11-12,SNI,0.616901,0.129003,0.209113,0.556574,0.96,0.209,0.88,15.783,4.468,5.637,13.462,72.1144418512,77.5445783055
2014-03-03,SNI,0.654395,0.108519,0.129797,0.686371,0.899,0.166,0.74,23.432,4.676,5.638,14.247,77.2200441274,71.0825301133
2014-05-08,SNI,0.643749,0.128296,-0.177234,0.509137,0.954,0.199,0.88,20.864,4.25,5.514,13.59,73.2301827621,78.5509550453
2014-08-07,SNI,0.708132,0.153794,-0.307132,0.202005,1.014,0.217,1.08,20.88,4.136,5.919,12.877,74.1008826652,71.5603600711
2014-11-06,SNI,0.644423,0.131339,-0.04472,0.157285,1.098,0.204,0.93,19.705,3.88,6.115,11.951,71.9633008303,70.3012225129
2015-02-27,SNI,0.669152,0.131846,0.720879,0.878164,2.088,0.197,0.96,17.458,3.571,6.886,10.103,69.7608892078,67.5320143244
2015-05-07,SNI,0.65825,0.123843,-0.723379,0.154785,2.049,0.188,0.94,16.159,3.261,7.424,8.967,65.6504965657,60.5976754429
2015-08-04,SNI,0.732102,0.193718,0.986029,1.78841,2.872,0.265,1.5,13.537,2.907,5.687,10.696,59.2228759681,57.410286698
2015-11-09,SNI,0.776122,0.124559,-0.893462,0.247352,3.293,0.16,0.96,13.077,2.647,5.072,11.457,56.7685050378,56.5739485858
2016-02-25,SNI,0.851753,0.164708,-0.023908,0.223444,3.108,0.193,1.27,12.26,2.465,4.882,11.794,56.6715740363,61.828883369
2016-05-06,SNI,0.816878,0.290897,-0.006646,0.216798,2.45,0.356,2.25,10.953,2.668,4.593,14.273,64.4467571177,65.1369757323
2016-08-09,SNI,0.892771,0.184608,-0.030875,0.185923,2.305,0.207,1.42,10.372,2.377,4.209,14.546,60.5103505858,64.0786739113
2016-11-07,SNI,0.803085,0.145997,0.14365,0.329573,2.127,0.182,1.13,10.745,2.511,4.166,15.647,64.6617463605,81.033164378
2017-02-24,SNI,0.888701,0.052093,-0.206636,0.122937,2.091,0.059,0.4,15.512,3.072,5.5,14.652,80.3983880597,69.8856716418
2017-05-05,SNI,0.85512,0.1999,-0.015264,0.107673,1.75,0.234,1.54,16.147,2.735,4.359,16.611,72.1753731343,88.05
2017-08-04,SNI,0.925046,0.234075,0.023884,0.131557,1.48,0.253,1.8,17.928,3.264,4.507,19.306,87.29,87.29
