datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,SO,2.561804,0.272573,0.020472,0.200228,2.884,0.106,0.39,12.086,1.745,2.114,10.973,11.0968943237,11.695232714
2001-11-14,SO,3.164461,0.554378,0.105396,0.305624,2.738,0.175,0.8,13.062,3.415,2.062,11.526,11.5246772369,13.2272825001
2002-03-25,SO,2.159217,0.115504,0.048567,0.354,2.735,0.053,0.16,14.712,1.828,2.325,11.487,13.0988622816,14.0548997967
2002-05-15,SO,2.213588,0.224286,-0.057929,0.296086,2.725,0.101,0.32,16.713,1.931,2.406,11.563,13.8349796008,14.288366801
2002-08-12,SO,2.630772,0.331392,0.378622,0.674708,2.778,0.126,0.47,16.272,1.961,2.406,11.736,14.1376456322,12.7913338668
2002-11-13,SO,3.248008,0.595413,-0.381683,0.293025,2.606,0.183,0.84,14.353,1.773,2.084,12.272,12.9488751262,14.6245996372
2003-03-10,SO,2.456632,0.166909,-0.02001,0.273,2.651,0.068,0.23,15.26,1.907,2.309,12.196,14.4085485697,15.0918185056
2003-05-15,SO,2.552902,0.297799,0.036385,0.309395,2.703,0.117,0.41,15.067,1.926,2.364,12.339,15.1230537285,14.9666213478
2003-08-13,SO,2.859223,0.431887,-0.098778,0.210639,2.612,0.151,0.6,13.774,1.849,2.23,12.72,14.866492543,15.5941631413
2003-11-13,SO,3.319096,0.618835,0.37231,0.582949,2.456,0.186,0.85,14.162,1.918,2.216,13.269,15.6261511682,16.3530778377
2004-03-01,SO,2.538629,0.125479,-0.271917,0.311,2.589,0.049,0.17,15.179,1.989,2.319,13.133,16.407012791,15.6900068985
2004-05-06,SO,2.75405,0.331142,0.123257,0.325491,2.563,0.12,0.45,14.154,1.86,2.182,13.274,15.7937334577,16.3577566931
2004-08-05,SO,3.008895,0.352132,-0.138209,0.191165,2.567,0.117,0.48,15.176,1.864,2.185,13.432,16.2195999643,18.2381752659
2004-11-05,SO,3.440805,0.644473,0.000596,0.284029,2.488,0.187,0.87,16.507,2.043,2.329,13.933,18.1263874923,18.1447628788
2005-03-01,SO,2.719985,0.204253,0.076356,0.373,2.542,0.075,0.27,15.705,2.022,2.341,13.855,18.2972873488,18.8845751902
2005-05-04,SO,2.86446,0.32296,0.00859,0.381789,2.529,0.113,0.43,16.241,2.057,2.378,13.989,18.9988540113,20.2281135494
2005-08-03,SO,3.144435,0.386821,-0.145031,0.236758,2.556,0.123,0.52,16.824,2.155,2.485,14.126,20.2743096409,20.1703684351
2005-11-03,SO,4.377644,0.722204,0.179581,0.416339,2.589,0.165,0.97,15.639,1.952,2.366,14.553,20.1429395058,20.1410098893
2006-02-27,SO,3.167461,0.159015,-0.20914,0.202,2.675,0.05,0.22,15.926,1.869,2.37,14.405,20.1587136777,18.8255324807
2006-05-04,SO,3.06326,0.261607,0.098675,0.300786,2.672,0.085,0.35,15.325,1.704,2.186,14.449,18.8673404526,20.4261805469
2006-08-03,SO,3.591503,0.385223,-0.037886,0.2629,2.707,0.107,0.52,16.21,1.744,2.284,14.608,20.161894439,21.8443262723
2006-11-06,SO,4.549378,0.737985,0.155197,0.418097,2.672,0.162,0.99,17.171,1.844,2.349,15.192,21.7954711953,22.4661577391
2007-02-27,SO,3.151859,0.188185,-0.250986,0.167,2.704,0.06,0.26,16.885,1.85,2.336,15.275,21.8983317743,23.4611322532
2007-05-07,SO,3.408669,0.338689,-0.005357,0.161489,2.689,0.099,0.45,17.213,1.932,2.474,15.305,23.5671783176,21.2137628429
2007-08-06,SO,3.771928,0.429153,0.007348,0.264886,2.681,0.114,0.57,15.767,1.795,2.266,15.612,22.2801298627,22.9085240806
