datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,SPG,0.48764,0.079205,0.045342,0.180359,3.171,0.094,0.21,23.165,2.566,1.758,17.147,14.033811927,13.6988555836
2001-11-14,SPG,0.49924,0.086091,-0.018626,0.161733,2.913,0.106,0.21,22.535,2.5,1.566,18.789,13.9049825642,16.2324997197
2002-03-29,SPG,0.568479,0.096324,0.098027,0.25976,2.994,0.107,0.26,28.88,2.811,1.788,18.535,16.2926200891,16.7649944195
2002-05-15,SPG,0.494332,0.07711,-0.016499,0.243261,3.006,0.094,0.17,28.184,2.836,1.837,18.194,16.8680579098,17.9072814369
2002-08-14,SPG,0.516534,0.271288,-0.018211,0.223253,3.173,0.365,0.99,18.619,3.124,2.003,18.581,17.9845790546,17.6582113353
2002-11-08,SPG,0.550754,0.111673,0.00365,0.225799,2.962,0.134,0.31,17.418,3.023,1.855,18.712,17.6324454628,18.3281240222
2003-03-07,SPG,0.624182,0.165785,0.168429,0.397129,3.003,0.182,0.53,15.17,2.933,1.849,18.651,18.319535398,20.4495141972
2003-05-09,SPG,0.54779,0.070822,0.009812,0.406941,3.041,0.101,0.29,17.121,3.296,2.13,18.336,20.7501160439,22.8199744737
2003-08-06,SPG,0.566317,0.065975,-0.055533,0.351408,3.074,0.089,0.27,27.828,3.561,2.393,17.71,22.8715062189,25.9805881758
2003-11-13,SPG,0.56658,0.058404,0.009659,0.361067,3.234,0.075,0.23,34.492,3.917,2.696,17.501,26.169537908,31.0564650723
2004-03-15,SPG,0.644221,0.228652,0.174556,0.535623,3.363,0.342,0.86,30.162,4.807,3.331,16.61,31.0478764481,25.6885749533
2004-05-10,SPG,0.584313,0.056187,-0.045866,0.489757,3.446,0.083,0.24,26.362,4.04,2.911,15.75,25.7229294501,30.1718367807
2004-08-03,SPG,0.601583,0.078545,0.029313,0.51907,3.688,0.118,0.34,29.343,4.681,3.453,15.61,30.6785656079,33.4956343423
2004-11-08,SPG,0.623453,0.081975,-0.030097,0.488973,3.756,0.119,0.36,31.371,5.29,4.071,14.417,34.0710721631,36.1409305929
2005-03-16,SPG,0.83465,0.126286,0.031111,0.520084,3.457,0.129,0.51,44.796,5.098,2.901,20.804,35.5483155238,39.5506143965
2005-05-06,SPG,0.756872,0.075464,-0.236555,0.283529,3.545,0.075,0.26,47.007,5.163,3.277,20.204,38.9923538241,47.9331116063
2005-08-04,SPG,0.756262,0.173218,0.092046,0.375575,3.49,0.205,0.7,45.156,5.98,3.991,19.824,47.0828378114,42.101435781
2005-11-02,SPG,0.786769,0.092883,0.047216,0.422791,3.632,0.095,0.34,40.28,5.059,3.663,19.27,42.4020376277,50.3293377554
2006-03-08,SPG,0.876479,0.134184,-0.085743,0.337048,3.612,0.132,0.52,45.066,5.719,4.205,19.544,50.2949832586,50.8790097036
2006-05-10,SPG,0.787649,0.12259,-0.038011,0.299037,3.655,0.132,0.47,41.024,5.741,4.338,19.221,51.0250163148,51.8237583645
2006-08-07,SPG,0.798738,0.101263,0.031248,0.330285,3.72,0.104,0.37,49.139,5.699,4.441,18.856,51.7378721226,59.1412661747
2006-11-07,SPG,0.818736,0.112995,-0.007333,0.322952,3.824,0.116,0.43,52.088,6.304,5.041,18.546,58.2909923798,70.572724972
2007-02-28,SPG,0.927031,0.226992,0.606408,0.92936,4.249,0.221,0.93,51.388,7.497,6.277,17.96,71.3714670217,72.1186773263
2007-05-08,SPG,0.852141,0.112787,-0.589407,0.339953,4.725,0.115,0.44,52.022,7.359,6.326,17.688,70.8389723219,56.7622172739
2007-08-08,SPG,0.855932,0.07422,0.041222,0.381175,4.697,0.07,0.27,46.402,6.147,5.548,17.13,60.6270981596,64.6723401532
2007-11-02,SPG,0.907145,0.179227,0.008793,0.389968,4.981,0.182,0.74,41.893,6.243,5.855,16.937,63.8650094793,58.522885233
2008-02-26,SPG,1.035581,0.125005,0.112014,0.501982,5.333,0.109,0.51,45.185,5.398,5.531,15.976,57.9903905332,65.8833361641
2008-05-09,SPG,0.895298,0.099284,-0.073323,0.428659,5.485,0.098,0.39,52.547,6.056,6.431,15.478,65.3250755917,62.8515518249
2008-08-06,SPG,0.922947,0.087917,0.07522,0.503879,5.73,0.083,0.34,48.364,5.689,6.325,15.03,62.9632039394,42.1100244052
2008-11-07,SPG,0.935594,0.124093,0.142237,0.646116,5.907,0.121,0.5,39.319,4.049,4.631,14.672,45.4166447185,23.9364956185
2009-02-26,SPG,1.029316,0.152342,0.127428,0.773544,6.476,0.141,0.65,18.296,2.043,2.543,13.143,23.1291649446,35.7114993834
2009-05-01,SPG,0.918492,0.113297,0.124784,0.898328,6.012,0.116,0.45,27.444,3.182,3.841,12.355,32.851487528,42.6511077292
2009-08-05,SPG,0.903612,-0.014231,1.730103,2.628431,4.613,-0.023,-0.08,51.464,4.675,4.186,15.049,44.1025852174,47.3920282823
2009-11-05,SPG,0.924932,0.112086,1.117262,3.745693,4.653,0.114,0.38,58.343,5.203,4.493,15.433,48.6545560383,54.9500175698
2010-02-25,SPG,1.02818,0.098255,0.212025,3.957718,4.539,0.089,0.33,80.42,6.031,5.107,15.374,55.6456961292,60.7301616499
2010-05-10,SPG,0.925071,0.014983,-0.631076,3.326642,4.393,0.01,0.03,140.613,6.905,5.886,15.347,64.0196047148,66.4501853606
2010-08-06,SPG,0.933566,0.151839,-1.0334,2.293242,4.035,0.163,0.52,75.732,7.132,5.923,15.673,66.2354697559,74.5836124689
2010-11-05,SPG,0.979275,0.231458,-1.281668,1.011574,3.974,0.236,0.79,64.003,8.013,6.447,16.405,75.9749695877,77.0657248599
2011-02-25,SPG,1.119718,0.218758,-0.214856,0.796718,3.962,0.195,0.75,52.045,8.027,6.576,16.267,78.0362393934,84.065453575
2011-05-06,SPG,1.019874,0.180246,-0.160668,0.63605,3.951,0.176,0.61,43.184,8.317,7.038,16.328,83.8249720977,81.4545118212
2011-08-05,SPG,1.040861,0.205955,0.153663,0.789713,3.936,0.197,0.7,38.357,7.682,6.664,16.333,79.9429139637,94.4405115969
2011-11-03,SPG,1.07436,0.274834,-0.213896,0.575817,4.286,0.255,0.93,43.376,8.935,8.191,15.798,95.7116279771,102.805831558
2012-02-28,SPG,1.171338,0.363764,0.222833,0.79865,4.388,0.31,1.24,39.73,9.424,8.728,15.616,102.410754846,116.513275766
2012-05-08,SPG,1.118969,0.646244,0.081899,0.880549,4.09,0.577,2.18,31.668,10.692,7.75,20.053,116.770934492,120.541340511
2012-08-08,SPG,1.188066,0.216279,-0.24205,0.638499,4.137,0.181,0.71,32.095,10.559,8.086,19.6,119.854250576,118.38559584
2012-11-07,SPG,1.228617,0.255755,-0.185787,0.452712,4.246,0.207,0.84,32.573,10.233,8.245,18.884,118.540191075,122.954743909
2013-02-28,SPG,1.344432,0.316217,0.731806,1.184518,4.317,0.235,1.01,34.818,10.211,8.431,18.843,122.697085183,138.148020102
2013-05-08,SPG,1.215058,0.283972,-0.354552,0.829966,4.255,0.233,0.91,52.311,11.236,9.565,18.854,139.281718495,121.537620917
2013-08-07,SPG,1.236563,0.34077,0.265863,1.095829,4.29,0.275,1.1,40.791,9.688,8.343,18.802,121.93269763,121.546209542
2013-11-06,SPG,1.302256,0.312509,0.003492,1.099321,4.311,0.239,1.0,38.765,9.505,8.314,18.782,122.293419846,128.159450168
2014-02-27,SPG,1.416261,0.382389,0.617542,1.716863,4.498,0.269,1.23,38.29,9.748,8.616,18.613,127.618366844,137.976247618
2014-05-07,SPG,1.314991,0.342482,-0.703495,1.013368,4.389,0.26,1.1,39.709,10.359,9.293,18.909,139.831390443,149.419332096
2014-08-07,SPG,1.181982,0.407421,0.652449,1.665817,4.671,0.344,1.31,35.631,9.848,9.814,16.84,149.39221425,166.722265483
2014-11-05,SPG,1.234694,0.252802,-0.847819,0.817998,4.736,0.204,0.81,40.854,10.966,11.242,16.157,165.456112672,172.958123167
2015-02-27,SPG,1.29712,0.405882,-0.205716,0.612282,4.625,0.312,1.3,42.588,12.287,11.75,16.2,175.934104553,167.847198613
2015-05-07,SPG,1.216235,0.363008,0.22145,0.833732,4.96,0.298,1.16,39.984,11.564,11.549,15.859,169.270494058,175.70271678
2015-08-05,SPG,1.34911,0.473778,-0.268075,0.565657,5.6,0.351,1.52,39.13,11.455,13.142,14.359,175.842496189,191.550770577
2015-11-04,SPG,1.320137,0.420843,0.291204,0.856861,5.805,0.318,1.36,37.972,12.164,14.352,14.195,191.400460997,175.762262713
2016-01-13,SPG,1.320137,0.420843,0.291204,0.856861,5.58,0.318,1.36,34.344,11.002,12.478,14.767,174.559190202,183.430420405
2016-02-26,SPG,1.380621,0.393131,-0.155727,0.701134,5.682,0.284,1.26,32.855,11.382,13.405,14.203,181.95869566,198.415254165
2016-05-05,SPG,1.336715,0.481829,0.103942,0.805076,5.638,0.36,1.55,36.515,11.973,14.049,14.836,199.198899808,214.183972375
2016-08-04,SPG,1.31538,0.456223,0.079205,0.884281,5.606,0.346,1.45,39.465,12.892,14.934,14.706,211.592299101,174.446458298
2016-11-03,SPG,1.357168,0.505578,-0.069534,0.814747,5.656,0.372,1.61,30.736,10.455,12.174,14.731,174.106652752,182.939892344
