datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-06-19,SPLS,2.667076,0.039507,-0.221712,0.041848,1.12,0.015,,119.304,0.609,3.619,2.647,6.90229434957,6.23944353521
2001-09-18,SPLS,2.314229,0.040353,0.018222,0.06007,1.171,0.017,,112.69,0.546,3.231,2.666,6.20582066781,8.60745405319
2001-12-12,SPLS,2.833861,0.091312,0.051245,0.111315,1.111,0.032,,134.613,0.733,4.157,2.782,8.33366784725,9.46243553838
2002-04-04,SPLS,2.929207,0.093798,0.283509,0.394824,0.993,0.032,,35.339,0.871,4.558,2.94,9.65456620921,10.4326954261
2002-05-28,SPLS,2.744766,0.093869,0.092932,0.487756,0.904,0.034,0.13,31.58,0.932,4.579,3.141,10.3606464245,6.83024534801
2002-09-13,SPLS,2.426475,0.059555,-0.312876,0.17488,0.917,0.025,0.09,21.311,0.66,3.146,3.075,6.96954008436,7.79570196893
2002-11-19,SPLS,3.089725,0.128018,0.051309,0.226189,1.204,0.041,0.18,23.063,0.773,3.547,3.457,8.83320759141,7.97342283945
2003-03-05,SPLS,3.335109,0.164658,0.369875,0.596064,1.152,0.049,0.24,18.727,0.72,3.142,3.745,8.47776585038,9.48164860546
2003-05-20,SPLS,3.146757,0.024756,-0.370045,0.226019,0.951,0.008,0.03,23.81,0.748,3.306,3.811,9.07817419672,9.78905767879
2003-08-19,SPLS,2.868527,0.087792,0.357191,0.58321,0.852,0.031,0.12,27.256,0.888,3.562,4.217,10.8217600345,12.0081669269
2003-11-18,SPLS,3.484784,0.165774,0.465361,1.048571,0.868,0.048,0.23,28.168,0.972,3.685,4.559,12.1042322623,12.9928366149
2004-03-04,SPLS,3.681154,0.211888,-0.490931,0.457465,0.775,0.058,0.29,27.044,1.006,3.619,4.89,12.7526732763,11.8152260665
2004-05-18,SPLS,3.452155,0.125731,-0.067647,0.389818,0.779,0.036,0.17,22.204,0.973,3.653,4.817,12.7683790292,13.4892916762
2004-08-17,SPLS,3.089252,0.122466,0.486922,0.87674,0.743,0.04,0.17,22.952,1.048,3.87,4.973,13.9682873276,15.0907821873
2004-11-16,SPLS,3.830466,0.208866,0.236752,1.113492,0.818,0.055,0.28,22.977,1.094,3.907,5.267,14.9359553101,15.3907592619
2005-02-24,SPLS,4.076505,0.251324,-0.116182,0.99731,0.718,0.062,0.34,22.582,1.107,3.887,5.539,15.6278379176,15.0266403788
2005-05-17,SPLS,3.899052,0.159426,-0.18113,0.81618,0.72,0.041,0.22,21.401,1.066,3.979,5.419,15.7728513421,16.3288516677
2005-08-16,SPLS,3.471964,0.147178,-0.134447,0.681733,0.723,0.042,0.2,20.844,1.046,3.964,5.486,15.9118514235,17.4554839064
2005-11-15,SPLS,4.245519,0.237824,0.088537,0.77027,0.742,0.056,0.33,20.956,1.063,4.004,5.695,16.6800097681,16.8775361995
2006-02-28,SPLS,4.462317,0.289982,0.207552,0.977822,0.735,0.065,0.4,21.43,1.112,4.041,6.073,17.9529578819,19.4942354956
2006-05-16,SPLS,4.237646,0.186074,-0.10271,0.875112,0.715,0.044,0.26,20.988,1.101,4.048,6.131,18.3136610523,17.3618229074
2006-08-15,SPLS,3.880674,0.161177,-0.140398,0.734714,0.672,0.042,0.22,19.635,1.021,3.8,6.223,17.4503659906,19.2286062459
2006-11-14,SPLS,4.75655,0.289928,0.07003,0.804744,0.69,0.061,0.4,20.132,1.077,3.928,6.576,19.0588986697,19.1990918848
2007-03-01,SPLS,5.285919,0.336498,0.212927,1.017671,0.672,0.064,0.47,18.667,1.001,3.619,7.004,18.7047263367,19.1535772422
2007-05-22,SPLS,4.589465,0.209143,-0.134203,0.883468,0.658,0.046,0.29,17.975,0.968,3.552,7.053,18.6909664946,17.3926718159
2007-08-21,SPLS,4.290424,0.178828,-0.191552,0.691916,0.661,0.042,0.25,16.399,0.879,3.23,7.215,17.3852103523,14.7438522129
2007-11-27,SPLS,5.168351,0.274518,0.218805,0.910721,0.619,0.053,0.39,15.466,0.799,2.844,7.682,16.30329812,16.780831795
2008-03-04,SPLS,5.324442,0.333181,0.334727,1.245448,0.58,0.063,0.47,15.644,0.804,2.724,8.157,16.5793722759,17.8388906909
2008-05-20,SPLS,4.884554,0.212282,-0.040718,1.20473,0.582,0.043,0.31,16.597,0.843,2.894,8.158,17.8691645826,18.7471074423
2008-09-03,SPLS,5.07472,0.150233,-0.946286,0.258444,1.56,0.03,0.22,18.454,0.875,3.014,8.355,19.0574148323,11.4435310669
2008-12-02,SPLS,6.950933,0.156703,0.629256,0.8877,1.607,0.023,0.22,13.658,0.524,2.163,7.544,12.3517478182,11.9127763884
2009-03-11,SPLS,6.173568,0.286046,-0.253926,0.633774,1.337,0.046,0.4,13.733,0.479,1.988,7.784,11.7084276194,15.5018779215
2009-05-27,SPLS,5.817559,0.142964,0.104587,0.738361,1.255,0.025,0.2,19.372,0.594,2.475,8.053,15.1521543392,16.9398475167
2009-08-25,SPLS,5.533779,0.092411,-0.104919,0.633442,1.165,0.017,0.13,23.211,0.643,2.577,8.456,16.6344874894,17.8669347625
2009-12-01,SPLS,6.518039,0.269381,0.401705,1.035147,1.069,0.041,0.38,22.372,0.736,2.693,9.074,18.7250379758,19.8800909085
2010-03-02,SPLS,6.406074,0.233915,0.380672,1.415819,1.013,0.037,0.33,22.946,0.698,2.503,9.289,17.8736316173,16.622310992
2010-05-20,SPLS,6.057795,0.18877,0.117571,1.53339,0.985,0.031,0.26,19.893,0.637,2.301,9.293,16.4988397869,15.2302829129
2010-08-19,SPLS,5.53424,0.129756,-0.66143,0.87196,1.05,0.023,0.18,16.826,0.564,2.144,8.835,14.6799775252,15.6381672271
2010-11-18,SPLS,6.537676,0.28868,0.497761,1.369721,1.048,0.044,0.4,17.6,0.603,2.185,9.369,15.937927963,16.3071895211
2011-03-02,SPLS,6.415402,0.274742,0.091536,1.461257,1.002,0.043,0.38,17.05,0.613,2.166,9.651,16.3384592997,15.4394929697
2011-05-18,SPLS,6.172938,0.198245,-0.528742,0.932515,0.894,0.032,0.28,13.304,0.481,1.632,10.19,13.0666039738,11.2452308309
2011-08-17,SPLS,5.819612,0.176438,-0.109391,0.823124,0.923,0.03,0.25,10.803,0.406,1.425,10.029,11.3005871008,12.2450244493
2011-11-15,SPLS,6.569927,0.32638,0.23724,1.060364,0.897,0.05,0.47,10.615,0.415,1.444,10.255,11.7988817238,12.8375960043
2012-02-29,SPLS,6.459715,0.283593,0.203785,1.264149,0.914,0.044,0.42,10.334,0.407,1.451,10.107,11.7624473389,11.9128927389
2012-05-16,SPLS,6.104825,0.187059,-0.059628,1.204521,0.884,0.031,0.27,9.848,0.384,1.352,10.285,11.2344635931,10.9587208111
2012-08-15,SPLS,5.498496,0.120429,-0.219855,0.984666,0.913,0.022,0.18,8.546,0.318,1.155,9.95,9.3582833236,9.25118436138
2012-11-14,SPLS,6.35314,-0.596252,0.036018,1.020043,0.968,-0.094,-0.89,-1504.538,0.319,1.261,9.158,9.49377097353,11.0314812256
2013-03-06,SPLS,6.56798,0.078056,0.313618,1.334302,1.003,0.012,0.12,-39.142,0.338,1.346,9.169,10.2429253818,12.3537505233
2013-05-22,SPLS,5.814571,0.169927,0.102326,1.435453,1.012,0.029,0.26,-44.205,0.416,1.654,9.169,12.7055183348,14.2121545712
2013-08-21,SPLS,5.314724,0.102531,-0.244579,1.186612,0.989,0.019,0.16,-38.341,0.392,1.563,9.129,12.0389777291,13.0514801861
2013-11-20,SPLS,6.111695,0.135228,0.199827,1.391171,1.01,0.022,0.21,20.32,0.415,1.63,9.263,12.847284929,11.4868923178
2014-03-06,SPLS,5.873273,0.212383,-0.890771,0.492532,0.821,0.036,0.32,11.911,0.32,1.204,9.424,9.72974068548,11.6011923028
2014-05-20,SPLS,5.654259,0.09621,0.292501,0.792901,0.856,0.017,0.15,13.859,0.33,1.229,9.531,10.14562822,10.1781838864
2014-08-20,SPLS,5.220103,0.081875,-0.375695,0.417206,0.859,0.016,0.13,13.872,0.319,1.203,9.412,9.91540805456,11.2813912628
2014-11-19,SPLS,5.961531,0.216792,0.352801,0.770007,0.875,0.036,0.34,14.666,0.392,1.478,9.416,12.3069722867,14.6861865778
2015-03-06,SPLS,5.656467,-0.260351,-0.142833,0.627174,0.943,-0.046,-0.41,76.415,0.457,1.938,8.283,14.2856542166,14.7120172233
2015-05-20,SPLS,5.262,0.059,0.168,0.795,0.958,0.011,0.09,106.319,0.468,1.942,8.317,14.4789200582,12.781909346
2015-08-19,SPLS,4.937,0.036,-0.184,0.611,0.979,0.007,0.06,176.652,0.417,1.743,8.103,12.7548098916,11.3551084999
2015-11-18,SPLS,5.593,0.198,0.171,0.782,0.931,0.035,0.31,238.729,0.363,1.46,8.295,11.0450091513,9.11704323326
2016-03-04,SPLS,5.268,0.086,0.043,0.825,0.891,0.016,0.13,16.357,0.294,1.153,8.325,8.86764083478,7.73744709635
2016-05-18,SPLS,5.101,0.041,0.121,3.446,1.337,0.008,0.06,14.752,0.255,0.972,8.481,7.70006812487,8.83904065716
2016-08-17,SPLS,4.752,-0.766,-0.171,0.775,1.076,-0.161,-1.18,-12.787,0.272,1.236,7.017,8.21377090006,8.62813137632
2016-11-17,SPLS,5.355,0.179,0.301,1.076,1.018,0.033,0.28,-13.195,0.296,1.306,7.143,8.96441712038,8.71465402513
2017-03-09,SPLS,3.039,-0.952,0.061,1.137,1.241,-0.313,-1.47,-3.701,0.304,1.502,5.652,8.25752373587,9.19261958998
2017-05-16,SPLS,4.149,-0.815,0.153,1.29,1.233,-0.196,-1.25,-2.494,0.34,1.748,5.144,8.86712984055,10.185
