datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,SRCL,0.088549,0.005594,-9e-06,0.003164,3.112,0.063,0.08,40.787,2.185,5.14,2.352,12.1125,12.25
2001-08-15,SRCL,0.088549,0.005594,4e-06,0.003164,3.112,0.063,0.08,42.436,2.274,5.348,2.352,12.37,13.3425
2001-11-14,SRCL,0.091261,0.006335,0.00964,0.012804,3.024,0.069,0.09,47.135,2.842,6.468,2.462,13.525,15.905
2002-03-25,SRCL,0.093379,-0.002236,-6.7e-05,0.012737,1.643,-0.024,-0.05,80.903,3.315,5.118,3.355,15.905,17.875
2002-05-03,SRCL,0.097064,0.010631,-0.001467,0.01127,1.494,0.11,0.14,66.494,3.65,5.42,3.35,18.025,15.965
2002-08-07,SRCL,0.099269,0.011523,-0.00236,0.00891,1.374,0.116,0.15,46.655,3.215,4.667,3.497,16.255,17.47
2002-11-08,SRCL,0.101979,0.012136,-0.002999,0.005911,1.229,0.119,0.16,42.278,3.46,4.909,3.662,17.94,19.71
2003-03-24,SRCL,0.103207,0.011434,0.002464,0.008375,1.042,0.111,0.14,33.903,3.861,4.745,4.185,19.105,20.715
2003-05-06,SRCL,0.112311,0.014681,0.000813,0.009188,1.031,0.131,0.18,33.566,4.009,4.846,4.254,20.5,22.625
2003-08-11,SRCL,0.113135,0.015522,-0.003089,0.006099,0.864,0.137,0.19,36.451,4.552,5.25,4.536,23.355,23.47
2003-11-07,SRCL,0.113228,0.017171,0.000443,0.006542,0.761,0.152,0.2,33.862,4.507,5.033,4.714,23.665,23.535
2004-03-15,SRCL,0.114551,0.018407,0.000698,0.00724,0.735,0.161,0.22,30.151,4.376,4.863,4.844,22.855,24.56
2004-05-05,SRCL,0.117556,0.019124,-0.004108,0.003132,0.611,0.163,0.22,29.972,4.591,4.792,5.089,24.23,23.625
2004-08-09,SRCL,0.123793,0.018867,,0.015066,0.697,0.152,0.21,28.494,4.468,4.432,5.363,23.2,22.905
2004-11-05,SRCL,0.135989,0.021128,,0.008955,0.678,0.155,0.23,26.048,4.105,4.092,5.455,22.43,23.275
2005-03-11,SRCL,0.13889,0.019059,,0.00785,0.684,0.137,0.22,26.313,3.985,4.153,5.618,22.93,24.15
2005-05-09,SRCL,0.140578,0.021815,0.005308,0.013158,0.725,0.155,0.24,26.581,3.986,4.42,5.457,24.32,29.695
2005-08-09,SRCL,0.149148,0.022982,-0.002365,0.010793,0.79,0.154,0.26,31.017,4.669,5.182,5.764,29.65,29.05
2005-11-08,SRCL,0.153176,0.023383,-0.006998,0.003795,0.757,0.153,0.27,29.426,4.412,4.825,5.989,29.09,31.155
2006-03-06,SRCL,0.166555,-0.001026,0.00403,0.007825,1.008,-0.006,-0.01,41.464,4.569,5.338,5.908,31.64,32.545
2006-05-10,SRCL,0.179249,0.023525,-6.4e-05,0.007761,1.229,0.131,0.27,40.955,4.351,5.186,6.171,31.86,33.2
2006-08-04,SRCL,0.198424,0.025168,-0.003153,0.004608,1.151,0.127,0.28,41.381,4.216,5.119,6.493,33.34,35.44
