datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-08,STT,0.967,0.167,0.438,41.597,18.124,0.173,0.51,29.285,4.746,4.667,11.306,41.9428061844,38.9501170845
2001-11-07,STT,0.959,0.17,0.694,43.56,18.216,0.177,0.52,26.546,4.356,4.217,11.655,39.5185566144,39.2726510976
2002-02-22,STT,0.989,0.17,-0.584,21.968,17.178,0.172,0.53,25.308,4.186,4.133,11.83,39.2726510976,40.9014204353
2002-05-03,STT,0.981,0.178,-0.854,42.843,17.352,0.181,0.55,23.541,4.139,4.037,12.339,39.8563762811,33.4995530209
2002-08-02,STT,1.003,0.178,1.163,47.883,18.185,0.177,0.55,18.865,3.339,3.136,12.929,32.6612581426,35.9324321837
2002-11-07,STT,0.956,0.182,-0.332,46.248,16.833,0.19,0.57,19.655,3.542,3.2,13.463,34.6872488902,30.1701675136
2003-02-21,STT,1.456,0.477,-0.267,46.719,16.922,0.328,1.47,12.344,2.85,2.617,14.797,30.6001268785,29.2177634022
2003-05-09,STT,1.02,0.096,0.22,38.259,14.662,0.094,0.29,13.0,2.735,2.401,15.326,29.7227818942,35.9427523117
2003-08-14,STT,1.082,-0.023,3.999,39.485,15.343,-0.021,-0.07,20.299,3.292,2.922,15.347,36.4904358243,41.7366140041
2003-11-07,STT,1.126,0.202,-3.889,32.761,14.594,0.179,0.61,22.635,3.634,3.246,15.783,41.7612131872,43.9370150949
2004-02-24,STT,1.506,0.447,1.685,25.218,14.231,0.297,1.35,24.843,3.789,3.121,17.326,43.978131523,41.3743238589
2004-05-06,STT,1.219,0.217,-0.997,30.607,14.634,0.178,0.65,19.773,3.379,2.805,17.757,40.9207484528,39.2548896887
2004-05-10,STT,1.219,0.217,-0.997,30.607,14.634,0.178,0.65,18.641,3.186,2.645,17.757,38.5786499924,35.5861771875
2004-08-06,STT,1.287,0.22,1.209,34.558,14.929,0.171,0.66,13.147,2.779,2.416,17.645,35.131110983,38.2876107483
2004-11-05,STT,1.174,0.177,2.47,39.15,15.343,0.151,0.52,14.471,2.961,2.496,18.327,38.2460840555,36.6035741409
2005-02-18,STT,1.271,0.184,-4.023,28.119,14.269,0.145,0.55,18.177,2.93,2.355,18.407,36.2452058149,39.264969383
2005-05-06,STT,1.308,0.226,0.891,24.086,15.613,0.173,0.68,19.034,3.048,2.549,18.172,38.8299004701,40.0891320612
2005-08-09,STT,1.361,0.22,3.54,21.194,15.686,0.162,0.67,19.636,3.099,2.536,18.927,40.2150928867,46.8022040467
2005-11-04,STT,1.388,0.143,-3.832,17.072,16.038,0.103,0.43,23.636,3.429,2.993,18.548,46.9623412477,52.0607099669
2006-02-21,STT,1.416,0.249,0.05,13.959,14.387,0.176,0.75,24.475,3.748,3.221,19.254,51.7478044652,55.1280397842
2006-05-05,STT,1.523,0.292,0.721,13.878,15.241,0.192,0.88,24.15,3.838,3.404,19.272,55.7303929428,52.8222461052
2006-08-04,STT,1.651,0.227,1.175,12.214,14.85,0.137,0.69,22.5,3.429,3.169,19.555,52.6945533266,53.9989807162
2006-11-03,STT,1.515,0.278,-1.098,12.249,15.01,0.183,0.84,20.118,3.447,3.0,21.229,54.1185419577,60.1112490391
2007-02-20,STT,1.622,0.309,-1.114,7.604,13.803,0.191,0.93,21.326,3.737,3.252,21.881,60.52244185,60.0646091138
2007-05-04,STT,1.696,0.314,0.93,8.049,13.732,0.185,0.94,20.815,3.621,3.144,22.354,59.9872616417,58.9032691509
2007-08-03,STT,1.921,0.366,1.553,9.467,13.49,0.191,1.09,20.373,3.822,3.332,23.075,57.1358262095,63.7894997698
2007-11-02,STT,2.24,0.358,-0.241,13.744,11.434,0.16,0.92,21.337,3.843,2.555,29.082,64.3690111575,71.0927444855
2008-02-15,STT,2.479,0.223,0.123,14.852,11.616,0.09,0.55,25.785,3.9,2.878,29.312,72.7928638021,63.2711043918
2008-05-09,STT,2.577,0.53,1.616,23.179,13.284,0.206,1.37,19.113,3.063,2.612,27.855,62.8274324099,62.5565385031
2008-08-01,STT,2.672,0.548,-1.762,30.247,9.415,0.205,1.36,18.587,3.093,2.196,34.881,62.3644329968,40.6148826341
2008-11-05,STT,2.771,0.477,53.676,78.193,20.859,0.172,1.11,10.388,1.759,1.414,30.32,37.5419883578,24.0068638138
2009-02-27,STT,2.673,0.234,-54.39,58.914,12.593,0.088,0.51,6.102,1.021,0.855,29.626,22.3280621485,30.3441364159
2009-05-04,STT,2.002,0.445,0.358,38.445,9.257,0.222,1.03,9.53,1.605,1.172,32.065,33.013501169,47.6164335475
2009-08-10,STT,2.122,-3.314,0.505,30.39,11.676,-1.562,0.8,-12.046,2.717,2.148,26.174,46.4759731079,37.8545603128
2009-11-06,STT,2.236,0.327,0.983,32.506,11.149,0.146,0.66,-8.884,2.27,1.526,27.237,36.6519861005,41.2506180095
2010-02-22,STT,2.28,0.498,-2.386,29.273,9.9,0.218,1.02,-11.338,2.682,1.599,29.351,41.3744406193,37.2610539852
2010-05-07,STT,2.296,0.495,-0.544,26.366,8.992,0.216,0.99,-10.402,2.322,1.346,31.157,36.571034467,35.3517941332
2010-08-06,STT,2.304,0.432,3.215,25.61,9.092,0.188,0.87,11.195,2.151,1.221,32.021,34.581930281,38.9018135303
2010-11-05,STT,2.31,0.54,-0.729,29.143,8.845,0.234,1.09,11.617,2.484,1.299,35.441,40.247223236,39.6627509709
2011-02-28,STT,2.043,0.081,-1.272,25.545,8.024,0.04,0.17,14.583,2.508,1.263,35.887,39.5919246298,41.376669457
2011-05-09,STT,2.361,0.466,-0.674,22.621,7.957,0.197,0.94,15.426,2.598,1.222,38.555,41.3233375522,34.4380225244
2011-08-05,STT,2.491,0.502,1.935,35.471,8.602,0.202,1.01,12.288,2.121,0.984,39.923,34.5718837159,36.2226009389
2011-11-04,STT,2.427,0.543,4.915,45.971,9.625,0.224,1.11,12.357,2.11,1.001,40.035,35.8816401176,36.5266810312
2012-02-27,STT,2.315,0.371,-7.294,61.079,10.178,0.16,0.77,10.747,2.108,1.043,39.967,37.3648210105,41.7406142023
2012-05-04,STT,2.421,0.417,-0.81,28.092,8.324,0.172,0.86,12.046,2.287,1.095,41.57,40.9433113914,36.041648194
2012-08-03,STT,2.423,0.48,4.705,37.233,9.091,0.198,1.0,10.767,2.034,0.98,41.331,37.0802598963,41.2776939641
2012-11-02,STT,2.356,0.654,0.344,38.015,8.857,0.278,1.39,10.815,2.185,1.002,43.927,40.9753268385,51.6610962617
2013-02-22,STT,2.449,0.468,-3.842,53.353,9.666,0.191,1.02,12.942,2.708,1.252,45.444,52.6742395294,53.2840401232
2013-05-03,STT,2.435,0.455,2.118,43.932,9.455,0.187,1.0,13.181,2.806,1.299,45.935,54.9954198841,65.3368149774
2013-08-06,STT,2.56,0.571,0.771,50.262,10.319,0.223,1.26,14.669,3.215,1.569,44.41,65.6154367897,66.0129599659
2013-11-06,STT,2.425,0.531,-1.583,42.532,9.63,0.219,1.2,15.431,3.166,1.53,46.132,66.3672668132,63.4607208291
2014-02-21,STT,2.464,0.545,-0.676,67.477,10.939,0.221,1.25,14.07,2.992,1.451,46.765,64.1157267946,61.0136300435
2014-05-09,STT,2.485,0.356,0.657,79.673,11.065,0.143,0.83,13.938,2.81,1.312,49.401,60.9197051204,65.7501562432
2014-08-08,STT,2.598,0.602,2.37,104.633,12.01,0.232,1.41,14.65,2.988,1.373,50.722,66.3822785661,73.7102907925
2014-11-10,STT,2.582,0.542,-2.101,91.092,11.989,0.21,1.28,15.949,3.22,1.542,50.136,74.0039572896,72.7818192974
2015-02-20,STT,2.63,0.473,-2.291,95.378,11.766,0.18,1.13,16.222,3.109,1.49,51.548,73.8182993475,74.6336194121
2015-05-08,STT,2.605,0.377,1.294,86.547,12.424,0.145,0.91,16.259,3.113,1.557,50.504,75.1873804363,75.1388602368
2015-08-07,STT,2.614,0.393,-0.065,119.812,12.701,0.15,0.96,17.95,3.072,1.49,52.353,75.2923027082,69.8449078329
2015-11-06,STT,2.619,0.543,0.576,72.021,10.5,0.207,1.34,16.632,2.838,1.382,52.876,70.9630432605,53.8477342556
2016-02-19,STT,2.522,0.535,-2.453,76.545,10.617,0.212,1.33,12.163,2.17,1.065,52.498,54.438722343,58.2143496985
2016-05-06,STT,2.484,0.319,2.528,68.767,10.335,0.128,0.8,13.219,2.311,1.101,53.818,58.2338389351,64.5277376876
2016-08-05,STT,2.573,0.585,0.938,79.842,10.569,0.227,1.48,13.371,2.599,1.201,56.0,66.6462954229,69.0176096809
2016-11-03,STT,2.62,0.507,-1.183,82.58,10.562,0.194,1.31,13.945,2.661,1.225,57.035,69.3825213068,80.0390933955
2017-02-17,STT,2.53,0.557,-2.176,72.249,10.438,0.22,1.45,15.656,3.019,1.452,55.249,79.9498967833,76.5207825789
2017-03-27,STT,2.53,0.557,-2.176,72.249,10.438,0.22,1.45,15.159,2.923,1.406,55.249,77.4127487014,83.4263408132
2017-05-04,STT,2.668,0.446,1.595,69.698,10.121,0.167,1.17,15.035,3.031,1.479,55.857,83.3665940902,93.77
2017-08-04,STT,2.81,0.584,0.247,66.773,9.797,0.208,1.56,16.746,3.299,1.589,58.786,95.1,95.1
