datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,SWK,0.6765,0.0507,0.0508,0.1622,1.642,0.075,0.59,19.69,1.431,4.763,9.29,29.7171870629,26.7292769173
2001-11-13,SWK,0.6761,0.0545,-0.01,0.1522,1.577,0.081,0.64,17.646,1.326,4.224,9.716,27.3893413759,30.9004616314
2002-02-22,SWK,0.6456,0.0065,-0.037,0.1152,1.47,0.01,0.08,24.562,1.482,4.672,9.782,30.6456401162,30.5219752086
2002-04-02,SWK,0.6456,0.0065,-0.037,0.1152,1.47,0.01,0.08,24.213,1.46,4.605,9.782,30.3535316368,28.770162062
2002-05-14,SWK,0.6167,0.0489,-0.0053,0.1099,1.354,0.079,0.57,23.588,1.449,4.321,10.253,29.9357915788,23.7649671324
2002-08-13,SWK,0.6491,0.0633,0.0297,0.1396,1.3,0.098,0.74,17.047,1.141,3.135,10.973,23.3651573062,21.8437251565
2002-11-12,SWK,0.6655,0.0547,-0.007,0.1326,1.156,0.082,0.63,16.421,1.105,2.922,11.255,22.0212054234,17.5887489753
2003-03-28,SWK,0.6617,0.0181,-0.0109,0.1217,1.458,0.027,0.2,11.553,0.824,2.173,11.323,17.0953466927,17.0119547576
2003-05-06,SWK,0.6662,0.0192,0.0343,0.156,1.477,0.029,0.22,13.538,0.796,2.135,11.216,17.1092453485,19.534193904
2003-08-12,SWK,0.6997,0.0124,-0.0283,0.1277,2.179,0.018,0.14,22.81,0.884,3.064,9.084,19.632390929,23.4829569639
2003-11-07,SWK,0.7157,0.0417,0.0419,0.1696,2.057,0.058,0.51,29.176,0.972,3.3,9.917,23.277772947,26.2080249445
2004-03-16,SWK,0.5965,0.0346,0.0348,0.2044,1.823,0.058,0.42,27.773,1.119,3.49,10.544,26.4234333687,29.4463315883
2004-05-13,SWK,0.7786,0.1535,-0.0119,0.1925,1.797,0.197,1.88,13.877,1.204,3.347,12.301,29.5540358004,30.4514334483
2004-08-04,SWK,0.7947,0.0614,0.0432,0.2357,1.684,0.077,0.75,11.864,1.197,3.318,12.706,30.4658790999,34.5691154791
2004-11-12,SWK,0.7912,0.0639,0.0206,0.2563,1.601,0.081,0.78,12.531,1.326,3.586,13.328,34.7072465399,34.6000628413
2005-03-07,SWK,0.6789,0.0881,-0.0063,0.25,1.334,0.13,1.07,10.608,1.279,3.187,14.782,34.6585706626,31.9144299585
2005-05-06,SWK,0.8063,0.0666,0.0605,0.3105,1.33,0.083,0.8,12.812,1.168,2.83,15.304,31.8776452306,36.2288176814
2005-08-01,SWK,0.824,0.0659,0.0151,0.3256,1.324,0.08,0.79,14.247,1.307,3.136,15.569,35.9622659878,35.1571093242
2005-10-31,SWK,0.8448,0.0769,0.0125,0.3381,1.215,0.091,0.92,13.471,1.271,2.908,16.492,35.715986645,37.591017702
2006-03-01,SWK,0.8102,0.0602,0.3197,0.6578,1.454,0.074,0.71,15.542,1.275,2.9,17.352,37.7259675062,39.526201401
2006-05-05,SWK,0.9687,0.0377,-0.4529,0.2049,1.862,0.039,0.46,17.754,1.239,3.22,16.009,39.654386335,33.9859174184
2006-07-28,SWK,1.0179,0.0747,0.0022,0.2071,1.733,0.073,0.92,14.692,1.007,2.605,17.342,34.3652245324,36.6681224191
2006-10-27,SWK,1.0127,0.0905,0.0342,0.2413,1.69,0.089,1.11,14.635,1.011,2.565,18.485,36.156616235,44.3214785657
2007-02-27,SWK,1.0193,0.0866,-0.0647,0.1766,1.536,0.085,1.06,15.85,1.142,2.957,18.741,42.5476979786,45.004557532
2007-05-01,SWK,1.0621,0.0676,0.0342,0.2108,1.963,0.064,0.82,15.287,1.187,3.118,18.904,45.2207770946,43.0319946713
2007-07-30,SWK,1.123,0.0853,0.0149,0.2257,1.946,0.076,1.03,13.881,1.086,2.897,19.091,43.2958042311,44.9582677342
2007-10-29,SWK,1.1313,0.0914,0.0549,0.2806,1.87,0.081,1.11,14.295,1.091,2.791,20.6,44.9114524606,39.2604901547
2008-02-25,SWK,1.1674,0.0923,-0.0402,0.2404,1.765,0.079,1.13,11.797,0.886,2.297,22.083,39.8257281653,38.1753175498
2008-04-25,SWK,1.0969,0.068,0.0844,0.3248,1.886,0.062,0.86,11.381,0.849,2.234,21.722,38.6572493317,36.7229167956
2008-07-24,SWK,1.1542,0.0796,0.0594,0.3842,1.828,0.069,1.01,10.733,0.782,1.985,22.776,35.9833690992,26.2037046308
2008-11-03,SWK,1.1197,0.1645,-0.0849,0.2993,1.736,0.147,2.09,6.558,0.584,1.417,23.748,26.940033533,22.3026045804
2009-02-26,SWK,1.0786,0.0012,-0.0877,0.2116,1.891,0.001,0.01,6.76,0.479,1.255,21.399,21.7122890857,32.7701042607
2009-05-05,SWK,0.913,0.0377,-0.0836,0.128,1.789,0.041,0.48,10.83,0.719,1.817,21.298,31.7462944551,32.7347854835
2009-07-31,SWK,0.9192,0.0695,0.0283,0.1563,1.632,0.076,0.88,11.675,0.791,1.774,22.637,33.1726814024,41.3380112249
2009-11-06,SWK,0.9355,0.0604,0.0511,0.2074,1.501,0.065,0.75,23.435,1.028,2.07,23.893,40.9797817846,46.8955049783
2010-02-22,SWK,0.9694,0.0567,0.1933,0.4007,1.388,0.058,0.7,20.207,1.213,2.282,24.636,47.1470903054,52.7992362541
2010-05-13,SWK,1.262,-0.1086,1.1047,1.5054,1.243,-0.086,-1.11,127.0,2.424,1.521,66.689,52.0824282231,48.5477362161
2010-07-30,SWK,2.3656,0.0458,0.093,1.5984,1.114,0.019,0.28,177.017,1.737,1.454,40.585,49.2178866898,53.1853232561
2010-11-01,SWK,2.3691,0.1232,0.0375,1.6359,1.148,0.052,0.74,86.789,1.459,1.471,41.674,52.5416409511,64.6871748711
2011-02-18,SWK,2.4129,0.1378,0.1095,1.7454,1.15,0.057,0.91,64.192,1.513,1.813,41.966,65.6710758632,65.1323786258
2011-05-12,SWK,2.3807,0.1587,0.1381,1.8835,1.141,0.067,0.95,27.014,1.32,1.715,43.845,64.9067668693,59.1439158235
2011-07-27,SWK,2.6232,0.1973,0.0315,1.915,1.122,0.075,1.17,17.813,1.123,1.459,44.798,56.9624494682,58.6480126996
2011-11-07,SWK,2.6364,0.1546,-1.0631,0.8519,1.333,0.059,0.94,17.346,1.119,1.598,42.664,58.4899081274,65.6179698157
2012-02-23,SWK,2.7361,0.164,0.0576,0.9069,1.268,0.06,1.0,18.938,1.231,1.824,41.307,66.5990574571,65.4851202998
2012-05-02,SWK,2.6529,0.1218,-0.0233,0.8836,1.262,0.046,0.74,19.86,1.189,1.758,43.78,65.8583561599,61.4092637009
2012-07-30,SWK,2.8142,0.1548,-0.3058,0.5778,1.382,0.055,0.94,19.35,1.062,1.683,41.713,61.2750846833,60.8644771196
2012-10-29,SWK,2.7867,0.1152,0.1917,0.7695,1.367,0.041,0.71,20.511,1.037,1.582,44.201,62.4505221259,71.8396005774
2013-02-20,SWK,1.9367,0.492,-0.0535,0.716,1.367,0.254,3.02,14.076,1.221,1.866,41.604,70.442190133,69.3317601011
2013-04-26,SWK,2.4872,0.0811,-0.1585,0.5575,1.548,0.033,0.52,14.288,1.202,1.821,42.524,67.9347155475,76.9995635644
2013-07-31,SWK,2.8693,0.1871,0.0042,0.5617,1.501,0.065,1.21,15.474,1.344,2.038,42.859,77.7437426181,72.5029149057
2013-10-28,SWK,2.7593,0.166,-0.0926,0.4691,1.442,0.06,1.07,13.137,1.21,1.754,44.742,72.4382296643,75.7201363357
2014-02-21,SWK,2.906,0.0561,0.0271,0.4962,1.42,0.019,0.36,25.942,1.156,1.871,43.695,76.0083991659,80.0190829294
2014-04-25,SWK,2.6408,0.1619,-0.0636,0.4326,1.429,0.061,1.04,23.29,1.19,1.928,44.244,79.7384126981,84.0988519498
2014-07-31,SWK,2.8855,0.2165,0.0831,0.5157,1.392,0.075,1.38,22.758,1.221,1.937,45.132,82.2828888231,82.7134757455
2014-10-23,SWK,2.9022,0.2367,-0.0289,0.4868,1.392,0.082,1.51,20.767,1.23,2.002,44.442,84.1991199157,93.7634464491
2015-02-19,SWK,2.9114,0.1458,0.0098,0.4966,1.452,0.05,0.93,20.331,1.364,2.406,40.844,93.5065602945,95.38492897
2015-04-29,SWK,2.63,0.1623,-0.0611,0.4355,1.825,0.062,1.07,20.12,1.352,2.728,36.9,95.298850121,100.462142179
2015-07-31,SWK,2.8669,0.2272,-0.0436,0.3919,1.752,0.079,1.53,20.939,1.429,2.795,39.067,101.40418504,102.633986536
2015-10-27,SWK,2.8295,0.2287,-0.0986,0.2933,1.8,0.081,1.57,20.764,1.412,2.813,38.647,102.411667673,89.9673376828
2016-02-19,SWK,2.8454,0.2655,0.1721,0.4654,1.603,0.093,1.81,15.859,1.254,2.412,38.15,89.3747442697,109.704418136
2016-04-22,SWK,2.6721,0.1894,-0.1132,0.3522,1.745,0.071,1.3,18.405,1.495,2.957,38.861,109.118129271,118.308718338
2016-07-25,SWK,2.9324,0.2715,0.216,0.5682,1.704,0.093,1.87,19.134,1.62,3.149,39.987,119.290614914,113.476933435
2016-10-28,SWK,2.882,0.2489,-0.1474,0.4208,1.597,0.086,1.71,17.674,1.521,2.856,41.5,112.845574334,124.698361195
2017-02-15,SWK,2.9204,0.2555,0.711,1.1318,1.455,0.087,1.73,20.029,1.695,3.037,41.728,125.610377192,136.83659328
