datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-27,SYY,5.789297,0.174165,0.021663,0.135743,1.546,0.03,0.26,28.509,0.781,7.924,3.195,16.5263755927,16.144178072
2001-11-13,SYY,5.828678,0.163952,-0.012157,0.123586,1.595,0.028,0.25,26.708,0.74,7.557,3.27,16.1768983356,18.8451211776
2002-02-12,SYY,5.590966,0.158533,-0.007743,0.115843,1.499,0.028,0.24,29.774,0.84,8.484,3.372,18.6940975584,18.6674802012
2002-05-14,SYY,5.620324,0.151384,0.23024,0.346083,1.555,0.027,0.23,28.57,0.811,8.118,3.449,18.3842403816,19.0955853182
2002-09-25,SYY,6.310536,0.205918,-0.115644,0.230439,1.809,0.033,0.32,28.146,0.819,8.972,3.242,19.2277804398,20.6013415403
2002-11-12,SYY,6.424422,0.182574,-0.03525,0.220189,1.847,0.028,0.28,29.144,0.85,9.279,3.353,20.548296567,19.3131156934
2003-02-10,SYY,6.348797,0.184567,-0.034615,0.21263,1.946,0.029,0.28,26.339,0.772,8.669,3.376,19.4262524842,19.3789030462
2003-05-13,SYY,6.395278,0.168411,0.058382,0.271012,2.029,0.026,0.26,25.434,0.74,8.584,3.384,19.3989501873,22.541449299
2003-09-26,SYY,6.97184,0.242736,0.150491,0.421254,2.157,0.035,0.38,27.973,0.833,9.907,3.389,22.5146222246,22.9735096134
2003-11-12,SYY,7.134281,0.208811,-0.115903,0.347421,2.103,0.029,0.32,28.041,0.84,9.705,3.599,23.4580124523,25.3224009216
2004-02-10,SYY,7.03652,0.221981,0.011051,0.403472,2.088,0.032,0.34,28.853,0.882,10.268,3.67,25.443948446,25.6709305366
2004-05-11,SYY,7.025585,0.195824,-0.0599,0.341915,2.229,0.028,0.31,28.053,0.866,10.748,3.534,25.8403085423,21.1673870504
2004-09-16,SYY,8.139017,0.280598,0.027011,0.369032,2.06,0.034,0.44,21.988,0.68,7.778,4.011,21.2149847726,23.7654067241
2004-11-10,SYY,7.531925,0.225914,-0.010103,0.359042,1.935,0.03,0.35,24.206,0.752,8.101,4.328,23.8815021017,24.0343683337
2005-02-10,SYY,7.331257,0.232643,-0.036677,0.338586,1.849,0.032,0.36,23.781,0.74,7.82,4.452,23.9383680037,24.9943149942
2005-05-12,SYY,7.437453,0.21822,0.046592,0.384751,1.901,0.029,0.34,23.731,0.746,8.069,4.43,24.712010059,22.3884897683
2005-09-15,SYY,7.981279,0.28468,-0.00784,0.293409,1.997,0.036,0.45,20.979,0.666,7.311,4.4,22.2432895567,21.1752891814
2005-11-10,SYY,8.010484,0.208495,-0.01376,0.280096,2.163,0.026,0.32,20.172,0.619,7.0,4.342,21.3281291952,21.4796025322
2006-02-09,SYY,7.971061,0.204182,0.07602,0.356661,2.249,0.026,0.33,20.617,0.601,6.962,4.372,21.2910011441,21.2082952393
