datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2007-08-13,TEL,3.412,-1.368,,0.75,1.109,-0.401,-2.75,,,1.501,21.994,26.4944615167,29.7991876503
2007-12-14,TEL,3.619,0.256,0.187,0.936,1.081,0.071,0.52,-32.597,1.342,1.587,22.891,29.4592729623,28.1373825088
2008-02-07,TEL,3.675,0.949,-0.023,0.916,1.184,0.258,1.91,,,1.498,23.042,28.4395288982,32.3674319598
2008-05-05,TEL,3.662,0.301,-0.173,0.748,0.942,0.082,0.62,135.752,1.304,1.619,23.807,31.8575599278,27.0515439221
2008-08-01,TEL,3.908,0.33,-0.032,0.73,0.907,0.084,0.69,8.422,1.04,1.334,24.249,26.7210713087,11.5287731689
2008-11-20,TEL,3.706,0.202,0.374,1.086,0.95,0.055,0.45,3.331,0.4,0.536,23.51,10.6601022995,13.1622520864
2009-01-16,TEL,3.706,0.202,0.374,1.086,0.95,0.055,0.45,4.063,0.488,0.654,23.51,13.1244837877,11.3965841235
2009-02-03,TEL,2.809,-0.037,-0.541,0.545,0.926,-0.013,-0.08,7.929,0.448,0.601,22.895,11.4343524222,14.9184779745
2009-05-04,TEL,2.456,-3.238,0.177,0.722,1.377,-1.318,-7.07,-3.098,0.66,1.202,15.439,15.5983073505,18.1665516601
2009-07-31,TEL,2.508,-0.074,0.536,1.258,1.303,-0.03,-0.16,-3.129,0.858,1.393,15.439,18.0532467641,20.8292167163
2009-11-18,TEL,2.698,0.093,0.263,1.521,1.31,0.034,0.22,-3.437,1.091,1.595,15.186,20.6498172976,21.9528236017
2010-01-28,TEL,2.892,0.172,0.174,1.695,1.324,0.059,0.37,-3.807,1.099,1.656,15.266,21.546814391,26.3811566207
2010-04-29,TEL,2.957,0.304,0.144,1.839,1.436,0.103,0.67,29.605,1.326,2.156,14.871,27.7124891488,22.2172016924
2010-07-23,TEL,3.084,0.33,-0.024,1.815,1.422,0.107,0.73,12.947,1.001,1.712,15.078,22.4626956337,28.5433917195
2010-11-10,TEL,3.137,0.297,0.175,1.99,1.408,0.095,0.66,13.202,1.206,2.064,15.892,28.4867392715,31.7914654051
2011-01-24,TEL,3.2,0.265,-0.583,1.407,1.464,0.083,0.6,13.834,1.337,2.252,16.545,32.3957581838,30.545111549
2011-04-26,TEL,3.472,0.299,-0.168,1.239,1.465,0.086,0.67,12.934,1.195,2.1,16.56,30.686742669,31.8481178531
2011-07-22,TEL,3.729,0.355,-0.027,1.212,1.377,0.095,0.81,12.977,1.166,2.08,17.359,32.0558434958,29.6575565303
2011-11-18,TEL,3.911,0.326,0.007,1.219,1.37,0.083,0.76,11.216,0.976,1.868,17.422,29.1382424236,30.7906054904
2012-01-27,TEL,3.309,0.26,0.171,1.39,1.31,0.079,0.61,11.789,1.014,1.928,17.838,30.5545536237,32.8017673945
2012-04-30,TEL,3.249,0.257,1.477,2.866,1.478,0.079,0.6,13.013,1.098,2.031,17.972,32.6412521252,28.2790136289
2012-07-26,TEL,3.499,0.199,-1.564,1.302,1.448,0.057,0.46,13.331,0.994,1.796,18.07,29.2609893943,30.8661420877
2012-11-13,TEL,3.364,0.396,0.287,1.589,1.421,0.118,0.93,13.015,1.09,1.816,18.844,31.0455415064,35.8421154374
2013-01-25,TEL,3.134,0.277,-0.617,0.972,1.23,0.088,0.66,14.692,1.252,2.041,19.263,36.0026307068,37.1356796669
2013-04-24,TEL,3.265,0.277,0.101,1.073,1.347,0.085,0.66,15.243,1.321,2.267,18.398,38.6558536883,46.7949220516
2013-07-25,TEL,3.449,0.335,0.189,1.262,1.294,0.097,0.81,16.316,1.587,2.66,18.993,46.7477116783,47.833550265
2013-11-15,TEL,3.432,0.387,0.141,1.403,1.202,0.113,0.93,16.849,1.619,2.566,20.193,48.5511479398,55.868755807
2014-01-23,TEL,3.326,0.353,-0.006,1.397,1.14,0.106,0.86,17.957,1.802,2.818,20.964,55.1039477589,56.4447223617
2014-04-24,TEL,3.431,0.362,0.032,1.429,1.219,0.106,0.88,17.282,1.821,2.959,20.471,56.8224053484,58.5693648002
2014-07-24,TEL,3.58,0.403,0.184,1.613,1.134,0.113,0.99,17.216,1.882,2.93,21.619,59.4997831435,58.2481586232
