datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-09,TMO,0.542472,0.024983,0.18464,0.506351,0.913,0.046,0.14,-38.523,1.715,1.528,13.515,16.0842410544,17.5044830901
2001-11-09,TMO,0.512941,0.026279,-0.318431,0.340188,0.947,0.051,0.14,-47.749,1.906,1.798,12.464,17.6997663701,19.5712213099
2002-03-15,TMO,0.559708,-0.006868,-0.048636,0.297557,1.005,-0.012,0.24,-4511.495,1.61,1.847,10.568,19.4840227992,18.5926602444
2002-05-09,TMO,0.491326,0.115044,0.012821,0.314995,0.935,0.234,0.66,20.711,1.568,1.646,11.511,18.5635940742,16.4514523685
2002-08-13,TMO,0.509113,0.068517,-0.079688,0.23491,0.885,0.135,0.29,13.518,1.324,1.363,11.767,15.9670161974,15.9670161974
2002-08-14,TMO,0.509113,0.068517,-0.079688,0.23491,0.885,0.135,0.29,13.879,1.359,1.399,11.767,16.3933200279,19.0770964155
2002-11-08,TMO,0.517171,0.039017,-0.0003,0.233604,0.872,0.075,0.24,14.517,1.507,1.595,11.846,18.5539053508,17.245927689
2003-03-07,TMO,0.568745,0.087152,0.101034,0.339038,0.794,0.153,-0.03,9.563,1.42,1.457,12.062,17.5850330087,17.914449605
2003-05-08,TMO,0.500205,0.036427,-0.089956,0.249111,0.639,0.073,0.22,12.885,1.421,1.433,12.761,17.8369398176,20.8501328015
2003-08-07,TMO,0.516405,0.053139,0.015331,0.264442,0.5,0.103,0.33,16.271,1.67,1.605,13.497,20.9567087591,21.644608122
2003-11-06,TMO,0.497116,0.048515,-0.056896,0.207546,0.397,0.098,0.3,16.381,1.772,1.65,13.759,21.9546472715,27.6225504726
2004-03-02,TMO,0.583409,0.061928,0.096366,0.303912,0.422,0.106,0.21,23.435,2.235,1.967,14.58,27.4190872808,27.6225504726
2004-05-10,TMO,0.582002,0.043122,0.049082,0.352994,0.424,0.074,0.26,22.296,2.115,1.9,14.684,26.9443398331,23.6211076998
2004-08-09,TMO,0.468339,0.09108,-0.046377,0.306617,0.424,0.194,0.55,16.372,1.88,1.632,14.824,23.7664385511,28.9402168578
2004-11-08,TMO,0.542315,0.106536,0.029047,0.335664,0.386,0.196,0.66,15.796,2.197,1.968,15.041,28.9595943047,26.59554579
2005-03-16,TMO,0.613339,0.121099,0.099361,0.326886,0.342,0.197,0.75,12.001,1.968,1.629,16.34,26.1595532361,24.9969064256
2005-05-06,TMO,0.559208,0.048856,0.024674,0.35156,0.328,0.087,0.3,11.389,1.917,1.564,16.63,25.1616147237,28.368582176
2005-08-04,TMO,0.653621,0.060223,-0.191816,0.159744,0.535,0.092,0.37,14.015,1.992,1.752,16.701,28.2910723886,28.7173762191
2005-11-09,TMO,0.679411,0.057734,0.033715,0.193459,0.501,0.085,0.36,16.697,1.919,1.741,17.066,28.7076874957,33.8814658024
2006-03-02,TMO,0.740787,0.056405,0.020867,0.214326,0.522,0.076,0.35,25.357,2.15,2.026,17.287,33.6973800574,38.0379281499
2006-05-05,TMO,0.684287,0.046906,0.016466,0.230792,0.475,0.069,0.29,29.184,2.341,2.247,17.627,38.2220138949,36.5458647431
2006-08-04,TMO,0.713468,0.04788,-0.041076,0.189716,0.526,0.067,0.3,28.437,2.108,2.171,16.97,36.5264872963,41.5452460282
2006-11-03,TMO,0.724962,0.048833,-0.031752,0.157964,0.491,0.067,0.31,33.947,2.371,2.412,17.85,41.632444539,43.8511622024
2007-03-01,TMO,1.6689,0.025316,0.745463,0.667434,0.528,0.015,-0.04,113.278,5.047,1.376,70.958,44.141823905,51.2533468958
2007-05-04,TMO,2.3382,0.1389,0.0035,0.6709,0.488,0.059,0.33,84.959,4.071,1.558,33.879,50.9045528527,51.8540477479
2007-08-09,TMO,2.3859,0.1639,0.2803,0.9512,0.464,0.069,0.39,58.903,3.119,1.528,34.273,50.4298054051,56.9793824375
2007-11-01,TMO,2.4012,0.2185,-0.1204,0.8308,0.466,0.091,0.51,44.242,2.75,1.674,34.039,55.7779807333,55.2547896686
2008-02-29,TMO,2.6211,0.2398,-0.2057,0.6251,0.464,0.091,0.58,30.761,2.402,1.616,34.373,54.1890300923,56.9115613736
2008-05-02,TMO,2.554,0.233,0.1089,0.734,0.454,0.091,0.56,28.681,2.462,1.659,35.415,56.8243628628,57.6963479707
2008-07-31,TMO,2.7096,0.2495,0.2729,1.0069,0.439,0.092,0.59,26.954,2.465,1.683,36.044,58.6361541425,35.6738796353
2008-10-30,TMO,2.5881,0.2215,0.2334,1.2403,0.427,0.086,0.53,17.72,1.597,1.105,36.123,38.5611192146,34.976291549
2009-02-27,TMO,2.6463,0.2902,0.0402,1.2805,0.413,0.11,0.7,15.251,1.444,1.016,35.692,35.1313111237,33.98804176
2009-05-01,TMO,2.2551,0.1489,0.2806,1.5611,0.403,0.066,0.36,16.8,1.499,1.02,35.893,35.4122841029,44.0933802879
2009-07-31,TMO,2.4841,0.2069,-0.1437,1.4174,0.403,0.083,0.5,21.304,1.853,1.226,36.302,43.8705396492,44.4712405013
2009-10-30,TMO,2.5311,0.2212,0.3283,1.7457,0.391,0.087,0.54,21.188,1.853,1.193,37.753,43.5992553934,47.7460290175
2010-02-26,TMO,2.8394,0.2733,-0.1816,1.5641,0.401,0.096,0.66,23.485,1.975,1.294,37.417,47.2519041231,53.1232705161
2010-05-06,TMO,2.6751,0.2323,-0.1324,1.4317,0.397,0.087,0.57,23.441,2.079,1.414,37.793,51.6699620029,43.1632628395
2010-08-04,TMO,2.649,0.2373,-0.1243,1.3074,0.387,0.09,0.58,19.211,1.732,1.207,37.491,44.0449366708,51.233969449
2010-11-05,TMO,2.6835,0.2685,-0.3772,0.9302,0.399,0.1,0.67,20.585,1.919,1.352,38.424,50.749533278,53.2589126439
2011-02-24,TMO,2.7811,0.2975,-0.0131,0.9171,0.39,0.107,0.75,20.869,2.003,1.407,39.017,53.6077066871,57.8610562688
2011-05-06,TMO,2.7214,0.2522,1.8716,2.7887,0.536,0.093,0.65,21.917,2.135,1.516,39.256,58.4811345677,52.5613245576
2011-08-05,TMO,2.8974,0.5234,-1.4326,1.3561,0.537,0.181,1.37,15.319,1.854,1.312,41.02,52.1447094506,48.6858351893
2011-11-04,TMO,2.9735,0.2654,-0.4658,0.8903,0.776,0.089,0.7,13.809,1.625,1.216,40.042,47.3391026339,55.4582528605
2012-02-29,TMO,3.1336,0.2889,0.126,1.0163,0.784,0.092,0.77,15.576,1.767,1.377,40.284,54.8575520084,53.642401415
2012-05-04,TMO,3.1003,0.2773,-0.228,0.7883,0.754,0.089,0.76,14.646,1.639,1.298,41.625,52.4673958807,52.9546940506
2012-08-03,TMO,3.1081,0.2338,-0.056,0.7323,0.746,0.075,0.64,19.42,1.68,1.371,41.129,55.1063740258,60.9142866248
2012-11-02,TMO,3.0857,0.2904,0.0999,0.8322,0.804,0.094,0.8,20.317,1.783,1.449,42.169,60.0068657284,71.6269500387
2013-02-27,TMO,3.2593,0.3764,0.0188,0.851,0.775,0.115,1.05,22.543,2.123,1.717,43.149,72.6147056305,79.9570463029
2013-05-03,TMO,3.1915,0.3362,0.1531,1.0041,0.757,0.105,0.94,23.846,2.332,1.891,43.562,80.5155697881,90.3257137231
2013-08-02,TMO,3.2401,0.2774,0.4048,1.4089,0.748,0.086,0.77,25.85,2.591,2.094,43.897,90.1195802752,96.1377463497
2013-11-01,TMO,3.1918,0.3176,0.4821,1.8456,0.72,0.1,0.88,27.064,2.747,2.153,45.507,96.2852270406,122.375536807
2014-02-27,TMO,3.4669,0.3421,3.9804,5.826,0.89,0.099,0.94,38.435,3.739,2.903,46.59,122.995882705,113.296688008
2014-05-02,TMO,3.9035,0.5431,-4.3288,1.4972,1.258,0.139,1.38,30.784,3.301,2.23,51.947,112.606575916,119.933658746
2014-08-01,TMO,4.3219,0.2785,-0.9123,0.5849,1.145,0.064,0.7,32.724,3.257,2.346,51.724,119.81520575,115.226965444
2014-10-31,TMO,4.1714,0.4716,-0.0506,0.5343,1.081,0.113,1.18,28.76,2.965,2.293,51.289,116.195508425,129.691017465
2015-02-26,TMO,4.4928,0.6012,0.8092,1.3435,1.085,0.134,1.51,27.258,3.057,2.513,51.332,128.77080196,124.502777232
2015-05-01,TMO,3.9188,0.3851,-0.4789,0.8646,1.102,0.098,0.97,29.265,3.006,2.552,50.062,126.464230915,137.975273023
2015-07-31,TMO,4.2709,0.5116,-0.0962,0.7684,1.02,0.12,1.28,28.231,3.299,2.689,51.907,138.381899403,130.457990857
2015-10-30,TMO,4.1232,0.4761,-0.265,0.5034,0.973,0.115,1.19,26.441,3.106,2.503,52.256,129.862201585,129.003320147
2016-02-25,TMO,4.6525,0.6026,-0.0513,0.4521,0.915,0.13,1.51,26.192,3.05,2.423,53.429,129.798593755,144.436860206
2016-05-06,TMO,4.2948,0.4022,0.3747,0.8268,1.053,0.094,1.02,29.026,3.335,2.764,52.866,146.257994657,155.817337991
2016-08-05,TMO,4.5352,0.5166,-0.1637,0.6631,0.987,0.114,1.31,31.089,3.527,2.92,53.983,156.90313839,145.667555853
2016-11-04,TMO,4.4909,0.4735,1.3069,1.97,1.217,0.105,1.2,29.023,3.221,2.673,54.874,146.156172381,158.195019021
2017-02-28,TMO,4.9532,0.6295,-1.1838,0.7862,1.131,0.127,1.59,30.447,3.369,2.858,54.557,157.396457593,169.974249486
2017-05-05,TMO,4.765,0.5514,-0.0739,0.7133,1.12,0.116,1.41,30.825,3.57,3.07,55.742,170.91344414,175.74
2017-08-04,TMO,4.99,0.6116,-0.1076,0.611,1.077,0.123,1.57,30.357,3.583,3.072,57.414,176.33,176.33
