datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2012-03-15,TRIP,,,,0.183532,1.848,,,24.486,6.829,14.821,2.199,32.47,42.63
2012-05-03,TRIP,0.183715,0.048111,0.025093,0.208625,1.578,0.262,0.36,,,15.475,2.652,40.9,36.18
2012-07-26,TRIP,0.197148,0.053019,0.269616,0.478241,0.894,0.269,0.38,,,7.955,4.502,35.04,35.1209
2012-11-05,TRIP,0.21271,0.05936,0.070131,0.548372,0.807,0.279,0.42,,,7.121,4.838,34.45,43.55
2013-02-15,TRIP,0.169393,0.033579,-0.180857,0.367515,0.787,0.198,0.23,32.706,8.319,8.731,5.102,44.415,53.07
2013-04-30,TRIP,0.169393,0.033579,-0.180857,0.367515,0.787,0.198,0.23,38.718,9.848,10.336,5.102,52.58,52.49
2013-05-09,TRIP,0.229919,0.062299,-0.155648,0.211867,0.677,0.271,0.44,35.792,9.212,9.314,5.594,51.99,60.66
2013-07-24,TRIP,0.246937,0.066988,-0.011809,0.200058,0.709,0.271,0.47,39.339,10.178,10.261,5.936,61.14,75.5
2013-10-23,TRIP,0.255136,0.055882,0.0763,0.276358,0.747,0.219,0.39,48.844,11.853,12.891,5.808,75.21,84.05
2014-02-11,TRIP,0.212669,0.020274,0.07479,0.351148,0.704,0.095,0.15,58.294,12.678,13.853,6.082,84.2,84.71
2014-05-06,TRIP,0.281,0.068,-0.032,0.319,0.711,0.242,0.48,54.975,11.657,12.296,6.648,81.37,99.88
2014-07-28,TRIP,0.323,0.068,0.268,0.587,0.785,0.211,0.48,66.831,13.229,13.819,7.175,99.3,85.21
2014-11-04,TRIP,0.354,0.054,-0.096,0.491,0.801,0.153,0.38,56.952,10.23,11.027,7.594,83.79,84.81
2015-02-17,TRIP,0.288,0.036,-0.036,0.455,0.741,0.125,0.25,53.288,9.665,10.705,7.867,84.26,77.72
2015-05-06,TRIP,0.363,0.063,0.05,0.505,0.776,0.174,0.44,49.871,8.299,9.348,8.245,76.8,91.75
2015-07-23,TRIP,0.405,0.058,0.078,0.583,0.835,0.143,0.4,63.764,9.542,10.841,8.618,93.37,82.62
2015-11-05,TRIP,0.415,0.074,-0.016,0.567,0.658,0.178,0.51,51.876,8.146,9.037,9.208,83.11,65.35
2016-02-18,TRIP,0.309,0.003,0.047,0.614,0.507,0.01,0.03,46.272,6.141,6.489,9.806,63.07,62.07
2016-05-09,TRIP,0.352,0.027,0.039,0.653,0.512,0.077,0.19,56.744,6.207,6.279,10.097,63.09,63.59
2016-08-05,TRIP,0.391,0.034,0.113,0.766,0.585,0.087,0.23,64.184,6.038,5.885,10.308,60.81,63.43
2016-11-08,TRIP,0.421,0.055,-0.155,0.611,0.441,0.131,0.38,77.258,6.242,5.819,10.822,63.1,46.92
2017-02-17,TRIP,0.316,0.001,0.001,0.612,0.49,0.003,0.01,56.535,4.584,4.517,10.577,47.06,47.03
2017-05-09,TRIP,0.372,0.013,0.119,0.731,0.643,0.035,0.09,64.334,4.418,4.788,9.611,46.92,39.51
