datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,TRV,2.166,0.104,0.041,0.094,4.116,0.048,0.47,12.548,1.067,1.334,32.874,28.8255340432,32.382523281
2001-11-05,TRV,2.23,-0.659,0.074,0.168,5.211,-0.296,-3.16,-63.777,1.162,1.698,28.982,32.581189068,30.7540328752
2002-03-29,TRV,2.388,-0.736,-0.017,0.151,6.319,-0.308,-3.51,-8.765,1.066,1.865,24.588,30.8680609142,31.880898202
2002-05-15,TRV,2.317,0.139,0.034,0.185,6.378,0.06,0.65,-8.532,1.08,1.924,24.52,31.6461345922,19.8876191484
2002-08-14,TRV,2.314,-0.223,-0.019,0.166,6.492,-0.096,-1.09,-4.663,0.746,1.384,22.018,20.5904096313,22.3900165191
2002-11-14,TRV,2.288,0.063,0.263,0.429,6.081,0.028,0.27,-10.118,0.823,1.389,24.346,23.0722229944,22.5915353222
2003-03-20,TRV,2.012,0.244,-0.114,0.315,5.793,0.121,1.12,34.56,0.845,1.311,25.275,22.8048577696,23.7847150751
2003-05-15,TRV,2.113,0.181,-0.035,0.28,5.634,0.086,0.78,29.465,0.895,1.323,25.925,23.819427152,24.2514688397
2003-07-31,TRV,2.171,0.214,-0.103,0.177,5.318,0.099,0.93,11.413,0.933,1.277,27.546,24.6083138803,25.4776288346
2003-10-30,TRV,2.246,0.214,0.076,0.253,5.44,0.095,0.92,10.175,1.016,1.385,27.472,26.8244949036,30.1710710522
2004-03-03,TRV,2.323,0.052,-0.103,0.15,5.356,0.022,0.22,14.904,1.113,1.583,27.171,30.5475878325,29.08574777
2004-05-10,TRV,4.1275,0.5872,-0.2124,0.1397,4.134,0.142,1.35,24.879,2.443,2.095,29.162,28.7748635657,24.6123253715
2004-08-09,TRV,6.181,-0.275,0.0674,0.207,4.349,-0.044,-0.42,39.06,1.518,1.133,29.979,24.5469057235,26.7612997384
2004-11-09,TRV,6.261,0.34,0.064,0.271,4.251,0.054,0.51,34.528,1.287,1.164,31.37,26.5710882039,27.9942735641
2005-03-16,TRV,6.365,0.303,0.003,0.274,4.274,0.048,0.46,26.473,1.102,1.192,31.781,27.7870182336,28.2829506315
2005-05-10,TRV,6.105,0.212,0.279,0.541,4.38,0.035,0.31,43.807,1.02,1.226,31.031,27.9128518271,32.7699519307
2005-08-08,TRV,6.037,1.069,0.197,0.738,3.998,0.177,1.59,15.328,1.191,1.318,33.412,32.5093410883,34.4874466095
2005-11-03,TRV,6.042,0.162,-0.296,0.442,4.063,0.027,0.24,18.2,1.294,1.418,32.992,34.3527007794,32.0170105271
2006-02-27,TRV,6.181,0.179,-0.105,0.337,4.075,0.029,0.25,18.475,1.23,1.344,32.403,32.4007631798,34.6866468776
2006-05-04,TRV,6.05,1.006,0.036,0.373,3.965,0.166,1.45,13.216,1.313,1.398,32.992,34.6942121223,34.2888031769
2006-08-03,TRV,6.255,0.97,-0.099,0.274,3.94,0.155,1.4,13.395,1.265,1.346,33.322,34.1898565751,39.0681494826
2006-11-03,TRV,6.316,1.043,0.083,0.357,3.667,0.165,1.52,11.034,1.423,1.426,36.111,39.1523645804,41.3486573412
2007-02-23,TRV,6.469,1.189,0.102,0.459,3.526,0.184,1.75,8.509,1.427,1.425,37.001,40.7792861757,39.3866350818
2007-02-28,TRV,6.469,1.189,0.102,0.459,3.526,0.184,1.75,8.148,1.367,1.364,37.001,39.0480900644,42.100920226
2007-05-02,TRV,6.427,1.086,-0.081,0.378,3.501,0.169,1.62,8.455,1.424,1.43,37.852,42.2246554801,39.9142749587
2007-07-26,TRV,6.573,1.254,0.184,0.562,3.556,0.191,1.9,7.359,1.305,1.329,38.448,39.8443044728,40.1896757465
2007-10-25,TRV,6.526,1.198,-0.171,0.391,3.396,0.184,1.85,7.059,1.284,1.268,40.572,40.4555218506,37.8562150094
2008-02-21,TRV,6.491,1.063,-0.12,0.271,3.329,0.164,1.68,6.345,1.122,1.097,41.974,36.9915589357,38.195131453
2008-04-24,TRV,6.232,0.967,0.037,0.308,3.326,0.155,1.57,6.838,1.187,1.161,42.824,40.0855096715,35.5482504123
2008-07-23,TRV,6.295,0.942,0.021,0.329,3.383,0.15,1.57,6.461,1.055,1.039,43.299,36.2964670578,29.1118564158
2008-10-22,TRV,6.145,0.214,0.058,0.387,3.559,0.035,0.36,6.792,0.86,0.875,42.078,29.664765332,31.409094075
2009-02-19,TRV,5.805,0.801,-0.037,0.35,3.335,0.138,1.37,7.701,0.92,0.889,43.392,31.0621659874,34.6369224481
2009-04-30,TRV,5.735,0.662,-0.105,0.245,3.169,0.115,1.12,9.196,1.004,0.909,45.325,33.4812732499,34.9308712008
2009-07-30,TRV,6.162,0.74,0.037,0.282,3.135,0.12,1.27,9.848,0.998,0.884,46.752,34.3654876416,39.588468276
2009-10-22,TRV,6.327,0.935,0.004,0.286,2.999,0.148,1.66,9.002,1.176,1.003,50.43,42.6223200722,42.9455715035
2010-02-18,TRV,6.456,1.285,-0.031,0.255,2.996,0.199,2.33,7.478,1.097,0.988,51.301,43.7671389583,44.9123032959
2010-04-23,TRV,6.119,0.647,-0.004,0.251,3.075,0.106,1.26,7.331,1.055,0.991,52.461,44.569971183,41.9446346474
2010-07-22,TRV,6.179,0.67,0.015,0.266,3.071,0.108,1.37,6.55,0.924,0.881,54.254,41.4568085376,46.2884003507
2010-10-21,TRV,6.482,1.005,0.032,0.298,2.962,0.155,2.14,6.997,1.0,0.925,58.586,46.5764321244,50.701020538
2011-02-17,TRV,6.332,0.894,-0.098,0.2,3.129,0.141,1.96,8.013,1.026,1.012,56.902,50.9738817316,50.7269651052
2011-04-21,TRV,6.278,0.839,0.039,0.239,3.17,0.134,1.94,7.537,1.016,1.018,58.951,52.6057415906,49.2818316922
2011-07-21,TRV,6.388,-0.364,0.034,0.273,3.257,-0.057,-0.88,10.176,0.948,0.966,59.742,49.8259528623,44.8080531435
2011-10-19,TRV,6.407,0.333,-0.042,0.231,3.248,0.052,0.8,13.191,0.884,0.892,60.655,47.3593084041,52.0045643611
2012-02-16,TRV,6.373,0.618,-0.017,0.214,3.273,0.097,1.5,16.384,0.918,0.955,60.888,52.1361326636,52.5385075689
2012-04-19,TRV,6.392,0.806,0.044,0.258,3.216,0.126,2.04,17.232,0.939,0.965,63.449,54.508591172,56.9624601135
2012-07-19,TRV,6.359,0.499,-0.028,0.23,3.165,0.078,1.27,10.879,0.961,0.98,64.559,56.6865481973,63.9782078625
2012-10-18,TRV,6.512,0.864,-0.01,0.22,3.07,0.133,2.23,10.12,1.1,1.089,67.461,66.2727471189,72.5070177776
2013-02-19,TRV,6.477,0.304,0.11,0.33,3.131,0.047,0.8,12.318,1.183,1.199,66.715,72.6964253374,76.7190054784
2013-04-23,TRV,6.328,0.896,-0.087,0.243,3.059,0.142,2.36,12.682,1.266,1.27,67.768,78.3244989721,77.9640081466
2013-07-23,TRV,6.674,0.925,0.065,0.308,3.094,0.139,2.44,10.272,1.181,1.234,66.214,75.025413903,79.6696238578
2013-10-22,TRV,6.452,0.864,-0.013,0.295,3.139,0.134,2.33,10.561,1.217,1.272,67.257,79.6237100589,75.9617015945
2014-02-13,TRV,6.737,0.988,-0.001,0.294,3.187,0.147,2.72,7.95,1.115,1.178,69.089,76.5342308309,80.2573776893
2014-04-22,TRV,6.708,1.052,-0.034,0.26,3.102,0.157,2.98,7.885,1.136,1.189,72.348,80.7125410581,89.0032450918
2014-07-22,TRV,6.785,0.683,0.051,0.311,3.105,0.101,1.98,8.661,1.164,1.217,74.437,85.6116664682,87.5920374616
2014-10-21,TRV,6.886,0.919,0.056,0.367,3.128,0.133,2.72,8.575,1.152,1.233,75.563,88.5694593388,101.811673645
2015-02-12,TRV,6.783,1.038,0.007,0.374,3.15,0.153,3.14,9.404,1.278,1.398,76.067,102.066746039,100.793053836
2015-04-21,TRV,6.626,0.833,-0.066,0.308,3.133,0.126,2.58,9.349,1.199,1.307,77.453,96.747657102,98.048891143
2015-07-21,TRV,6.706,0.812,0.009,0.317,3.215,0.121,2.56,9.027,1.204,1.348,76.623,99.8357679234,102.215878148
2015-10-20,TRV,6.794,0.928,0.027,0.344,3.249,0.137,3.0,9.179,1.232,1.379,78.131,104.744355947,102.190786138
2016-02-11,TRV,6.674,0.866,0.036,0.38,3.245,0.13,2.86,8.901,1.142,1.297,78.791,100.305882307,112.550255784
2016-04-21,TRV,6.686,0.691,-0.019,0.361,3.208,0.103,2.33,9.648,1.184,1.316,82.141,105.736980369,114.393403057
2016-07-21,TRV,6.785,0.664,-0.096,0.265,3.145,0.098,2.27,10.685,1.249,1.362,85.191,114.109888085,114.272340882
2016-10-20,TRV,6.961,0.716,0.004,0.269,3.206,0.103,2.48,10.592,1.148,1.273,85.451,107.675357252,119.61774454
2017-02-16,TRV,7.193,0.943,0.038,0.307,3.317,0.131,3.3,11.302,1.233,1.467,82.227,120.418623801,119.702141362
2017-04-20,TRV,6.942,0.617,-0.058,0.249,3.288,0.089,2.19,11.298,1.191,1.407,84.419,118.190951538,126.46
2017-07-20,TRV,7.184,0.595,0.079,0.328,3.303,0.083,2.13,11.973,1.216,1.441,85.975,124.57,129.69
