datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,TSCO,0.26749,0.015644,-0.004582,0.00969,1.136,0.058,0.11,9.055,0.231,1.115,1.186,1.23503516767,1.72764843871
2001-11-09,TSCO,0.199435,0.002425,0.004379,0.014069,1.163,0.012,0.02,12.11,0.319,1.57,1.196,1.75449702931,2.59205632307
2002-03-28,TSCO,0.220357,0.009554,-0.005142,0.008927,0.867,0.043,0.07,15.899,0.482,2.26,1.272,2.68485906015,3.23934082258
2002-05-13,TSCO,0.19381,-0.00401,0.005839,0.014766,1.486,-0.021,-0.03,21.091,0.565,2.772,1.247,3.22766752231,3.56035657977
2002-08-12,TSCO,0.392048,0.017346,0.000845,0.015611,1.499,0.044,0.12,20.861,0.525,2.657,1.375,3.41152200143,4.4008341986
2002-11-12,TSCO,0.296215,0.007801,-0.001355,0.014256,1.383,0.026,0.05,23.494,0.654,3.467,1.431,4.6331328738,3.98176271921
2003-03-14,TSCO,0.327917,0.017633,-0.000483,0.013773,1.014,0.054,0.12,15.571,0.499,2.649,1.557,3.85335641633,5.23664249732
2003-05-13,TSCO,0.27376,0.000125,0.011454,0.025227,1.413,0.0,0.0,19.498,0.649,3.622,1.557,5.26816040803,6.27323156055
2003-08-07,TSCO,0.449391,0.027387,-0.007395,0.017832,1.032,0.061,0.18,19.068,0.749,3.826,1.771,6.32809607178,10.1557712275
2003-11-04,TSCO,0.361204,0.012129,0.013071,0.030903,1.126,0.034,0.08,28.269,1.146,5.84,1.858,10.1347592871,10.2725042302
2004-03-08,TSCO,0.38853,0.01686,-0.010923,0.01998,0.815,0.043,0.11,28.936,1.11,5.535,1.949,10.0763927858,8.87637751887
2004-05-04,TSCO,0.330554,0.003821,0.004086,0.024066,1.061,0.012,0.03,24.869,0.979,4.821,2.032,9.14719808494,8.15730222276
2004-08-04,TSCO,0.525919,0.031376,0.042355,0.066421,0.985,0.06,0.2,20.963,0.838,3.906,2.251,8.21099940396,8.45613870946
2004-11-04,TSCO,0.426384,0.007952,-0.042933,0.023488,0.966,0.019,0.05,22.843,0.82,3.883,2.305,8.35808298726,9.88261600142
2005-03-10,TSCO,0.455986,0.02092,0.005453,0.028941,0.831,0.046,0.14,25.45,0.938,4.4,2.417,9.93164386251,9.6141300954
2005-05-03,TSCO,0.377203,0.000684,0.008949,0.03789,1.109,0.002,0.01,25.934,0.885,4.139,2.454,9.48338913247,12.8499689279
2005-08-03,TSCO,0.613235,0.035754,0.028468,0.066358,0.941,0.058,0.23,32.78,1.143,5.099,2.681,12.7682558261,11.3231012537
2005-11-01,TSCO,0.479607,0.018329,-0.040699,0.025659,0.843,0.038,0.12,25.863,1.016,4.419,2.816,11.6196030803,14.6336492079
2006-03-16,TSCO,0.597934,0.030902,-0.004456,0.021203,0.706,0.052,0.2,29.266,1.212,5.249,3.026,14.8320953123,15.0468840371
2006-05-11,TSCO,0.465547,0.000525,0.018418,0.039621,0.98,0.001,0.0,29.454,1.168,5.118,3.081,14.72703561,10.3939065529
2006-08-10,TSCO,0.714944,0.042927,0.003733,0.043354,0.809,0.06,0.27,19.389,0.796,3.33,3.37,10.4802889748,11.1923602908
2006-11-09,TSCO,0.559222,0.018059,-0.017174,0.02618,0.749,0.032,0.11,20.694,0.818,3.385,3.509,11.0919699085,11.7947025843
2007-02-28,TSCO,0.629898,0.029497,0.011425,0.037605,0.683,0.047,0.18,22.66,0.87,3.443,3.715,11.9464554877,12.1985987733
2007-05-10,TSCO,0.559832,0.004999,-0.001819,0.035786,0.941,0.009,0.03,21.391,0.829,3.489,3.683,12.0001526689,11.8787503461
2007-08-09,TSCO,0.790929,0.043757,0.007618,0.043404,0.911,0.055,0.28,20.689,0.785,3.353,3.803,11.9067662668,11.0219301069
2007-08-14,TSCO,0.790929,0.043757,0.007618,0.043404,0.911,0.055,0.28,18.867,0.715,3.057,3.803,10.8585039033,9.54875961394
2007-11-02,TSCO,0.629199,0.017468,-0.017682,0.025722,0.938,0.028,0.11,16.399,0.601,2.684,3.794,9.5114050531,9.57210621446
2008-02-27,TSCO,0.723252,0.030017,-0.00081,0.0137,0.871,0.042,0.2,15.8,0.563,2.69,3.766,9.46004253195,8.18765280344
2008-05-06,TSCO,0.576208,-0.001152,0.003683,0.017383,1.1,-0.002,-0.01,14.263,0.472,2.272,3.786,8.03123057994,8.87404285882
2008-08-01,TSCO,0.898327,0.047018,0.045574,0.062957,0.988,0.052,0.32,15.122,0.499,2.386,4.06,9.04680770269,9.75887901864
2008-11-04,TSCO,0.733918,0.019761,-0.046374,0.016583,0.939,0.027,0.14,15.71,0.513,2.501,4.144,9.67950057686,7.57130254963
2009-02-18,TSCO,0.733918,0.01587,-0.046374,0.016583,0.948,0.022,0.11,12.232,0.399,1.975,4.086,7.53628264885,7.35417916477
2009-02-25,TSCO,0.799496,0.024712,0.020649,0.037232,0.764,0.031,0.17,13.722,0.374,1.843,4.237,7.29114334335,9.09817022384
2009-05-06,TSCO,0.650171,0.00047,0.000132,0.037364,0.982,0.001,0.0,15.092,0.45,2.291,4.219,9.02813042227,11.2997546532
2009-08-04,TSCO,0.946504,0.054764,0.054724,0.091845,0.763,0.058,0.38,17.116,0.545,2.569,4.611,11.0592846678,10.4359304338
2009-11-02,TSCO,0.74773,0.021979,0.003026,0.094871,0.791,0.029,0.15,16.077,0.521,2.363,4.796,10.5830140171,12.4787579796
2010-02-24,TSCO,0.862532,0.038253,0.07798,0.172851,0.679,0.044,0.27,17.113,0.616,2.695,5.078,12.7799291263,15.8976467255
2010-05-04,TSCO,0.710917,0.009308,-0.034791,0.13806,0.799,0.013,0.07,19.439,0.739,3.243,5.153,15.5606437624,16.5323198893
2010-08-03,TSCO,1.065656,0.076487,0.043019,0.181079,0.67,0.072,0.53,17.214,0.742,3.079,5.617,16.2391936502,18.3611349635
2010-11-02,TSCO,0.829114,0.032017,-0.010159,0.17092,0.687,0.039,0.22,18.561,0.835,3.423,5.829,18.6713051471,24.2707435817
2011-02-23,TSCO,1.032649,0.05016,0.086419,0.257339,0.568,0.049,0.34,21.798,1.006,3.923,6.408,23.7051018591,28.0841115284
2011-05-03,TSCO,0.836576,0.018335,-0.116891,0.140448,0.729,0.022,0.13,24.29,1.142,4.714,6.273,28.0511157612,30.0739772485
2011-08-04,TSCO,1.178363,0.09116,0.045069,0.207387,0.683,0.077,0.64,22.64,1.119,4.613,6.532,28.6996796073,34.3671016352
