datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,TSN,1.894,0.0194,-0.0123,0.0712,1.327,0.01,0.09,40.531,0.326,1.1,9.717,8.96749413154,10.5623939177
2002-01-30,TSN,5.865,0.127,0.022,0.092,2.007,0.022,0.36,,,1.28,9.98,10.6130934085,11.0189513479
2002-04-30,TSN,5.839,0.065,-0.042,0.05,1.971,0.011,0.19,,,1.406,10.129,11.8835152228,10.8551488735
2002-07-30,TSN,5.902,0.107,-0.002,0.048,1.933,0.018,0.31,,,1.311,10.379,11.3991813934,10.1996698544
2002-11-27,TSN,5.761,0.084,0.003,0.051,1.832,0.015,0.24,11.073,0.181,1.158,10.523,10.2852375546,8.82202988249
2003-02-03,TSN,5.802,0.039,0.025,0.076,1.867,0.007,0.11,11.92,0.151,0.956,10.597,8.55677001212,8.29338047399
2003-05-13,TSN,5.845,0.072,-0.005,0.071,1.772,0.012,0.21,11.127,0.144,0.899,10.803,8.23322123739,9.62390009121
2003-08-12,TSN,6.33,0.079,0.029,0.1,1.786,0.012,0.23,14.261,0.165,1.022,11.087,9.62390009121,12.3807399306
2003-12-16,TSN,6.572,0.147,-0.075,0.025,1.652,0.022,0.43,14.911,0.205,1.271,11.428,12.3807399306,11.7117455625
2004-01-08,TSN,6.572,0.147,-0.075,0.025,1.652,0.022,0.43,14.022,0.192,1.195,11.428,11.6422396541,14.7960702469
2004-02-09,TSN,6.505,0.057,0.015,0.04,1.596,0.009,0.17,16.586,0.233,1.467,11.632,14.5093583749,17.1327583436
2004-05-10,TSN,6.153,0.119,0.03,0.07,1.469,0.019,0.34,17.182,0.27,1.667,12.012,17.0804977691,16.9392998479
2004-08-03,TSN,6.634,0.161,-0.019,0.051,1.476,0.024,0.46,13.966,0.261,1.588,12.336,16.7123952647,15.0224089449
2004-12-15,TSN,7.149,0.066,-0.018,0.033,1.438,0.009,0.23,15.116,0.23,1.419,12.441,15.1978019273,14.5576175414
2005-02-09,TSN,6.452,0.048,0.008,0.041,1.382,0.007,0.14,14.572,0.218,1.322,12.622,14.2594494713,15.8218031984
2005-05-10,TSN,6.359,0.076,-0.006,0.035,1.355,0.012,0.23,18.335,0.242,1.461,12.802,15.9976010117,15.5911560939
2005-08-11,TSN,6.708,0.131,-0.003,0.032,1.289,0.02,0.39,19.421,0.234,1.377,13.125,15.511879029,14.5933062454
2005-12-12,TSN,6.495,0.098,0.008,0.04,1.258,0.015,0.29,16.68,0.226,1.266,13.484,14.6995037439,12.4605064849
2006-02-08,TSN,6.495,0.117,0.008,0.04,1.249,0.018,0.35,13.475,0.193,1.073,13.539,12.5136052341,12.5136052341
2006-02-09,TSN,6.454,0.039,-0.01,0.03,1.271,0.006,0.12,14.979,0.198,1.094,13.655,12.8498973125,13.9247978987
2006-05-11,TSN,6.251,-0.127,0.009,0.039,1.463,-0.02,-0.38,39.534,0.215,1.218,13.228,13.9425478005,11.6818336679
2006-08-10,TSN,6.383,-0.052,0.005,0.044,1.494,-0.008,-0.15,-112.63,0.185,1.049,13.072,11.8597747748,15.2041846994
2006-12-13,TSN,6.471,-0.056,-0.016,0.028,1.505,-0.009,-0.17,-29.596,0.227,1.307,12.87,14.6228482256,16.2327030761
2007-02-08,TSN,6.558,0.057,0.017,0.045,1.26,0.009,0.17,-36.429,0.253,1.437,13.0,16.3221394567,19.4328479485
2007-05-09,TSN,6.501,0.068,-0.011,0.034,1.227,0.01,0.2,457.009,0.3,1.697,13.152,19.558336819,19.3061194035
2007-08-08,TSN,6.958,0.111,0.014,0.048,1.203,0.016,0.32,41.381,0.281,1.591,13.418,18.7224460261,13.4947278422
2007-11-21,TSN,6.883,0.032,-0.006,0.042,1.162,0.005,0.1,19.48,0.194,1.103,13.595,13.2068403149,12.8279078662
2008-02-01,TSN,6.766,0.034,0.013,0.055,1.157,0.005,0.1,20.912,0.189,1.078,13.616,12.999307479,16.1188680864
2008-05-02,TSN,6.612,-0.005,-0.002,0.053,1.181,-0.001,-0.02,36.748,0.232,1.33,13.583,16.1007773254,13.5072543951
2008-08-01,TSN,6.849,0.009,0.002,0.055,1.23,0.001,0.03,75.423,0.195,1.106,13.643,13.4800585809,4.58080270866
2008-11-20,TSN,7.201,0.048,0.195,0.25,1.164,0.007,0.14,19.321,0.062,0.331,14.164,3.99911347582,8.08950430855
2009-02-02,TSN,6.521,-0.112,-0.084,0.251,1.187,-0.017,-0.3,-55.74,0.123,0.698,12.853,8.08950430855,9.70250964284
2009-05-04,TSN,6.307,-0.104,0.651,1.127,1.361,-0.016,-0.29,-27.784,0.164,0.954,12.421,10.7499396611,10.5321288686
2009-08-03,TSN,6.662,0.134,0.028,1.045,1.261,0.02,0.37,-123.28,0.157,0.871,12.944,10.2464805791,12.0841945241
2009-11-23,TSN,7.214,-0.455,0.159,1.187,1.435,-0.063,-1.25,-9.034,0.182,1.115,11.794,11.9085252846,12.9769021011
2010-02-05,TSN,6.635,0.16,0.36,1.526,1.373,0.024,0.44,-20.819,0.206,1.206,12.26,13.5891076326,17.3122557615
