datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-01,TXT,3.288,0.126,0.03,0.243,3.143,0.038,0.45,44.301,0.612,1.942,14.473,22.7742065037,13.5032550682
2001-11-02,TXT,2.81,-0.33,0.056,0.299,3.457,-0.117,-1.17,-15.497,0.379,1.284,13.209,13.8463504783,20.2475316773
2002-03-14,TXT,3.183,0.257,-0.039,0.26,2.95,0.081,0.91,41.259,0.556,1.741,14.047,20.2807039594,19.8204385454
2002-05-07,TXT,2.418,0.057,0.12,0.38,2.998,0.024,0.2,61.809,0.581,1.752,13.821,20.1521613663,16.6058308533
2002-08-12,TXT,2.824,0.105,0.236,0.616,3.534,0.037,0.38,62.154,0.492,1.62,12.238,16.7227439194,18.0657919866
2002-11-08,TXT,2.554,0.071,-0.413,0.203,3.54,0.028,0.26,12.016,0.536,1.748,12.216,18.0363140043,15.1113875901
2003-02-27,TXT,2.862,0.131,0.104,0.307,3.402,0.046,0.47,-39.715,0.462,1.446,12.525,15.3702459565,14.4366584053
2003-03-10,TXT,2.862,0.131,0.104,0.307,3.402,0.046,0.47,-36.097,0.42,1.314,12.525,13.9698646297,13.2368271579
2003-05-06,TXT,2.457,0.066,0.15,0.457,3.62,0.027,0.24,11.398,0.397,1.246,12.549,13.4941027101,18.603016978
2003-08-05,TXT,2.599,0.063,-0.086,0.371,3.487,0.024,0.23,17.22,0.544,1.609,13.085,18.1921156497,22.02629041
2003-11-07,TXT,2.243,0.047,-0.139,0.232,3.393,0.021,0.17,22.206,0.671,1.926,13.05,21.8475692726,23.9392977539
2004-02-27,TXT,2.663,0.083,0.611,0.843,3.089,0.031,0.3,29.431,0.773,2.066,13.395,24.272640852,23.7761005822
2004-05-10,TXT,2.354,0.037,-0.154,0.689,3.117,0.016,0.14,31.85,0.743,2.003,13.313,23.4892693762,27.0501886077
2004-08-10,TXT,2.547,0.1,0.184,0.873,3.115,0.039,0.36,32.214,0.877,2.293,13.615,27.5428171451,31.5544618986
2004-11-09,TXT,2.569,0.103,-0.063,0.81,3.124,0.04,0.38,30.097,0.959,2.578,13.673,31.5321587732,34.3507231518
2005-02-24,TXT,2.772,0.125,-0.073,0.732,3.347,0.045,0.46,28.705,1.023,2.869,13.51,34.7451469041,35.0727836202
2005-05-09,TXT,2.791,0.126,-0.172,0.56,3.418,0.045,0.47,23.115,0.983,2.882,13.473,35.0097516599,33.5098103303
2005-08-08,TXT,3.188,0.123,0.101,0.661,3.418,0.039,0.46,20.861,0.879,2.761,13.388,33.6454958898,33.4479008876
2005-11-07,TXT,2.862,-0.164,-0.06,0.601,3.84,-0.057,-0.61,46.923,0.849,3.0,12.358,33.8296432347,39.9217014059
2006-02-24,TXT,1.202,0.118,0.23,0.796,4.036,0.098,0.45,58.126,1.175,3.602,12.374,40.6932014102,43.179475387
2006-05-05,TXT,2.632,0.168,-0.251,0.545,4.125,0.064,0.65,50.663,1.256,3.731,12.787,43.7480487064,41.3204674549
2006-08-07,TXT,2.82,0.069,-0.22,0.325,4.741,0.024,0.27,58.688,1.178,3.709,11.763,40.8829945464,42.6121233489
2006-11-08,TXT,2.837,0.169,0.497,0.822,4.736,0.06,0.67,22.135,1.222,3.814,12.086,42.7740410905,45.5536151273
2007-02-21,TXT,3.201,0.195,-0.042,0.78,5.625,0.061,0.77,20.387,1.066,4.625,10.572,45.4281998516,48.38340418
2007-04-30,TXT,2.964,0.196,-0.195,0.585,5.61,0.066,0.78,20.139,1.072,4.73,10.747,47.4316912832,55.188778832
2007-07-27,TXT,3.235,0.21,0.112,0.697,5.179,0.065,0.84,18.495,1.164,4.855,11.745,53.4001885619,63.1115529496
2007-10-29,TXT,3.263,0.255,0.245,0.942,4.862,0.078,1.02,20.013,1.353,5.447,12.618,64.6254027745,53.2440892422
2008-02-20,TXT,3.763,0.256,-0.411,0.531,4.69,0.068,1.02,15.212,1.055,3.977,14.102,52.9139079659,57.5429993152
2008-04-25,TXT,3.518,0.231,-0.17,0.361,4.778,0.066,0.93,16.072,1.11,4.257,14.42,58.1587870919,40.3614133423
2008-07-25,TXT,3.919,0.258,0.119,0.48,4.464,0.066,1.03,10.64,0.736,2.809,15.241,40.7228872303,14.671677707
2008-10-29,TXT,3.533,0.206,-0.123,0.357,4.845,0.058,0.85,3.727,0.241,1.001,14.679,14.0687320478,5.7335052427
2009-02-26,TXT,3.606,-0.209,0.19,0.547,7.462,-0.058,-0.84,2.899,0.099,0.596,9.739,5.63632718774,10.9295771332
2009-04-29,TXT,2.526,0.086,1.144,1.691,7.313,0.034,0.35,7.766,0.195,1.073,10.074,10.5489936438,13.0113586608
2009-07-31,TXT,2.612,-0.058,0.194,1.885,5.796,-0.022,-0.22,145.279,0.296,1.244,10.805,13.1384418032,18.6036541227
2009-10-30,TXT,2.549,0.004,0.691,2.576,5.738,0.002,0.01,-27.234,0.427,1.627,10.925,17.3999458339,19.1907989704
2010-02-25,TXT,2.813,-0.063,-0.684,1.892,5.702,-0.022,-0.24,-171.048,0.505,1.876,10.366,19.0536518619,23.0618428089
2010-04-30,TXT,2.21,-0.008,-0.383,1.509,5.375,-0.004,-0.03,-49.94,0.613,2.197,10.395,22.3950888501,20.24979602
2010-07-29,TXT,2.709,0.082,-0.318,1.191,4.876,0.03,0.3,378.231,0.552,1.947,10.627,20.3086902401,20.3992408926
2010-10-28,TXT,2.479,-0.048,-0.2,0.991,4.363,-0.019,-0.17,-153.499,0.556,1.902,10.862,20.3009786532,26.6423075775
2011-03-01,TXT,3.127,0.06,-0.06,0.931,4.142,0.019,0.21,84.253,0.688,2.438,10.767,25.8161895131,25.4314272359
2011-04-28,TXT,2.479,0.029,0.091,1.022,3.934,0.012,0.1,58.113,0.662,2.342,11.033,25.4314272359,22.6675284181
2011-07-29,TXT,2.728,0.09,-0.371,0.651,3.675,0.033,0.32,48.967,0.593,2.021,11.445,22.7857423864,18.9482547815
2011-10-28,TXT,2.814,0.142,0.891,1.542,3.614,0.05,0.51,17.591,0.507,1.705,11.906,20.0234030226,27.4208229395
2012-02-23,TXT,3.254,-0.019,-0.657,0.885,3.96,-0.006,-0.07,32.032,0.688,2.824,9.816,27.3714516342,26.5228017874
