datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-27,UTX,7.332,0.588,0.177,0.957,2.193,0.08,0.61,17.674,1.265,4.229,8.651,26.3122714152,18.7185653913
2001-10-22,UTX,6.92,0.565,0.408,1.365,2.156,0.082,0.59,12.244,0.893,2.932,8.97,19.0287381512,24.6490997042
2002-02-11,UTX,6.974,0.345,0.193,1.558,2.222,0.049,0.36,16.851,1.171,3.902,8.854,25.0184017268,25.3422431335
2002-04-23,UTX,6.374,0.467,-0.221,1.337,2.124,0.073,0.48,16.664,1.186,3.787,9.14,25.1605783082,25.3392261308
2002-08-01,UTX,7.324,0.624,0.565,1.902,2.097,0.085,0.65,16.019,1.162,3.498,9.686,24.7741066991,23.2808637232
2002-10-22,UTX,7.299,0.612,0.399,2.301,1.945,0.084,0.64,14.175,1.038,3.0,10.228,22.4352851823,23.3985113184
2003-02-10,UTX,7.215,0.533,-0.221,2.08,2.482,0.074,0.56,13.459,1.067,3.602,8.881,23.512435278,21.6151327163
2003-03-03,UTX,7.215,0.533,-0.221,2.08,2.482,0.074,0.56,12.159,0.964,3.254,8.881,21.3273245306,22.6999481855
2003-04-23,UTX,6.702,0.502,-0.153,1.927,2.424,0.075,0.53,12.617,1.004,3.301,9.234,22.5966324265,27.5957712479
2003-07-21,UTX,7.79,0.632,0.488,2.415,2.244,0.081,0.67,15.171,1.192,3.63,10.177,27.321628803,31.1304632885
2003-10-20,UTX,7.954,0.639,-0.994,1.421,2.366,0.08,0.67,17.202,1.337,3.92,10.765,31.3386440796,35.1350432512
2004-02-05,UTX,8.588,0.588,0.202,1.623,1.96,0.068,0.6,20.628,1.569,4.16,11.358,35.2731497635,32.5717031583
2004-05-04,UTX,8.646,0.579,0.108,1.731,1.973,0.067,0.58,18.206,1.346,3.673,12.134,32.3506875762,35.6263834688
2004-07-29,UTX,9.622,0.837,0.287,2.018,1.94,0.087,0.84,18.216,1.383,3.858,12.581,35.4006619263,34.9676037676
2004-10-27,UTX,9.339,0.722,0.322,2.34,1.886,0.077,0.73,17.416,1.312,3.641,13.143,35.080889741,38.087230609
2005-02-10,UTX,9.838,0.65,-0.075,2.265,1.858,0.066,0.66,18.845,1.403,3.751,13.686,38.905821834,38.9238303546
2005-04-26,UTX,9.407,0.651,-0.302,1.963,1.757,0.069,0.66,18.127,1.357,3.527,14.819,38.5508436161,39.7010964238
2005-07-21,UTX,11.152,0.971,0.022,1.985,1.932,0.087,0.98,17.73,1.336,3.475,15.351,39.5940853822,39.7781844133
2005-10-21,UTX,10.905,0.821,0.117,2.102,1.926,0.075,0.83,16.767,1.256,3.294,15.871,39.079648176,43.7183405019
