datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-08,VAR,0.191416,0.019522,0.030831,0.182488,0.859,0.102,0.15,33.388,3.01,5.987,2.843,16.85,16.7875
2001-12-14,VAR,0.228046,0.009732,0.036473,0.218961,0.925,0.043,0.07,41.345,2.899,5.687,2.935,16.7475,19.425
2002-02-05,VAR,0.175127,0.013187,0.020565,0.239526,0.917,0.075,0.1,45.268,3.334,6.541,2.979,19.48,21.675
2002-05-01,VAR,0.220523,0.023771,-0.038363,0.201163,0.897,0.108,0.17,45.064,3.661,6.98,3.169,21.945,19.3
2002-08-06,VAR,0.216082,0.022834,-0.039136,0.162027,0.853,0.106,0.17,38.768,3.21,5.931,3.348,19.8,23.75
2002-11-26,VAR,0.26136,0.033817,-0.001742,0.160285,0.925,0.129,0.25,33.211,3.561,6.575,3.481,22.875,26.155
2003-02-04,VAR,0.206703,0.021021,0.005917,0.166202,0.878,0.102,0.15,34.759,3.898,7.247,3.585,25.875,26.77
2003-05-05,VAR,0.266156,0.034156,0.011981,0.178183,0.878,0.128,0.25,32.383,3.811,6.974,3.815,26.52,30.755
2003-08-04,VAR,0.265464,0.03217,0.032613,0.210796,0.859,0.121,0.23,34.351,4.163,7.698,3.964,30.48,34.205
2003-11-28,VAR,0.303234,0.043541,-0.000348,0.210448,0.869,0.144,0.32,35.864,4.507,8.328,4.14,34.505,42.325
2004-02-12,VAR,0.266965,0.029168,0.000143,0.210591,0.861,0.109,0.21,41.208,5.2,9.884,4.261,41.795,41.87
2004-05-14,VAR,0.320665,0.043696,0.015488,0.226079,0.843,0.136,0.32,37.516,4.82,8.935,4.568,40.75,32.06
2004-08-11,VAR,0.303089,0.04255,0.044259,0.270338,0.851,0.14,0.31,27.842,3.707,7.051,4.594,32.58,43.39
2004-12-14,VAR,0.344804,0.051829,-0.030868,0.23947,0.907,0.15,0.38,34.915,4.726,9.515,4.546,43.57,38.65
2005-02-08,VAR,0.298956,0.040309,-0.013381,0.226089,0.911,0.135,0.3,29.245,4.116,8.353,4.661,39.06,33.8
2005-05-09,VAR,0.350879,0.054152,0.108153,0.227642,0.962,0.154,0.41,23.65,3.441,7.004,4.792,33.8,39.05
2005-08-08,VAR,0.346541,0.051179,-0.046588,0.181054,0.973,0.148,0.39,25.566,3.764,7.992,4.788,38.58,50.89
2005-12-13,VAR,0.386181,0.060936,0.062032,0.243086,0.999,0.158,0.46,32.895,4.915,10.311,5.038,51.66,59.9
2006-02-06,VAR,0.334231,0.04116,0.016524,0.25961,0.87,0.123,0.31,38.096,5.573,11.046,5.455,59.81,51.97
2006-05-08,VAR,0.413858,0.055798,0.006655,0.266265,0.857,0.135,0.42,32.829,4.635,9.237,5.655,52.24,49.51
2006-08-08,VAR,0.395671,0.065728,0.058446,0.324711,0.884,0.166,0.5,29.052,4.246,8.637,5.789,50.0,50.09
2006-12-11,VAR,0.45406,0.082405,-0.052203,0.272508,0.896,0.181,0.63,26.333,4.039,8.095,6.088,50.0,47.74
2007-02-05,VAR,0.387858,0.049501,-0.008242,0.264266,0.868,0.128,0.38,24.257,3.722,7.692,6.222,47.86,43.86
